Field,Variant_TAPPs,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Dwell Time per Pixel,"FIB,SEM,SEMcomp,SEMimg",1,D,M1,,"M1 — defining sentence, never moves","Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds."
Dwell Time per Pixel,"FIB,SEM,SEMcomp,SEMimg",2,P,M2,,M2 — dwell time against dose and beam damage,Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials.
Dwell Time per Pixel,"FIB,SEM,SEMcomp,SEMimg",3,D,M5,REWRITE-REDUNDANT(Keyed By: channel),"restates Keyed By in SEM/SEMcomp; NOTE in FIB and SEMimg Keyed By is (none), so there the clause is the only record of cardinality","For WDS mapping, the dwell time is per spectrometer per pixel."
EBSD Detector Configuration,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves","EBSD detector manufacturer, model, and camera resolution."
EBSD Detector Configuration,"SEM,SEMimg",2,D,M3,,M3 — instruction: state whether EDS is acquired simultaneously,Include whether EBSD and EDS are acquired simultaneously (common on modern combined EBSD-EDS systems).
EBSD Frame Time,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Acquisition time per EBSD diffraction pattern frame in milliseconds.
EBSD Frame Time,"SEM,SEMimg",2,P,M2,,M2 — pattern quality against acquisition time,Longer frame time improves pattern quality and indexing rate but increases total acquisition time.
EBSD Indexing Method,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Algorithm used to index EBSD diffraction patterns and assign crystal orientations.
EBSD Indexing Method,"SEM,SEMimg",2,D,M3,,M3 — defines the two indexing families; Column F names them but does not define them,Hough-transform methods fit Kikuchi band positions analytically; dictionary indexing (DI) matches experimental patterns to a pre-computed library of simulated patterns.
EBSD Indexing Rate,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves","Fraction of EBSD map points successfully indexed, expressed as a percentage of total map points."
EBSD Indexing Rate,"SEM,SEMimg",2,P,M2,,M2 — how to interpret a low indexing rate,"Low indexing rate may indicate surface damage, amorphisation, severe deformation, or phase misidentification."
EBSD Mean Angular Deviation,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Mean angular deviation (MAD) of the EBSD pattern indexing solution in degrees.
EBSD Mean Angular Deviation,"SEM,SEMimg",2,D,M3,,M3 — defines what MAD measures,MAD quantifies the misfit between experimental Kikuchi band positions and the best-fit crystal orientation.
EBSD Mean Angular Deviation,"SEM,SEMimg",3,P,M2,,M2 — the threshold above which indexing is unreliable,Values above ~1.5 degrees typically indicate unreliable indexing.
EBSD Pattern Quality Threshold,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Minimum pattern quality or confidence index threshold applied during EBSD data processing to exclude unreliably indexed points from orientation maps.
EBSD Pattern Quality Threshold,"SEM,SEMimg",2,D,M3,,M3 — instruction: give metric name and threshold,Include metric name and threshold value.
EBSD Phase List,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Mineral phases included in the EBSD reference pattern library for this procedure.
EBSD Phase List,"SEM,SEMimg",2,D,M5,REWRITE-REDUNDANT(C=Basic + D=Editable),'the procedure specifies; analysts may add' is the C/D split in words,The procedure specifies the expected phase suite for the target material; analysts may add phases for specific sample compositions.
EBSD Step Size,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Distance between adjacent EBSD measurement points in the map in nm or µm.
EBSD Step Size,"SEM,SEMimg",2,D,M4,REWRITE-STRADDLE,"constraint on the value (instruction) plus what resolving it achieves (rationale); the obligation is on the value, not a tier, so W3 does not apply",Must be smaller than the smallest grain of interest to resolve grain boundary positions and intragrain orientation gradients.
EDS Acquisition Mode,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Spatial acquisition sub-strategy for EDS measurements: stationary-beam point acquisition, linescan (beam stepped along a transect at defined intervals), or area map (beam rastered over a pixel grid)."
EDS Acquisition Mode,"EPMA,SEM,SEMcomp",2,D,M3,,"M3 — restates what the field specifies, scoped to the declared Analytical Mode",Specifies how the beam is positioned during data collection within the declared Analytical Mode.
EDS Acquisition Mode,"EPMA,SEM,SEMcomp",3,P,M2,,M2 — why the field exists alongside the mode flag columns,Particularly important when a procedure includes linescans as a distinct acquisition approach not fully captured by the mode flag columns.
EDS Acquisition Mode,TEM,1,D,M1,,"M1 — defining sentence, never moves",Mode of EDS data acquisition.
EDS Acquisition Mode,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Calibration Standard(s),TEM,1,D,M1,,"M1 — defining sentence, never moves",Reference material(s) used to validate EDS quantification or determine experimental k-factors or zeta-factors.
EDS Calibration Standard(s),TEM,2,P,M2,,M2 — why TEM-EDS calibration practice differs from EPMA,TEM-EDS is less standardized than EPMA; many procedures rely on manufacturer k-factors without external calibration.
EDS Calibration Standard(s),TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Counting Statistics / Accumulation Criterion,TEM,1,D,M1,,"M1 — defining sentence, never moves","Quality criterion used to determine when sufficient EDS signal has been accumulated for a given pixel or point, in lieu of or in addition to a fixed live time."
EDS Counting Statistics / Accumulation Criterion,TEM,2,D,M3,,M3 — defines the form the value takes,"Expressed as a target relative uncertainty on major-element peak counts achieved by accumulating successive scan frames (e.g., ""1% counting statistics on major elements""; "">10% counting statistics"")."
EDS Counting Statistics / Accumulation Criterion,TEM,3,D,M3,,M3 — scope boundary against EDS Live Time per Point or Pixel,"Distinct from EDS Live Time per Point or Pixel, which records a fixed-duration setting."
EDS Counting Statistics / Accumulation Criterion,TEM,4,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Dead Time,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Percent dead time reported by the EDS detector during the session — the fraction of total acquisition time the detector spent processing rather than counting.
EDS Dead Time,"EPMA,SEM,SEMcomp",2,D,M4,REWRITE-STRADDLE,how the correction is handled (rationale) plus what this field holds (definition),EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric.
EDS Dead Time,"EPMA,SEM,SEMcomp",3,P,M2,,M2 — how to interpret a high dead time,Values above ~40% indicate excessive count rate and may degrade spectral quality and quantitative accuracy.
EDS Dead Time,"EPMA,SEM,SEMcomp",4,D,M3,,M3 — scope boundary against WDS Dead Time Correction,"Unlike WDS dead time (see WDS Dead Time Correction), no user-selectable correction algorithm is required."
EDS Dead Time,TEM,1,D,M1,,"M1 — defining sentence, never moves",Percent dead time reported by the EDS detector during the session — the fraction of total acquisition time the detector spent processing rather than counting.
EDS Dead Time,TEM,2,D,M4,REWRITE-STRADDLE,as item 76 S2,EDS dead time correction is managed automatically by the detector electronics; this field documents the resulting percentage as a session QC metric.
EDS Dead Time,TEM,3,P,M2,,M2 — how to interpret a high dead time,Values above ~40% indicate excessive count rate and may degrade spectral quality and quantitative accuracy.
EDS Dead Time,TEM,4,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Detection Limit,TEM,1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: reported property),as item 49,"Estimated detection limits by EDS under this procedure's conditions, one per reported concentration variable (one per analyte, these being the same set)."
EDS Detection Limit,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Detector Configuration,EPMA,1,D,M1,,"M1 — defining sentence, never moves","EDS detector type, manufacturer, window type, active area, and detector geometry (take-off angle, position)."
EDS Detector Configuration,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","EDS detector type, manufacturer, active area, solid angle, window type, and geometry (take-off angle, position)."
EDS Detector Configuration,"SEM,SEMcomp",2,D,M3,,M3 — instruction: list multiple detectors separately,Multiple detectors should be listed separately.
EDS Detector Configuration,TEM,1,D,M1,,"M1 — defining sentence, never moves","EDS detector type, manufacturer, number of detector elements, active solid angle, and window type."
EDS Detector Configuration,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Energy Range,TEM,1,D,M1,,"M1 — defining sentence, never moves",Energy range of EDS spectrum acquisition in keV.
EDS Energy Range,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Live Time per Point or Pixel,EPMA,1,D,M1,,"M1 — defining sentence, never moves",EDS spectral acquisition live time per analysis point in seconds.
EDS Live Time per Point or Pixel,EPMA,2,D,M3,,"M3 — records the field's former name so a reader recognises it; NOTE field-naming history arguably belongs in Comments (Column G), not Description","Previously referred to as ""EDS Acquisition Time"" in this TAPP and commonly used under that name in EPMA and SEM-EDS contexts."
EDS Live Time per Point or Pixel,EPMA,3,D,M3,,M3 — records why the field was renamed; same Comments note as S2,"Renamed to align with TEM-EDS usage, where the per-point vs. per-pixel distinction (point/line mode vs. spectrum image) is explicit."
EDS Live Time per Point or Pixel,EPMA,4,D,M3,,M3 — scoping: in EPMA the per-point/per-pixel distinction collapses,"In EPMA, acquisition is always per point."
EDS Live Time per Point or Pixel,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",EDS spectral acquisition live time per analysis point or per pixel in seconds.
EDS Live Time per Point or Pixel,"SEM,SEMcomp",2,P,M2,,M2 — counting statistics against beam damage and acquisition time,Longer live time improves counting statistics but increases beam damage risk and total acquisition time.
EDS Live Time per Point or Pixel,TEM,1,D,M1,,"M1 — defining sentence, never moves",EDS spectral acquisition live time per analysis point (point/line mode) or per pixel (spectrum image) in seconds.
EDS Live Time per Point or Pixel,TEM,2,D,M3,,M3 — records the alternative name used in other lineages; same Comments note as item 83,"Also referred to as ""EDS Acquisition Time"" in EPMA and some SEM-EDS contexts, where the per-pixel distinction is less relevant."
EDS Live Time per Point or Pixel,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Map Dimensions,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Number of pixels in the EDS map in the X and Y directions.
EDS Map Dimensions,"SEM,SEMcomp",2,D,M5,REWRITE-REDUNDANT(C=N/A + D=Basic),'determined at analysis time' restates the procedure/analysis tier split,Determined at analysis time based on the area of interest and selected pixel size.
EDS Quantification Method,TEM,1,D,M1,,"M1 — defining sentence, never moves",Method used to convert EDS X-ray intensities to elemental concentrations.
EDS Quantification Method,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EDS Spectral Processing Type,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Method used to process EDS spectra and extract net peak intensities from raw spectral data.
EDS Spectral Processing Type,"EPMA,SEM,SEMcomp",2,D,M3,,M3 — ordering relative to Matrix Correction Method,Applied before quantification (see Matrix Correction Method).
EDS Spectral Processing Type,"EPMA,SEM,SEMcomp",3,D,M5,REWRITE-REDUNDANT(Column F),names processing approaches already in the controlled list; 'for overlapping peaks' is extra content that survives,"Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks."
EDS Spectral Processing Type,TEM,1,D,M1,,"M1 — defining sentence, never moves",Method used to process EDS spectra and extract net peak intensities from raw spectral data.
EDS Spectral Processing Type,TEM,2,D,M3,,M3 — ordering relative to EDS Quantification Method,Applied before quantification (EDS Quantification Method).
EDS Spectral Processing Type,TEM,3,D,M5,REWRITE-REDUNDANT(Column F),as item 88 S3,"Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks."
EDS Spectral Processing Type,TEM,4,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EDS is not listed in Spectroscopic Detector(s).
EELS Acquisition Mode,TEM,1,D,M1,,"M1 — defining sentence, never moves",Mode of EELS data acquisition.
EELS Acquisition Mode,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Acquisition Time per Spectrum,TEM,1,D,M1,,"M1 — defining sentence, never moves",Exposure time per individual EELS spectrum (or per pixel for spectrum images) in seconds.
EELS Acquisition Time per Spectrum,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Background Subtraction Method,TEM,1,D,M1,,"M1 — defining sentence, never moves",Method used to subtract the background beneath the ionization edge of interest to extract the net edge signal.
EELS Background Subtraction Method,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Collection Semi-Angle,TEM,1,D,M1,,"M1 — defining sentence, never moves",Semi-angle of the EELS spectrometer entrance aperture in milliradians.
EELS Collection Semi-Angle,TEM,2,P,M2,,M2 — what the collection semi-angle controls,Controls the fraction of inelastically scattered electrons collected and the spectral background level.
EELS Collection Semi-Angle,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Detection Limit,TEM,1,D,M1,,"M1 — defining sentence, never moves",Estimated detection limit or minimum detectable concentration for target edges under this procedure.
EELS Detection Limit,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Edges,TEM,1,D,M1,,"M1 — defining sentence, never moves","Ionization edge(s) acquired by EELS, specified by element symbol and edge label (e.g., Fe L2,3; O K)."
EELS Edges,TEM,2,D,M5,REWRITE-REDUNDANT(Keyed By: defines: channel per analyte),the edge-to-analyte relation the sentence spells out is what the key already states,"Provides the EELS-specific counterpart to the Analyte field: while Analyte lists elements, EELS Edges documents which ionization edges were used and their approximate energy loss positions."
EELS Edges,TEM,3,D,M5,REWRITE-REDUNDANT(C=Basic + D=Editable),'procedure registers the suite; analysts confirm or narrow' is the C/D split in words,The procedure registers the full intended edge suite; analysts confirm or narrow this list at analysis time.
EELS Edges,TEM,4,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Energy Calibration,TEM,1,D,M1,,"M1 — defining sentence, never moves",Method and reference used to calibrate the EELS energy axis.
EELS Energy Calibration,TEM,2,P,M2,,M2 — what accurate calibration is required for,"Accurate calibration is required for ELNES edge identification, chemical-state analysis, and inter-lab comparability."
EELS Energy Calibration,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Energy Dispersion,TEM,1,D,M1,,"M1 — defining sentence, never moves",Energy dispersion of the EELS spectrometer in eV per channel.
EELS Energy Dispersion,TEM,2,P,M2,,M2 — range against resolution trade-off,Controls the energy range acquired per readout and the effective energy resolution trade-off.
EELS Energy Dispersion,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Energy Loss Range,TEM,1,D,M1,,"M1 — defining sentence, never moves","Energy loss range acquired, defined by onset energy and width in eV."
EELS Energy Loss Range,TEM,2,D,M5,REWRITE-REDUNDANT(C=Basic + D=Editable),'procedure documents the target; analysts record the actual' is the C/D split in words,The procedure documents the target range for the registered analyte edges; analysts record the actual range acquired.
EELS Energy Loss Range,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Energy Resolution,TEM,1,D,M1,,"M1 — defining sentence, never moves","Full-width at half-maximum (FWHM) of the zero-loss peak in eV, measured at operating conditions."
EELS Energy Resolution,TEM,2,P,M2,,M2 — what the resolution reflects physically,Reflects combined electron source energy spread and monochromator effect (if active).
EELS Energy Resolution,TEM,3,P,M2,,M2 — why it matters for ELNES interpretation,Critical for ELNES fine-structure interpretation.
EELS Energy Resolution,TEM,4,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Plural Scattering Correction,TEM,1,D,M1,,"M1 — defining sentence, never moves",Method applied to correct for multiple inelastic scattering events (plural scattering) that broaden edge fine structure.
EELS Plural Scattering Correction,TEM,2,P,M2,,M2 — the thickness regime in which the correction matters,Critical for specimens thicker than ~0.5 inelastic mean free paths.
EELS Plural Scattering Correction,TEM,3,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
EELS Spectrometer,TEM,1,D,M1,,"M1 — defining sentence, never moves","EELS spectrometer manufacturer, model, and key capabilities including post-column GIF model and energy resolution."
EELS Spectrometer,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).
Effective Spatial Resolution (PSF/MTF),XCT,1,D,M1,,"M1 — defining sentence, never moves","Effective spatial resolution of the reconstructed CT volume, which typically differs from (and is coarser than) the voxel size due to the detector point spread function (PSF), geometric unsharpness, and the reconstruction filter."
Effective Spatial Resolution (PSF/MTF),XCT,2,P,M2,,M2 — the theoretical floor the Nyquist limit sets,The Nyquist limit sets a theoretical floor at 2× the voxel size.
Effective Spatial Resolution (PSF/MTF),XCT,3,D,M3,,M3 — names the formal measurement methods and external standards; external-standard citation is real content under W3,Formal measurement uses the PSF method described in Ketcham & Hildebrandt (2014) or the modulation transfer function (MTF); resolution can also be reported per ASTM E1441-11.
Effective Spatial Resolution (PSF/MTF),XCT,4,D,M3,,M3 — conditional instruction for when formal measurement is unavailable,"When formal measurement is unavailable, an estimate based on acquisition geometry (e.g., the Brenner-Weiss formula) or a stated multiple of the voxel size may be recorded."
Effective Spatial Resolution (PSF/MTF),XCT,5,D,M3,,M3 — instruction: report value and method,Report the value in µm along with the method used to determine or estimate it.
Effective Spatial Resolution (PSF/MTF),XCT,6,D,M3,,M3 — instruction and scope boundary against Voxel Size,"Note that most XCT papers use the bare phrase ""spatial resolution"" for the voxel size; record that under Voxel Size, and leave this field as not reported unless an effective resolution was actually determined."
EFTEM Energy Window,TEM,1,D,M1,,"M1 — defining sentence, never moves","Energy window(s) used for EFTEM elemental mapping: center energy, width, and acquisition method (three-window or jump-ratio)."
EFTEM Energy Window,TEM,2,D,M3,,M3 — instruction: sentinel value when out of scope,Record 'N/A' where EFTEM is not listed in Analytical Sub-mode.
Electron Source,"EPMA,FIB,SEM,SEMcomp,SEMimg,TEM",1,D,M1,,"M1 — defining sentence, never moves",Type of electron gun used in the instrument.
EPMA Technique per Analyte,EPMA,1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: analyte),'whether each analyte' states the key axis; the field name already says 'per Analyte',Whether each analyte was measured by WDS or EDS.
EPMA Technique per Analyte,EPMA,2,D,M5,REWRITE-REDUNDANT(Keyed By: analyte),'some elements may be assigned to WDS and others to EDS' is the per-analyte key in words,"In a WDS+EDS procedure, some elements may be assigned to WDS and others to EDS."
Exposure Time per Projection,XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=Basic),'as registered by the procedure' asserts the procedure-level tier,"Duration of X-ray exposure for each individual projection image frame, in seconds, as registered by the procedure."
Exposure Time per Projection,XCT,2,P,M2,,M2 — SNR against total scan time,Set as a deliberate choice for the target sample type and voxel size: longer exposures increase SNR at the cost of total scan time.
Exposure Time per Projection,XCT,3,D,M5,REWRITE-REDUNDANT(D=Editable),'may be adjusted within procedure-allowed bounds' is the D=Editable definition,May be adjusted within procedure-allowed bounds for samples that are unusually dense or unusually transparent.
Exposure Time per Projection,XCT,4,D,M3,,M3 — instruction: report the full range when it varied,"If the exposure time was varied across samples within the same procedure or session, report the full range applied (e.g., 0.5–2 s)."
Fine Polishing Conditions,"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves",Ion beam voltage and current for final thinning and surface polishing of the TEM lamella.
Fine Polishing Conditions,"FIB,SEM",2,P,M2,,M2 — what low-voltage polishing achieves,"Low-voltage polishing (2 kV or below) minimises Ga implantation depth, surface amorphisation, and curtaining artifacts."
Flat Field Correction,XCT,1,D,M1,,"M1 — defining sentence, never moves","Whether dark-field (detector read with X-ray source off; electronic noise baseline) and bright-field (source on, no sample; gain calibration) reference images are acquired and applied to normalize detector response before reconstruction."
Flat Field Correction,XCT,2,P,M2,,M2 — that the correction is standard practice; NOTE the cell ends in a stray ';.' — the sentence is truncated in the source,Standard practice in all quantitative lab XCT;.
Foil Thickness,"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves","Target thickness of the electron-transparent TEM lamella after final FIB polishing, in nanometres."
Foil Thickness,"FIB,SEM",2,D,M3,,M3 — definitional caveat: target against achieved thickness,Actual thickness may differ from target.
Foil Thickness,"FIB,SEM",3,P,M2,,M2 — typical ranges and the work each supports,Typical range: 50-150 nm for standard TEM/STEM; 200-600 nm for XANES or tomography sections.
Frames Averaged per Projection,XCT,1,D,M1+M5,REWRITE-REDUNDANT(C=Advanced),'as registered by the procedure' asserts the procedure-level tier,"Number of individual detector frames acquired and averaged to produce each saved projection image, as registered by the procedure."
Frames Averaged per Projection,XCT,2,P,M2,,M2 — what frame averaging achieves,Frame averaging reduces random electronic noise.
Frames Averaged per Projection,XCT,3,D,M3,,M3 — defines how effective exposure is derived,The effective exposure per projection = exposure time per frame × frames averaged.
HAADF Collection Angles,TEM,1,D,M1,,"M1 — defining sentence, never moves",Inner and outer collection angles of the HAADF detector in milliradians (mrad).
HAADF Collection Angles,TEM,2,P,M2,,M2 — what the inner angle determines and how it trades Z-contrast against Bragg contrast,The inner angle determines the boundary between diffracted and thermally diffuse scattered electrons; larger inner angles yield stronger Z-contrast and reduced Bragg contrast.
HAADF Collection Angles,TEM,3,D,M4,REWRITE-STRADDLE,asserts the inner angle's importance (rationale) and how it may be derived (instruction),Inner angle is most critical and can be derived from camera length and detector geometry.
HAADF Collection Angles,TEM,4,P,M2,,M2 — how camera length choice moves the inner angle,"In HAADF-STEM a shorter camera length increases the inner angle, yielding more thermally diffuse (Z-contrast) and less Bragg-diffraction signal."
Halogen Correction on Oxygen,"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Whether oxygen content was adjusted to account for halogen substitution (F and/or Cl replacing OH) in halogen-bearing phases such as apatite, amphibole, and mica, where oxygen is calculated by stoichiometry."
Image Pixel Size,"SEM,SEMimg",1,D,M1,,"M1 — defining sentence, never moves","Physical size of each image pixel at the sample surface, in nm or µm."
Image Pixel Size,"SEM,SEMimg",2,P,M2,,M2 — what the pixel size defines,Defines spatial sampling of SE or BSE images.
Image Pixel Size,"SEM,SEMimg",3,D,M3,,M3 — instruction for mosaic imaging,"For large-area mosaic imaging, report the pixel size of individual tiles and the number and arrangement of tiles."
Image Processing Methods Applied,TEM,1,D,M1,,"M1 — defining sentence, never moves",Image processing steps applied to TEM or STEM images during or after acquisition.
Image Processing Methods Applied,TEM,2,D,M3,,M3 — conditional obligation on non-linear steps; real content under W3,Non-linear processing steps that could affect quantitative interpretation should be documented explicitly.
Imaging and Diffraction Detectors,TEM,1,D,M1,,"M1 — defining sentence, never moves",List of detectors available and used under this procedure for STEM imaging and TEM/SAED/CBED diffraction recording.
Imaging and Diffraction Detectors,TEM,2,D,M3,,M3 — instruction: what to include,Include HAADF/ABF/BF detector geometries and TEM/diffraction camera model.
Instrument Variant,"FIB,SEM,SEMcomp,SEMimg",1,D,M1,,"M1 — defining sentence, never moves",Broad platform type of the instrument.
Instrument Variant,"FIB,SEM,SEMcomp,SEMimg",2,D,M3,,M3 — defines a controlled-list value; Column F names it but does not define it,'Standard SEM': dedicated electron-only SEM column.
Instrument Variant,"FIB,SEM,SEMcomp,SEMimg",3,D,M3,,M3 — as S2,"'FIB-SEM dual-beam': combined focused ion beam and SEM columns (enables TEM specimen preparation, 3D serial sectioning, ion-beam milling)."
Instrument Variant,"FIB,SEM,SEMcomp,SEMimg",4,D,M3,,M3 — as S2,"'VP-SEM / ESEM': variable-pressure or environmental SEM for imaging uncoated, hydrated, or charging specimens."
Instrument Variant,"FIB,SEM,SEMcomp,SEMimg",5,D,M3,,M3 — instruction: categories may combine,"An instrument may combine categories (e.g., FIB-SEM with VP capability)."
Interference Correction Standard,EPMA,1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: analyte),'for this analyte' states the key axis,Reference material used to quantify and calibrate the interference correction for this analyte.
Interference Correction Standard,"SEM,SEMcomp",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: analyte),'for each affected analyte' states the key axis,Reference material used to quantify and calibrate the interference correction for each affected analyte.
Interference Corrections Applied,"EPMA,SEM,SEMcomp",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: analyte),'for each analyte' states the key axis,Whether a spectral interference correction was applied for each analyte.
Interference Corrections Applied,"EPMA,SEM,SEMcomp",2,D,M3,,M3 — illustrates what counts as a spectral interference for the Boolean,"Common interferences include Ti Kb on V Ka, Cr Kb on Mn Ka, and Ba La on Ti Ka."
Interfering Elements,EPMA,1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: analyte),'for this analyte' states the key axis,"Element(s) whose X-ray lines overlap with the measured peak for this analyte, requiring a correction."
Interfering Elements,"SEM,SEMcomp",1,D,M1+M5,REWRITE-REDUNDANT(Keyed By: analyte),'for one or more analytes' states the key axis,"Element(s) whose X-ray lines overlap with the measured peak for one or more analytes, requiring a correction."
Ion Beam Source,"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves",Ion beam source type in a FIB-SEM dual-beam system.
Ion Beam Source,"FIB,SEM",2,P,M2,,M2 — merit and typical use of each ion source,Gallium LMIS (Ga+) is the most common ion source; xenon plasma FIB (PFIB) provides higher material removal rates for large-volume milling; helium and neon ion microscopes (GFIS) provide nanometre-resolution imaging and low-damage milling.
Ion Milling Conditions (3D Tomography),"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves",Ion beam voltage and current used to mill each slice during FIB-SEM serial sectioning.
Ion Milling Conditions (3D Tomography),"FIB,SEM",2,P,M2,,M2 — what the milling parameters determine,These parameters determine material removal rate per slice and exposed surface quality.
Lift-out Method,"FIB,SEM",1,D,M1,,"M1 — defining sentence, never moves",Method used to transfer the FIB-prepared lamella to the TEM support grid.
Lift-out Method,"FIB,SEM",2,D,M4,REWRITE-STRADDLE,defines in-situ lift-out (definition) and states when it is the standard choice (rationale),In-situ lift-out uses a micromanipulator inside the FIB-SEM chamber and is the standard method for small or precious specimens.
Map Area,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Physical dimensions of the mapped region in micrometers (X x Y).
Map Area,EPMA,2,D,M5,REWRITE-REDUNDANT(C=N/A + D=Basic),'determined at analysis time' restates the procedure/analysis tier split,Determined at analysis time based on the sample feature or region of interest.
Map Area,"SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves","Physical area covered by the map in µm² or mm², calculated as (map width in pixels × step size) × (map height in pixels × step size)."
Map Area,"SEM,SEMcomp",2,D,M4,REWRITE-STRADDLE,relation to the pixel-grid dimensions (definition) plus why the physical scale is useful (rationale),Complements the map's pixel-grid dimensions by recording the physical scale of the mapped region; useful for direct comparison across datasets acquired with different step sizes.
Map Dimensions,EPMA,1,D,M1,,"M1 — defining sentence, never moves",Number of pixels in the X-ray map in the X and Y directions.
Map Dimensions,EPMA,2,D,M5,REWRITE-REDUNDANT(C=N/A + D=Basic),as item 125,Determined at analysis time based on the area of interest and selected step size.
Mass Absorption Coefficients (MACs),"EPMA,SEM,SEMcomp",1,D,M1,,"M1 — defining sentence, never moves",Database of mass absorption coefficients used in the matrix correction.
