Field,N_TAPPs,N_variants,Worst_similarity,Verdict,Basis,Owner,Variants
Detection Limit,12,5,0.02,PRINCIPLED,technique terms differ (isotope dilution) and non-technique content also differs (0.16–0.70),TAPP-owned,"[Solution_MC-ICP-MS_v14] Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set), applicable when isotope dilution concentrations are also reported. For pure isotope ratio procedures (no concentration output), this field is N/A or reports the minimum sample mass required for a measurement at target precision. Specify units µg/g or µg/L and whether values are procedure-typical estimates or session-measured. Record 'N/A' where the procedure produces isotope ratios only and reports no concentrations. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Session detection limit, one per reported concentration variable, expressed in µg g⁻¹, ng g⁻¹, or wt% as appropriate. Report the value(s) and units per measured isotope or element group, these being the reported concentration variables. Mandatory at analysis level to demonstrate the reliability of reported near-detection-limit concentrations. The calculation method is captured separately in Detection Limit Method. ||| [EPMA_v16] Method detection limit at 99% confidence (3-sigma), one per reported concentration variable (one per analyte, these being the same set), derived from counting statistics on peak and background. Include the method and the resulting value for each. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set). Specify units (µg/g or µg/L) and whether values are procedure-typical estimates or session-specific measured values. ||| [SEM_Composition_v13,SEM_v13] Method detection limit at 99% confidence, one per reported concentration variable (one per analyte, these being the same set). Include the method used and the resulting value for each."
ICP-MS Type,9,4,0.12,PRINCIPLED,"technique terms differ (collector, faraday, multi-collector, quadrupole, sector-field) and non-technique content also differs (0.05–0.28)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Type of ICP-MS system. Multi-collector sector-field instruments combine a magnetic sector and electrostatic analyser with a fixed array of Faraday cups (and optionally ion counters) that simultaneously collect multiple isotope beams, enabling high-precision static multi-collection. ||| [Solution_Q-ICP-MS_v16] Type of quadrupole ICP-MS system. Determines available cell configurations and interference mitigation strategies. Triple quadrupole (ICP-MS/MS) instruments add a second mass-selection quadrupole upstream of the octopole reaction cell for enhanced interference rejection. ||| [Solution_SF-ICP-MS_v16] Type of sector-field ICP-MS system. Single-collector sector-field instruments use a magnetic sector combined with an electrostatic analyser to achieve high mass resolution through physical separation of ion beams. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Type of ICP-MS mass analyser and collector configuration."
Interface Cone Configuration,9,4,0.09,PRINCIPLED,"technique terms differ (aperture, icp-ms) and non-technique content also differs (0.09–0.91)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Geometry and designation of the sampler and skimmer cones installed during analysis. For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options; the choice affects ion beam intensity and is a procedure design decision. Jet cones combined with an interface pump upgrade are used on some instruments for enhanced sensitivity. ||| [Solution_Q-ICP-MS_v16] Geometry and designation of the sampler and skimmer cones installed during analysis. Some instruments offer multiple skimmer cone geometries (standard, high-sensitivity) that differ in aperture size and affect ion transmission efficiency and matrix tolerance. ||| [Solution_SF-ICP-MS_v16] Geometry and designation of the sampler and skimmer cones installed during analysis. Some SF-ICP-MS instruments offer multiple cone geometries that differ in aperture size and affect ion transmission efficiency and matrix tolerance. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Combination of sample cone and skimmer cone installed during analysis."
Sampler and Skimmer Cone Material,9,4,0.20,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.21–0.67),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Material composition of the sampler and skimmer cones. Common materials are nickel (standard), platinum (for high-TDS or organic-matrix samples), and aluminium (for high-purity work). Cone material affects sensitivity, matrix tolerance, and long-term stability. State both sampler and skimmer materials; if identical, a single statement is acceptable. ||| [Solution_SF-ICP-MS_v16] Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for most aqueous matrices. Aluminium (Al) cones are used in some SF-ICP-MS labs for enhanced sensitivity at high resolution. Platinum (Pt) is used for HCl-rich matrices. ||| [Solution_MC-ICP-MS_v14] Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for HNO3 matrices. Platinum (Pt) cones are used for HCl-rich matrices (e.g., 6 M HCl in Fe chemistry procedures) due to greater corrosion resistance. ||| [Solution_Q-ICP-MS_v16] Material composition of the sampler and skimmer cones. Nickel (Ni) is standard for most aqueous matrices. Platinum (Pt) is used for samples in HCl-rich or organic matrices due to greater corrosion resistance."
Torch Type,9,2,0.33,PRINCIPLED,"technique terms differ (aerosol, icp-ms, la) and non-technique content also differs (0.07–0.07)",TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Type of plasma torch installed. Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS. ||| [Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow)."
Guard Electrode,9,3,0.22,PRINCIPLED,technique terms differ (plasma) and non-technique content also differs (0.20–0.76),TAPP-owned,"[Solution_SF-ICP-MS_v16] Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency. Actively used as a design feature on Thermo Element 2 and Element XR instruments. ||| [Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16] Whether a guard electrode (grounded shield electrode) is installed and active on the torch assembly. Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis."
Mass Resolution Setting,9,6,0.01,PRINCIPLED,"technique terms differ (icp-ms, quadrupole, sector-field) and non-technique content also differs (0.07–0.74)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Mass resolution mode used in this procedure. MC-ICP-MS instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 3000–8000), or high resolution (HR; m/Δm ≈ 10,000–12,000). Most isotope ratio measurements use low resolution after chemical separation has removed interfering elements. Medium or high resolution is used when polyatomic interferences (e.g., ArN+, ArO+, ArOH+ on Fe isotopes) cannot be fully resolved by chemistry alone. Procedure registers the mode in use; analyst confirms at session start. ||| [Solution_SF-ICP-MS_v16] Mass resolution mode(s) used in this procedure. Sector-field instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 2500–5000), or high resolution (HR; m/Δm ≈ 10,000). Multi-resolution procedures assign individual analytes to specific modes (documented in Group 4 under Mass Resolution per Analyte). Procedure registers the mode(s) in use; analyst confirms at session start. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10] Operating mass resolution of the mass analyser. For quadrupole instruments this is fixed at unit resolution by instrument design. For sector-field instruments the analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression. ||| [Solution_Q-ICP-MS_v16] Mass resolution of the quadrupole analyser. For quadrupole instruments, mass resolution is fixed at unit resolution by instrument design (m/Δm ≈ 300); no operator selection is possible. This field documents the instrument class constraint at procedure level. ||| [LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Operating mass resolution of the mass analyser. The analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression. ||| [LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14] Operating mass resolution of the mass analyser. For quadrupole instruments this is fixed at unit resolution by instrument design."
Auxiliary Gas Flow Rate,9,2,0.42,PRINCIPLED,"technique terms differ (ablation, aerosol, plasma, torch) and non-technique content also differs (0.32–0.32)",TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Flow rate of the intermediate (auxiliary) argon gas stream that positions the plasma relative to the load coil, in L/min. Affects ion extraction efficiency and oxide production rates. Distinct from the carrier gas (which transports ablation aerosol) and the coolant (plasma) gas. ||| [Solution_MC-ICP-MS_v14,Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min)."
Plasma Thermal Mode,9,4,0.24,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.20–1.00),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Whether the ICP plasma is operated under cool plasma (≤900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field. ||| [Solution_SF-ICP-MS_v16] Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution SF-ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements. ||| [Solution_Q-ICP-MS_v16] Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements. ||| [Solution_MC-ICP-MS_v14] Whether the ICP plasma is operated under normal (hot) or cool plasma conditions. Normal plasma (>1000 W RF) is standard for solution MC-ICP-MS. Cool plasma is rarely used in MC-ICP-MS due to stability requirements for high-precision isotope ratio work."
Analysis Sequence,9,3,0.05,PRINCIPLED,"technique terms differ (delta, double-spike) and non-technique content also differs (0.13–0.44)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Description of the measurement order within a session: how sample solutions, bracketing standards, secondary reference materials, and blanks are interleaved. For SSB procedures, each sample is bracketed by two standards (standard–sample–standard); the bracketing standard is the same isotopic material as the zero-delta reference. For double-spike procedures, standards are spiked to the same level as samples before analysis. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Repeating order of primary calibration standard(s), quality control standard(s), and unknown analyses within a measurement session. Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved."
Internal Standard Element,9,3,0.07,PRINCIPLED,"technique terms differ (double-spike, mass bias) and non-technique content also differs (0.17–0.32)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Element added at a known concentration to all sample and standard solutions to serve as an internal normalization standard for mass bias correction (SSB + internal normalization procedures). The element must have a known isotopic composition and mass similar to the analyte. Examples: Ni or Cu doping for Fe isotopes (must verify complete matrix separation); Tl for Pb isotopes; Cd for Sb isotopes. Specify element and monitored isotope. Record 'None' if SSB without internal standard or double-spike method is used. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Element(s) used as the internal standard, and how the IS concentration value was determined for unknown samples. For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Element(s) added at a known concentration to all solutions (samples, blanks, calibration standards) and used as internal standards for drift correction and matrix normalization. Specify element and monitored isotope."
Per-Analyte Calibration Strategy,9,3,0.07,PRINCIPLED,"technique terms differ (double-spike, isotope dilution) and non-technique content also differs (0.06–0.29)",TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Documents cases where different analytes or analyte groups within the same session are calibrated using different strategies — for example, one element used as the internal standard while trace elements are calibrated by an external reference material, or different primary standards applied to different mass ranges or mineral phases. If a single calibration strategy applies uniformly to all analytes, state that here and refer to Internal Standard Approach and Normalization / Standards-Based Correction for details. Free text; list the strategy for each analyte or analyte group as needed. ||| [Solution_MC-ICP-MS_v14] Approach used to convert measured ion signals to elemental concentrations, where concentration data are also a product of the procedure (e.g., isotope dilution combined with isotope ratio measurement). For procedures producing isotope ratios only (no concentration output), record 'Not applicable (isotope ratios only)'. For double-spike procedures that simultaneously yield concentrations, record the ID calculation approach. Where different elements use different strategies, record each. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Approach used to convert measured ion signals to elemental concentrations. Documents cases where different analytes or analyte groups are calibrated using different strategies within the same procedure. If a single strategy is applied uniformly to all analytes, record that strategy."
Signal Integration Interval Method,9,3,0.02,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.04–0.15),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Approach used to select the stable signal interval for integration during data reduction, and to exclude anomalous signals from inclusions or cracks. For spot/transect analysis: involves identifying and excluding transient start/end instabilities within the time-resolved signal. For mapping analysis: corresponds to defining Volumes of Interest (VOIs) or applying phase masks across the 2D map (e.g., manual selection, automated clustering, threshold-based masking). ||| [Solution_MC-ICP-MS_v14] Method used to define which portion of the acquisition signal is integrated for each measurement. In MC-ICP-MS, all cycles within a block are typically used unless signal instability is detected. Specify the rule for including or excluding individual cycles. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Method used to define the integration window for each replicate measurement (e.g., full acquisition time, stable-interval selection, automated criteria)."
Signal Integration Time,9,3,0.21,PRINCIPLED,"technique terms differ (ablation, spectrometer) and non-technique content also differs (0.09–0.27)",TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Actual integration time used for the ablation signal in this analysis, in seconds. This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal. It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded. Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome. ||| [Solution_MC-ICP-MS_v14] Total integration time per sample solution (s). Calculated from blocks × cycles per block × integration time per cycle. Recorded at analysis level as the actual total time used. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Total integration time per analyte per replicate (s). Determined at analysis time from the actual acquisition."
Spike / Outlier Filtering Approach,9,3,0.02,PRINCIPLED,technique terms differ (mass bias) and non-technique content also differs (0.05–0.40),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Method used to identify and remove anomalous signal spikes arising from micronuggets, inclusions, cracks, or instrument artifacts during time-resolved signal processing. Editable because the specific implementation may vary between sessions while remaining within the procedure framework. ||| [Solution_MC-ICP-MS_v14] Criteria used to identify and exclude anomalous cycles or replicate measurements from the calculated isotope ratio mean. Filtering is applied after baseline subtraction and before mass bias correction. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Criteria used to identify and exclude anomalous replicate measurements or data points from the calculated mean."
Blank / Background Correction Method,9,3,0.10,PRINCIPLED,"technique terms differ (ablation, icp-ms, laser) and non-technique content also differs (0.12–0.20)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Method used to subtract instrument background from analytical signals. In MC-ICP-MS, on-peak zero subtraction (aspirating the same acid matrix as samples while measuring background at the analyte masses with beam deflector or from baseline cycles at the start of each block) is standard. For isotope ratio procedures where procedural blank is minor relative to the sample signal, on-peak zero is often sufficient. For low-level analyses, procedural blank must be measured and subtracted. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Method used to subtract instrument background and/or procedural blank from sample signals."
Isobaric Interference Corrections Applied,9,4,0.10,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.15–0.53),TAPP-owned,"[Solution_MC-ICP-MS_v14] Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction, supplementary to any interference suppression achieved by chemical separation or mass resolution. In solution MC-ICP-MS, chemical separation is the primary interference mitigation; mathematical corrections address residual contributions. Common examples: 204Hg on 204Pb; abundance sensitivity tailing of 238U onto 236U and 235U. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method. ||| [Solution_SF-ICP-MS_v16] Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction (supplementary to any interference suppression achieved through mass resolution selection). ||| [Solution_Q-ICP-MS_v16] Whether mathematical corrections for isobaric or polyatomic interferences are applied during data reduction (in addition to any KED or DRC mitigation in the instrument)."
Interfering Species,9,4,0.02,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.03–0.33),TAPP-owned,"[Solution_MC-ICP-MS_v14] List of isobaric or polyatomic species mathematically corrected in data reduction. Includes direct isobars (e.g., 54Cr+ on 54Fe+, 58Ni+ on 58Fe+), abundance sensitivity tailing (e.g., 238U tail on 235U and 236U in U isotope measurements), and hydride interferences (e.g., 238UH+ at mass 239). ||| [Solution_Q-ICP-MS_v16] List of isobaric or polyatomic species mathematically corrected in data reduction. For Q-ICP-MS, common interferences include ArCl+ on 75As, MoO+ species on Cd isotopes, and BaO+ on Eu. Additional interference mitigation via KED or DRC is documented in Group 3 and Group 4. ||| [Solution_SF-ICP-MS_v16] List of isobaric or polyatomic species mathematically corrected in data reduction. In SF-ICP-MS, mass resolution is the primary interference mitigation strategy; mathematical corrections address residual interferences not resolved at the operating resolution. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Elemental or molecular species (oxides, argides, doubly charged ions) overlapping with the measured isotope."
Interference Correction Method,9,4,0.04,PRINCIPLED,technique terms differ (icp-ms) and non-technique content also differs (0.00–0.54),TAPP-owned,"[Solution_MC-ICP-MS_v14] Mathematical approach used to calculate and remove residual interference contributions. For direct isobars, interference monitor masses (e.g., 202Hg to correct 204Hg on 204Pb) are measured simultaneously and used with natural abundance ratios to calculate the interference contribution. For abundance sensitivity, the tailing factor is measured using a pure standard. ||| [Solution_SF-ICP-MS_v16] Mathematical approach used to calculate and remove residual interference contributions from measured signals. In SF-ICP-MS, interference solutions isolating specific polyatomic species are measured alongside samples and used to calibrate correction factors. ||| [Solution_Q-ICP-MS_v16] Mathematical approach used to calculate and remove interference contributions from measured signals (e.g., interference standard solutions isolating specific polyatomics, mass-balance equations using empirical correction factors). ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Equation or procedure used to correct for isobaric interferences, including the production rate factor and the reference material used to measure it."
Isotope Dilution Data Reduction Method,9,4,0.31,PRINCIPLED,"technique terms differ (digestion, double-spike) and non-technique content also differs (0.21–0.82)",TAPP-owned,"[Solution_MC-ICP-MS_v14] Mass balance approach used to calculate sample isotope ratios and/or elemental concentrations from spike-sample mixture measurements. For double-spike procedures, isotope ratios and concentrations are co-determined through the spike inversion. For conventional ID concentration procedures (separate concentration spike), IUPAC ID equations are used. Record 'None' if neither isotope dilution nor double-spike methods are used. ||| [Solution_SF-ICP-MS_v16] Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements. Spike must have been added before digestion for accurate equilibration. Record 'None' if isotope dilution is not used. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Mass balance approach used to calculate sample mass fractions from spike-sample isotope ratio measurements in isotope dilution (ID) analysis. Record 'None' if isotope dilution is not used. ||| [Solution_Q-ICP-MS_v16] Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements. Record 'None' if isotope dilution is not used."
Memory Effect Mitigation,9,3,0.07,PRINCIPLED,"technique terms differ (aerosol, icp-ms) and non-technique content also differs (0.06–0.44)",TAPP-owned,"[Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Procedure applied to identify and minimize carry-over of high-concentration elements between successive sample introductions. For solution ICP-MS, mitigation is implemented primarily at measurement time through extended rinse periods (see Wash Time Between Samples, Group 4). At data processing level, documents any flagging or exclusion of measurements preceded by high-concentration samples or standards where the required washout time may not have been achieved. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Procedure applied to identify and minimise memory effects from high-concentration elements in the previous sample or standard that may contaminate subsequent analyses, or from incomplete aerosol washout between adjacent pixels in raster mapping mode. For mapping, the mitigation strategy involves controlling scan speed relative to washout time to ensure each pixel signal is sufficiently free of the preceding pixel's contribution. ||| [Solution_MC-ICP-MS_v14] Procedure applied to minimize carryover of analyte isotopes between successive sample introductions. In MC-ICP-MS, extended rinse periods with the same acid matrix as samples (see Wash Time Between Samples) are the primary mitigation. At data processing level, documents any flagging or exclusion of measurements preceded by samples with significantly different isotopic compositions where carryover may be suspected."
Calibration Standard Measurement Frequency,9,3,0.10,PRINCIPLED,"technique terms differ (icp-ms, la) and non-technique content also differs (0.35–0.53)",TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] How often the primary calibration standard is measured relative to unknown samples within a session. For LA-ICP-MS, this defines the bracketing interval between calibration standard ablations used to monitor and correct for instrumental drift. ||| [Solution_MC-ICP-MS_v14] How often the primary isotopic standard is measured relative to unknown samples within a session. For SSB, typically one standard measurement before and one after each sample (standard–sample–standard triplet). Specify the bracketing scheme. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] How often the primary calibration standard is measured relative to unknown samples within a session."
Detector Configuration,8,3,0.23,PRINCIPLED,"technique terms differ (collector, cup, faraday, icp-ms, multi-collector) and non-technique content also differs (0.21–0.52)",TAPP-owned,"[Solution_SF-ICP-MS_v16] Type(s) of detector(s) installed in the mass spectrometer and the detection mode(s) used. SF-ICP-MS instruments typically use a single SEM. Some instruments (e.g., Thermo Element XR) support triple mode: pulse counting for low signals, analog for mid-range signals, and Faraday cup for high signals. The cross-calibration correction between detector modes is documented in Group 5. ||| [Solution_Q-ICP-MS_v16] Type(s) of detector(s) installed in the mass spectrometer and whether dual pulse-counting/analog mode is used. Most Q-ICP-MS instruments use a single SEM in dual mode (pulse counting at low signals, analog at high signals), with an instrument-specific crossover threshold. The pulse-to-analog cross-calibration correction is documented in Group 5. ||| [LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout."
Doubly-Charged Species Monitor,8,3,0.44,PRINCIPLED,"technique terms differ (icp-ms, plasma) and non-technique content also differs (0.37–0.67)",TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] The mass ratio monitored to estimate doubly-charged ion (M²⁺) formation during instrument tuning. Doubly-charged ions appear at half the mass of the parent ion and can cause isobaric interferences on analytes in that mass region. The monitor species and the mass positions monitored should be stated explicitly. Analogous to Oxide Production Method and Threshold for oxide monitoring. ||| [Solution_SF-ICP-MS_v16] Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning. Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses. In SF-ICP-MS, doubly-charged species are not suppressed by collision cells and require monitoring through plasma tuning. Ba2+/Ba+ (m/z 69/138) is the most common proxy. ||| [Solution_Q-ICP-MS_v16] Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning. Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses. Ba2+/Ba+ (m/z 69/138) and Ce2+/Ce+ (m/z 70/140) are the most common proxies for solution ICP-MS."
Internal Standard Approach,8,2,0.38,PRINCIPLED,technique terms differ (ablation) and non-technique content also differs (0.07–0.07),TAPP-owned,"[LA-MC-ICPMS_UPb_v10,LA-MC-ICPMS_v10,LA-Q-ICP-MS_UPb_v15,LA-Q-ICP-MS_v14,LA-SF-ICP-MS_UPb_v15,LA-SF-ICP-MS_v14] Method used to determine the internal standard (IS) concentration for each unknown sample, used to correct for variable ablation yield between analyses. The approach is a fundamental procedure design choice that cannot be changed by analysts. ||| [Solution_Q-ICP-MS_v16,Solution_SF-ICP-MS_v16] Role(s) assigned to the internal standard(s) in data reduction: drift correction only, matrix normalization, or a combination."
