TAPP,Row,Field,Declared_I,Verdict,Disposition,N_evidence,N_scalar,Observed,Tally,Sample
Solution_MC-ICP-MS_TAPP_v71.csv,107,delta or epsilon Value Reference Standard,target species,OVER-DECLARED,"KEEP target species — attested per target species in van Kooten 2026 (IRMM-014 for Fe, SRM979 for Cr, DTS-2b for Mg). Single-target species procedures are that axis with one member.",6,4,scalar,scalar=4; standard=1; unclear=1,"Alfa Aesar solution standard || V-CDT scale via IAEA-S-1, S-2, S-4 and NBS-123 || IRMM-524a, ""that has an identical isotopic composition to IRMM-014"""
EPMA_TAPP_v64.csv,47,Beam Damage Minimization,sample > sampling unit,OVER-DECLARED (one axis unsupported),"PRE-EXISTING, not introduced 2026-08-17 — EPMA only, and this session did not touch EPMA's literature columns. Key became sample > sampling unit in the Rule 13 retrofit. Left as is; revisit with the electron-beam TAPPs, not with ICP-MS work.",5,1,sampling unit,sampling unit=2; unclear=2; scalar=1,"N || N || Defocused beam 5-10 µm for maskelynite, phosphate, sulfide, and glass"
LA-Q-ICP-MS_TAPP_v74.csv,118,Blank / Background Correction Method,(none),UNDER-DECLARED,"KEEP (none) — 'measured before each ablation' is a schedule, not a cardinality. The field holds one method.",5,2,sampling unit,sampling unit=3; scalar=2,Gas blank measured before each spot; background period during single spot transient (rapid intensity rise and  || Gas blank measured for 25 s before each ablation; background subtracted per isotope || N (background subtraction performed but method not explicitly described; implied from standard Agilent/iolite 
Solution_Q-ICP-MS_TAPP_v77.csv,108,Calibration Factor and Determination Method,reported property,AXIS-MISMATCH,"KEEP reported property — module-owned (CalibrationFactor, 14 consumers) and settled in Rule 7.11: the factor converts the measured quantity into the REPORTED quantity, and a module key must be valid in every consumer including Lab-XCT, which has no target species anchor. The detector sees isotopes named in interference-correction prose.",5,0,channel,unclear=3; channel=2,"Partially -- ""Drift corrections are carried out using Rh as an internal standard and by repeatedly analyzing a || Correction factor CF for the 40Ar26Mg interference on 66Zn: ""In this case, CF is 0.0022""; ""Generally, CF value || Relative concentration factors f_G and S_Gi (""the ratio of the concentration in the solution to the signal int"
Solution_Q-ICP-MS_TAPP_v77.csv,76,Collision Gas Type,channel,OVER-DECLARED,"KEEP channel — re-keyed 2026-08-17 on Gil-Diaz et al. 2020, which runs KED (He) for 126Te and O2 mass-shift for 125Te in one study. One per-channel instance among scalars is the G3 case again; the finer key is the superset.",5,4,scalar,scalar=4; unclear=1,N/A || N/A || N/A
Solution_MC-ICP-MS_TAPP_v71.csv,125,Constants and Reference Values Used,(none),UNDER-DECLARED,KEEP (none) — Rule 5 field holding a LIST of constants. The detector reads the isotope symbols inside cited ratios (98Mo/96Mo = 1.453173) and infers channel. This is exactly the 7.3.1 trap: do not infer domain membership from symbols appearing in a value.,5,0,channel,unclear=3; channel=2,"98Mo/96Mo = 1.453173 for internal normalization; 134Ba/136Ba = 0.3078 (Carlson et al. 2007) for the TIMS half || N || 57Fe/56Fe = 0.023095 and 57Fe/54Fe = 0.362549, ""the certified ratios of IRMM-014"" (Craddock and Dauphas, 2010)"
Solution_SF-ICP-MS_TAPP_v73.csv,63,ICP Tuning,(none),UNDER-DECLARED,"KEEP (none) — tuning is a session-level procedure. The isotopes named (11B, 115In, 175Lu, CeO+/Ce+) are the species tuned ON, not values the field repeats over.",5,0,channel,unclear=3; channel=2,"""The instrument was tuned to provide ~1000 kcps/ppb Pbtotal while maintaining flat-topped peaks"" || ""The instrument was tuned using a 5 ng mL-1 solution containing Be, Rh and U in order to maximize the sensitiv || Partially -- an oxide acceptance criterion is registered in the operating conditions, ""Oxide forming rate <1% "
LA-Q-ICP-MS_TAPP_v74.csv,108,Internal Standard Element,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",5,4,scalar,scalar=4; target species=1,"⁶¹Ni; concentration from EPMA measured at exact analysis spot location || Si (SiO₂ from XRF) for Co, Ni, Cu, Zn; Al (Al₂O₃ from XRF) for all other 28 trace elements || Si from EMP (SiO₂ wt% for silicate glass)"
LA-Q-ICP-MS_UPb_TAPP_v74.csv,109,Internal Standard Element,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",5,4,scalar,scalar=4; target species=1,"⁶¹Ni; concentration from EPMA measured at exact analysis spot location || Si (SiO₂ from XRF) for Co, Ni, Cu, Zn; Al (Al₂O₃ from XRF) for all other 28 trace elements || Si from EMP (SiO₂ wt% for silicate glass)"
LA-Q-ICP-MS_TAPP_v74.csv,58,Laser Spot Path / Ablation Mode,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",5,5,scalar,scalar=5,"Spot (stationary) || Spot (stationary; single spot at 1 Hz) || N (ablation mode not explicitly stated; ""beam diameter"" terminology used but ""spot"" or ""spot mode"" not written"
EPMA_TAPP_v64.csv,58,Peak Counting Time,channel,OVER-DECLARED,KEEP target species — 3 of 4 extractions are 'not stated'; insufficient evidence either way.,5,3,scalar,scalar=3; sampling unit=1; target species=1,N || N || N
Solution_SF-ICP-MS_TAPP_v73.csv,115,Within-Session Analytical Precision and Assessment Method,standard x reported property,OVER-DECLARED,KEEP standard x reported property — every Solution extraction references reference materials; the RM detector needs 2 NAMED RMs in one cell and scores 'USGS/GSJ RMs' as scalar. Detector precision failure.,5,4,scalar,scalar=4; unclear=1,2 sigma uncertainty of 30-set Pb isotope ratios per sample (stated section 2.3) || %RSD of replicate analyses (stated Table 5) || N
LA-Q-ICP-MS_UPb_TAPP_v74.csv,119,Blank / Background Correction Method,(none),UNDER-DECLARED,"KEEP (none) — 'measured before each ablation' is a schedule, not a cardinality. The field holds one method.",4,1,sampling unit,sampling unit=3; scalar=1,Gas blank measured before each spot; background period during single spot transient (rapid intensity rise and  || Gas blank measured for 25 s before each ablation; background subtracted per isotope || N (background subtraction performed but method not explicitly described; implied from standard Agilent/iolite 
LA-Q-ICP-MS_UPb_TAPP_v74.csv,59,Laser Spot Path / Ablation Mode,acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",4,4,scalar,scalar=4,"Spot (stationary) || Spot (stationary; single spot at 1 Hz) || N (ablation mode not explicitly stated; ""beam diameter"" terminology used but ""spot"" or ""spot mode"" not written"
Solution_SF-ICP-MS_TAPP_v73.csv,69,Mass Resolution Assignment,acquisition pass,AXIS-MISMATCH,KEEP acquisition pass — the detector reads reference-material names inside a correction described PER PASS ('Run 1: oxide sum normalization ... external calibration using glass GRMs; Run 2: Cr from run 1 as IS') and reports the standard axis. Same shape as the Analytical Accuracy withdrawal: a field that names standards always looks standard-shaped. The pass axis is what varies; the standards are context. See the single-pass unfalsifiability rule above.,4,0,channel,channel=3; target species=1,"N (Nu Attom uses deflector peak jump; resolution mode not stated in LR/MR/HR terms) || N || MR (M/Delta-m = 3000) for all analytes: 47Ti, 49Ti, 93Nb (stated section 2.1.2)"
Solution_SF-ICP-MS_TAPP_v73.csv,68,Monitored Masses,defines: channel per target species,AXIS-MISMATCH,KEEP defines: channel per target species — as above. Renamed from Monitored Isotopes 2026-08-17; the key and its registered LA-MC divergence are unchanged.,4,0,channel,channel=4,"202Hg, 203Tl, 204Pb, 205Tl, 206Pb, 207Pb, 208Pb (stated section 2.3) || N || 47Ti, 49Ti, 93Nb (stated section 2.1.2)"
LA-SF-ICP-MS_TAPP_v71.csv,126,Primary Calibration Standard Name,target species,AXIS-MISMATCH,"CONSISTENT — a field that NAMES standards always looks standard-shaped to the detector. Key set to target species in LA-SF 2026-08-12 because Navarro et al. 2024 assigns standards to target species groups; 6 of 7 use one joint set, which is that axis with one member.",4,0,standard,standard=3; sampling unit=1,"North Chile Filomena (IIAB iron meteorite; Wasson et al. 1989) for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba (IVB; Walke || Multiple glass GRMs used together for linear regression external calibration: NIST SRM 612, NIST SRM 614, USGS || Same glass GRM set as mapping for Run 1; expanded set additionally includes MPI-DING KL2-G, ML3B-G, StHs6/80-G"
LA-SF-ICP-MS_UPb_TAPP_v72.csv,136,Primary Calibration Standard Name,target species,AXIS-MISMATCH,"CONSISTENT — a field that NAMES standards always looks standard-shaped to the detector. Key set to target species in LA-SF 2026-08-12 because Navarro et al. 2024 assigns standards to target species groups; 6 of 7 use one joint set, which is that axis with one member.",4,0,standard,standard=3; sampling unit=1,"North Chile Filomena (IIAB iron meteorite; Wasson et al. 1989) for Fe/Co/Ni/Cu/Ga/Ge/As/W/Au; Hoba (IVB; Walke || Multiple glass GRMs used together for linear regression external calibration: NIST SRM 612, NIST SRM 614, USGS || Same glass GRM set as mapping for Run 1; expanded set additionally includes MPI-DING KL2-G, ML3B-G, StHs6/80-G"
Solution_SF-ICP-MS_TAPP_v73.csv,34,Sample Aliquot Mass or Volume,sample,OVER-DECLARED,"KEEP sample — attested per sample in Lopez Garcia 2026, which lists eight individual particle masses (4.325, 1.868, 2.311 mg ...). Scalar elsewhere.",4,3,scalar,scalar=3; unclear=1,N || ~100 mg mineral powder (stated section 2.3) || N
LA-SF-ICP-MS_TAPP_v71.csv,111,Spike / Outlier Filtering Approach,(none),UNDER-DECLARED,"KEEP (none) — element names are rejection criteria, not per-target-species values.",4,1,sampling unit + target species,sampling unit=2; target species=2; scalar=1,"N (raster scans; ""failed to yield useful Ge abundances"" for Klamath Falls noted — implying visual quality cont || Manual identification and exclusion of P-rich veinlet pixels from olivine averages; anomalous spikes from incl || Manual inspection; analyses with elevated P, Ca, Co, Ni (phosphate or metal inclusions) excluded; Cr heterogen"
LA-SF-ICP-MS_UPb_TAPP_v72.csv,112,Spike / Outlier Filtering Approach,(none),UNDER-DECLARED,"KEEP (none) — element names are rejection criteria, not per-target-species values.",4,1,sampling unit + target species,sampling unit=2; target species=2; scalar=1,"N (raster scans; ""failed to yield useful Ge abundances"" for Klamath Falls noted — implying visual quality cont || Manual identification and exclusion of P-rich veinlet pixels from olivine averages; anomalous spikes from incl || Manual inspection; analyses with elevated P, Ca, Co, Ni (phosphate or metal inclusions) excluded; Cr heterogen"
LA-SF-ICP-MS_TAPP_v71.csv,65,"Transect Rate, Mapping Rate or Step Size",acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",4,3,scalar,scalar=3; unclear=1,10 µm s⁻¹ (raster scan); N/A (spot Ge) || 9 µm s⁻¹ (continuous raster) || 10 µm s⁻¹ (line scan run 1); spot mode (run 2)
LA-SF-ICP-MS_UPb_TAPP_v72.csv,66,"Transect Rate, Mapping Rate or Step Size",acquisition pass,OVER-DECLARED,"KEEP acquisition pass — minted 2026-09-08. THE SINGLE-PASS UNFALSIFIABILITY RULE, the single-target-species rule one axis over: a SINGLE-PASS procedure cannot falsify a per-pass key. The field has one value because there is one pass, and the detector scores that as scalar. Only MULTI-pass procedures test the axis, and every one of them attests it — Chernonozhkin et al. 2021 (spot 30 vs 130 um, 20 vs 40 Hz, transect vs spot, MR vs LR, oxide-sum vs Cr-IS), Hopp et al. 2021 (wet-plasma MR vs dry-plasma HR with different introduction hardware), Hu et al. 2022 (main configuration vs subconfiguration), Willbold 2005 (dilution ~21000 for LR vs ~1000 for HR), Misra et al. 2014 (LR vs MR). Weight only the multi-pass procedures. Every field carrying this key was verified against its raw cell before the re-key; the eight stated per pass with IDENTICAL values (Laser Fluence, RF Power, Make-up Gas, Coolant Gas, Background Count Time, Analysis Sequence, Signal Integration Time, Number of Replicates) were deliberately left `(none)` under 7.3.2.",4,3,scalar,scalar=3; unclear=1,10 µm s⁻¹ (raster scan); N/A (spot Ge) || 9 µm s⁻¹ (continuous raster) || 10 µm s⁻¹ (line scan run 1); spot mode (run 2)
Solution_MC-ICP-MS_TAPP_v71.csv,108,Calibration Strategy per Target Species,target species,AXIS-MISMATCH,"KEEP target species — the extraction lists one standard PER ANALYTE (IRMM-014 for Fe, SRM979 for Cr, DTS-2b for Mg), so the detector sees standards. The field is per-target-species by definition; the standards are its values.",3,1,standard,standard=2; scalar=1,N || N || N
SEM_Composition_TAPP_v61.csv,56,EDS Live Time per Point or Pixel,(none),UNDER-DECLARED,"KEEP (none) — 'per point' is the unit of the live time, and the flagged procedures are N/A for EDS.",3,0,sampling unit,sampling unit=3,N || N || N
SEM_TAPP_v62.csv,65,EDS Live Time per Point or Pixel,(none),UNDER-DECLARED,"KEEP (none) — 'per point' is the unit of the live time, and the flagged procedures are N/A for EDS.",3,0,sampling unit,sampling unit=3,N/A || N/A || N/A
LA-Q-ICP-MS_TAPP_v74.csv,122,Interference Correction Method,channel,AXIS-MISMATCH,"KEEP channel — corrections are applied per monitored mass. The detector reads element names in the correction equations (Lu, Yb, Hf) and infers target species. 3 ev, weakest in the set.",3,0,target species,target species=2; channel=1; sampling unit=1,"Exclusion-based approach: analyses with elevated Mg, Si, P, S (from silicate, phosphate, or sulfide inclusions || Flux blank subtraction: blank contribution to each pollution element (V, Co, Zn, Ba, La, Ce, Ta, U) measured i || N"
Solution_SF-ICP-MS_TAPP_v73.csv,94,Spectral Interference Corrections Applied,(none),UNDER-DECLARED,"KEEP (none) — a procedure-level Boolean whose own description says so and explicitly delegates the per-mass detail: 'Detail for each affected mass is carried by Interfering Species and Interference Correction Method', both of which ARE keyed channel. The extractions are 'Y (...masses...)' / 'N'; the masses are parenthetical context for the Boolean, not per-channel values. Identical to the Isobaric Interference Corrections Applied disposition — the two sibling fields must be read the same way.",3,1,channel,channel=2; scalar=1,Y (204Hg on 204Pb corrected using 202Hg monitor; stated section 2.3) || N || N
