Module,Field,Sentence_no,STEP1_route,Rule,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
SolutionIntroduction,Chromatographic Separation Applied,5,D,M3,,,Record 'None' if the direct digestion solution is analyzed.
SolutionIntroduction,Isotope Dilution Spike,1,D,M1,,,Isotopic spike material added to the sample before or during digestion for isotope dilution (ID) analysis or double-spike mass bias correction.
SolutionIntroduction,Isotope Dilution Spike,2,D,M4,REWRITE-STRADDLE,"requirement to spike before digestion, plus the reason","For double-spike procedures, the spike must be added and equilibrated before digestion to correct for any isotopic fractionation during dissolution and column chemistry."
SolutionIntroduction,Isotope Dilution Spike,3,D,M3,,,"For concentration ID, the spike must be added before digestion for complete equilibration."
SolutionIntroduction,Isotope Dilution Spike,4,D,M3,,,"Record spike name or certificate reference, spike isotopes, and whether added pre- or post-digestion."
SolutionIntroduction,Isotope Dilution Spike,5,D,M3,,,Record 'None' if ID or double-spike technique is not used.
SolutionIntroduction,Final Solution Matrix,1,D,M1,,,Acid type and concentration of the final dissolved sample solution introduced to the instrument.
SolutionIntroduction,Final Solution Matrix,2,P,M2,,what the matrix affects,Directly affects instrument response and ion transmission.
SolutionIntroduction,Final Solution Matrix,3,D,M4,REWRITE-STRADDLE,matching requirement plus the reason for it,"For isotope-ratio procedures, acid molarity must be precisely matched between samples and bracketing standards to avoid matrix-induced mass bias offsets."
SolutionIntroduction,Final Solution Matrix,4,D,M3,,,Procedures targeting HFSE may add trace HF to the final solution to keep those elements in solution.
SolutionIntroduction,Nebulizer Type,1,D,M1,,,Type and material of the pneumatic nebulizer used for sample introduction.
SolutionIntroduction,Nebulizer Type,2,P,M2,,what nebulizer choice affects,Affects droplet size distribution and sample introduction efficiency.
SolutionIntroduction,Spray Chamber Type and Cooling Temperature,1,D,M1,,,Type of spray chamber and cooling temperature if thermostatted (°C).
SolutionIntroduction,Spray Chamber Type and Cooling Temperature,2,P,M2,,what chamber and temperature control,Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma.
SolutionIntroduction,Spray Chamber Type and Cooling Temperature,3,P,M2,,why a chamber is sometimes placed downstream,In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.
SolutionIntroduction,Desolvation System,1,D,M1,,,Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load.
SolutionIntroduction,Desolvation System,2,P,M2,,what desolvation achieves and when it is used,"Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes."
SolutionIntroduction,Desolvation System,3,P,M2,,the mass-bias trade-off,Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction.
SolutionIntroduction,Desolvation System,4,D,M3,,,Record 'None' if not used.
SolutionIntroduction,Sample Uptake Rate,1,D,M1,,,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).
SolutionIntroduction,Nebulizer Gas Flow Rate,1,D,M1,,,Flow rate of the carrier argon gas delivered through the nebulizer (L/min).
SolutionIntroduction,Nebulizer Gas Flow Rate,2,P,M2,,what the flow controls,Controls aerosol transport and strongly influences signal sensitivity and stability.
SolutionIntroduction,Nebulizer Gas Flow Rate,3,D,"M3,M5",REWRITE-REDUNDANT(D=Editable),'adjusted daily' restates D=Editable,Adjusted daily to optimize signal.
SolutionIntroduction,Wash Time Between Samples,1,D,M1,,,Duration of instrument rinse between successive sample solutions (seconds).
SolutionIntroduction,Wash Time Between Samples,2,P,M2,,what wash time controls,Controls carryover and memory effects.
SolutionIntroduction,Wash Time Between Samples,3,P,M2,,why washout is critical for isotope-ratio work,"For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions."
SolutionIntroduction,Internal Standard Concentration,1,D,M1,,,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb).
SolutionIntroduction,Internal Standard Concentration,2,D,M3,,,Record 'N/A' where Internal Standard Element is 'None'.
ArAr,Neutron Irradiation Conditions,1,D,M1,,,"Reactor and irradiation position used to convert 39K to 39Ar, the irradiation duration, and whether cadmium shielding or sample rotation was used."
ArAr,Neutron Irradiation Conditions,2,P,M2,,external standard provenance (W3),Required by Schaen et al. (2021).
ArAr,Neutron Irradiation Conditions,3,P,M2,,why shielding and rotation matter — they propagate into J and every age,"Shielding and rotation determine the neutron energy spectrum and fluence gradient across the package, both of which propagate directly into J and hence into every age."
ArAr,Neutron Irradiation Conditions,4,P,M2,MISPLACED-DEVNOTE,a library roadmap note about a future module; not content for a researcher filling the field,"Note: fission-track dating by the external detector method has an equivalent requirement (Kohn et al. 2024, 'Irradiation reactor'), so this is a candidate for generalisation once a second irradiation-based system module exists."
ArAr,Neutron-Induced Interfering Isotope Production Ratios,1,D,M1,,,"Correction factors for argon isotopes produced during irradiation from potassium, calcium and chlorine rather than from the decay of 40K, with the reference for each."
ArAr,Neutron-Induced Interfering Isotope Production Ratios,2,P,M2,,external standard provenance (W3),Required by Schaen et al. (2021).
ArAr,Neutron-Induced Interfering Isotope Production Ratios,3,D,M3,,,"Distinct from spectral or isobaric interference in the mass spectrometer: these are nuclear production reactions occurring in the reactor, and the correction factors are properties of the irradiation facility, not of the instrument."
ArAr,Neutron-Induced Interfering Isotope Production Ratios,4,P,M2,MISPLACED-DEVNOTE,roadmap note — 'candidate for a future general interference module',Candidate for a future general interference module.
ArAr,Gas Extraction and Release Schedule,1,D,M1,,,"How argon was released from the sample: for incremental heating, the temperature or laser power of each step and its duration; for total fusion, the fusion conditions."
ArAr,Gas Extraction and Release Schedule,2,P,M2,,external standard provenance (W3),Required by Schaen et al. (2021).
ArAr,Gas Extraction and Release Schedule,3,P,M2,,why the schedule governs how an age spectrum is read,The schedule determines which diffusion domains contribute to each step and therefore how an age spectrum should be read.
ArAr,Gas Extraction and Release Schedule,4,P,M2,MISPLACED-DEVNOTE,roadmap note about a future stepped-heating module,"Note: (U-Th)/He and continuous ramped heating have equivalent requirements (Flowers et al. 2024), so this is a candidate for generalisation once a stepped-heating system module exists."
ArAr,F Value (40Ar*/39ArK),1,D,M1,,,"The corrected ratio of radiogenic 40Ar to potassium-derived 39Ar, with its uncertainty — the measured quantity from which the date is calculated once multiplied by J."
ArAr,F Value (40Ar*/39ArK),2,P,M2,,provenance plus why reporting F enables recomputation,"Required by Schaen et al. (2021), who note that reporting it lets a reader recompute dates against any future revision of the monitor age or decay constants without returning to the raw isotope data."
UPb,Chemical Abrasion Conditions,1,D,M1,,,"Annealing and partial-dissolution conditions applied to mitigate Pb loss before analysis, following Mattinson (2005): annealing temperature and duration, and the acid, temperature and duration of the partial-dissolution step."
UPb,Chemical Abrasion Conditions,2,P,M2,,external standard provenance (W3),"Condon et al. (2024) require these where chemical abrasion was applied, and state that it generally should be for zircon."
UPb,Chemical Abrasion Conditions,3,D,M4,REWRITE-STRADDLE,instruction to record 'None' plus the reason it matters,"Record 'None' where grains were analysed untreated, since the absence of treatment materially affects how discordance should be read."
UPb,Intermediate Daughter Disequilibrium Correction,1,D,M1,,,"Correction for initial disequilibrium in intermediate daughter products of the U decay chains — principally 230Th, and where relevant 231Pa — together with the Th/U or Pa/U partitioning value assumed and its source."
UPb,Intermediate Daughter Disequilibrium Correction,2,P,M2,,why the correction is unique to U-Pb,"Unique to U-Pb among dating systems, because the chains are long enough for intermediate-daughter disequilibrium at crystallisation to bias the 206Pb/238U date, most severely in young samples."
UPb,Intermediate Daughter Disequilibrium Correction,3,D,M3,,,Record 'None' with a justification where no correction was applied.
UPb,Intermediate Daughter Disequilibrium Correction,4,P,"M2,M5",REWRITE-REDUNDANT(C=Advanced),quotes the standard then says 'hence Advanced' — justifying the tier Column C already carries,"Condon et al. (2024) write ""we recommend these dates be reported corrected for initial 230Th and 231Pa daughter isotope disequilibrium"" — recommended rather than required, hence Advanced."
UPb,Discordance Definition and Values,1,D,M1,,,"How discordance between the 206Pb/238U, 207Pb/235U and 207Pb/206Pb chronometers is defined for this procedure, and the discordance values obtained."
UPb,Discordance Definition and Values,2,D,M4,REWRITE-STRADDLE,"rationale that definitions differ, plus the requirement to state the formula","Several definitions are in circulation and they are not interchangeable, so the formula must be stated."
UPb,Discordance Definition and Values,3,P,M2,,why discordance is a test only U-Pb can run,"Genuinely specific to U-Pb: it is the only system in routine use with two independent decay schemes in the same mineral, so agreement between them is an internal consistency test no other system can run."
UPb,Discordance Definition and Values,4,D,M3,,,"The rule for excluding discordant analyses, and how many were excluded, belong in Analysis Inclusion and Rejection Criteria."
UPb,Discordance Definition and Values,5,P,"M2,M5",REWRITE-REDUNDANT(C=Advanced),"'useful and age-conditional rather than required, hence Advanced' justifies Column C","Condon et al. (2024) write that for samples older than a few hundred million years ""it is also useful to provide a measure of discordance"" — useful and age-conditional rather than required, hence Advanced."
Core,Procedure Name,1,D,M1,,,"A short descriptive name for this analytical procedure, including a version number."
Core,Procedure Name,2,D,M3,,,"Should identify the instrument, the technique, and the scope of what is measured — analyte, material, or feature."
Core,Technique,1,D,M1,,,Top-level analytical technique identifier.
Core,Procedure Author,1,D,M1,,,Person(s) or laboratory responsible for developing and registering this procedure.
Core,Procedure Author,2,D,M3,,,ORCID recommended for individuals.
Core,Laboratory,1,D,M1,,,Name of the laboratory or institution hosting the instrument.
Core,Laboratory ID,1,D,M1,,,"Persistent identifier for the laboratory (e.g., ROR ID)."
Core,Procedure Start Date,1,D,M1,,,First date this procedure configuration was used in production.
Core,Funding Source for Procedure Development,1,D,M1,,,"Grants and other funding sources that supported instrument acquisition, major upgrades, procedure development, and associated personnel time."
Core,Funding Source for Procedure Development,2,D,M3,,,Include grant numbers and funding agencies where applicable.
Core,Procedure Reference(s),1,D,M1,,,"DOI or URL for peer-reviewed publications or technical reports describing, validating, or benchmarking this procedure."
Core,Procedure DOI,1,D,M1,,,"DOI or unique persistent identifier for the registered procedure used in this analysis, generated upon procedure submission to a data repository."
Core,Procedure DOI,2,D,"M4,M5",REWRITE-STRADDLE; REWRITE-REDUNDANT(D=Basic),'mandatory when submitting analytical data' restates D=Basic; remainder is rationale,"This field is mandatory when submitting analytical data, to encourage formal procedure registration and ensure traceability."
Core,Procedure DOI,3,D,M3,,,"If a DOI has been applied for but not yet minted, enter ""pending""."
Core,Session Identifier,1,D,M1,,,"Identifier for the analytical session this record describes — the laboratory's own run, sequence or batch identifier as generated by the instrument or acquisition software."
Core,Session Identifier,2,P,M2,,wholly rationale — the session/sample model and what the id links to,"The analysis record corresponds to one session, which may cover several samples, and this is the link back to the raw instrument files."
Core,Session Identifier,3,D,M3,,,Distinct from any persistent identifier a repository mints on submission.
Core,Analyst,1,D,M1,,,Name(s) of the analyst(s) who performed the analysis session.
Core,Analyst,2,D,M3,,,ORCID is recommended for persistent identification.
Core,Analysis Start Date,1,D,M1,,,Date on which the analytical session began.
Core,Analysis Start Date,2,D,M3,,,"For sessions spanning multiple days, use the date of the first session."
Core,Analysis Start Date,3,D,M3,,,Format: YYYY-MM-DD.
Core,Analysis End Date,1,D,M1,,,Date on which the analytical session ended.
Core,Analysis End Date,2,D,M3,,,May equal Analysis Start Date for single-day sessions.
Core,Analysis End Date,3,D,M3,,,Format: YYYY-MM-DD.
Core,Funding Source for Analysis,1,D,M1,,,Grants and other funding sources that supported the specific sample analyses and data collection reported here.
Core,Funding Source for Analysis,2,D,M3,,,Include grant numbers and funding agencies.
Core,Funding Source for Analysis,3,D,M3,,,"Distinct from procedure development funding, which may have been awarded years earlier."
Core,Coupled Technique(s),1,D,M1,,,Other analytical techniques applied to the same sample(s) whose results are intended to be interpreted together with data from this procedure.
Core,Coupled Technique(s),2,D,M3,,,"Document coupling with any technique whose results are functionally linked to this dataset — providing calibration inputs, complementary spatial context, or required companion measurements."
Core,Coupled Technique(s),3,D,M3,,,Use the same controlled vocabulary as the Technique field.
Core,Coupled Technique(s),4,D,M3,,,"Enter ""None"" if no coupling is intended."
Core,Coupling Description,1,D,M1,,,Description of how this procedure is coupled with the technique(s) listed above.
Core,Coupling Description,2,D,M3,,,"Include: (1) the functional relationship — what data or context flows between techniques, or how results are combined (e.g. which output from the coupled technique serves as input to data reduction for this technique); and (2) the analytical sequence — which technique is performed first and why (e.g. non-destructive before destructive)."
Core,Coupling Description,3,D,M3,,,"Required when Coupled Technique(s) is not ""None""."
Core,Coupled Procedure DOI,1,D,M1,,,Registered procedure DOI for the coupled technique named above.
Core,Coupled Procedure DOI,2,P,M2,,wholly rationale — why a citable procedure link is worth having,"Provides a stable, citable link to the companion method independent of whether a dataset has been deposited."
Core,Coupled Procedure DOI,3,D,M3,,,"If the coupled procedure has not yet been registered, enter the DOI of a publication describing the coupled method, or ""pending""."
Core,Coupled Procedure DOI,4,D,M3,,,"Enter ""None"" if no coupling is planned."
Core,Coupled Dataset or Publication Reference,1,D,M1,,,DOI or other persistent identifier for the co-registered dataset or publication where both datasets are reported together.
Core,Coupled Dataset or Publication Reference,2,D,M3,,,"Accepts: a dedicated dataset DOI (if separately deposited), a shared dataset DOI (if co-submitted in the same package), or a publication DOI."
Core,Coupled Dataset or Publication Reference,3,D,M3,,,"Use ""same submission"" if the coupled dataset is included in this data package, or ""pending"" if not yet assigned."
Core,Coupled Dataset or Publication Reference,4,D,M3,,,"If coupling is documented through a shared sample identifier only, that information is already captured in Sample Persistent Identifier (Group 2)."
Core,Sample Name,1,D,M1,,,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks."
Core,Sample Name,2,P,"M2,M5",REWRITE-REDUNDANT(Keyed By: sample),"context not instruction, so Purpose; but duplicates what Column I encodes",The analysis record corresponds to one session and may cover several samples; fields whose Keyed By column declares 'sample' take one value per entry.
Core,Sample Name,3,D,M3,,,Should match the identifier used in associated publications or data tables.
Core,Sample Persistent Identifier,1,D,M1,,,"Globally unique, persistent identifier for each sample listed in Sample Name."
Core,Sample Persistent Identifier,2,D,M3,,,"IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR."
Core,Sample Persistent Identifier,3,D,M3,,,"Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed."
Core,Target Material,1,D,M1,,,General description of the material type(s) this procedure is designed to analyse.
Core,Target Material,2,P,M2,,wholly rationale — discoverability and matrix constraints,"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements."
Core,Sampling Unit,1,D,M1,,,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole."
Core,Sampling Unit,2,D,"M3,M5",REWRITE-REDUNDANT(C=Basic + D=Basic),phrased as an instruction so it stays in B for now; Step 2 deletes it — nothing survives the strip,State the unit type at procedure level and the units actually analysed at analysis level.
Core,Sampling Unit,3,D,M3,,,"Where units nest (e.g. confined tracks within grains), state both levels."
Core,Instrument Manufacturer,1,D,"M1,M4",REWRITE-STRADDLE,S1 never moves; carries a trailing 'so that procedures can be found by vendor',"Manufacturer of the instrument that performs the measurement, recorded as a controlled value so that procedures can be found by vendor."
Core,Instrument Manufacturer,2,D,M3,,,"Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument."
Core,Instrument Manufacturer,3,D,M3,,,Instrument Model gives the specific designation.
Core,Instrument Model,1,D,M1,,,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix."
Core,Instrument Model,2,D,M3,,,Conventionally written with the manufacturer name included;
Core,Instrument Model,3,D,M3,,,"Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor."
Core,Acquisition Software,1,D,M1,,,"Instrument control, automation and data acquisition software used to collect the raw data, including version number."
Core,Acquisition Software,2,D,M3,,,"Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition."
Core,Data Processing Software(s),1,D,M1,,,"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers."
Core,Data Processing Software(s),2,D,M3,,,List every package used.
Core,Data Processing Software(s),3,D,M3,,,"Distinct from Acquisition Software, which controls the instrument and collects the raw data."
Core,Analytical Mode,1,D,M1,,,Primary analytical mode(s) executed under this procedure.
Core,Analytical Mode,2,D,M3,,,Records one value for a single-mode procedure and all applicable modes for a multi-mode one.
Core,Analytical Mode,3,P,M2,,role and boundary against the mode flag columns,"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability."
Core,Analytical Mode,4,D,"M4,M5",REWRITE-STRADDLE; REWRITE-REDUNDANT(C=Basic),'Required even where...' restates C=Basic; comparability clause is rationale,"Required even where a procedure defines no mode flag columns, so that every procedure record is self-describing and comparable across the library."
Core,Reported Variables and Units,1,D,M1,,,The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported.
Core,Reported Variables and Units,2,P,M2,,wholly rationale — why a consumer needs the field,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.
Core,Reported Variables and Units,3,D,M3,,,"Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date)."
Core,Reported Variables and Units,4,D,M3,,,"Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'."
Core,Constants and Reference Values Used,1,D,M1,,,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source."
Core,Constants and Reference Values Used,2,D,M3,,,"Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants."
Core,Constants and Reference Values Used,3,D,M3,,,"Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction."
Core,Additional Notes,1,D,M1,,,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context."
Core,Additional Notes,2,D,M3,,,"Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups."
Core,Additional Notes,3,D,M3,,,Use sparingly; a structured field is preferred for anything that can be formally categorised.
ICPMS,Instrument Serial Number or Lab Identifier,1,D,M1,,,Serial number or laboratory-internal identifier for the specific instrument unit.
ICPMS,Instrument Serial Number or Lab Identifier,2,P,M2,,wholly rationale — traceability to service records,Supports traceability to instrument service records.
ICPMS,Torch Depth,1,D,M1,,,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer."
ICPMS,Torch Depth,2,P,M2,,wholly rationale — what the setting affects,"Affects ion transmission efficiency, oxide formation, and doubly-charged species production."
ICPMS,Torch Depth,3,D,"M3,M5",REWRITE-REDUNDANT(D=Editable),'procedure specifies a target...analyst confirms or fine-adjusts' is almost verbatim the D=Editable definition,The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.
ICPMS,ICP Tuning,1,D,M1,,,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration)."
ICPMS,Instrument Warm-up / Session Duration Limit,1,D,M1,,,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions."
ICPMS,Instrument Warm-up / Session Duration Limit,2,D,"M3,M5",REWRITE-REDUNDANT(D=Read-Only),'cannot be varied by the analyst' is verbatim the D=Read-Only definition,These constraints are part of the procedure and cannot be varied by the analyst.
ICPMS,Make-up Gas and Flow Rate,1,D,M1,,,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate."
ICPMS,Make-up Gas and Flow Rate,2,P,M2,,why argon make-up exists and where it is needed,"Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load."
ICPMS,Make-up Gas and Flow Rate,3,D,M4,REWRITE-STRADDLE,context on N2/H2 additions plus an instruction to record their own flow,"Small nitrogen or hydrogen additions are also made here to enhance sensitivity for some elements; record them with their own flow, whose unit commonly differs from the make-up flow."
ICPMS,Make-up Gas and Flow Rate,4,D,M3,,,"Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported."
ICPMS,Instrument Sensitivity,1,D,M1,,,"Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to."
ICPMS,Instrument Sensitivity,2,D,M3,,,"May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited."
ICPMS,Instrument Sensitivity,3,P,M2,,why useful yield is the more comparable form,"Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate."
ICPMS,Instrument Sensitivity,4,D,"M3,M5",REWRITE-REDUNDANT(C=N/A),"boundary against tuning criteria is real, but 'records what the instrument actually delivered' restates C=N/A",Records what the instrument actually delivered; a sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.
ICPMS,Ion Counter Dead Time,1,D,M1,,,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates."
ICPMS,Ion Counter Dead Time,2,D,M3,,,"Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode."
ICPMS,Oxide Production,1,D,M1,,,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold."
ICPMS,Oxide Production,2,D,M3,,,Record the measured value and confirm whether the procedure threshold was met.
ICPMS,Uncertainty Level,1,D,M1,,,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation."
ICPMS,Uncertainty Level,2,P,M2,,wholly rationale — why the convention must be stated,A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.
ICPMS,Uncertainty Level,3,D,M3,,,"State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions."
ICPMS,Uncertainty Level,4,D,M3,,,"Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted."
ICPMS,Uncertainty Propagation Method,1,D,M1,,,The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value.
ICPMS,Uncertainty Propagation Method,2,D,M3,,,"State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions."
ICPMS,Uncertainty Propagation Method,3,D,M3,,,"Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted."
ICPMS,Internal (Within-Measurement) Analytical Precision and Assessment Method,1,D,M1,,,"Precision of a single measurement, derived from the scatter of the cycles, sweeps or integrations that make it up, together with the method used to assess it."
ICPMS,Internal (Within-Measurement) Analytical Precision and Assessment Method,2,D,M3,,,"State the statistic (2SE, 2SD, 1s RSD), the number of cycles it is computed over, and the reported quantity it applies to."
ICPMS,Internal (Within-Measurement) Analytical Precision and Assessment Method,3,P,M2,,explanatory context — where this sits among the three precision levels,"This is the finest of the three precision levels the library records, below within-session and between-session precision: it describes the repeatability of one analysis rather than agreement between analyses, and is normally the smallest of the three."
ICPMS,Internal (Within-Measurement) Analytical Precision and Assessment Method,4,D,M3,,,"Distinct from Counting Statistics Error, which records the uncertainty predicted from the counts rather than the scatter observed; where a procedure reports both, record the observed value here and the predicted value there."
ICPMS,Within-Session Analytical Precision and Assessment Method,1,D,M1,,,Precision of repeated measurements within a single analytical session and the method used to assess it.
ICPMS,Within-Session Analytical Precision and Assessment Method,2,D,M3,,,Report both the assessment method and the precision values.
ICPMS,Within-Session Analytical Precision and Assessment Method,3,D,M3,,,"The assessment method must specify the reference material or standard measured, the number of replicates n, and the statistic reported (1s RSD, 2s RSD, 2SD, 2SE, 95% CI)."
ICPMS,Within-Session Analytical Precision and Assessment Method,4,D,M3,,,"Distinct from the internal precision of a single measurement, which derives from counting statistics over the cycles of that measurement rather than from repeated analyses."
ICPMS,Between-Session (Long-Term) Analytical Precision and Assessment Method,1,D,M1,,,Precision of measurements across multiple analytical sessions over weeks to months — long-term or intermediate precision — and the method used to assess it.
ICPMS,Between-Session (Long-Term) Analytical Precision and Assessment Method,2,D,M3,,,"Report both the assessment method and the precision values, specifying the reference material, the number of measurements and sessions, the time span covered, and the statistic reported."
ICPMS,Between-Session (Long-Term) Analytical Precision and Assessment Method,3,P,M2,,rationale — why long-term precision is the figure to carry,Long-term precision is normally poorer than within-session precision and is the figure a data user should carry when comparing results from different sessions.
