Field,Variant_TAPPs,Sentence_no,STEP1_route,STEP2_flag,Reason,Sentence_TEXT_UNCHANGED
Per-Analyte Calibration Strategy,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Approach used to convert measured ion signals to elemental concentrations.
Per-Analyte Calibration Strategy,"Solution_Q,Solution_SF",2,D,,M3 — definition or instruction to the filler,Documents cases where different analytes or analyte groups are calibrated using different strategies within the same procedure.
Per-Analyte Calibration Strategy,"Solution_Q,Solution_SF",3,D,,M3 — definition or instruction to the filler,"If a single strategy is applied uniformly to all analytes, record that strategy."
Per-Analyte Calibration Strategy,Solution_MC,1,D,,"M1 — defining sentence, never moves","Approach used to convert measured ion signals to elemental concentrations, where concentration data are also a product of the procedure (e.g., isotope dilution combined with isotope ratio measurement)."
Per-Analyte Calibration Strategy,Solution_MC,2,D,,M3 — definition or instruction to the filler,"For procedures producing isotope ratios only (no concentration output), record 'Not applicable (isotope ratios only)'."
Per-Analyte Calibration Strategy,Solution_MC,3,D,,M3 — definition or instruction to the filler,"For double-spike procedures that simultaneously yield concentrations, record the ID calculation approach."
Per-Analyte Calibration Strategy,Solution_MC,4,D,,M3 — definition or instruction to the filler,"Where different elements use different strategies, record each."
Plasma Thermal Mode,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Whether the ICP plasma is operated under cool plasma (≤900 W RF) or normal (hot) plasma (>1000 W RF) conditions.
Plasma Thermal Mode,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,P,,what cool plasma achieves,"Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se)."
Plasma Thermal Mode,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,REWRITE-STRADDLE,rationale plus a boundary against the RF Power field,This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.
Plasma Thermal Mode,Solution_Q,1,D,,"M1 — defining sentence, never moves",Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions.
Plasma Thermal Mode,Solution_Q,2,P,,typical practice,Normal plasma (>1000 W RF) is standard for most solution ICP-MS analyses.
Plasma Thermal Mode,Solution_Q,3,P,,benefit and cost of cool plasma,"Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements."
Plasma Thermal Mode,Solution_SF,1,D,,"M1 — defining sentence, never moves",Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions.
Plasma Thermal Mode,Solution_SF,2,P,,typical practice,Normal plasma (>1000 W RF) is standard for most solution SF-ICP-MS analyses.
Plasma Thermal Mode,Solution_SF,3,P,,benefit and cost of cool plasma,"Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements."
Plasma Thermal Mode,Solution_MC,1,D,,"M1 — defining sentence, never moves",Whether the ICP plasma is operated under normal (hot) or cool plasma conditions.
Plasma Thermal Mode,Solution_MC,2,P,,typical practice,Normal plasma (>1000 W RF) is standard for solution MC-ICP-MS.
Plasma Thermal Mode,Solution_MC,3,P,,why it is avoided for high-precision work,Cool plasma is rarely used in MC-ICP-MS due to stability requirements for high-precision isotope ratio work.
RF Power,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",ICP radiofrequency forward power in watts.
RF Power,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,P,,what RF power affects,"Affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect."
RF Power,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,REWRITE-REDUNDANT(D=Editable),'procedure registers; analyst confirms or fine-adjusts' is the D=Editable definition,The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.
RF Power,"Solution_MC,Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Radiofrequency forward power applied to the plasma (W).
RF Power,"Solution_MC,Solution_Q,Solution_SF",2,P,,what RF power controls,Controls ionization efficiency and oxide production rates.
Sampler and Skimmer Cone Material,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Material composition of the sampler and skimmer cones.
Sampler and Skimmer Cone Material,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,"Common materials are nickel (standard), platinum (for high-TDS or organic-matrix samples), and aluminium (for high-purity work)."
Sampler and Skimmer Cone Material,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,P,,what cone material affects,"Cone material affects sensitivity, matrix tolerance, and long-term stability."
Sampler and Skimmer Cone Material,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",4,D,,M3 — definition or instruction to the filler,"State both sampler and skimmer materials; if identical, a single statement is acceptable."
Sampler and Skimmer Cone Material,Solution_Q,1,D,,"M1 — defining sentence, never moves",Material composition of the sampler and skimmer cones.
Sampler and Skimmer Cone Material,Solution_Q,2,D,,M3 — definition or instruction to the filler,Nickel (Ni) is standard for most aqueous matrices.
Sampler and Skimmer Cone Material,Solution_Q,3,D,,M3 — definition or instruction to the filler,Platinum (Pt) is used for samples in HCl-rich or organic matrices due to greater corrosion resistance.
Sampler and Skimmer Cone Material,Solution_SF,1,D,,"M1 — defining sentence, never moves",Material composition of the sampler and skimmer cones.
Sampler and Skimmer Cone Material,Solution_SF,2,D,,M3 — definition or instruction to the filler,Nickel (Ni) is standard for most aqueous matrices.
Sampler and Skimmer Cone Material,Solution_SF,3,D,,M3 — definition or instruction to the filler,Aluminium (Al) cones are used in some SF-ICP-MS labs for enhanced sensitivity at high resolution.
Sampler and Skimmer Cone Material,Solution_SF,4,D,,M3 — definition or instruction to the filler,Platinum (Pt) is used for HCl-rich matrices.
Sampler and Skimmer Cone Material,Solution_MC,1,D,,"M1 — defining sentence, never moves",Material composition of the sampler and skimmer cones.
Sampler and Skimmer Cone Material,Solution_MC,2,D,,M3 — definition or instruction to the filler,Nickel (Ni) is standard for HNO3 matrices.
Sampler and Skimmer Cone Material,Solution_MC,3,D,,M3 — definition or instruction to the filler,"Platinum (Pt) cones are used for HCl-rich matrices (e.g., 6 M HCl in Fe chemistry procedures) due to greater corrosion resistance."
Signal Integration Interval Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Approach used to select the stable signal interval for integration during data reduction, and to exclude anomalous signals from inclusions or cracks."
Signal Integration Interval Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,,M3 — definition or instruction to the filler,For spot/transect analysis: involves identifying and excluding transient start/end instabilities within the time-resolved signal.
Signal Integration Interval Method,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,D,,M3 — definition or instruction to the filler,"For mapping analysis: corresponds to defining Volumes of Interest (VOIs) or applying phase masks across the 2D map (e.g., manual selection, automated clustering, threshold-based masking)."
Signal Integration Interval Method,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves","Method used to define the integration window for each replicate measurement (e.g., full acquisition time, stable-interval selection, automated criteria)."
Signal Integration Interval Method,Solution_MC,1,D,,"M1 — defining sentence, never moves",Method used to define which portion of the acquisition signal is integrated for each measurement.
Signal Integration Interval Method,Solution_MC,2,D,,M3 — definition or instruction to the filler,"In MC-ICP-MS, all cycles within a block are typically used unless signal instability is detected."
Signal Integration Interval Method,Solution_MC,3,D,,M3 — definition or instruction to the filler,Specify the rule for including or excluding individual cycles.
Signal Integration Time,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Actual integration time used for the ablation signal in this analysis, in seconds."
Signal Integration Time,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,REWRITE-REDUNDANT(C=N/A),'analysis-level outcome' restates C=N/A,This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal.
Signal Integration Time,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",3,P,,why it differs from the ablation duration,It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded.
Signal Integration Time,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",4,D,REWRITE-REDUNDANT(C),"scope boundary is real, but 'a procedure-level field...analysis-level outcome' restates the tiers","Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome."
Signal Integration Time,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Total integration time per analyte per replicate (s).
Signal Integration Time,"Solution_Q,Solution_SF",2,D,REWRITE-REDUNDANT(D=Basic),restates D=Basic,Determined at analysis time from the actual acquisition.
Signal Integration Time,Solution_MC,1,D,,"M1 — defining sentence, never moves",Total integration time per sample solution (s).
Signal Integration Time,Solution_MC,2,D,,M3 — definition or instruction to the filler,Calculated from blocks × cycles per block × integration time per cycle.
Signal Integration Time,Solution_MC,3,D,REWRITE-REDUNDANT(D=Basic),restates D=Basic,Recorded at analysis level as the actual total time used.
Spike / Outlier Filtering Approach,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves","Method used to identify and remove anomalous signal spikes arising from micronuggets, inclusions, cracks, or instrument artifacts during time-resolved signal processing."
Spike / Outlier Filtering Approach,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,D,REWRITE-REDUNDANT(D=Editable),names the tier outright,Editable because the specific implementation may vary between sessions while remaining within the procedure framework.
Spike / Outlier Filtering Approach,"Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves",Criteria used to identify and exclude anomalous replicate measurements or data points from the calculated mean.
Spike / Outlier Filtering Approach,Solution_MC,1,D,,"M1 — defining sentence, never moves",Criteria used to identify and exclude anomalous cycles or replicate measurements from the calculated isotope ratio mean.
Spike / Outlier Filtering Approach,Solution_MC,2,D,,M3 — definition or instruction to the filler,Filtering is applied after baseline subtraction and before mass bias correction.
Torch Type,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",1,D,,"M1 — defining sentence, never moves",Type of plasma torch installed.
Torch Type,"LA-MC,LA-MC_UPb,LA-Q,LA-Q_UPb,LA-SF,LA-SF_UPb",2,P,,what injector diameter affects,Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS.
Torch Type,"Solution_MC,Solution_Q,Solution_SF",1,D,,"M1 — defining sentence, never moves","Type of plasma torch used (e.g., standard quartz, high-matrix, low-flow)."
