TAPP,Field,Sentence_no,Action,Before,After_Description,Moved_to_Purpose,Rule_and_reason
Lab-XCT_TAPP_v26.csv,Sample Mass,3,SPLIT,"This is an analysis-level field: the actual sample mass depends on the specific sample being scanned, not on the procedure design.",,"The actual sample mass depends on the specific sample being scanned, not on the procedure design.",W1+W2 — 'This is an analysis-level field:' carried by C=N/A; the rest is rationale and moves to Purpose. S1 keeps the definition (M1)
Lab-XCT_TAPP_v26.csv,Sample Mounting Method,2,KEEP,Mounting material should transmit X-rays at the selected voltage without dominating beam attenuation.,Mounting material should transmit X-rays at the selected voltage without dominating beam attenuation.,,"W1 resolves to NO SPLIT — revised. 'should transmit X-rays at the selected voltage without dominating beam attenuation' is ONE constraint on the material, not an instruction plus a reason; the second half states the threshold the first half must meet"
Lab-XCT_TAPP_v26.csv,Sample Preparation Notes,2,SPLIT,XCT is typically non-destructive with no surface preparation required; note any exceptions.,Note any exceptions.,"XCT is typically non-destructive, with no surface preparation required.",W1 — the instruction stays; the technique fact behind it is rationale
Lab-XCT_TAPP_v26.csv,Accelerating Voltage,1,REWRITE,X-ray tube accelerating voltage in kilovolts (kV) registered by the procedure.,X-ray tube accelerating voltage in kilovolts (kV).,,W2 — 'registered by the procedure' carried by C=Basic
Lab-XCT_TAPP_v26.csv,Tube Current,1,REWRITE,X-ray tube current in microamperes (µA) registered by the procedure.,X-ray tube current in microamperes (µA).,,W2 — 'registered by the procedure' carried by C=Basic
Lab-XCT_TAPP_v26.csv,X-ray Power,1,REWRITE,X-ray tube power in watts (W) registered by the procedure.,X-ray tube power in watts (W).,,W2 — 'registered by the procedure' carried by C=Advanced
Lab-XCT_TAPP_v26.csv,Source-to-Object Distance (SOD),1,REWRITE,"Distance from the X-ray source focal spot to the centre of the sample rotation axis, in mm, as registered by the procedure.","Distance from the X-ray source focal spot to the centre of the sample rotation axis, in mm.",,W2 — 'as registered by the procedure' carried by C=Advanced
Lab-XCT_TAPP_v26.csv,Source-to-Detector Distance (SDD),1,REWRITE,"Distance from the X-ray source focal spot to the detector surface, in mm, as registered by the procedure.","Distance from the X-ray source focal spot to the detector surface, in mm.",,W2 — 'as registered by the procedure' carried by C=Advanced
Lab-XCT_TAPP_v26.csv,Voxel Size,3,REWRITE,"At analysis level, record the achieved voxel size as reported by the reconstruction software, which may differ slightly from the target due to final geometric calibration.","Record the achieved voxel size as reported by the reconstruction software, which may differ slightly from the target due to final geometric calibration.",,W2 — 'At analysis level' carried by D=Editable; the instruction and the target/achieved discrepancy survive
Lab-XCT_TAPP_v26.csv,Voxel Size,2,REWRITE,"The procedure registers the target voxel size, set based on the smallest feature to be resolved (target voxel size ≤ ~1/3 of that feature size; see the criterion recorded under Partial Volume Effect Criteria).",The target voxel size is set based on the smallest feature to be resolved (target voxel size ≤ ~1/3 of that feature size; see the criterion recorded under Partial Volume Effect Criteria).,,"W1+W2 — 'The procedure registers' carried by C=Basic. The straddle resolves with NOTHING moving to Purpose: the surviving half is a design criterion, i.e. how to set the value, which is instruction not rationale"
Lab-XCT_TAPP_v26.csv,Exposure Time per Projection,1,REWRITE,"Duration of X-ray exposure for each individual projection image frame, in seconds, as registered by the procedure.","Duration of X-ray exposure for each individual projection image frame, in seconds.",,W2 — 'as registered by the procedure' carried by C=Basic
Lab-XCT_TAPP_v26.csv,Exposure Time per Projection,3,REWRITE,May be adjusted within procedure-allowed bounds for samples that are unusually dense or unusually transparent.,Adjustment is warranted for samples that are unusually dense or unusually transparent.,,W2 — 'may be adjusted within procedure-allowed bounds' is carried by D=Editable; WHEN to adjust is not
Lab-XCT_TAPP_v26.csv,Frames Averaged per Projection,1,REWRITE,"Number of individual detector frames acquired and averaged to produce each saved projection image, as registered by the procedure.",Number of individual detector frames acquired and averaged to produce each saved projection image.,,W2 — 'as registered by the procedure' carried by C=Advanced
Lab-XCT_TAPP_v26.csv,Detector Binning,3,DELETE,1×1 indicates no binning.,,,W2 DELETE — Column F's first value is literally '1×1 (no binning)'
Lab-XCT_TAPP_v26.csv,Detector Binning,2,SPLIT,"Binning combines adjacent pixels (e.g., 2×2 combines 4 pixels into one), reducing effective resolution while increasing per-pixel SNR and reducing file size.","Binning combines adjacent pixels (e.g., 2×2 combines 4 pixels into one).",Reduces effective resolution while increasing per-pixel SNR and reducing file size.,W1 — what binning IS stays; the three-way trade-off is rationale
Lab-XCT_TAPP_v26.csv,Number of Sub-volumes,2,SPLIT,This is an analysis-level parameter: the number of sub-volumes depends on the length of the specific sample being scanned and cannot be fixed in the procedure in advance.,,The number of sub-volumes depends on the length of the specific sample being scanned and cannot be fixed in the procedure in advance.,W1+W2 — 'This is an analysis-level parameter:' carried by C=N/A + D=Basic; the remaining clause is wholly rationale and moves to Purpose. S1 keeps the definition (M1)
Lab-XCT_TAPP_v26.csv,Minimum Sub-volume Overlap,2,DELETE,This is a procedure-level quality specification.,,,"W2 DELETE — the sentence is nothing but the procedure-level tier, carried by C=Basic"
Lab-XCT_TAPP_v26.csv,Reconstruction Convolution Filter,3,DELETE,The choice represents a deliberate procedure-level tradeoff.,,,W2 DELETE — 'a deliberate procedure-level tradeoff' is carried by C=Advanced; the tradeoff itself is already in Purpose
Lab-XCT_TAPP_v26.csv,Beam Hardening Correction Method,4,REWRITE,The method is a procedure-level design choice; the specific correction parameter value is session-specific and recorded separately at analysis level.,The specific correction parameter value is recorded separately.,,W2 — 'procedure-level design choice ... at analysis level' is carried by C=Basic + D=Read-Only; that the parameter lives elsewhere is not
Lab-XCT_TAPP_v26.csv,Beam Hardening Correction Parameter,3,REWRITE,Analysis-level companion to Beam Hardening Correction Method.,Companion to Beam Hardening Correction Method.,,W2 — 'Analysis-level' carried by C=Advanced + D=Editable; naming the pair is kept
Lab-XCT_TAPP_v26.csv,Ring Artifact Correction Method,3,REWRITE,Method is the procedure-level specification; whether correction was applied and its outcome are recorded at analysis level in Group 6.,Whether correction was applied and its outcome are recorded separately in Group 6.,,W2 — the procedure/analysis split is carried by C=Advanced + D=Editable; the pointer to Group 6 is not
Lab-XCT_TAPP_v26.csv,VOI Selection Criteria,1,REWRITE,Procedure-level rules specifying how the Volume of Interest (VOI) is to be defined for quantitative analysis.,Rules specifying how the Volume of Interest (VOI) is to be defined for quantitative analysis.,,W2 — 'Procedure-level' carried by C=Advanced
Lab-XCT_TAPP_v26.csv,VOI Applied,1,REWRITE,"Actual Volume of Interest used in this specific analysis, including dimensions or defining criteria.","Actual Volume of Interest used, including dimensions or defining criteria.",,W2 — 'in this specific analysis' carried by C=N/A + D=Basic; 'Actual' survives
Lab-XCT_TAPP_v26.csv,VOI Applied,2,REWRITE,Analysis-level companion to VOI Selection Criteria.,Companion to VOI Selection Criteria.,,W2 — 'Analysis-level' carried by C=N/A + D=Basic; naming the pair is kept
Lab-XCT_TAPP_v26.csv,Sub-volume Stitching and Registration Method,3,SPLIT,Note: rotational mismatch artifacts have been identified in continuous-rotation acquisitions (~0.35° misalignment in Eckley et al. 2025); their correction via raw projection re-alignment should be documented here.,"Where rotational mismatch has been corrected via raw projection re-alignment, document it here.",Rotational mismatch artifacts have been identified in continuous-rotation acquisitions (~0.35° misalignment in Eckley et al. 2025).,"W1 — the instruction stays; the published finding behind it is rationale, and survives under W3 as an external citation"
Lab-XCT_TAPP_v26.csv,Sub-volume Overlap,1,REWRITE,Actual number of reconstructed slices overlapping between adjacent sub-volumes as used in this analysis.,Actual number of reconstructed slices overlapping between adjacent sub-volumes.,,W2 — 'as used in this analysis' carried by C=N/A + D=Basic; 'Actual' survives and distinguishes it from the procedure minimum
Lab-XCT_TAPP_v26.csv,Output Bit Depth,4,REWRITE,The procedure may specify a required output bit depth if downstream analysis workflows depend on a consistent grayscale range; the analyst confirms or adjusts at analysis time.,A required output bit depth may be specified if downstream analysis workflows depend on a consistent grayscale range.,,W2 + W3 — 'the analyst confirms or adjusts at analysis time' is carried by D=Editable; the CONDITIONAL obligation is real content and is never stripped
Lab-XCT_TAPP_v26.csv,Output Bit Depth,2,KEEP,"Common values are 8-bit (256 gray levels), 16-bit (65,536 gray levels), or 32-bit floating point.","Common values are 8-bit (256 gray levels), 16-bit (65,536 gray levels), or 32-bit floating point.",,"KEEP — Column F names the bit depths; the gray-level counts are content it lacks, and S3's dynamic-range point depends on them"
Lab-XCT_TAPP_v26.csv,Ring Artifact Severity and Correction Outcome,2,SPLIT,"Note that ring correction algorithms modify image intensity in narrow annular bands; in samples containing linear geological features oriented tangentially to the rotation axis, ring correction can alter or introduce spurious linear features in those orientations.",Note that ring correction algorithms modify image intensity in narrow annular bands.,"In samples containing linear geological features oriented tangentially to the rotation axis, ring correction can alter or introduce spurious linear features in those orientations.",W1 — the instruction and the mechanism stay; the consequence for linear features is rationale
Lab-XCT_TAPP_v26.csv,Partial Volume Effect Criteria,1,REWRITE,Procedure-level specification of how partial volume effects (PVE) are managed in quantitative analysis.,Specification of how partial volume effects (PVE) are managed in quantitative analysis.,,W2 — 'Procedure-level' carried by C=Advanced
Lab-XCT_TAPP_v26.csv,Partial Volume Effect Criteria,5,REWRITE,"Per Withers et al. (2021) a feature must span at least 3 voxels to be positively identified and at least 10 for reliable shape and volume characterisation; state whether the criterion follows that convention or is SNR-limited, PVE-limited or analyst-defined.","State whether the criterion follows the Withers et al. (2021) convention — a feature must span at least 3 voxels to be positively identified and at least 10 for reliable shape and volume characterisation — or is SNR-limited, PVE-limited or analyst-defined.",,W1 resolves in place — moving the citation to Purpose would leave 'that convention' in Description with no antecedent. Recast so the antecedent is explicit; nothing moves. External-standard citation is real content under W3
Lab-XCT_TAPP_v26.csv,Partial Volume Effect Assessment,1,REWRITE,Analysis-level record of PVE severity and how it was handled in this specific analysis.,Record of PVE severity and how it was handled.,,W2 — 'Analysis-level' and 'in this specific analysis' both carried by C=N/A + D=Advanced
Lab-XCT_TAPP_v26.csv,Cross-Validation Procedure Requirement,1,REWRITE,"Procedure-level specification of what independent analytical validation is required to confirm CT segmentation results, phase identification, or quantitative measurements.","Specification of what independent analytical validation is required to confirm CT segmentation results, phase identification, or quantitative measurements.",,W2 — 'Procedure-level' carried by C=Advanced; 'specification' still separates this from its Outcome twin
Lab-XCT_TAPP_v26.csv,Cross-Validation Outcome,1,REWRITE,Analysis-level record of what independent validation was performed and its result.,Record of what independent validation was performed and its result.,,W2 — 'Analysis-level' carried by C=N/A + D=Advanced; 'record' still separates this from its Requirement twin
Lab-XCT_TAPP_v26.csv,Cross-Validation Outcome,3,KEEP,"Where BSE imaging is the validation method, note that BSE provides a 2D section while CT provides a 3D volume.","Where BSE imaging is the validation method, note that BSE provides a 2D section while CT provides a 3D volume.",,W1 resolves to NO SPLIT — the caveat is the grammatical OBJECT of the instruction ('note that BSE provides a 2D section...'). Extracting it leaves an instruction with nothing to note
(all sharers),Dwell Time per Pixel,3,DEFERRED,,,,"SCOPE, not wording. The sentence describes WDS mapping. SEM and SEM_Composition declare WDS modes; SEM_FIBSEM and SEM_Imaging declare none, so for them it documents a mode they do not have. One shared text, four sharers, and the right answer differs per TAPP — resolving it means either dropping the sentence from two sub-TAPPs (diverging the description) or deciding the sub-TAPPs may carry parent text. That is the same class as the 2026-08-24 out-of-scope column drop, and belongs with it."
