Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,SE Imaging,BSE Imaging,CL Point Analysis,CL Mapping,EBSD,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)"
Sampling Unit Selection Criteria,"The rules governing which sampling unit(s) within a sample are selected for analysis, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for, and from Sampling Unit, which names the kind of subdivision one row of reported values corresponds to: this field states how, within such a sample, the unit actually analysed is picked out.",Basic,Editable,Text (free),,Source: Sampling Unit Selection module,2026-09-01,(none),,Y,Y,Y,Y,Y,,"N — no rule is given for which globules were imaged; the stated criterion is at sample level, ""Several millimeter-sized pieces of the pristine Tagish Lake meteorite free of fusion crust were digested in HCl and HF in order to concentrate the carbonaceous materials"" (p.1)",N — the target phases are named (see `Sampling Unit Type`) but no rule is given for choosing the imaged areas,N — no rule is given for choosing which grains were indexed,"Freedom from defects, after a prior survey — ""Following a systematic optical microscopecathodoluminescence study of a Kaba thin section, seven representative grains (designated as B-1 through B-7) were selected for further analyses because they did not contain any irregular fracturing or crystallographic imperfections"" (p.2)","Located by prior μXRD reconnaissance — the paper's stated strategy is ""an initial, non-destructive in situ reconnaissance step using micro X-ray diffraction (mXRD) ... to identify features of interest, followed by spatially correlated mXRD, scanning electron microscopy with energy-dispersive X-ray spectroscopy (SEM-EDX), and cathodoluminescence (CL) analysis"" (p.2)","Located by prior μXRD reconnaissance — the paper's stated strategy is ""an initial, non-destructive in situ reconnaissance step using micro X-ray diffraction (mXRD) ... to identify features of interest, followed by spatially correlated mXRD, scanning electron microscopy with energy-dispersive X-ray spectroscopy (SEM-EDX), and cathodoluminescence (CL) analysis"" (p.2)","Follow-up on features already located — this is the third stage of the paper's strategy, ""finally higher resolution SEM-BSE mapping to establish spatial context for textural variation"" (p.2), on features identified by the earlier μXRD and SEM-EDX/CL stages","N — the selection stated is of samples, not units: ""Two highrank coals formed from regional metamorphism collected from the southern Qinshui basin were selected"" (p.1); no rule is given for the imaged areas","N — the selection stated is of samples, not units: ""Two highrank coals formed from regional metamorphism collected from the southern Qinshui basin were selected"" (p.1); no rule is given for the imaged areas","N — the imaged occurrences are shown rather than chosen by a stated rule; the three mineral locations are ""marked by rectangles"" in Fig. 1 (p.2) within ""section 126A of USNM 7908"" (p.1)","N — no rule is given for choosing which crystals were indexed; the patterns are reported for the type and associated crystals as they occur (Fig. 3, p.3)","Spatial co-registration with the spectral imagery — the SEM work targets ""almost the same portion of the VIS-IR SPIM images"" (p.4), so that the two datasets can be compared on the same area of the slab","Spatial co-registration with the spectral imagery — the SEM work targets ""almost the same portion of the VIS-IR SPIM images"" (p.4), so that the two datasets can be compared on the same area of the slab","N — the passage says regions of interest were characterized (""Characterization of regions of interest was performed at an accelerating voltage of 15 kV"", p.9) but gives no rule for choosing them","N — the passage states the mounting and imaging conditions only, and no rule for choosing units (p.9)","N — the passage states the mounting and imaging conditions only, and no rule for choosing units (p.9)","N — the passage states the mounting and imaging conditions only, and no rule for choosing units (p.9)",N — this procedure is not described in the paper (see Additional Notes)
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the sampling unit to be analysed, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Sampling Unit Selection module,2026-09-01,sample,,Y,Y,Y,Y,Y,,"N — the imaging this procedure performs is its own measurement, not a screening step before it; the paper describes no prior characterisation used to locate the units","N — the imaging this procedure performs is its own measurement, not a screening step before it; the paper describes no prior characterisation used to locate the units","N — the imaging this procedure performs is its own measurement, not a screening step before it; the paper describes no prior characterisation used to locate the units","Optical microscope-cathodoluminescence survey — ""Following a systematic optical microscopecathodoluminescence study of a Kaba thin section, seven representative grains (designated as B-1 through B-7) were selected for further analyses"" (p.2); the grain labels tie the later measurements back to that survey (Fig. 1, p.2)","Micro X-ray diffraction reconnaissance — the paper's first stage is ""an initial, non-destructive in situ reconnaissance step using micro X-ray diffraction (mXRD) to document meteorite mineralogy and textures and to identify features of interest"", valuable as ""a 'no-touch' first-pass reconnaissance, which may identify areas for further study""; it then gives ""point-by-point correlation of crystal structure data with other microscopic and microanalytical data"" (p.2)","Micro X-ray diffraction reconnaissance — the paper's first stage is ""an initial, non-destructive in situ reconnaissance step using micro X-ray diffraction (mXRD) to document meteorite mineralogy and textures and to identify features of interest"", valuable as ""a 'no-touch' first-pass reconnaissance, which may identify areas for further study""; it then gives ""point-by-point correlation of crystal structure data with other microscopic and microanalytical data"" (p.2)","Micro X-ray diffraction reconnaissance — the paper's first stage is ""an initial, non-destructive in situ reconnaissance step using micro X-ray diffraction (mXRD) to document meteorite mineralogy and textures and to identify features of interest"", valuable as ""a 'no-touch' first-pass reconnaissance, which may identify areas for further study""; it then gives ""point-by-point correlation of crystal structure data with other microscopic and microanalytical data"" (p.2); this procedure is the third stage, run on features the earlier stages located","N — the imaging this procedure performs is its own measurement, not a screening step before it; the paper describes no prior characterisation used to locate the units","N — the imaging this procedure performs is its own measurement, not a screening step before it; the paper describes no prior characterisation used to locate the units","N — the imaging this procedure performs is its own measurement, not a screening step before it; the paper describes no prior characterisation used to locate the units","N — no prior screening is described; the EBSD patterns are acquired on the same instrument as the BSE imaging, ""an HKL EBSD system on the ZEISS 1550VP SEM"" (p.2)","VIS-IR imaging spectroscopy, acquired before the section was prepared — the fragment was embedded and polished ""after the SPectral IMager (SPIM) reflectance spectroscopy imagery acquisition"" and only then carbon coated ""for further SEM-EDS and EMPA-WDS analyses"" (p.3). The SEM work is then registered to those images: ""To cover approximately the same area of the SPIM images (9.7 mm large), 10 BSE images, with four consecutive images in the same row, were acquired and mosaicked"" (p.3)","VIS-IR imaging spectroscopy, acquired before the section was prepared — the fragment was embedded and polished ""after the SPectral IMager (SPIM) reflectance spectroscopy imagery acquisition"" and only then carbon coated ""for further SEM-EDS and EMPA-WDS analyses"" (p.3). The SEM work is then registered to those images: ""To cover approximately the same area of the SPIM images (9.7 mm large), 10 BSE images, with four consecutive images in the same row, were acquired and mosaicked"" (p.3)","Optical microscopy before coating — ""After initial documentation by optical microscopy, the sample was sputter coated with ~5 nm of C to assist with charge dissipation during SEM analysis"" (p.9)","N — the passage describes mounting and coating only (""Polished sections were coated with a thin layer (0.1 nm) of carbon to mitigate charge build-up"", p.9); no prior imaging or screening is described","N — the passage describes mounting and coating only (""Polished sections were coated with a thin layer (0.1 nm) of carbon to mitigate charge build-up"", p.9); no prior imaging or screening is described",N — the cathodoluminescence passage describes the instrument and beam conditions only (p.9),N — this procedure is not described in the paper (see Additional Notes)
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,JEOL | Zeiss | FEI / Thermo Fisher Scientific | Hitachi | Tescan | Phenom | Unknown | N/A | None,Source: Core module,2026-08-30,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,Y,Y,,FEI,Zeiss,Zeiss,JEOL,Hitachi,Other: Leo Electron Microscopy (now Zeiss),Zeiss,"FEI Company, USA",Carl Zeiss,ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),JEOL,Hitachi,Hitachi,JEOL,N
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'JEOL JSM-7600F' | 'Zeiss Supra 55 FEG-SEM' | 'FEI Quanta 650 FEG' | 'Thermo Fisher Quattro S' | 'FEI Helios NanoLab 660' | 'Zeiss Crossbeam 540'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,Nova 200 NanoLab DualBeam,ZEISS 1550VP,ZEISS 1550VP,JSM-5410LV,S-2500C,Leo 440,Leo 1540 FIB/SEM CrossBeam,Quanta 250,SUPRA 55,1550VP,1550VP,Supra 40,Supra 40,7600F,S-4800,S-4800,JSM-7000F,N
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Cold-FEG | Schottky FEG (X-FEG) | Schottky FEG (standard) | Field emission gun (FEG) — subtype not specified | LaB6 / CeB6 | Tungsten (W) | Unknown | N/A | None,,2026-08-30,(none),,Y,Y,Y,Y,Y,,Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),N,Tungsten (W),N,Other: FEG (type not specified),N,Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Cold field emission gun (cold FEG),Cold field emission gun (cold FEG),Field emission gun (FEG),N
Instrument Variant,"Broad platform type of the instrument. 'Standard SEM': dedicated electron-only SEM column. 'FIB-SEM dual-beam': combined focused ion beam and SEM columns (enables TEM specimen preparation, 3D serial sectioning, ion-beam milling). 'VP-SEM': variable-pressure SEM, a dry gas at low chamber pressure for uncoated or charging specimens. 'ESEM': environmental SEM, water vapour at higher pressure for hydrated specimens, requiring a gaseous secondary electron detector. Where an instrument combines categories, join them with '; ' — 'FIB-SEM dual-beam; VP-SEM' — rather than looking for a combined member. This field records the COLUMN AND CHAMBER configuration only: field emission is a source type and belongs in Electron Source, not here.",Basic,Read-Only,Controlled list,Standard SEM | FIB-SEM dual-beam | VP-SEM | ESEM | N/A | None,,2026-08-30,(none),,Y,Y,Y,Y,Y,,FIB-SEM dual-beam,VP-SEM / ESEM,VP-SEM / ESEM,Standard SEM,Standard SEM,Standard SEM,FIB-SEM dual-beam,ESEM (Environmental SEM),FESEM (Field Emission SEM),VP (Variable Pressure),VP (Variable Pressure),FESEM (Field Emission SEM),FESEM (Field Emission SEM),N,N,N,N,N
SE Detector Type,Type of secondary electron detector used. Everhart-Thornley (ET) detector is the standard off-axis collector sensitive to SE2 and some BSE; in-lens (TLD) detectors collect high-resolution SE1 signal at short working distances; GSED/ESED detectors operate in VP/ESEM mode by using the chamber gas as the signal amplification medium.,Basic,Read-Only,Controlled list,Everhart-Thornley (ET) | In-lens / TLD (through-the-lens) | GSED (VP/ESEM) | ESED (VP/ESEM) | N/A | None,,2026-08-30,(none),,Y,N,N,N,N,,In-lens / TLD (through-the-lens),N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N,N/A,N/A,N/A
BSE Detector Type,Type of backscattered electron detector. Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,Basic,Read-Only,Controlled list,"Solid-state diode (single) | Solid-state diode (segmented, composition mode) | Solid-state diode (segmented, topography mode) | Solid-state diode (segmented, mode not specified) | Solid-state diode (type not specified) | In-lens BSE | YAG scintillator | N/A | None",,2026-08-30,(none),Solid-state diode detectors (single or segmented) are standard; YAG scintillator detectors offer high sensitivity at low voltage. In-lens BSE detectors provide improved BSE collection at short working distances.,N,Y,N,N,N,,N/A,N,N/A,N/A,N,N,N,N/A,N/A,Solid-state BSE detector,N/A,Quadrant Backscatter Detector (QBSD),N/A,N,N/A,N,N/A,N
CL Detector Configuration,"CL detector type, manufacturer, model, collection optics (e.g., parabolic mirror, elliptical mirror, light guide), and spectral detection configuration (PMT for panchromatic, CCD/EMCCD for spectral, multi-channel for pseudo-color CL).",Advanced,Read-Only,Text (free),"e.g., 'Gatan MonoCL4, parabolic mirror, PMT 190-900 nm + CCD spectrometer 300-800 nm' | 'Gatan ChromaCL2, 4-channel RGBV PMT' | 'Oxford Instruments MonoCL'",,2026-08-11,(none),,N,N,Y,Y,N,,N/A,N/A,N/A,"Mini-CL (Gatan, multialkali PMT) for scanning CL images; Oxford MonoCL2 grating monochromator with Hamamatsu R2228 PMT and parabolic mirror (75% efficiency) for spectral CL","Gatan ChromaCL detector; 4-channel pseudo-color detection (UV: ~300-400nm, Blue: ~400-500nm, Green: ~500-600nm, Red: ~600-850nm including near-IR ~700-850nm); Robinson Backscatter detector also present",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"MonoCL4 GATAN monochromator; high-sensitivity array detector and photomultiplier; paraboloidal mirror collection (CRHEA Valbonne, France)",N/A
EBSD Detector Configuration,"EBSD detector manufacturer, model, and camera resolution. Include whether EBSD and EDS are acquired simultaneously (common on modern combined EBSD-EDS systems).",Basic,Read-Only,Text (free),"e.g., 'Oxford AZtec Symmetry EBSD camera, 1244x1024 px' | 'Oxford Nordlys Nano' | 'Bruker QUANTAX EBSD e-Flash' | 'EDAX Hikari'",,2026-08-11,(none),,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'JEOL Analysis Station v3.5' | 'Oxford AZtec 6.0' | 'Zeiss SmartSEM 6.06' | 'Thermo Fisher Auto Slice and View G4 (3D tomography)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,Gatan DigitalMicrograph (CL image assembly),N,N,N,N,N,N,Oxford INCA Energy,N,Oxford AZtec (Point & ID programme),N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Oxford AZtec 6.0 (EDS quantification); Oxford AZtec Crystal 2.1 (EBSD); Gatan DigitalMicrograph 3.5 (CL); FIJI 2.15 (image processing); Avizo 2023 (3D segmentation)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,Gatan DigitalMicrograph,N,N,N,N,N,N,N,N,N,N,N,N,N
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,SE Imaging | BSE Imaging | CL Point Analysis | CL Mapping | EBSD,Source: Core module,2026-09-09,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,Y,Y,Y,,SE Imaging,BSE Imaging,EBSD,CL Mapping,CL Mapping,BSE Imaging,BSE Imaging,SE Imaging,SE Imaging,BSE Imaging,EBSD,BSE Imaging,SE Imaging,BSE Imaging,SE Imaging,BSE Imaging,CL Mapping,BSE Imaging
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-25,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
Accelerating Voltage,Electron beam accelerating voltage in kilovolts.,Basic,Editable,Numeric (kV),"e.g., 2 | 5 | 10 | 15 | 20",,2026-08-27,(none),"Affects X-ray generation depth (EDS/WDS), EBSD pattern quality, imaging resolution, and beam penetration. Low voltages (1-5 kV) improve surface sensitivity and reduce beam damage; high voltages (15-20 kV) improve X-ray generation for quantitative analysis.",Y,Y,Y,Y,Y,,500 V; 1 kV; 5 kV,10 kV,20 kV,N,15–20 kV,N,N,N,N,N,N,20 kV,N,15 kV,N,N,5 keV,N
Beam Current,"Electron beam probe current. For sub-nA values use decimal notation (e.g., 0.4 nA).",Basic,Editable,Numeric (nA),"e.g., 0.4 | 0.9 | 2 | 5 | 10 | 20",,2026-08-27,(none),"Higher current improves signal-to-noise for X-ray analysis (EDS/WDS, EBSD) and CL but may increase beam damage and reduce spatial resolution.",Y,Y,Y,Y,Y,,70 fA (500 V); 1.4 pA (1 kV); 98 pA (5 kV),N,6 nA,N,N,N,N,N,N,N,N,N,N,N,N,N,1 to 4 nA,N
Working Distance,Distance between the objective lens pole piece and the specimen surface in millimetres.,Basic,Editable,Numeric (mm),"e.g., 4 | 8 | 10 | 15",,2026-08-27,(none),"Affects spatial resolution, depth of focus, EDS X-ray take-off angle, and EBSD geometry.",Y,Y,Y,Y,Y,,0.5–5.4 mm,N,N,N,~10 mm,N,N,N,N,N,N,8 mm,N,N,N,N,N,N
Chamber Pressure,Chamber pressure and gas type during analysis. Required for variable pressure (VP-SEM) and environmental SEM (ESEM) modes. Report value and unit (Pa or Torr) and gas composition. Use 'None' for standard high-vacuum operation.,Advanced,Editable,Numeric + unit,"e.g., '30 Pa (H2O vapor, ESEM)' | '130 Pa (N2, VP-SEM)' | 'None (high vacuum)'",,2026-05-21,(none),,Y,Y,Y,Y,Y,,N,N,25 Pa (variable pressure mode),N,High vacuum,N,N,High vacuum,High vacuum,N,N,High vacuum,N,N,N,N,N,N
Image Pixel Size,"Physical size of each image pixel at the sample surface, in nm or µm. For large-area mosaic imaging, report the pixel size of individual tiles and the number and arrangement of tiles.",Advanced,Basic,Numeric + unit,"e.g., '5 nm' | '50 nm' | '500 nm' | '2 µm (mosaic: 19x16 tiles)'",,2026-08-27,(none),Defines spatial sampling of SE or BSE images.,Y,Y,N,N,N,,N,N,N/A,N/A,N/A,N,N,N,N,N,N/A,N,N,N,N,N,N/A,N
Dwell Time per Pixel,"Time the electron beam dwells on each pixel during raster scanning, or on each step position during mapping, in microseconds or milliseconds.",Basic,Editable,Numeric + unit,"e.g., '400 ns' | '10 µs' | '1 ms'",,2026-08-27,(none),Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials.,Y,Y,N,N,N,,N,N,N/A,N/A,N/A,N,N,N,N,N,N/A,N,N,N,N,N,N/A,N
CL Acquisition Mode,CL data collection strategy. Panchromatic: total light intensity collected by PMT across the full detector wavelength range. Spectral point: full CL spectrum at discrete point locations. Hyperspectral map: full CL spectrum acquired at each pixel of a raster scan.,Basic,Read-Only,Controlled list,Panchromatic | Monochromatic imaging | Spectral point | Hyperspectral map | Multi-channel pseudo-color | N/A | None,,2026-08-30,(none),,N,N,Y,Y,N,,N/A,N/A,N/A,Panchromatic; Spectral point,Multi-channel pseudo-color,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Panchromatic imaging; hyperspectral analysis; monochromatic imaging,N/A
CL Wavelength Range,Detection wavelength range of the CL system in nm.,Basic,Read-Only,Numeric pair (nm),"e.g., '190-900 nm (PMT)' | '300-850 nm (CCD)' | '200-800 nm'",,2026-08-27,(none),The range is set by the detector sensitivity and any optical filters installed.,N,N,Y,Y,N,,N/A,N/A,N/A,N,"300–850 nm (UV ~300-400, Blue ~400-500, Green ~500-600, Red ~600-850)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A
CL Grating,"Diffraction grating specification for spectral or hyperspectral CL acquisition, including groove density and blaze wavelength. Not applicable to panchromatic-only acquisition.",Advanced,Read-Only,Text (free),"e.g., '1200 gr/mm, 500 nm blaze' | '300 gr/mm, 500 nm blaze' | '150 gr/mm (near-IR)' | 'N/A (panchromatic only)'",,2026-08-11,(none),,N,N,Y,Y,N,,N/A,N/A,N/A,"1200 gr/mm, focal length 0.3 m, F/4.2, resolution 0.5 nm, slit width 4 mm (Oxford MonoCL2)",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A
CL Integration Time,"Acquisition time per pixel (hyperspectral map mode) or per spectrum (spectral point mode), in ms or s.",Basic,Editable,Numeric + unit,"e.g., '800 µs (hyperspectral map)' | '30 s (spectral point)' | '80 ms (panchromatic map)'",,2026-08-27,(none),Longer integration improves signal-to-noise but increases beam dose and acquisition time.,N,N,Y,Y,N,,N/A,N/A,N/A,N,80–500 ms per pixel (varied based on IR luminescence duration in carbonates),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A
Sample Tilt Angle,"Sample tilt angle for EBSD acquisition in degrees, measured from horizontal.",Basic,Read-Only,Numeric (degrees),"e.g., 70",,2026-08-27,(none),Standard EBSD geometry uses 70 degrees tilt toward the EBSD camera to maximise diffracted electron signal.,N,N,N,N,Y,,N/A,N/A,70 degrees,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Step Size,Distance between adjacent EBSD measurement points in the map in nm or µm. Must be smaller than the smallest grain of interest.,Basic,Editable,Numeric + unit,"e.g., '50 nm' | '200 nm' | '1 µm' | '5 µm'",,2026-08-27,(none),Only then are grain boundary positions and intragrain orientation gradients resolved.,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Frame Time,Acquisition time per EBSD diffraction pattern frame in milliseconds.,Advanced,Editable,Numeric (ms),"e.g., 15 | 50 | 100",,2026-08-27,(none),Longer frame time improves pattern quality and indexing rate but increases total acquisition time.,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Phase List,Mineral phases included in the EBSD reference pattern library for this procedure. Phases may be added for specific sample compositions beyond the expected suite for the target material.,Basic,Editable,Text (free),"e.g., 'Olivine (Fo90); enstatite; augite; plagioclase; ilmenite' | 'Troilite; pyrrhotite; kamacite; taenite'",,2026-08-27,(none),,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Hollisterite (C2/m FeAl3); kryachkoite (Cmc21 (Al,Cu)Fe6); stolperite (Pm3m AlCu)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
5. Data Processing,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
EBSD Indexing Method,Algorithm used to index EBSD diffraction patterns and assign crystal orientations. Hough-transform methods fit Kikuchi band positions analytically; dictionary indexing (DI) matches experimental patterns to a pre-computed library of simulated patterns.,Basic,Read-Only,Controlled list,Hough transform | Dictionary indexing (DI) | Neural network | Unknown | N/A | None,,2026-08-30,(none),,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crystal Structure Database,Crystal structure database used for EBSD phase identification and Kikuchi pattern simulation.,Basic,Editable,Text (free),"e.g., 'ICSD (Inorganic Crystal Structure Database)' | 'COD (Crystallography Open Database)' | 'Oxford AZtec Crystal built-in library'",,2026-08-11,(none),,N,N,N,N,Y,,N/A,N/A,ICSD (Inorganic Crystal Structure Database),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Literature crystal structures: Black et al. 1961 (Cmc21 (Al,Cu)Fe6 for kryachkoite); Zhang et al. 2005 (Pm3m AlCu for stolperite)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Pattern Quality Threshold,Minimum pattern quality or confidence index threshold applied during EBSD data processing to exclude unreliably indexed points from orientation maps. Include metric name and threshold value.,Advanced,Editable,Text (free),"e.g., 'Mean Angular Deviation (MAD) < 1.0 deg' | 'Confidence Index (CI) > 0.1' | 'Band contrast > 80'",,2026-08-11,(none),,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
