Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Literature Assessment
Signal Integration Interval Method,"Method used to define which portion of the acquisition signal is integrated for each measurement. In MC-ICP-MS, all cycles within a block are typically used unless signal instability is detected. Specify the rule for including or excluding individual cycles.",Basic,Read-Only,Controlled list,All cycles included unless signal instability detected | Visual inspection of cycle-by-cycle data; outlier cycles excluded manually | Automated 2σ outlier rejection per block | N/A | None | Other: specify,,2026-06-18,
Signal Integration Time,Total integration time per sample solution (s). Calculated from blocks × cycles per block × integration time per cycle. Recorded at analysis level as the actual total time used.,N/A,Basic,Numeric (s),,,2026-06-18,
Blank/Background Correction Method,"Method used to subtract instrument background from analytical signals. In MC-ICP-MS, on-peak zero subtraction (aspirating the same acid matrix as samples while measuring background at the analyte masses with beam deflector or from baseline cycles at the start of each block) is standard. For isotope ratio procedures where procedural blank is minor relative to the sample signal, on-peak zero is often sufficient. For low-level analyses, procedural blank must be measured and subtracted.",Basic,Read-Only,Controlled list,On-peak zero (acid blank) | Procedural blank | On-peak zero + procedural blank | N/A | None | Other: specify,,2026-07-24,
Spike/Outlier Filtering Approach,Criteria used to identify and exclude anomalous cycles or replicate measurements from the calculated isotope ratio mean. Filtering is applied after baseline subtraction and before mass bias correction.,Advanced,Editable,Text (free),2σ exclusion on per-cycle ratios | Grubbs test | Visual inspection | None | N/A | Other: specify,,2026-06-18,
Isobaric Interference Corrections Applied,"Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction, supplementary to any interference suppression achieved by chemical separation or mass resolution. In solution MC-ICP-MS, chemical separation is the primary interference mitigation; mathematical corrections address residual contributions. Common examples: 204Hg on 204Pb; abundance sensitivity tailing of 238U onto 236U and 235U. Analyte-specific.",Basic,Read-Only,Controlled list,Y | N | Analyte-specific | N/A | None | Other: specify,Analyte-Specific,2026-06-18,
Interfering Species,"List of isobaric or polyatomic species mathematically corrected in data reduction. Includes direct isobars (e.g., 54Cr+ on 54Fe+, 58Ni+ on 58Fe+), abundance sensitivity tailing (e.g., 238U tail on 235U and 236U in U isotope measurements), and hydride interferences (e.g., 238UH+ at mass 239). Analyte-specific.",Basic,Read-Only,Text (free),54Cr+ on 54Fe+; 58Ni+ on 58Fe+ | 204Hg+ on 204Pb (corrected via 202Hg monitor) | 238U abundance sensitivity tail on 235U and 236U | None | N/A | Other: specify,Analyte-Specific,2026-06-18,
Interference Correction Method,"Mathematical approach used to calculate and remove residual interference contributions. For direct isobars, interference monitor masses (e.g., 202Hg to correct 204Hg on 204Pb) are measured simultaneously and used with natural abundance ratios to calculate the interference contribution. For abundance sensitivity, the tailing factor is measured using a pure standard. Analyte-specific.",Basic,Read-Only,Text (free),Monitor mass correction: 202Hg signal × (204Hg/202Hg)natural to correct 204Pb | Abundance sensitivity tailing factor measured weekly from pure U standard | None | N/A | Other: specify,Analyte-Specific,2026-06-18,
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample isotope ratios and/or elemental concentrations from spike-sample mixture measurements. For double-spike procedures, isotope ratios and concentrations are co-determined through the spike inversion. For conventional ID concentration procedures (separate concentration spike), IUPAC ID equations are used. Record 'None' if neither isotope dilution nor double-spike methods are used.",Basic,Read-Only,Text (free),Double-spike inversion (isotope ratios and concentrations co-determined) | IUPAC isotope dilution equations (concentration from separate ID spike) | None | N/A | Other: specify,,2026-07-24,
Memory Effect Mitigation,"Procedure applied to minimize carryover of analyte isotopes between successive sample introductions. In MC-ICP-MS, extended rinse periods with the same acid matrix as samples (see Wash Time Between Samples) are the primary mitigation. At data processing level, documents any flagging or exclusion of measurements preceded by samples with significantly different isotopic compositions where carryover may be suspected.",Advanced,Editable,Text (free),Extended acid rinse between samples; first measurement excluded if preceded by high-signal sample | Blank measurement inspected before each sample; session halted if blank > 0.5% of sample signal | None required for this analyte suite | N/A | None,,2026-07-24,
Uncertainty Propagation Method,"Method used to propagate analytical uncertainties from raw isotope ratios through to final δ or ε values. For SSB procedures, uncertainty is typically calculated from the reproducibility of bracketing standard measurements. For double-spike procedures, uncertainty is propagated through the inversion using error propagation equations or Monte Carlo simulation.",Advanced,Editable,Text (free),2σ of bracketing standard reproducibility propagated to sample | Monte Carlo simulation through double-spike inversion | ISO GUM quadrature propagation | N/A | None | Other: specify,,2026-07-24,
Normalization/Standards-Based Correction,Post-acquisition normalization applied to output isotope ratio data beyond the primary mass bias correction. Examples: correction of δ values for decay of enriched spike isotopes between calibration and use date (double-spike procedures); age correction of δ238U for secular disequilibrium. Record 'None' if no additional normalization is applied.,Advanced,Editable,Text (free),Spike isotope decay correction applied | Age correction for U-series disequilibrium | None | N/A | Other: specify,,2026-07-24,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from Reference Material Information / Secondary Reference Materials (Group 6), which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",,2026-07-28,
,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,
Primary Calibration Standard Name,"Name and reference material identifier of the isotopic reference standard used as the bracketing standard (SSB) or zero-delta anchor. This is an isotopic composition standard (not a concentration standard): it defines the isotopic composition against which all sample δ or ε values are normalized. Must be a pure, homogeneous, internationally distributed material with well-characterized isotopic composition. For double-spike procedures, also used for spike calibration.",Basic,Editable,Text (free),IRMM-014 (Fe isotopes; Taylor et al. 1992) | CRM-112a / SRM-960 (U isotopes) | NIST SRM 981 (Pb isotopes) | JMC Lyon Zn standard | NIST SRM 3102a (Sb) | In-house single-element standard solution: specify | N/A | None | Other: specify,,2026-07-24,
Calibration Standard Measurement Frequency,"How often the primary isotopic standard is measured relative to unknown samples within a session. For SSB, typically one standard measurement before and one after each sample (standard–sample–standard triplet). Specify the bracketing scheme.",Basic,Read-Only,Text (free),SSB: one standard before and one after every sample | One standard every 3 samples | Start and end of session only | N/A | None | Other: specify,,2026-06-18,
Secondary Reference Materials,"Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and the isotopic composition reference source (certified value, consensus value, or literature compilation). For isotope ratio procedures, secondary RMs are geological materials with published isotopic compositions (e.g., BHVO-2 for Fe isotopes) or pure isotopic standards of certified composition.",Basic,Editable,Text (free),BHVO-2 (Fe isotopes; Dauphas & Rouxel 2006 compilation) | BCR-2 | NIST SRM 960 or equivalent U standard | NIST SRM 981 (Pb) | AGV-2 | N/A | None | Other: specify,,2026-07-24,
In-Run Isotope Ratio Reproducibility and Assessment Method,"Reproducibility of isotope ratio or δ-value measurements within a single analytical session and the method used to assess it. For solution MC-ICP-MS, precision is reported as 2σ (two standard deviations) or 2SE (two standard errors of the mean) on replicate analyses of an isotopic standard or secondary reference material run as an unknown during the session. Specify: (1) the metric (2σ, 2SD, 2SE, 95% CI); (2) the reference material or standard analyzed; (3) the number of replicate measurements; (4) the ratio pair or δ value assessed. Example: 2SD = 0.03‰ on δ56Fe (n = 10 BHVO-2 analyses in session).",Advanced,Basic,Text (free),2SD = 0.03‰ on δ56Fe (n=10 BHVO-2); session | 2σ = 0.004‰ on δ238U (n=9 CRM-112a brackets) | N/A | None | Other: specify,,2026-06-18,
Between-Session Reproducibility and Assessment Method,Reproducibility of isotope ratio or δ-value measurements across multiple analytical sessions (long-term external reproducibility) and the method used to assess it. Typically expressed as 2SD of repeated independent measurements of a secondary reference material across sessions over weeks to months. Specify: (1) the metric; (2) the reference material; (3) the number of measurements and sessions; (4) the ratio or δ value assessed.,Advanced,Basic,Text (free),2SD = 0.030‰ on δ56Fe (n=23 sessions; BHVO-1; Dauphas et al. 2009) | 2SD = 0.005‰ on δ238U (n > 50 analyses; CRM-112a) | N/A | None | Other: specify,,2026-06-18,
Analytical Accuracy and Assessment Method,"Accuracy of isotope ratio or δ-value measurements relative to certified or published consensus values and the method used to assess it. For isotope ratio procedures, accuracy is typically assessed by comparing measured δ values for secondary geological reference materials against published interlaboratory compilations or certified values.",Advanced,Basic,Text (free),% deviation from published δ56Fe for BHVO-1 compilation value | Agreement with certified δ238U of IRMM-3636 spike solution | Z-score relative to interlaboratory consensus | N/A | None | Other: specify,,2026-07-24,
Detection Limit,"Elemental detection limits for each analyte, applicable when isotope dilution concentrations are also reported. For pure isotope ratio procedures (no concentration output), this field is N/A or reports the minimum sample mass required for a measurement at target precision. Specify units µg/g or µg/L and whether values are procedure-typical estimates or session-measured.",Advanced,Basic,Numeric + unit / Text,,Analyte-Specific; record N/A if procedure produces isotope ratios only,2026-07-24,
Detection Limit Method,Method used to calculate detection limits for each analyte where concentration data are reported.,Advanced,Basic,Controlled list,3σ blank | 3× blank mean | Poisson statistics | N/A | None | Other: specify,,2026-06-18,
Limit of Quantification (LOQ) Method,"Method used to determine the limit of quantification, where applicable.",Advanced,Basic,Controlled list,10σ blank | 10× DL | S/N ≥ 10 | N/A | None | Other: specify,,2026-06-18,
Additional Notes,"Any procedure- or analysis-specific information not captured by other fields, including anomalies, deviations from procedure, instrument modifications, or supplementary context.",Advanced,Advanced,Text (free),,,2026-07-24,
