Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama
Internal Standard Approach,"Role(s) assigned to the internal standard(s) in data reduction: drift correction only, matrix normalization, or a combination.",Basic,Read-Only,Controlled list,Drift correction only | Matrix normalization | Drift + matrix normalization | N/A | None | Other: specify,,2026-06-16,,Drift correction (Rh used as IS for drift; stated section 3.1),N/A (no IS; matrix-matched external calibration),ID internal standard (149Sm spike for drift + concentration calculation; stated section 2),"Drift correction (Sc, In, Re; stated Methods)",N/A (ID-IS: spike isotope ratios used for concentration calculation; stated section 2.1)
Drift Correction Method,Method used to correct for instrumental signal drift across a session.,Basic,Read-Only,Controlled list,IS normalization | Standard bracketing | IS normalization + bracketing | None | N/A | Other: specify,,2026-06-16,,IS normalization + standard bracketing (Rh IS + repeated calibration solution; stated section 3.1),Standard bracketing (matrix-matched standards at fixed intervals; stated section 2),IS normalization (149Sm spike ratio; stated section 2),"IS normalization (Sc, In, Re; stated Methods)",Standard bracketing (standard every two samples; stated section 2.1.1)
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to elemental concentrations. Documents cases where different analytes or analyte groups are calibrated using different strategies within the same procedure. If a single strategy is applied uniformly to all analytes, record that strategy.",Basic,Read-Only,Controlled list,External calibration (all analytes) | Isotope dilution (all analytes) | ID for Zn (67Zn spike); external calibration for all other elements | External calibration + standard addition | N/A | None | Other: specify,,2026-07-24,,External calibration (all analytes; stated section 3.1),External calibration with matrix-matched standards at 100 ppm Ca (stated section 2),Isotope dilution with ID-IS normalization (ID-IS; all analytes; stated section 2),External calibration (stated Methods),Isotope dilution with ID-IS normalization (all analytes; stated section 2.1)
Signal Integration Interval Method,"Method used to define the integration window for each replicate measurement (e.g., full acquisition time, stable-interval selection, automated criteria).",Basic,Read-Only,Controlled list,Full replicate | Stable interval selection | Automated peak detection | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,N
Signal Integration Time,Total integration time per analyte per replicate (s). Determined at analysis time from the actual acquisition.,N/A,Basic,Numeric (s),,,2026-06-16,,N/A,N/A,N/A,N/A,N/A
Blank/Background Correction Method,Method used to subtract instrument background and/or procedural blank from sample signals.,Basic,Read-Only,Controlled list,On-peak zero | Solution blank | Procedural blank | N/A | None | Other: specify,,2026-06-16,,N,On-peak zero (stated implicitly; calibration standards include procedural blank equivalent),N,N,N
Spike/Outlier Filtering Approach,Criteria used to identify and exclude anomalous replicate measurements or data points from the calculated mean.,Advanced,Editable,Text (free),2σ exclusion | Grubbs test | Visual inspection | None | N/A | Other: specify,,2026-06-16,,N,N,N,N,N
Pulse/Analog Detector Nonlinearity Correction,"Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog detection modes. For Q-ICP-MS instruments with dual-mode SEM detectors, a cross-calibration factor is measured and applied at the pulse-to-analog crossover threshold. Accurate cross-calibration is critical for analytes spanning a wide concentration range in the same session.",Advanced,Editable,Text (free),Applied: cross-calibration factor measured per session and applied at crossover threshold | Not applied (all signals in pulse-counting mode) | Not applicable (pulse-counting only) | N/A | None,,2026-06-16,,N,N,N,N,N
Isobaric Interference Corrections Applied,Whether mathematical corrections for isobaric or polyatomic interferences are applied during data reduction (in addition to any KED or DRC mitigation in the instrument).,Basic,Read-Only,Controlled list,Y | N | Analyte-specific | N/A | None | Other: specify,Analyte-Specific,2026-06-16,,"Y (114,115Sn+ on 114Cd+/115In+; stated section 3.1)",Y (7Li18O on 25Mg; 46Ti on 46Ca; 40Ar26Mg on 66Zn; 87Rb on 87Sr; stated Table 1 footnote),Y (95Mo16O+ and 71Ga40Ar+ on 111Cd; 97Mo16O+/113In+ on 113Cd; 115Sn+ on 115In+; stated section 2),N,N (ID-IS inherently corrects for interferences; stated section 2.1)
Interfering Species,"List of isobaric or polyatomic species mathematically corrected in data reduction. Analyte-specific. For Q-ICP-MS, common interferences include ArCl+ on 75As, MoO+ species on Cd isotopes, and BaO+ on Eu. Additional interference mitigation via KED or DRC is documented in Group 3 and Group 4.",Basic,Read-Only,Text (free),ArCl+ on 75As | MoO+ on Cd isotopes | Ba2+ on Zn isotopes | None | N/A | Other: specify,Analyte-Specific,2026-06-16,,114Sn+ on 114Cd+; 115Sn+ on 115In+ (stated section 3.1),7Li18O+ on 25Mg; 46Ti on 46Ca; 40Ar26Mg+ on 66Zn; 87Rb+ on 87Sr (Table 1 footnote),95Mo16O+ and 71Ga40Ar+ on 111Cd; 97Mo16O+ and 113In+ on 113Cd; 115Sn+ on 115In+ (stated section 2),N,N
Interference Correction Method,"Mathematical approach used to calculate and remove interference contributions from measured signals (e.g., interference standard solutions isolating specific polyatomics, mass-balance equations using empirical correction factors).",Basic,Read-Only,Text (free),Interference standard solutions (Burney–Neal approach) | Mass-balance equations | Empirical correction factors from pure element solutions | None | N/A | Other: specify,Analyte-Specific,2026-06-16,,Empirical correction factors from pure 118Sn solution (stated section 3.1),Empirical correction factors (stated Table 1 footnote),Ratio-based correction using 95Mo and 118Sn monitors (stated section 2),N,N
Isotope Dilution Data Reduction Method,Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements. Record 'None' if isotope dilution is not used.,Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,,2026-06-16,,None,None,IUPAC isotope dilution equations with ID-IS internal standard normalization (stated section 2),None,IUPAC isotope dilution equations (ID-IS method; stated section 2.1)
Memory Effect Mitigation,"Procedure applied to identify and minimize carry-over of high-concentration elements between successive sample introductions. For solution ICP-MS, mitigation is implemented primarily at measurement time through extended rinse periods (see Wash Time Between Samples, Group 4). At data processing level, documents any flagging or exclusion of measurements preceded by high-concentration samples or standards where the required washout time may not have been achieved.",Advanced,Editable,Text (free),Extended rinse between high-concentration samples and unknowns; flagged in sequence log | Replicate first measurement discarded if preceded by high-concentration standard | None required for this analyte suite | N/A | None,,2026-07-24,,Alternating 5% HNO3 + 0.1% HF and 3% HNO3 washout for B and Ta (stated section 3.1),60 s wash between samples (stated Table 1),>=200 s in 0.5 mol/l HNO3; 200 s HF wash after Mo standard (stated section 2),N,~3 min washout; ~3 min uptake stabilization (stated section 2.1.1)
Uncertainty Propagation Method,Method used to propagate analytical uncertainties from raw signals through to final concentration values.,Advanced,Editable,Text (free),Quadrature propagation | Monte Carlo | ISO GUM | None | N/A | Other: specify,,2026-06-16,,N,N,N,N,N
Normalization/Standards-Based Correction,"Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a monitor element's certified value in the calibration standard).",Advanced,Editable,Text (free),CI chondrite normalization | Primitive mantle normalization | None | N/A | Other: specify,,2026-06-16,,N,N,N,N,N
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from Reference Material Information / Secondary Reference Materials (Group 6), which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",,2026-07-28,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,N,N,N,N,N
Primary Calibration Standard Name,Name and reference material identifier of the external calibration standard used to convert signal intensities to elemental concentrations.,Basic,Editable,Text (free),NIST SRM 1640a | Merck multi-element solution | Lab-prepared single-element standard mix | N/A | None | Other: specify,,2026-06-16,,Multi-element calibration solution (not formally named; stated section 3.1),Series of matrix-matched standards at 100 ppm Ca (not formally named; stated section 2),"Multi-element calibrator solution (Cd, In, Tl, Bi, Sm; not formally named; stated section 2)",Mixture of certified standards (not formally named; stated Methods),Multi-element standard solution (not formally named; stated section 2.1.1)
Calibration Standard Measurement Frequency,How often the primary calibration standard is measured relative to unknown samples within a session.,Basic,Read-Only,Text (free),Before and after every 3 samples | Bracketing every 5 samples | Start and end of session only | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,Every two samples (stated section 2.1.1)
Secondary Reference Materials,Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and expected-value source.,Basic,Editable,Text (free),BHVO-2 | BCR-2 | AGV-2 | W-2a | N/A | None | Other: specify,,2026-06-16,,"AGV-1, BHVO-1, G-2, SCO-1, GSR-5 (stated Table 2)",N (inter-lab comparison used; no certified RM listed as secondary standard),"JB-2, JB-3, JA-1, JA-2, JA-3, JP-1, BHVO-1, AGV-1, PCC-1, DTS-1, NIST SRM 610/612/614/616, carbonaceous chondrites (stated in text)",N,USGS and GSJ geological reference materials and carbonaceous chondrites (stated Table 5)
Detection Limit,Elemental detection limits for each analyte. Specify units (µg/g or µg/L) and whether values are procedure-typical estimates or session-specific measured values.,Advanced,Basic,Numeric + unit / Text,,Analyte-Specific,2026-07-24,,N,N,"Analyte-specific (pg/ml level; e.g., Cd 0.04 pg/ml, In 0.5 pg/ml, Tl 0.5 pg/ml, Bi 0.6 pg/ml; stated Table 1)",N,N
Detection Limit Method,Method used to calculate detection limits for each analyte.,Advanced,Basic,Controlled list,3σ blank | 3σ background | 3× blank mean | Poisson statistics | N/A | None | Other: specify,,2026-06-16,,N,N,3 sigma blank (stated section 2),N,N
Limit of Quantification (LOQ) Method,Method used to determine the limit of quantification.,Advanced,Basic,Controlled list,10σ blank | 10× DL | S/N ≥ 10 | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,N
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analysis session and the method used to assess it (e.g., %RSD of replicate standard or reference material measurements).",Advanced,Basic,Text (free),RSD of replicate standard measurements | RSD of secondary RM replicates | N/A | None | Other: specify,,2026-06-16,,%RSD of repeated standard measurements (stated section 3.1),N,%RSD of repeated standard and RM analyses (stated section 2),N,N
Between-Session (Long-Term) Analytical Precision and Assessment Method,Precision of measurements across multiple analysis sessions (long-term reproducibility) and the assessment method.,Advanced,Basic,Text (free),RSD of secondary RM across sessions | Control chart | N/A | None | Other: specify,,2026-06-16,,N,N,N,N,N
Analytical Accuracy and Assessment Method,Accuracy of final concentration measurements relative to certified or consensus values and the method used to assess it.,Advanced,Basic,Text (free),Percent recovery of secondary RM | Z-score | Bias from certified value | N/A | None | Other: specify,,2026-06-16,,"% recovery relative to USGS/GSCA certified/consensus values (stated section 3.2, Tables 2-3)",Comparison with published inter-lab values for Me/Ca ratios (stated section 3),% recovery relative to certified/consensus values for USGS/GSJ/NIST RMs (stated section 3),N,% recovery relative to USGS/GSJ certified values (stated section 3)
Additional Notes,"Any procedure- or analysis-specific information not captured by other fields, including anomalies, deviations from procedure, or supplementary context.",Advanced,Advanced,Text (free),,,2026-07-24,,Autolens used (not guard electrode; stated section 3.1); 3 sweeps/reading x 3 readings = 9 sweeps/replicate; 48 trace elements analyzed,Peak hopping scan mode explicitly stated in Table 1 [NOTE: no dedicated Signal Collection Mode field in TAPP v2; Phase 4 flag]; pulse counting detection; autolens on (Table 1); 0.03 mm ID pump tubing for ~60 uL/min uptake,Dwell times in Table 1 expressed as ms per 1 s cycle time; octopole CRC present but no gas used (PML practice); 149Sm used as both ID spike and internal standard,He KED applied only for masses 23-75; above mass 75 no KED (stated Methods); coupled to MC-ICP-MS Neptune Plus for Zn isotopes on same dissolved aliquots,Pseudo-flow injection (pFI) acquisition: 30 s / 48 scans / 1 pt per mass; 0.5 mol/l HF as carrier and wash; shield torch on; Pt cones; self-aspiration PFA-20
