Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Literature Assessment
Mass Fractionation Law,"Mathematical law used to parameterize instrumental isotope mass fractionation as a function of mass difference. The exponential law (Maréchal et al. 1999) is most widely used and theoretically best justified for MC-ICP-MS. The linear law assumes fractionation proportional to mass difference. The power law is an alternative formulation. For double-spike procedures, the law is embedded in the inversion algorithm and must be consistent between spike calibration and sample data reduction.",Basic,Read-Only,Controlled list,Exponential | Linear | Power | N/A | None | Other: specify,,2026-07-24,(none),
Double-Spike Isotope Pair,"The pair of enriched isotopes used to construct the double spike. Both isotopes must be naturally rare, free from isobaric interferences, and chosen to minimize error magnification in the inversion. The double spike composition must be accurately calibrated before use. Specify both isotope masses and the spike certificate or calibration reference. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",Basic,Read-Only,Text (free),233U–236U (IRMM-3636) | 117Sn–122Sn (in-house calibrated) | 57Fe–58Fe | 61Ni–62Ni | 204Pb–207Pb | N/A | None | Other: specify,,2026-08-11,(none),
Double-Spike Mixing Ratio,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",Advanced,Editable,Text (free),~0.40 (spike fraction; optimal for 117Sn–122Sn) | ~0.5 spike:sample | N/A | None,,2026-08-11,(none),
Double-Spike Inversion Algorithm,"Mathematical algorithm used to simultaneously solve for the true sample isotope ratio and the mass fractionation factor from the measured spike-sample mixture. Common implementations: iterative Newton-Raphson solution, matrix algebraic approach, or published software (e.g., Rudge et al. 2009 Double Spike Toolbox). Specify the algorithm or software reference and version. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",Basic,Read-Only,Text (free),Rudge et al. (2009) Double Spike Toolbox | Iterative Newton-Raphson (Compston & Oversby 1969) | In-house spreadsheet implementing exponential-law inversion | N/A | None | Other: specify,,2026-08-11,(none),
Internal Normalization Element and Isotope Ratio,"Element and isotope ratio used as the internal normalization standard for mass bias correction. The measured ratio of the normalizing element is used to calculate the mass bias factor β using the chosen mass fractionation law, which is then applied to correct the analyte isotope ratios assuming β_norm ≈ β_analyte. Specify the element, the monitored isotope ratio (e.g., 113Cd/111Cd for Sb measurements), and the certified or consensus value used for correction. Record 'N/A' if internal normalization is not used. Record 'N/A' where the procedure does not use internal normalization.",Basic,Read-Only,Text (free),60Ni/58Ni = 0.38579 (from IUPAC 2021) for Fe-Ni doping | 65Cu/63Cu = 0.44561 for Fe-Cu doping | 113Cd/111Cd = 0.95542 (Abouchami et al. 2012) for Sb | 205Tl/203Tl = 2.38714 for Pb | N/A | None | Other: specify,,2026-08-11,(none),
Isotope Ratio Reported,"Specific isotope ratio pair(s) reported as primary data output. The denominator isotope is typically the reference mass used in the delta notation (e.g., 54Fe for Fe isotopes, 235U for U isotopes). Report all ratio pairs routinely calculated and reported.",Basic,Read-Only,Text (free),56Fe/54Fe and 57Fe/54Fe | 238U/235U | 122Sn/118Sn | 123Sb/121Sb | 206Pb/204Pb; 207Pb/204Pb; 208Pb/204Pb | N/A | None | Other: specify,,2026-08-11,reported property,
delta or epsilon Value Reference Standard,"International or community-accepted isotopic reference standard used as the zero-delta anchor for expressing isotopic compositions in delta (δ, per mil) or epsilon (ε, per ten thousand) notation: δⁱX = [(ⁱX/ʲX)sample / (ⁱX/ʲX)reference − 1] × 1000‰. The reporting reference is a per-study or per-publication decision and is specified at analysis level. Specify the standard name, lot or batch number where applicable, and the certified or consensus isotope ratio used for normalization.",N/A,Basic,Text (free),IRMM-014 (Fe; Taylor et al. 1992) | CRM-112a / SRM-960 (U) | NIST SRM 981 (Pb) | NIST SRM 3102a (Sb) | Sn_IPGP (in-house Sn standard) | JMC Lyon (Zn) | N/A | None | Other: specify,,2026-08-11,analyte,
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to elemental concentrations, where concentration data are also a product of the procedure (e.g., isotope dilution combined with isotope ratio measurement). For procedures producing isotope ratios only (no concentration output), record 'Not applicable (isotope ratios only)'. For double-spike procedures that simultaneously yield concentrations, record the ID calculation approach. Where different elements use different strategies, record each.",Advanced,Read-Only,Controlled list,Not applicable (isotope ratios only) | Isotope dilution via double-spike inversion (concentrations co-determined with isotope ratios) | IUPAC isotope dilution equations (separate ID spike) | N/A | None | Other: specify,,2026-07-24,analyte,
Signal Integration Interval Method,"Method used to define which portion of the acquisition signal is integrated for each measurement. In MC-ICP-MS, all cycles within a block are typically used unless signal instability is detected. Specify the rule for including or excluding individual cycles.",Basic,Read-Only,Controlled list,All cycles included unless signal instability detected | Visual inspection of cycle-by-cycle data; outlier cycles excluded manually | Automated 2σ outlier rejection per block | N/A | None | Other: specify,,2026-06-18,(none),
Signal Integration Time,Total integration time per sample solution (s). Calculated from blocks × cycles per block × integration time per cycle. Recorded at analysis level as the actual total time used.,N/A,Basic,Numeric (s),,,2026-06-18,(none),
Blank / Background Correction Method,"Method used to subtract instrument background from analytical signals. In MC-ICP-MS, on-peak zero subtraction (aspirating the same acid matrix as samples while measuring background at the analyte masses with beam deflector or from baseline cycles at the start of each block) is standard. For isotope ratio procedures where procedural blank is minor relative to the sample signal, on-peak zero is often sufficient. For low-level analyses, procedural blank must be measured and subtracted.",Basic,Read-Only,Controlled list,On-peak zero (acid blank) | Procedural blank | On-peak zero + procedural blank | N/A | None | Other: specify,,2026-07-24,(none),
Spike / Outlier Filtering Approach,Criteria used to identify and exclude anomalous cycles or replicate measurements from the calculated isotope ratio mean. Filtering is applied after baseline subtraction and before mass bias correction.,Advanced,Editable,Text (free),2σ exclusion on per-cycle ratios | Grubbs test | Visual inspection | None | N/A | Other: specify,,2026-06-18,(none),
Isobaric Interference Corrections Applied,"Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction, supplementary to any interference suppression achieved by chemical separation or mass resolution. In solution MC-ICP-MS, chemical separation is the primary interference mitigation; mathematical corrections address residual contributions. Common examples: 204Hg on 204Pb; abundance sensitivity tailing of 238U onto 236U and 235U.",Basic,Read-Only,Controlled list,Y | N | Analyte-specific | N/A | None | Other: specify,,2026-08-11,channel,
Interfering Species,"List of isobaric or polyatomic species mathematically corrected in data reduction. Includes direct isobars (e.g., 54Cr+ on 54Fe+, 58Ni+ on 58Fe+), abundance sensitivity tailing (e.g., 238U tail on 235U and 236U in U isotope measurements), and hydride interferences (e.g., 238UH+ at mass 239).",Basic,Read-Only,Text (free),54Cr+ on 54Fe+; 58Ni+ on 58Fe+ | 204Hg+ on 204Pb (corrected via 202Hg monitor) | 238U abundance sensitivity tail on 235U and 236U | None | N/A | Other: specify,,2026-08-11,channel,
Interference Correction Method,"Mathematical approach used to calculate and remove residual interference contributions. For direct isobars, interference monitor masses (e.g., 202Hg to correct 204Hg on 204Pb) are measured simultaneously and used with natural abundance ratios to calculate the interference contribution. For abundance sensitivity, the tailing factor is measured using a pure standard.",Basic,Read-Only,Text (free),Monitor mass correction: 202Hg signal × (204Hg/202Hg)natural to correct 204Pb | Abundance sensitivity tailing factor measured weekly from pure U standard | None | N/A | Other: specify,,2026-08-11,channel,
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample isotope ratios and/or elemental concentrations from spike-sample mixture measurements. For double-spike procedures, isotope ratios and concentrations are co-determined through the spike inversion. For conventional ID concentration procedures (separate concentration spike), IUPAC ID equations are used. Record 'None' if neither isotope dilution nor double-spike methods are used.",Basic,Read-Only,Text (free),Double-spike inversion (isotope ratios and concentrations co-determined) | IUPAC isotope dilution equations (concentration from separate ID spike) | None | N/A | Other: specify,,2026-07-24,(none),
Memory Effect Mitigation,"Procedure applied to minimize carryover of analyte isotopes between successive sample introductions. In MC-ICP-MS, extended rinse periods with the same acid matrix as samples (see Wash Time Between Samples) are the primary mitigation. At data processing level, documents any flagging or exclusion of measurements preceded by samples with significantly different isotopic compositions where carryover may be suspected.",Advanced,Editable,Text (free),Extended acid rinse between samples; first measurement excluded if preceded by high-signal sample | Blank measurement inspected before each sample; session halted if blank > 0.5% of sample signal | None required for this analyte suite | N/A | None,,2026-07-24,(none),
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,,2026-08-10,(none),
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),2σ of bracketing standard reproducibility propagated to sample | Monte Carlo simulation through double-spike inversion | ISO GUM quadrature propagation | N/A | None | Other: specify,,2026-08-10,reported property,
Normalization / Standards-Based Correction,Post-acquisition normalization applied to output isotope ratio data beyond the primary mass bias correction. Examples: correction of δ values for decay of enriched spike isotopes between calibration and use date (double-spike procedures); age correction of δ238U for secular disequilibrium. Record 'None' if no additional normalization is applied.,Advanced,Editable,Text (free),Spike isotope decay correction applied | Age correction for U-series disequilibrium | None | N/A | Other: specify,,2026-07-24,reported property,
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from Primary Calibration Standard Name, which identifies the material used, and from Per-Analyte Calibration Strategy, which states which approach applies to which analyte: this field records the resulting factor itself.",Basic,Editable,Text (free),,,2026-08-08,reported property,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method, which is procedure-level: this field records what was actually measured. Follows the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),,,2026-08-08,(none),
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from Spike / Outlier Filtering Approach, which removes anomalous points within a single analysis: this field decides which whole analyses enter the reported value. Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Basic,Basic,Text (free),,,2026-08-08,(none),
Error Correlation Between Reported Quantities,"The correlation coefficient between pairs of reported quantities whose uncertainties are not independent, together with the pair it applies to and how it was obtained. Concordia and isochron regressions cannot be reconstructed without it.",Advanced,Basic,Numeric (dimensionless) / Text,"e.g., 'rho(206Pb/238U, 207Pb/235U) = 0.83, from the data reduction software error propagation' | 'rho = 0.31 (double-spike inversion covariance)'",,2026-08-11,pair: reported property,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from Reference Material Information / Secondary Reference Materials (Group 6), which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",,2026-08-11,(none),
,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,N
Primary Calibration Standard Name,"Name and reference material identifier of the isotopic reference standard used as the bracketing standard (SSB) or zero-delta anchor. This is an isotopic composition standard (not a concentration standard): it defines the isotopic composition against which all sample δ or ε values are normalized. Must be a pure, homogeneous, internationally distributed material with well-characterized isotopic composition. For double-spike procedures, also used for spike calibration. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),IRMM-014 (Fe isotopes; Taylor et al. 1992) | CRM-112a / SRM-960 (U isotopes) | NIST SRM 981 (Pb isotopes) | JMC Lyon Zn standard | NIST SRM 3102a (Sb) | In-house single-element standard solution: specify | N/A | None | Other: specify,,2026-07-24,(none),
Calibration Standard Measurement Frequency,"How often the primary isotopic standard is measured relative to unknown samples within a session. For SSB, typically one standard measurement before and one after each sample (standard–sample–standard triplet). Specify the bracketing scheme.",Basic,Read-Only,Text (free),SSB: one standard before and one after every sample | One standard every 3 samples | Start and end of session only | N/A | None | Other: specify,,2026-06-18,(none),
Secondary Reference Materials,"Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name, the analytes assessed against it, and the isotopic composition reference source (certified value, consensus value, or literature compilation). For isotope ratio procedures, secondary RMs are geological materials with published isotopic compositions (e.g., BHVO-2 for Fe isotopes) or pure isotopic standards of certified composition.",Basic,Editable,Text (free),BHVO-2 (Fe isotopes; Dauphas & Rouxel 2006 compilation) | BCR-2 | NIST SRM 960 or equivalent U standard | NIST SRM 981 (Pb) | AGV-2 | N/A | None | Other: specify,,2026-07-24,defines: standard per analyte,
In-Run Isotope Ratio Reproducibility and Assessment Method,"Reproducibility of isotope ratio or δ-value measurements within a single analytical session and the method used to assess it. For solution MC-ICP-MS, precision is reported as 2σ (two standard deviations) or 2SE (two standard errors of the mean) on replicate analyses of an isotopic standard or secondary reference material run as an unknown during the session. Specify: (1) the metric (2σ, 2SD, 2SE, 95% CI); (2) the reference material or standard analyzed; (3) the number of replicate measurements; (4) the ratio pair or δ value assessed. Example: 2SD = 0.03‰ on δ56Fe (n = 10 BHVO-2 analyses in session).",Advanced,Basic,Text (free),2SD = 0.03‰ on δ56Fe (n=10 BHVO-2); session | 2σ = 0.004‰ on δ238U (n=9 CRM-112a brackets) | N/A | None | Other: specify,,2026-06-18,standard x reported property,
Between-Session Reproducibility and Assessment Method,Reproducibility of isotope ratio or δ-value measurements across multiple analytical sessions (long-term external reproducibility) and the method used to assess it. Typically expressed as 2SD of repeated independent measurements of a secondary reference material across sessions over weeks to months. Specify: (1) the metric; (2) the reference material; (3) the number of measurements and sessions; (4) the ratio or δ value assessed.,Advanced,Basic,Text (free),2SD = 0.030‰ on δ56Fe (n=23 sessions; BHVO-1; Dauphas et al. 2009) | 2SD = 0.005‰ on δ238U (n > 50 analyses; CRM-112a) | N/A | None | Other: specify,,2026-06-18,standard x reported property,
Analytical Accuracy and Assessment Method,"Accuracy of isotope ratio or δ-value measurements relative to certified or published consensus values and the method used to assess it. For isotope ratio procedures, accuracy is typically assessed by comparing measured δ values for secondary geological reference materials against published interlaboratory compilations or certified values.",Basic,Basic,Text (free),% deviation from published δ56Fe for BHVO-1 compilation value | Agreement with certified δ238U of IRMM-3636 spike solution | Z-score relative to interlaboratory consensus | N/A | None | Other: specify,,2026-08-11,standard x reported property,
Detection Limit,"Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set), applicable when isotope dilution concentrations are also reported. For pure isotope ratio procedures (no concentration output), this field is N/A or reports the minimum sample mass required for a measurement at target precision. Specify units µg/g or µg/L and whether values are procedure-typical estimates or session-measured. Record 'N/A' where the procedure produces isotope ratios only and reports no concentrations.",Advanced,Basic,Numeric + unit / Text,,,2026-08-11,reported property,
Detection Limit Method,"Method used to calculate detection limits for each reported concentration variable, where concentration data are reported.",Basic,Read-Only,Controlled list,3σ blank | 3× blank mean | Poisson statistics | N/A | None | Other: specify,,2026-08-11,reported property,
Limit of Quantification (LOQ) Method,"Method used to determine the limit of quantification, where applicable.",Advanced,Basic,Controlled list,10σ blank | 10× DL | S/N ≥ 10 | N/A | None | Other: specify,,2026-06-18,reported property,
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. Answers whether a reported aggregate is defensible as a single population. Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,,2026-08-08,reported property,
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,,2026-08-11,(none),
