Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Keyed By,Spot,Transect,Mapping,Literature Assessment
Oxide Production,"Actual oxide production ratio measured during this analytical session, using the method specified in the procedure-level field ""Oxide Production Method and Threshold"". Report the measured value and confirm it met the procedure threshold.",N/A,Basic,Text (free),"e.g., 'ThO⁺/Th⁺ = 0.3% (threshold <0.5% met)' | 'ThO⁺/Th⁺ = 0.08%' | 'CeO⁺/Ce⁺ = 0.7% (threshold <1.0% met)'",,2026-07-24,(none),Y,Y,Y,
Doubly-Charged Species Monitor,The mass ratio monitored to estimate doubly-charged ion (M²⁺) formation during instrument tuning. Doubly-charged ions appear at half the mass of the parent ion and can cause isobaric interferences on analytes in that mass region. The monitor species and the mass positions monitored should be stated explicitly. Analogous to Oxide Production Method and Threshold for oxide monitoring.,Advanced,Editable,Text (free),¹³⁸Ba²⁺/¹³⁸Ba⁺ (m/z 69/138); Ce²⁺/Ce⁺ (m/z 70/140); ²³⁸U²⁺/²³⁸U⁺ (m/z 119/238),,2026-05-14,(none),Y,Y,Y,
Doubly-Charged Species Production,"Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here. Report both the threshold and the measured value where possible.",Advanced,Editable,Text (free),"<1% (threshold); 0.4% (measured, ¹³⁸Ba²⁺/¹³⁸Ba⁺); N (not reported)",,2026-07-24,(none),Y,Y,Y,
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions. These constraints are part of the procedure and cannot be varied by the analyst.",Advanced,Read-Only,Text (free),"e.g., '≥30 min warm-up after sample change; sessions ≤8 h after tuning' | '3–4 h warm-up; no session duration limit'",,2026-07-24,(none),Y,Y,Y,
Analysis Sequence,"Repeating order of primary calibration standard(s), quality control standard(s), and unknown analyses within a measurement session. Editable to allow minor adjustments while maintaining the bracketing strategy defined in the procedure.",Basic,Editable,Text (free),"e.g., '1 primary std / 1 QC / 10 unknowns' | '2/4/15' | 'Calibration at start and end; unknowns in between'",,2026-07-24,(none),Y,Y,Y,
Analyte,"Isotopes (mass/charge) this procedure is designed to measure. Defines the scope of the procedure and enables matching of procedures to analytical needs. At analysis level, record the specific isotopes actually measured in the session — this may be a subset of the procedure scope if certain masses were excluded due to interference issues or detector limitations.",Basic,Editable,Text (free),"e.g., 'Major elements: ²⁵Mg, ²⁸Si, ⁴⁴Ca, ⁵⁷Fe; Trace elements: ⁴⁵Sc, ⁵¹V, ⁵³Cr ... ²³⁸U' | 'All REE: ¹³⁹La–¹⁷⁵Lu'",,2026-07-24,defines: analyte,Y,Y,Y,
Monitored Isotopes,"Specific isotope(s) monitored per analyte element in this procedure, including any interference-monitor masses.",Basic,Read-Only,Text (free),⁷Li | ²⁵Mg | ⁵⁶Fe | ²⁰⁸Pb | N/A | None | Other: specify,,2026-08-11,analyte,Y,Y,Y,
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from Analyte and Monitored Isotopes, which record what was acquired. A procedure may acquire many masses and report a small number of derived quantities; without this field a data consumer cannot tell which columns of a dataset the procedure is accountable for.",Basic,Read-Only,Text (free),"e.g., 'Element concentrations in ug/g; 2SE per analyte' | '207Pb/206Pb, 206Pb/238U, 207Pb/235U (radiogenic, common-Pb corrected), absolute ratios with 2-sigma'",,2026-08-08,defines: reported property,Y,Y,Y,
Mass Resolution per Analyte,Mass resolution mode assigned to each analyte in this procedure. The selected resolution determines which polyatomic interferences are physically resolved by the magnetic sector. Per-analyte assignments are documented here; the overall mode(s) used in the procedure are recorded in Mass Resolution Setting (Group 3).,Basic,Read-Only,Text (free),"LR: Ag, Cd, Sb, Tl, Bi; MR: Ga, Ge, Mo, In, Sn, W | All LR (m/Δm ≈ 300) | N/A | None | Other: specify",,2026-08-11,analyte,Y,Y,Y,
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from Pulse/Analog Detector Nonlinearity Correction, which cross-calibrates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),"e.g., '23' | '23 ns (determined from NIST 612 at varying spot size, checked quarterly)'",,2026-08-08,channel,Y,Y,Y,
Collision Gas Type,Type of collision gas introduced into the collision/reaction cell in KED mode. Helium (He) is the standard collision gas for kinetic energy discrimination due to its low mass and chemical inertness. Record 'None' if the CRC is in STD mode or not installed. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.,Basic,Read-Only,Text (free),He (helium) | None | N/A | Other: specify,,2026-08-11,(none),Y,Y,Y,
Collision Gas Flow Rate,"Flow rate of the collision gas (typically He) introduced into the collision/reaction cell, in mL/min. Controls the degree of ion thermalization and KED efficiency. Record 'None' if the CRC is in STD mode. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.",Basic,Editable,Numeric (mL/min),3.5 mL/min | 4.0 mL/min | None (STD mode) | N/A,,2026-08-11,(none),Y,Y,Y,
Cell Exit Discrimination Voltage,"Bias voltage applied at the collision/reaction cell exit to discriminate between analyte ions and low-energy polyatomic interferences in KED mode, in volts (V). A negative bias preferentially retards slow polyatomic ions while transmitting faster analyte ions. Record 'None' if the CRC is in STD mode. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.",Basic,Editable,Numeric (V),−5 V | −8 V | None (STD mode) | N/A,,2026-08-11,(none),Y,Y,Y,
Reaction Gas Type,"Type of reactive gas introduced into the dynamic reaction cell (DRC) for interference removal through ion-molecule reactions. Common reaction gases include NH₃ (e.g., for Fe, Ca, K isotopes) and O₂ (e.g., for As, Ge). Record 'None' if DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC.",Advanced,Read-Only,Text (free),NH₃ | O₂ | CH₄ | None | N/A | Other: specify,,2026-08-11,(none),Y,Y,Y,
Reaction Gas Flow Rate,"Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC), in mL/min. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC.",Advanced,Editable,Numeric (mL/min),0.4 mL/min | 0.8 mL/min | None | N/A,,2026-08-11,(none),Y,Y,Y,
Background Count Time,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment.",Basic,Editable,Numeric (s),"e.g., '30 s (spot/transect)' | '10 s per raster line (mapping)' | '25 s (one gas blank map per GRM at session start)'",,2026-05-06,(none),Y,Y,Y,
Multi-Run Sequential Analysis Design,"Whether the procedure uses a single acquisition pass or multiple sequential runs on the same sample location, each optimized for different analytical objectives. For multi-run designs, describe the number of runs, their purpose, key laser and instrument settings per run, and how outputs of one run feed into data reduction of another. Not applicable to raster mapping, where each spatial location is visited exactly once.",Advanced,Read-Only,Text (free),"e.g., Single run | Two sequential runs: run 1 (major elements, 30 µm circular, medium resolution) → run 2 (trace elements, 130 µm circular, low resolution; Cr from run 1 as IS) | Pre-ablation pass + single acquisition run",,2026-08-11,(none),Y,Y,N,
Analysis Location/Spot Coordinates,"Location of the analysis on the sample surface. For spot and transect analysis: stage coordinates (X, Y in µm) or a description relative to a named reference feature (e.g., mineral rim, inclusion boundary). For mapping: coordinates of the map corner(s) or centre, plus map dimensions. Enables spatial reconstruction and co-registration with other analytical images.",N/A,Basic,Text (free),"e.g., 'X = 12350 µm, Y = 8760 µm (stage coordinates)' | '500 µm from metal-olivine rim toward core' | 'Map centre: X=15000, Y=9000 µm; area: 1450×600 µm'",,2026-05-06,sampling unit,Y,Y,Y,
Number of Replicates,Number of replicate analyses performed on the same sample (or same nominal location for spot analysis) in this session. For spot analysis: number of individual spot analyses per grain or location. For transect: number of replicate transect lines. For mapping: number of map acquisitions of the same area (usually 1).,N/A,Basic,Integer,"e.g., 3 (three replicate spots per grain) | 1 (single transect) | 1 (single map)",,2026-05-06,(none),Y,Y,Y,
Transect Length,"Total length of the transect line analysed in micrometres. This is an analysis-level parameter because it depends on the size of the feature of interest rather than being fixed in the procedure. The procedure fixes scan speed (captured in Transect Rate, Mapping Rate or Step Size); transect length is determined at analysis time based on grain or feature size.",N/A,Basic,Numeric (µm),"e.g., 500 µm | 1200 µm | 3000 µm",,2026-07-24,(none),N,Y,N,
Mapping Area,"Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm². This is an analysis-level parameter because it depends on the size of the grain or phase to be mapped. The procedure fixes scan speed, line spacing, and spot size; the map area is chosen at analysis time to cover the target feature.",N/A,Basic,Text (free),"e.g., '1450×600 µm (870,000 µm²)' | '200×200 µm' | '0.5 mm²'",,2026-07-24,(none),N,N,Y,
Collector Configuration,"Assignment of isotope masses to Faraday cup or ion counter detector positions for this procedure. Lists the mass number monitored in each collector position (e.g., L4=116Sn, L3=117Sn, L2=118Sn, L1=119Sn, Ax=120Sn, H1=121Sb, H2=122Sn, H3=123Sb, H4=124Sn). For static multi-collection procedures, one configuration applies throughout the measurement. For multi-dynamic procedures, list all configurations and the cycling sequence. Includes all interference-monitor masses collected in addition to analyte isotopes. Different element systems require different mass assignments within the collector array span.",Basic,Read-Only,Text (free),,,2026-08-08,defines: channel,Y,Y,Y,
Number of Blocks per Measurement,"Number of measurement blocks acquired per sample or standard solution introduction. In MC-ICP-MS, data are structured as blocks of cycles; each block typically begins with a baseline (on-peak zero) measurement before the analytical cycles. Multiple blocks per sample allow inspection of signal stability and within-measurement drift. Procedure specifies the standard number; analyst may adjust for samples with low signal or for high-precision requirements.",Basic,Editable,Integer,,,2026-08-08,(none),Y,Y,Y,
Number of Cycles per Block,Number of measurement cycles acquired per block. One cycle corresponds to a single set of simultaneous Faraday cup readings integrated for the duration specified in Integration Time per Cycle. Total integration time per sample = (Number of Cycles per Block) × (Integration Time per Cycle) × (Number of Blocks per Measurement). Procedure specifies the standard value; analyst may adjust within procedure bounds.,Basic,Editable,Integer,,,2026-08-08,(none),Y,Y,Y,
Integration Time per Cycle,"Duration of signal integration per measurement cycle (seconds). Determines counting statistics per cycle. Longer integration times improve shot-noise precision but increase the impact of signal drift within the integration window. For high-gain (10¹² or 10¹³ Ω) amplifier channels, longer integration times are often required to accumulate sufficient charge. Procedure specifies the standard integration time; analyst may confirm or adjust within procedure bounds. Where different isotope channels use different integration schemes, record the time for each channel.",Basic,Editable,Numeric (s),,,2026-08-08,channel,Y,Y,Y,
Baseline Measurement Approach,"Method and timing for measuring the ion beam baseline (on-peak zero) during acquisition, and the portion of the acquisition it is taken from. Three approaches are in use and the choice depends on how sample reaches the plasma: deflecting the ion beam (beam-off or electrostatic deflector); aspirating an acid blank, which applies only to solution introduction; or, for laser ablation, collecting a defined number of laser-off cycles at the start of the same block, since no blank can be aspirated mid-ablation. State which, and how many cycles or how long.",Basic,Read-Only,Text (free),,,2026-08-08,(none),Y,Y,Y,
Peak Flatness Method and Threshold,"Method used to verify that every collector sits on a flat region of its peak top simultaneously, and the acceptance threshold applied before analysis begins. Specific to simultaneous collection: a sequential instrument centres one mass at a time, whereas a multi-collector array must have all cups on flat peak tops at once or the measured ratio carries a peak-shape bias that no downstream correction removes. Typically assessed by scanning across the peak plateau, or by comparing ratios measured at slightly offset mass positions.",Basic,Read-Only,Text (free),,,2026-08-08,(none),Y,Y,Y,
Peak Flatness,"Peak flatness actually achieved in the session, assessed against the criterion registered by the procedure. Companion measured value to Peak Flatness Method and Threshold, following the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),,,2026-08-08,(none),Y,Y,Y,
,,,,,,,,,,,,
5. Data Processing,,,,,,,,,N,N,N,N
Internal Standard Approach,"Method used to determine the internal standard (IS) concentration for each unknown sample, used to correct for variable ablation yield between analyses. The approach is a fundamental procedure design choice that cannot be changed by analysts.",Basic,Read-Only,Text (free),"e.g., 'Single element from EPMA (SiO₂ wt% used as IS)' | 'Sum-of-major-oxide normalization to 100% (Liu et al. 2008)' | 'Stoichiometry-derived (Ca fixed at 10.1 wt% for calcite)' | 'No IS — external calibration only'",,2026-07-24,(none),Y,Y,Y,
Internal Standard Element,"Element(s) used as the internal standard, and how the IS concentration value was determined for unknown samples. For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference.",Basic,Read-Only,Text (free),"e.g., '²⁹Si; SiO₂ wt% from EPMA' | '⁵³Cr; measured in preceding major-element run (run 1)' | 'None — sum of MgO+FeO+SiO₂+P₂O₅ = 100 wt% (Liu et al. 2008)'",,2026-07-24,(none),Y,Y,Y,
Per-Analyte Calibration Strategy,"Documents cases where different analytes or analyte groups within the same session are calibrated using different strategies — for example, one element used as the internal standard while trace elements are calibrated by an external reference material, or different primary standards applied to different mass ranges or mineral phases. If a single calibration strategy applies uniformly to all analytes, state that here and refer to Internal Standard Approach and Normalization / Standards-Based Correction for details. Free text; list the strategy for each analyte or analyte group as needed.",Basic,Read-Only,Text (free),Single strategy: ⁴³Ca IS for all analytes (see Internal Standard fields); Multi-strategy: ⁴³Ca IS for major elements; NIST 610 external calibration for REEs; Fe+Ni+Co sum normalization for PGEs,,2026-08-11,analyte,Y,Y,Y,
Elemental Fractionation Correction,"Method used to correct for laser-induced elemental fractionation (LIEF), including downhole fractionation during prolonged ablation, matrix-dependent fractionation between sample and calibration standard, and any specific correction algorithm applied. Reference the software function or publication.",Basic,Read-Only,Text (free),"e.g., 'Normalised to NIST SRM 612; no additional downhole correction' | 'Exponential downhole fractionation correction in Iolite using NIST SRM 612' | 'Linear time-drift correction applied per analysis'",,2026-05-06,(none),Y,Y,Y,
Mass Bias Correction Strategy,"Strategy used to correct instrumental isotopic mass fractionation, also called mass bias or mass discrimination. Distinct from Elemental Fractionation Correction, which addresses inter-element fractionation during ablation and transport: this field addresses discrimination between isotopes of the same element, and applies wherever the procedure reports isotope ratios.",Basic,Read-Only,Text (free),"e.g., 'Standard-sample bracketing against NIST 612' | 'Co-aspirated Tl, exponential law' | 'None (elemental concentrations only)'",,2026-08-08,(none),Y,Y,Y,
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,,2026-08-10,(none),Y,Y,Y,
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),"e.g., Counting statistics only (1σ on integrated signal, Longerich et al. 1996) | SD of n replicate analyses used as combined uncertainty estimate | Full propagation: counting + calibration standard + IS uncertainty (specify formula)",,2026-08-10,reported property,Y,Y,Y,
Matrix Offset Correction (LIEF),Whether an empirical correction was applied to account for systematic differences in laser-induced elemental fractionation (LIEF) patterns between the external calibration standard and the sample matrix.,Advanced,Read-Only,Text (free),"e.g., 'Applied: 6.4% offset in Ca/Si determined by comparison with EPMA (Jenner & O'Neill 2012)' | 'Not applied; Ca used as IS to cancel LIEF offset' | 'Not applicable'",,2026-05-06,(none),Y,Y,Y,
Signal Integration Interval Method,"Approach used to select the stable signal interval for integration during data reduction, and to exclude anomalous signals from inclusions or cracks. For spot/transect analysis: involves identifying and excluding transient start/end instabilities within the time-resolved signal. For mapping analysis: corresponds to defining Volumes of Interest (VOIs) or applying phase masks across the 2D map (e.g., manual selection, automated clustering, threshold-based masking).",Basic,Read-Only,Text (free),"Manual visual inspection per analysis | Automated threshold (specify software and threshold) | Fixed time window applied uniformly | k-means clustering on multi-element map data | Phase mask applied using elemental threshold (e.g., P₂O₅ to exclude veinlets)",,2026-05-06,(none),Y,Y,Y,
Signal Integration Time,"Actual integration time used for the ablation signal in this analysis, in seconds. This is an analysis-level outcome determined during data reduction by applying the Signal Integration Interval Method to the time-resolved signal. It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded. Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, which is determined by the spectrometer dwell time settings (a procedure-level field) rather than being an analysis-level outcome.",N/A,Basic,Numeric (s),"e.g., 40 s | 60 s",,2026-07-24,(none),Y,Y,N,
Spike / Outlier Filtering Approach,"Method used to identify and remove anomalous signal spikes arising from micronuggets, inclusions, cracks, or instrument artifacts during time-resolved signal processing. Editable because the specific implementation may vary between sessions while remaining within the procedure framework.",Advanced,Editable,Text (free),"e.g., 'Significant single spikes visually identified and removed in Iolite' | 'Statistical filter: data points >3σ from running mean removed' | 'No filtering applied' | 'Automated spike detection in SILLS'",,2026-07-24,(none),Y,Y,Y,
Blank / Background Correction Method,"Method used to subtract the gas blank (background signal with laser off) from the ablation signal. For spot and transect analysis: typically the mean of a pre-ablation gas blank interval is subtracted per isotope per analysis. For mapping: background may be subtracted per raster line, per map session, or using a separate gas blank map acquired under identical conditions.",Basic,Read-Only,Text (free),"e.g., 'Mean of 30 s pre-ablation gas blank subtracted per isotope per analysis' | 'Separate gas blank map (10 adjacent lines, laser off) acquired for each GRM; mean used for subtraction'",,2026-05-06,(none),Y,Y,Y,
Isobaric Interference Corrections Applied,"Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean: if the procedure includes interference corrections, this is always Yes. Detail for each affected mass is captured in Interfering Species and Interference Correction Method.",Basic,Read-Only,Boolean,Yes | No,,2026-08-11,channel,Y,Y,Y,
Interfering Species,"Elemental or molecular species (oxides, argides, doubly charged ions) overlapping with the measured isotope.",Basic,Read-Only,Text (free),"e.g., '⁸⁷Rb on ⁸⁷Sr; ¹⁷⁰Yb²⁺ on ⁸⁵Rb' | '⁴⁰Ar³¹P⁺ on ⁷¹Ga; ⁴⁴Ca¹⁶O⁺ on ⁶⁰Ni' | '¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu' | 'None'",,2026-08-11,channel,Y,Y,Y,
Interference Correction Method,"Equation or procedure used to correct for isobaric interferences, including the production rate factor and the reference material used to measure it.",Basic,Read-Only,Text (free),"e.g., 'Mathematical correction: ⁸⁷Sr_corrected = ⁸⁷Sr_measured − f(⁸⁷Rb/⁸⁵Rb) × ⁸⁵Rb' | 'Cool plasma (800 W) reduces ⁴⁰Ar-based argides by >90% for ⁶⁰Ni and ⁷¹Ga' | 'KED mode (He collision gas 4 ml min⁻¹) suppresses polyatomic interferences'",,2026-08-11,channel,Y,Y,Y,
Isotope Dilution Data Reduction Method,Mass balance approach used to calculate sample mass fractions from spike-sample isotope ratio measurements in isotope dilution (ID) analysis. Record 'None' if isotope dilution is not used.,Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,,2026-06-17,(none),Y,Y,Y,
Memory Effect Mitigation,"Procedure applied to identify and minimise memory effects from high-concentration elements in the previous sample or standard that may contaminate subsequent analyses, or from incomplete aerosol washout between adjacent pixels in raster mapping mode. For mapping, the mitigation strategy involves controlling scan speed relative to washout time to ensure each pixel signal is sufficiently free of the preceding pixel's contribution.",Advanced,Editable,Text (free),"e.g., 'Extended washout (≥60 s He flush) between high-concentration standards and unknowns' | 'Scan speed set so that washout time (<1 s) is shorter than pixel acquisition interval' | 'None required for this element suite'",,2026-07-24,(none),Y,Y,Y,
Normalization / Standards-Based Correction,"Any post-acquisition normalization applied to correct for systematic biases identified from secondary reference materials, or stoichiometric normalization applied per pixel in mapping. Distinct from the primary internal standard approach captured in Internal Standard Approach.",Advanced,Editable,Text (free),"e.g., 'None' | '100% oxide sum normalization applied per pixel to enforce mass balance (Liu et al. 2008)' | 'Normalized to ⁸⁸Sr/⁸⁶Sr = 8.37521 for mass bias correction in Sr isotope analysis'",,2026-05-06,reported property,Y,Y,Y,
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from Primary Calibration Standard Name, which identifies the material used, and from Per-Analyte Calibration Strategy, which states which approach applies to which analyte: this field records the resulting factor itself.",Basic,Editable,Text (free),"e.g., ID-TIMS: EARTHTIME ET535 or ET2535 tracer, calibrated per Condon et al. (2015) and McLean et al. (2015), with stated uncertainty | LA-ICP-MS: matrix-matched primary zircon RM of independently known age (91500, GJ-1, Plesovice) used for downhole-fractionation and Pb/U calibration, with the accepted age and its source",,2026-08-08,reported property,Y,Y,Y,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method, which is procedure-level: this field records what was actually measured. Follows the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),"e.g., 'Total procedural Pb blank 0.6 +/- 0.3 pg; blank Pb composition 206Pb/204Pb = 18.55, 207Pb/204Pb = 15.50, 208Pb/204Pb = 38.08 (long-term lab average, n = 42)' | 'Gas blank 120 counts/s at mass 206, subtracted per analysis'",,2026-08-08,(none),Y,Y,Y,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from Spike / Outlier Filtering Approach, which removes anomalous points within a single analysis: this field decides which whole analyses enter the reported value. Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Basic,Basic,Text (free),"e.g., '30 grains analysed, 24 included; excluded 4 discordant beyond -5% to +10% and 2 with Pb*/Pbc < 20' | 'All analyses included, no filter applied'",,2026-08-08,(none),Y,Y,Y,
Mass Fractionation Law,"Mathematical law used to parameterize instrumental isotope mass fractionation as a function of mass difference. The exponential law (Maréchal et al. 1999) is most widely used and theoretically best justified for MC-ICP-MS. The linear law assumes fractionation proportional to mass difference. The power law is an alternative formulation. For double-spike procedures, the law is embedded in the inversion algorithm and must be consistent between spike calibration and sample data reduction.",Basic,Read-Only,Controlled list,Exponential | Linear | Power | N/A | None | Other: specify,,2026-08-08,(none),Y,Y,Y,
Internal Normalization Element and Isotope Ratio,"Element and isotope ratio used as the internal normalization standard for mass bias correction. The measured ratio of the normalizing element is used to calculate the mass bias factor β using the chosen mass fractionation law, which is then applied to correct the analyte isotope ratios assuming β_norm ≈ β_analyte. Specify the element, the monitored isotope ratio (e.g., 113Cd/111Cd for Sb measurements), and the certified or consensus value used for correction. Record 'N/A' if internal normalization is not used. Record 'N/A' where the procedure does not use internal normalization.",Basic,Read-Only,Text (free),,,2026-08-08,(none),Y,Y,Y,
Double-Spike Isotope Pair,"The pair of enriched isotopes used to construct the double spike. Both isotopes must be naturally rare, free from isobaric interferences, and chosen to minimize error magnification in the inversion. The double spike composition must be accurately calibrated before use. Specify both isotope masses and the spike certificate or calibration reference. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",Basic,Read-Only,Text (free),,,2026-08-08,(none),Y,Y,Y,
Double-Spike Mixing Ratio,"Target proportion of double-spike signal relative to total analyte signal in the spiked mixture, expressed as spike fraction (0–1) or spike:sample ratio. An optimal mixing ratio minimizes error propagation through the double-spike inversion; the optimum is analyte-system specific and is typically determined using the Double Spike Toolbox or equivalent. The achieved mixing ratio may deviate from the target within acceptable bounds (typically ±20% of optimal); the double-spike inversion corrects for actual mixing ratios. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",Advanced,Editable,Text (free),,,2026-08-08,(none),Y,Y,Y,
Double-Spike Inversion Algorithm,"Mathematical algorithm used to simultaneously solve for the true sample isotope ratio and the mass fractionation factor from the measured spike-sample mixture. Common implementations: iterative Newton-Raphson solution, matrix algebraic approach, or published software (e.g., Rudge et al. 2009 Double Spike Toolbox). Specify the algorithm or software reference and version. Record 'N/A' if double-spike method is not used. Record 'N/A' where the procedure does not use a double spike.",Basic,Read-Only,Text (free),,,2026-08-08,(none),Y,Y,Y,
Age Calculation Method,"The equation used to convert the measured quantities into an age or date, together with a citation for that equation. Name the equation unambiguously; where a procedure supports more than one, state which is used and under what conditions. Required by every geochronology reporting standard surveyed (Condon et al. 2024; Schaen et al. 2021; Rooney et al. 2024; Flowers et al. 2024; Kohn et al. 2024; Mahan et al. 2023). Distinct from Age Model and Software, which records how multiple analyses are combined into a single reported result.",Basic,Read-Only,Text (free),"e.g., 206Pb/238U and 207Pb/235U date equations (Jaffey et al. 1971 decay constants) | 207Pb/206Pb date | Wetherill concordia intercept | Tera-Wasserburg concordia intercept | 238U/206Pb-207Pb/206Pb isochron",Source: Geochronology module,2026-08-08,reported property,Y,Y,Y,
Reported Date Type,"The kind of date or age the procedure reports. Most dating systems derive several different date types from the same measurements, so a reported age is ambiguous without this. Where more than one type is reported, list all, separated by semicolons. Kohn et al. (2024) carry this as a named required item (""fission-track age type""); the equivalent distinction is required by all five other standards surveyed.",Basic,Editable,Controlled list,Weighted mean 206Pb/238U | Weighted mean 207Pb/235U | Weighted mean 207Pb/206Pb | Concordia upper intercept | Concordia lower intercept | Tera-Wasserburg intercept | Single-grain date | Isochron date | Other: specify | N/A | None,Source: Geochronology module,2026-08-08,reported property,Y,Y,Y,
Inherited or Initial Signal Correction,"How any non-radiogenic, inherited or pre-existing component of the measured signal was accounted for, including the composition assumed, its source, and its uncertainty. Record 'None' where the measured quantity accumulates from zero and no such component exists. Applies to five of the six dating systems surveyed; fission track is the sole genuine exception, as tracks accumulate from zero. D=Editable rather than Read-Only: the procedure registers the correction method and any default composition, but the value actually applied is frequently sample-specific (a two-stage model composition is evaluated at the interpreted age) or session-derived (a trapped composition solved from an isochron intercept), and a revision to the assumed composition should not require registering a new procedure. Same reasoning as Rule 5's Constants and Reference Values Used.",Basic,Editable,Text (free),"e.g., Stacey & Kramers (1975) two-stage model Pb at the interpreted age | 204Pb-based correction | 207Pb-based correction | 208Pb-based correction | Tera-Wasserburg anchored lower intercept | measured Pb from co-genetic K-feldspar | None (Pb*/Pbc sufficiently high that correction is negligible; state the threshold)",Source: Geochronology module,2026-08-08,reported property,Y,Y,Y,
Radiogenic Fraction of Measured Signal,"The proportion of the measured signal that is radiogenic, as opposed to inherited, initial or otherwise non-radiogenic. Measured companion to Inherited or Initial Signal Correction, which is procedure-level: this field records what the session actually produced. It indicates how strongly the reported age depends on the assumed non-radiogenic composition — a result derived from a low radiogenic fraction is sensitive to that assumption in a way a high-fraction result is not, and that sensitivity is invisible from the age and its uncertainty alone. Follows the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),"Reported for U-Pb as Pb*/Pbc, the ratio of radiogenic to common Pb. e.g., '1250' | '18' | 'range 12-340 across 24 analyses'",Source: Geochronology module,2026-08-08,reported property,Y,Y,Y,
Age Model,"The statistical model used to combine individual analyses into a single reported age, including any criteria governing which model is applied. This is a methodological choice that changes the result: a Model-1 and a Model-3 regression of the same data yield different ages and different uncertainties. Record the model only — the software implementing it belongs in Data Reduction Software (Group 3), whose scope already extends to age calculation; where reduction and age regression use different packages, list both there. Required in some form by all six geochronology reporting standards surveyed.",Basic,Editable,Text (free),"e.g., Weighted mean with MSWD-based uncertainty expansion | York (1969) regression | IsoplotR Model-1, escalating to Model-3 where MSWD exceeds the stated cutoff | Bayesian / Monte Carlo age model",Source: Geochronology module,2026-08-08,reported property,Y,Y,Y,
