Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama
Wash Time Between Samples,"Duration of instrument rinse between successive sample solutions (seconds). Controls carryover and memory effects. For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions.",Basic,Read-Only,Numeric (s),120 | 180 | 210 | 300,,2026-08-10,(none),,N (B and Ta require special washout: 5% HNO3 + 0.1% HF alternated with 3% HNO3; stated section 3.1),60 s (Table 1),>=200 s in 0.5 mol/l HNO3; 200 s HF wash after Mo standard (stated section 2),N,~180 s (~3 min; stated: each measurement ~6 min including ~3 min wash; section 2.1.1)
Signal Collection Mode,"Mode used to collect ion signal across the monitored masses. In peak hopping mode, the quadrupole jumps sequentially between pre-set mass positions and dwells at each peak; in scanning mode, the quadrupole sweeps continuously across a defined mass range. Peak hopping is standard for multi-element trace analysis as it maximises integration time at each mass.",Basic,Read-Only,Controlled list,Peak hopping | Scanning | N/A | None | Other: specify,,2026-06-17,(none),,N,Peak hopping (stated Table 1),N,N,N
Collision Gas Type,Type of collision gas used in KED mode for polyatomic interference suppression. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.,Basic,Read-Only,Controlled list,He | H2 | He+H2 | N/A | None | Other: specify,,2026-08-11,(none),,N/A,N/A,N/A,He (stated Methods),N/A
Collision Gas Flow Rate,Flow rate of the collision gas in KED mode (mL/min). Higher flow rates provide greater interference suppression at the cost of analyte sensitivity. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.,Basic,Editable,Numeric (mL/min),0.5 | 4.5 | 5.2 | N/A,,2026-08-11,(none),,N/A,N/A,N/A,5 mL/min (stated Methods),N/A
Cell Exit Discrimination Voltage,Kinetic energy discrimination offset voltage applied at the exit of the collision cell (V). Controls the degree of polyatomic ion suppression. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.,Basic,Editable,Numeric (V),−2 | −5 | N/A,,2026-08-11,(none),,N/A,N/A,N/A,N,N/A
Reaction Gas Type,"Type of reactive gas introduced into the dynamic reaction cell (e.g., NH3, O2, CH4). Record 'N/A' if DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC.",Advanced,Read-Only,Controlled list,NH3 | O2 | CH4 | N/A | None | Other: specify,,2026-08-11,(none),,N/A,N/A,N/A,N/A,N/A
Reaction Gas Flow Rate,Flow rate of the reaction gas in DRC mode (mL/min). Record 'N/A' if DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC.,Advanced,Editable,Numeric (mL/min),N/A,,2026-08-11,(none),,N/A,N/A,N/A,N/A,N/A
Internal Standard Element,"Element(s) added at a known concentration to all solutions (samples, blanks, calibration standards) and used as internal standards for drift correction and matrix normalization. Specify element and monitored isotope.",Basic,Read-Only,Text (free),Ho (2 ppb) | Tb + Bi | In (10 ppb) | Rh (50 ppb) | None | N/A | Other: specify,,2026-06-16,(none),,Rh (stated section 3.1),None (matrix-matched external calibration; stated section 2),149Sm (as ID-IS reference; stated section 2),"Sc, In, Re (stated Methods)",None (ID-IS method: spike isotope ratios used; stated section 2.1)
Internal Standard Concentration,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb). Record 'N/A' where Internal Standard Element is 'None'.,Advanced,Read-Only,Numeric (µg/L),"e.g., '5 µg/L In' | '10 µg/L Rh' | '1–10 µg/L (In, Rh, Re multi-element)' | '20 µg/L (high-dilution runs)'",,2026-08-10,(none),,N,N/A,N,N,N/A
Oxide Production Method and Threshold,Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy.,Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 1.5% | CeO+/Ce+ < 1% | ThO+/Th+ < 0.3% | N/A | None | Other: specify,,2026-08-12,(none),,CeO+/Ce+ < 2.5% and Ce2+/Ce+ < 2.5% (stated section 3.1),CeO/Ce < 3% (stated section 2),CeO+/Ce+ < 0.01 (= <1%; stated section 2),N,CeO+/Ce+ < 1% (stated section 2.1.1)
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),CeO+/Ce+ = 0.8% (threshold < 1.5% met) | ThO+/Th+ = 0.2% (threshold < 0.3% met),,2026-07-24,(none),,N/A,N/A,N/A,N/A,N/A
Doubly-Charged Species Monitor,Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning. Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses. Ba2+/Ba+ (m/z 69/138) and Ce2+/Ce+ (m/z 70/140) are the most common proxies for solution ICP-MS.,Advanced,Editable,Text (free),Ba2+/Ba+ (m/z 69/138) | Ce2+/Ce+ (m/z 70/140) | N/A | None | Other: specify,,2026-06-16,(none),,Ce2+/Ce+ (m/z 70/140; stated section 3.1),N,N,N,N
Doubly-Charged Species Production,Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. Record both the acceptance threshold and the measured value. Elevated doubly-charged production indicates incomplete ionization and potential interference on elements at approximately half the mass of abundant matrix components.,Advanced,Editable,Text (free),Ba2+/Ba+ < 5% (threshold); 2.1% (measured) | Ce2+/Ce+ < 3% (threshold); 1.8% (measured) | N/A | None,,2026-06-16,(none),,Ce2+/Ce+ < 2.5% threshold (stated section 3.1),N,N,N,N
5. Data Processing,,,,,,,,,N,N,N,N,N,N
Internal Standard Approach,"Role(s) assigned to the internal standard(s) in data reduction: drift correction only, matrix normalization, or a combination.",Basic,Read-Only,Controlled list,Drift correction only | Matrix normalization | Drift + matrix normalization | N/A | None | Other: specify,,2026-06-16,(none),,Drift correction (Rh used as IS for drift; stated section 3.1),N/A (no IS; matrix-matched external calibration),ID internal standard (149Sm spike for drift + concentration calculation; stated section 2),"Drift correction (Sc, In, Re; stated Methods)",N/A (ID-IS: spike isotope ratios used for concentration calculation; stated section 2.1)
Drift Correction Method,Method used to correct for instrumental signal drift across a session.,Basic,Read-Only,Controlled list,IS normalization | Standard bracketing | IS normalization + bracketing | None | N/A | Other: specify,,2026-06-16,(none),,IS normalization + standard bracketing (Rh IS + repeated calibration solution; stated section 3.1),Standard bracketing (matrix-matched standards at fixed intervals; stated section 2),IS normalization (149Sm spike ratio; stated section 2),"IS normalization (Sc, In, Re; stated Methods)",Standard bracketing (standard every two samples; stated section 2.1.1)
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to elemental concentrations. Documents cases where different analytes or analyte groups are calibrated using different strategies within the same procedure. If a single strategy is applied uniformly to all analytes, record that strategy.",Basic,Read-Only,Controlled list,External calibration (all analytes) | Isotope dilution (all analytes) | ID for Zn (67Zn spike); external calibration for all other elements | External calibration + standard addition | N/A | None | Other: specify,,2026-07-24,analyte,,External calibration (all analytes; stated section 3.1),External calibration with matrix-matched standards at 100 ppm Ca (stated section 2),Isotope dilution with ID-IS normalization (ID-IS; all analytes; stated section 2),External calibration (stated Methods),Isotope dilution with ID-IS normalization (all analytes; stated section 2.1)
Signal Integration Interval Method,"Method used to define the integration window for each replicate measurement (e.g., full acquisition time, stable-interval selection, automated criteria).",Basic,Read-Only,Controlled list,Full replicate | Stable interval selection | Automated peak detection | N/A | None | Other: specify,,2026-06-16,(none),,N,N,N,N,N
Signal Integration Time,Total integration time per analyte per replicate (s). Determined at analysis time from the actual acquisition.,N/A,Basic,Numeric (s),,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A
Blank / Background Correction Method,Method used to subtract instrument background and/or procedural blank from sample signals.,Basic,Read-Only,Controlled list,On-peak zero | Solution blank | Procedural blank | N/A | None | Other: specify,,2026-06-16,(none),,N,On-peak zero (stated implicitly; calibration standards include procedural blank equivalent),N,N,N
Spike / Outlier Filtering Approach,Criteria used to identify and exclude anomalous replicate measurements or data points from the calculated mean.,Advanced,Editable,Text (free),2σ exclusion | Grubbs test | Visual inspection | None | N/A | Other: specify,,2026-06-16,(none),,N,N,N,N,N
Pulse/Analog Detector Nonlinearity Correction,"Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog detection modes. For Q-ICP-MS instruments with dual-mode SEM detectors, a cross-calibration factor is measured and applied at the pulse-to-analog crossover threshold. Accurate cross-calibration is critical for analytes spanning a wide concentration range in the same session.",Advanced,Editable,Text (free),Applied: cross-calibration factor measured per session and applied at crossover threshold | Not applied (all signals in pulse-counting mode) | Not applicable (pulse-counting only) | N/A | None,,2026-06-16,(none),,N,N,N,N,N
Isobaric Interference Corrections Applied,Whether mathematical corrections for isobaric or polyatomic interferences are applied during data reduction (in addition to any KED or DRC mitigation in the instrument).,Basic,Read-Only,Controlled list,Y | N | Analyte-specific | N/A | None | Other: specify,,2026-08-12,(none),,"Y (114,115Sn+ on 114Cd+/115In+; stated section 3.1)",Y (7Li18O on 25Mg; 46Ti on 46Ca; 40Ar26Mg on 66Zn; 87Rb on 87Sr; stated Table 1 footnote),Y (95Mo16O+ and 71Ga40Ar+ on 111Cd; 97Mo16O+/113In+ on 113Cd; 115Sn+ on 115In+; stated section 2),N,N (ID-IS inherently corrects for interferences; stated section 2.1)
Interfering Species,"List of isobaric or polyatomic species mathematically corrected in data reduction. For Q-ICP-MS, common interferences include ArCl+ on 75As, MoO+ species on Cd isotopes, and BaO+ on Eu. Additional interference mitigation via KED or DRC is documented in Group 3 and Group 4.",Basic,Read-Only,Text (free),ArCl+ on 75As | MoO+ on Cd isotopes | Ba2+ on Zn isotopes | None | N/A | Other: specify,,2026-08-12,channel,,114Sn+ on 114Cd+; 115Sn+ on 115In+ (stated section 3.1),7Li18O+ on 25Mg; 46Ti on 46Ca; 40Ar26Mg+ on 66Zn; 87Rb+ on 87Sr (Table 1 footnote),95Mo16O+ and 71Ga40Ar+ on 111Cd; 97Mo16O+ and 113In+ on 113Cd; 115Sn+ on 115In+ (stated section 2),N,N
Interference Correction Method,"Mathematical approach used to calculate and remove interference contributions from measured signals (e.g., interference standard solutions isolating specific polyatomics, mass-balance equations using empirical correction factors).",Basic,Read-Only,Text (free),Interference standard solutions (Burney–Neal approach) | Mass-balance equations | Empirical correction factors from pure element solutions | None | N/A | Other: specify,,2026-08-11,channel,,Empirical correction factors from pure 118Sn solution (stated section 3.1),Empirical correction factors (stated Table 1 footnote),Ratio-based correction using 95Mo and 118Sn monitors (stated section 2),N,N
Isotope Dilution Data Reduction Method,Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements. Record 'None' if isotope dilution is not used.,Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,,2026-06-16,(none),,None,None,IUPAC isotope dilution equations with ID-IS internal standard normalization (stated section 2),None,IUPAC isotope dilution equations (ID-IS method; stated section 2.1)
Memory Effect Mitigation,"Procedure applied to identify and minimize carry-over of high-concentration elements between successive sample introductions. For solution ICP-MS, mitigation is implemented primarily at measurement time through extended rinse periods (see Wash Time Between Samples, Group 4). At data processing level, documents any flagging or exclusion of measurements preceded by high-concentration samples or standards where the required washout time may not have been achieved.",Advanced,Editable,Text (free),Extended rinse between high-concentration samples and unknowns; flagged in sequence log | Replicate first measurement discarded if preceded by high-concentration standard | None required for this analyte suite | N/A | None,,2026-07-24,(none),,Alternating 5% HNO3 + 0.1% HF and 3% HNO3 washout for B and Ta (stated section 3.1),60 s wash between samples (stated Table 1),>=200 s in 0.5 mol/l HNO3; 200 s HF wash after Mo standard (stated section 2),N,~3 min washout; ~3 min uptake stabilization (stated section 2.1.1)
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,,2026-08-10,(none),,,,,,
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),Quadrature propagation | Monte Carlo | ISO GUM | None | N/A | Other: specify,,2026-08-10,reported property,,N,N,N,N,N
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a monitor element's certified value in the calibration standard).",Advanced,Editable,Text (free),CI chondrite normalization | Primitive mantle normalization | None | N/A | Other: specify,,2026-06-16,reported property,,N,N,N,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from Primary Calibration Standard Name, which identifies the material used, and from Per-Analyte Calibration Strategy, which states which approach applies to which analyte: this field records the resulting factor itself.",Basic,Editable,Text (free),,,2026-08-12,reported property,,,,,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method, which is procedure-level: this field records what was actually measured. Follows the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),,,2026-08-08,(none),,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from Spike / Outlier Filtering Approach, which removes anomalous points within a single analysis: this field decides which whole analyses enter the reported value. Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Basic,Basic,Text (free),,,2026-08-08,(none),,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from Reference Material Information / Secondary Reference Materials (Group 6), which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",,2026-08-11,(none),,,,,,
6. Quality Control & Uncertainty,,,,,,,,,N,N,N,N,N,N
Primary Calibration Standard Name,"Name and reference material identifier of the external calibration standard used to convert signal intensities to elemental concentrations. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),NIST SRM 1640a | Merck multi-element solution | Lab-prepared single-element standard mix | N/A | None | Other: specify,,2026-06-16,(none),,Multi-element calibration solution (not formally named; stated section 3.1),Series of matrix-matched standards at 100 ppm Ca (not formally named; stated section 2),"Multi-element calibrator solution (Cd, In, Tl, Bi, Sm; not formally named; stated section 2)",Mixture of certified standards (not formally named; stated Methods),Multi-element standard solution (not formally named; stated section 2.1.1)
Calibration Standard Measurement Frequency,How often the primary calibration standard is measured relative to unknown samples within a session.,Basic,Read-Only,Text (free),Before and after every 3 samples | Bracketing every 5 samples | Start and end of session only | N/A | None | Other: specify,,2026-06-16,(none),,N,N,N,N,Every two samples (stated section 2.1.1)
Secondary Reference Materials,Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and expected-value source.,Basic,Editable,Text (free),BHVO-2 | BCR-2 | AGV-2 | W-2a | N/A | None | Other: specify,,2026-08-12,defines: standard,,"AGV-1, BHVO-1, G-2, SCO-1, GSR-5 (stated Table 2)",N (inter-lab comparison used; no certified RM listed as secondary standard),"JB-2, JB-3, JA-1, JA-2, JA-3, JP-1, BHVO-1, AGV-1, PCC-1, DTS-1, NIST SRM 610/612/614/616, carbonaceous chondrites (stated in text)",N,USGS and GSJ geological reference materials and carbonaceous chondrites (stated Table 5)
Detection Limit,"Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set). Specify units (µg/g or µg/L) and whether values are procedure-typical estimates or session-specific measured values.",Advanced,Basic,Numeric + unit / Text,,,2026-08-12,reported property,,N,N,"Analyte-specific (pg/ml level; e.g., Cd 0.04 pg/ml, In 0.5 pg/ml, Tl 0.5 pg/ml, Bi 0.6 pg/ml; stated Table 1)",N,N
Detection Limit Method,Method used to calculate detection limits for each reported concentration variable.,Basic,Read-Only,Controlled list,3σ blank | 3σ background | 3× blank mean | Poisson statistics | N/A | None | Other: specify,,2026-08-12,reported property,,N,N,3 sigma blank (stated section 2),N,N
Limit of Quantification (LOQ) Method,Method used to determine the limit of quantification.,Advanced,Basic,Controlled list,10σ blank | 10× DL | S/N ≥ 10 | N/A | None | Other: specify,,2026-06-16,reported property,,N,N,N,N,N
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analysis session and the method used to assess it (e.g., %RSD of replicate standard or reference material measurements).",Basic,Basic,Text (free),RSD of replicate standard measurements | RSD of secondary RM replicates | N/A | None | Other: specify,,2026-08-11,standard x reported property,,%RSD of repeated standard measurements (stated section 3.1),N,%RSD of repeated standard and RM analyses (stated section 2),N,N
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Reproducibility of measurements across multiple analytical sessions over weeks to months (long-term or intermediate precision). Report both the assessment method and the precision values. Specify: reference material used, number of sessions n, time span covered, and statistic reported. Long-term precision is typically assessed from a compiled record of secondary reference material values across all sessions.",Advanced,Basic,Text (free),RSD of secondary RM across sessions | Control chart | N/A | None | Other: specify,,2026-08-12,standard x reported property,,N,N,N,N,N
Analytical Accuracy and Assessment Method,Accuracy of final concentration measurements relative to certified or consensus values and the method used to assess it.,Basic,Basic,Text (free),Percent recovery of secondary RM | Z-score | Bias from certified value | N/A | None | Other: specify,,2026-08-11,standard x reported property,,"% recovery relative to USGS/GSCA certified/consensus values (stated section 3.2, Tables 2-3)",Comparison with published inter-lab values for Me/Ca ratios (stated section 3),% recovery relative to certified/consensus values for USGS/GSJ/NIST RMs (stated section 3),N,% recovery relative to USGS/GSJ certified values (stated section 3)
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. Answers whether a reported aggregate is defensible as a single population. Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,,2026-08-08,reported property,,,,,,
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,,2026-08-11,(none),,Autolens used (not guard electrode; stated section 3.1); 3 sweeps/reading x 3 readings = 9 sweeps/replicate; 48 trace elements analyzed,Peak hopping scan mode explicitly stated in Table 1 [NOTE: no dedicated Signal Collection Mode field in TAPP v2; Phase 4 flag]; pulse counting detection; autolens on (Table 1); 0.03 mm ID pump tubing for ~60 uL/min uptake,Dwell times in Table 1 expressed as ms per 1 s cycle time; octopole CRC present but no gas used (PML practice); 149Sm used as both ID spike and internal standard,He KED applied only for masses 23-75; above mass 75 no KED (stated Methods); coupled to MC-ICP-MS Neptune Plus for Zn isotopes on same dissolved aliquots,Pseudo-flow injection (pFI) acquisition: 30 s / 48 scans / 1 pt per mass; 0.5 mol/l HF as carrier and wash; shield torch on; Pt cones; self-aspiration PFA-20
