Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
Monitored Isotopes,"Specific isotope(s) monitored per analyte element in this procedure, including any interference-monitor masses.",Basic,Read-Only,Text (free),71Ga | 109Ag | 115In | 205Tl | 209Bi | N/A | None | Other: specify,,2026-08-12,defines: channel per analyte,,"202Hg, 203Tl, 204Pb, 205Tl, 206Pb, 207Pb, 208Pb (stated section 2.3)",N,"47Ti, 49Ti, 93Nb (stated section 2.1.2)","55Mn, 57Fe, 59Co, 62Ni, 65Cu, 68Zn, 111Cd, 207Pb (Table 1)","LR: 7Li, 11B, 25Mg, 27Al, 43Ca, 87Sr, 111Cd, 137Ba, 238U; MR: 23Na, 43Ca, 55Mn, 56Fe, 66Zn (Table 3)",N (Table 2 lists elements without specific mass numbers)
Mass Resolution per Analyte,Mass resolution mode assigned to each analyte in this procedure. The selected resolution determines which polyatomic interferences are physically resolved by the magnet sector. Per-analyte assignments are documented here; the overall mode(s) used in the procedure are recorded in Mass Resolution Setting (Group 3).,Basic,Read-Only,Text (free),"LR: Ag, Cd, Sb, Tl, Bi; MR: Ga, Ge, Mo, In, Sn, W | All MR (m/Δm ~2500) | N/A | None | Other: specify",,2026-08-12,analyte,,N (Nu Attom uses deflector peak jump; resolution mode not stated in LR/MR/HR terms),N,"MR (M/Delta-m = 3000) for all analytes: 47Ti, 49Ti, 93Nb (stated section 2.1.2)","MR (R ~4000): 55Mn, 57Fe, 59Co, 62Ni, 65Cu, 68Zn; LR (R ~300): 111Cd, 207Pb (stated section 2.4)","LR: 7Li, 11B, 25Mg, 27Al, 43Ca, 87Sr, 111Cd, 137Ba, 238U; MR: 23Na, 43Ca, 55Mn, 56Fe, 66Zn (Table 3)","LR (M/Delta-m = 300): Rb, Sr, Y, Zr, Nb, Cs, Ba, La-Nd, Hf, Ta, Pb, Th, U; HR (M/Delta-m = 11000): Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu (stated section on instrumentation)"
E-scan Range,"Electric scan range used for peak acquisition, expressed as percentage of the centre mass (%). Varies the accelerating voltage to cover masses in the vicinity of the set magnetic mass without re-scanning the magnet. Record 'N/A' if E-scan acquisition mode is not used.",Advanced,Read-Only,Numeric (%),15% | 10%,,2026-08-12,(none),,"N/A (Nu Attom uses deflector peak jump, not E-scan)",N,N,N,N,N
Triple Scanning Mode,Whether each mass peak is scanned three times per cycle and the results averaged (Y/N). Used to reduce noise from short-term magnetic field instabilities on sector-field instruments. Triple scanning affects the effective integration time per cycle and should be reported. Record 'N/A' if not applicable to the instrument.,Advanced,Read-Only,Controlled list,Y | N | N/A | None | Other: specify,,2026-08-12,(none),,N/A (Nu Attom instrument; not applicable),N,N,N,N,N
Dwell Time per Mass,Integration time spent on each mass peak per sweep (ms). May differ between masses where per-mass dwell times are programmed.,Basic,Editable,Numeric (ms) / Text,,,2026-08-12,channel,,500 us (0.5 ms) per mass (stated section 2.3),100 ms per isotope (Table 1),47Ti/49Ti: 0.18 s per 1 s cycle; 30 scans in 50 s continuous nebulization (Table 2b and section 2.1.2),N,LR: 50-100 ms sample time per mass; MR: 25 ms sample time per mass (Table 3),100 ms per mass (Table 3)
Number of Scans per Replicate,Number of complete mass scans accumulated per analytical replicate.,Basic,Read-Only,Integer,20 | 40 | 100 | 300,,2026-06-16,(none),,2000 sweeps per set x 30 sets (stated section 2.3),N,30 scans in 50 s (stated section 2.1.2),N,LR: 15 passes x 3 runs = 45 total; MR: 3 passes x 3 runs = 9 total (Table 3),70-120 scans per analysis (stated section on instrumentation)
Number of Replicates per Sample,Number of discrete replicate measurements acquired per sample solution.,Basic,Read-Only,Integer,3 | 5 | 10,,2026-06-16,(none),,1 (30 sets of 2000 sweeps = single 4.5 min continuous analysis; stated section 2.3),N,N,N,3 runs (LR and MR; Table 3),N
Analysis Sequence,"Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved.",Basic,Read-Only,Text (free),Matrix-matched bracketing every 5 samples | Standard after every 3 samples | Dual-aliquot design (Barrat approach) | N/A | None | Other: specify,,2026-06-16,(none),,N,N,Standard solution measured every two samples; background measured before each sample (stated section 2.1.2),N,Blocks of 7 samples bracketed by pair of acid blanks and consistency standards (stated section 2.3.1),N
Wash Time Between Samples,"Duration of instrument rinse between successive sample solutions (seconds). Controls carryover and memory effects. For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions.",Basic,Read-Only,Numeric (s),120 | 180 | 210 | 300,,2026-08-10,(none),,10 s in two 2% HNO3 reservoirs (stated section 2.3),60 s (Table 1),~200 s (background measured after 200 s wash before each sample; stated section 2.1.2),N,120 s (Table 1),N
Internal Standard Element,"Element(s) added at a known concentration to all solutions (samples, blanks, calibration standards) and used as internal standards for drift correction and matrix normalization. Specify element and monitored isotope.",Basic,Read-Only,Text (free),Y + Ho | Rh (10 ppb) | Tm spike aliquot | None | N/A | Other: specify,,2026-06-16,(none),,Tl (203Tl and 205Tl for mass fractionation correction; stated section 2.3),Rh (103Rh; Table 1),Nb (93Nb as ID internal standard for Ti; stated section 2.1.2),None (ID method used; no external IS; stated section 2.1),None (matrix-matched external calibration; stated section 2.3.1),Ru and Re (in-run mass fractionation correction; ~6 uL Ru-Re solution per dilution; stated section on instrumentation)
Internal Standard Concentration,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb). Record 'N/A' where Internal Standard Element is 'None'.,Advanced,Read-Only,Numeric (µg/L),"e.g., '5 µg/L In' | '10 µg/L Rh' | '1–10 µg/L (In, Rh, Re multi-element)' | '20 µg/L (high-dilution runs)'",,2026-08-10,(none),,1 ppb Tl in sample matrix (stated section 2.3),5 ng/ml Rh (stated section 2.3),N,N/A,N/A,N
Oxide Production Method and Threshold,Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy; stricter thresholds than Q-ICP-MS are commonly required. BaO+/Ba+ may also be monitored.,Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 0.4%; BaO+/Ba+ (m/z 154/138) < 0.15% | CeO+/Ce+ < 0.5% | N/A | None | Other: specify,,2026-08-12,(none),,N,N,CeO+/Ce+ < 1% (stated section 2.1.2),In (5 ppb) used for LR tuning; oxide rate typically <5% (stated section 2.4),Sensitivity criteria used (not oxide threshold): >=250000 cps/ppb for 11B; >=2500000 for 115In; >=2000000 for 175Lu (stated section 2.3.1),N
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),CeO+/Ce+ = 0.3% (threshold < 0.4% met) | BaO+/Ba+ = 0.08% (threshold < 0.15% met),,2026-07-24,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Doubly-Charged Species Monitor,"Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning. Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses. In SF-ICP-MS, doubly-charged species are not suppressed by collision cells and require monitoring through plasma tuning. Ba2+/Ba+ (m/z 69/138) is the most common proxy.",Advanced,Editable,Text (free),Ba2+/Ba+ (m/z 69/138) | Ce2+/Ce+ (m/z 70/140) | N/A | None | Other: specify,,2026-06-16,(none),,N,N,N,N,N,N
Doubly-Charged Species Production,Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. Record both the acceptance threshold and the measured value. Elevated doubly-charged production indicates incomplete ionization and potential interference on elements at approximately half the mass of abundant matrix components.,Advanced,Editable,Text (free),Ba2+/Ba+ < 5% (threshold); 2.1% (measured) | Ce2+/Ce+ < 3% (threshold); 1.8% (measured) | N/A | None,,2026-06-16,(none),,N,N,N,N,N,N
5. Data Processing,,,,,,,,,N,N,N,N,N,N,N
Internal Standard Approach,"Role(s) assigned to the internal standard(s) in data reduction: drift correction only, matrix normalization, or a combination.",Basic,Read-Only,Controlled list,Drift correction only | Matrix normalization | Drift + matrix normalization | N/A | None | Other: specify,,2026-06-16,(none),,Mass fractionation correction only (Tl used to correct Pb isotope mass bias; stated section 2.3),Drift correction (103Rh as IS; Table 1),ID internal standard (Nb as IS for Ti concentration calculation; stated section 2.1.2),N/A (no IS; ID method used; stated section 2.1),N/A (no IS; matrix-matched external calibration; stated section 2.3.1),Mass fractionation correction (in-run Ru-Re ratio; not traditional IS drift correction; stated section on instrumentation)
Drift Correction Method,Method used to correct for instrumental signal drift across a session.,Basic,Read-Only,Controlled list,IS normalization | Standard bracketing | IS normalization + bracketing | None | N/A | Other: specify,,2026-06-16,(none),,Tl mass bias correction + master Pb-Tl correlation lines from NIST SRM981 bracketing (stated section 2.3),IS normalization (103Rh; stated Table 1),Standard bracketing (standard every two samples; stated section 2.1.2),N (ID method; no IS-based drift correction; stated section 2.1),Standard bracketing (blocks of 7 samples bracketed by calibration standards; stated section 2.3.1),N (in-run Ru-Re ratio used for mass fractionation; not standard bracketing)
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to elemental concentrations. Documents cases where different analytes or analyte groups are calibrated using different strategies within the same procedure. If a single strategy is applied uniformly to all analytes, record that strategy.",Basic,Read-Only,Controlled list,External calibration (all analytes) | Isotope dilution (all analytes) | Matrix-matched bracketing with BHVO-2 | ID for REE; external calibration for transition metals | N/A | None | Other: specify,,2026-07-24,analyte,,Tl-normalized mass bias correction + NIST SRM981 master correlation lines (stated section 2.3),External calibration with IS normalization (stated Table 1),Isotope dilution with Nb as ID internal standard for Ti (stated section 2.1.2),"ID for Fe, Ni, Cu, Zn, Cd, Pb; standard addition for Mn, Co (stated section 2.1)",External calibration with matrix-matched standards at 10 ppm Ca (all analytes; stated section 2.3.1),ID for 12 elements; RSF calibration for 14 elements (stated section on instrumentation)
Signal Integration Interval Method,"Method used to define the integration window for each replicate measurement (e.g., full acquisition time, stable-interval selection, automated criteria).",Basic,Read-Only,Controlled list,Full replicate | Stable interval selection | Automated peak detection | N/A | None | Other: specify,,2026-06-16,(none),,N,N,N,N,N,N
Signal Integration Time,Total integration time per analyte per replicate (s). Determined at analysis time from the actual acquisition.,N/A,Basic,Numeric (s),,,2026-06-16,(none),,N/A,N/A,N/A,N/A,N/A,N/A
Blank / Background Correction Method,Method used to subtract instrument background and/or procedural blank from sample signals.,Basic,Read-Only,Controlled list,On-peak zero | Solution blank | Procedural blank | N/A | None | Other: specify,,2026-06-16,(none),,On-peak zero (10 s wash blank before each measurement; stated section 2.3),Solution blank (stated section 2.3),On-peak background measured before each sample after 200 s HF wash (stated section 2.1.2),Procedural blank (stated section 2.1),N,N
Spike / Outlier Filtering Approach,Criteria used to identify and exclude anomalous replicate measurements or data points from the calculated mean.,Advanced,Editable,Text (free),2σ exclusion | Grubbs test | Visual inspection | None | N/A | Other: specify,,2026-06-16,(none),,N,N,N,N,N,N
Pulse/Analog Detector Nonlinearity Correction,"Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog (and Faraday, for triple-mode instruments) detection modes. For SF-ICP-MS instruments, the signal transitions between pulse counting (low concentrations) and analog detection (high concentrations). For triple-mode instruments (e.g., Thermo Element XR), an additional transition to Faraday cup detection occurs at the highest signal intensities. Cross-calibration factors between detector modes must be confirmed, typically measured each session.",Advanced,Editable,Text (free),Applied: SEM-to-analog and analog-to-Faraday cross-calibration factors measured per session | Applied: SEM-to-analog cross-calibration factor applied | Not applied (all signals in pulse-counting mode) | N/A | None,,2026-06-16,(none),,N,N,N,N,Applied: SEM-to-analog cross-calibration performed daily (stated section 2.3.1),N
Isobaric Interference Corrections Applied,Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction (supplementary to any interference suppression achieved through mass resolution selection).,Basic,Read-Only,Controlled list,Y | N | Analyte-specific | N/A | None | Other: specify,,2026-08-12,(none),,Y (204Hg on 204Pb corrected using 202Hg monitor; stated section 2.3),N,N,Y (MoO+ on 111Cd corrected using 95Mo; stated section 2.4),Analyte-specific (MR used to resolve most polyatomic interferences; stated section 2.3),N
Interfering Species,"List of isobaric or polyatomic species mathematically corrected in data reduction. In SF-ICP-MS, mass resolution is the primary interference mitigation strategy; mathematical corrections address residual interferences not resolved at the operating resolution.",Basic,Read-Only,Text (free),BaO+ on Eu isotopes | Zr2+ on Nb | Oxide interferences on REE | None | N/A | Other: specify,,2026-08-12,channel,,204Hg+ on 204Pb (corrected using 202Hg signal; stated section 2.3),N,N,MoO+ on 111Cd (corrected using 95Mo; stated section 2.4),N (MR resolution used to resolve polyatomic interferences; no additional mathematical correction reported; stated section 2.3),N
Interference Correction Method,"Mathematical approach used to calculate and remove residual interference contributions from measured signals. In SF-ICP-MS, interference solutions isolating specific polyatomic species are measured alongside samples and used to calibrate correction factors.",Basic,Read-Only,Text (free),Interference standard solutions (Burney–Neal approach) | Mass-balance equations | Empirical correction factors from pure element solutions | None | N/A | Other: specify,,2026-08-11,channel,,Mass-balance correction: measured 202Hg signal used to subtract 204Hg contribution from 204Pb (stated section 2.3),N,N,Empirical correction factors from 95Mo monitor (stated section 2.4),N,N
Isotope Dilution Data Reduction Method,Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements. Spike must have been added before digestion for accurate equilibration. Record 'None' if isotope dilution is not used.,Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,,2026-06-16,(none),,None,None,IUPAC isotope dilution equations with Nb as ID internal standard for Ti (stated section 2.1.2),IUPAC isotope dilution equations (stated section 2.1),None,IUPAC isotope dilution equations for 12 elements; RSF ratio calibration for 14 elements (stated section on instrumentation)
Memory Effect Mitigation,"Procedure applied to identify and minimize carry-over of high-concentration elements between successive sample introductions. For solution ICP-MS, mitigation is implemented primarily at measurement time through extended rinse periods (see Wash Time Between Samples, Group 4). At data processing level, documents any flagging or exclusion of measurements preceded by high-concentration samples or standards where the required washout time may not have been achieved.",Advanced,Editable,Text (free),Extended rinse between high-concentration samples and unknowns; flagged in sequence log | Replicate first measurement discarded if preceded by high-concentration standard | None required for this analyte suite | N/A | None,,2026-07-24,(none),,10 s wash in two 2% HNO3 reservoirs between samples (stated section 2.3),60 s wash between samples (Table 1),200 s wash with 0.5 mol/l HF before each sample (stated section 2.1.2),N,120 s washout (Table 1),N
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,,2026-08-10,(none),,,,,,,
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),Quadrature propagation | Monte Carlo | ISO GUM | None | N/A | Other: specify,,2026-08-10,reported property,,N,N,N,N,N,N
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to output concentrations relative to a reference value (e.g., correction to a BHVO-2 working value).",Advanced,Editable,Text (free),CI chondrite normalization | Normalization to BHVO-2 working values | None | N/A | Other: specify,,2026-06-16,reported property,,N,N,N,N,N,N
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from Primary Calibration Standard Name, which identifies the material used, and from Per-Analyte Calibration Strategy, which states which approach applies to which analyte: this field records the resulting factor itself.",Basic,Editable,Text (free),,,2026-08-12,reported property,,,,,,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method, which is procedure-level: this field records what was actually measured. Follows the criterion-versus-measurement split used for Oxide Production.",N/A,Basic,Text (free),,,2026-08-08,(none),,,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from Spike / Outlier Filtering Approach, which removes anomalous points within a single analysis: this field decides which whole analyses enter the reported value. Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Basic,Basic,Text (free),,,2026-08-08,(none),,,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from Reference Material Information / Secondary Reference Materials (Group 6), which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",,2026-08-11,(none),,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,N,N,N,N,N,N,N
Primary Calibration Standard Name,"Name and reference material identifier of the external calibration standard used to convert signal intensities to elemental concentrations. Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),BHVO-2 (working values) | Orgueil CI chondrite (matrix-matched) | NIST SRM 1640a | Lab-prepared single-element standard mix | N/A | None | Other: specify,,2026-06-16,(none),,NIST SRM981 Common Lead Standard (stated section 2.3),N (multi-element standard solution; not formally named),N (multi-element standard solution measured every two samples; stated section 2.1.2),Commercial standard of natural isotopic abundance (not formally named; stated section 2.4),Series of matrix-matched standards at 10 ppm Ca (not formally named; stated section 2.3.1),N (multi-element spike solution for ID; RSF standard solutions for non-ID elements; not formally named)
Calibration Standard Measurement Frequency,How often the primary calibration standard is measured relative to unknown samples within a session.,Basic,Read-Only,Text (free),Before and after every 3–5 samples | Matrix-matched bracketing | Start and end of session only | N/A | None | Other: specify,,2026-06-16,(none),,N,N,Every two samples (stated section 2.1.2),N,Bracketing blocks of 7 samples (stated section 2.3.1),N
Secondary Reference Materials,Reference material(s) measured as unknowns to independently assess analytical accuracy. Specify material name and expected-value source.,Basic,Editable,Text (free),BHVO-2 | BCR-2 | AGV-2 | CI chondrite reference | N/A | None | Other: specify,,2026-08-12,defines: standard,,"BCR-2, AGV-2, JB-2, BR, JB-3 (stated Tables 1-2)","FER-2 and geological RMs in Table 5 (BHVO-2, BCR-2, etc.; stated section 2.3.2)",USGS and GSJ geological RMs and carbonaceous chondrites (stated section 2.5),NASS-5 (certified seawater); SAFe inter-comparison samples S1 and D2 (stated section 2.4),"Four in-house foraminifera consistency standards (C. wuellerstorfi, Uvigerina spp., synthetic mix; stated section 2.2)","AGV-1, AGV-2, BCR-1, BCR-2, BHVO-1, BHVO-2, G-2, JR-1, KL2-G, ML3B-G, NIST SRM 612, BIR-1, OU-6, BCR-2G, BHVO-2G, BIR-1G, PCC-1 (stated Table 5)"
Detection Limit,"Elemental detection limits, one per reported concentration variable (one per analyte, these being the same set). Specify units (µg/g or µg/L) and whether values are procedure-typical estimates or session-specific measured values.",Advanced,Basic,Numeric + unit / Text,,,2026-08-12,reported property,,N,N,N,"Analyte-specific (pg/kg to pM level; e.g., Fe 0.01 nM in seawater; stated Table 1)",~2 umol/mol B/Ca procedural blank (stated abstract),N
Detection Limit Method,Method used to calculate detection limits for each reported concentration variable.,Basic,Read-Only,Controlled list,3σ blank | 3σ background | 3× blank mean | Poisson statistics | N/A | None | Other: specify,,2026-08-12,reported property,,N,N,N,3 sigma blank (stated section 2.4),N,N
Limit of Quantification (LOQ) Method,Method used to determine the limit of quantification.,Advanced,Basic,Controlled list,10σ blank | 10× DL | S/N ≥ 10 | N/A | None | Other: specify,,2026-06-16,reported property,,N,N,N,N,N,N
Within-Session Analytical Precision and Assessment Method,"Precision of repeated measurements within a single analysis session and the method used to assess it (e.g., %RSD of replicate standard or reference material measurements).",Basic,Basic,Text (free),RSD of replicate standard measurements | RSD of secondary RM replicates | N/A | None | Other: specify,,2026-08-11,standard x reported property,,2 sigma uncertainty of 30-set Pb isotope ratios per sample (stated section 2.3),%RSD of replicate analyses (stated Table 5),N,%RSD of replicate measurements (stated section 2.4),%RSD of repeated consistency standard analyses (stated section 2.3.1),%RSD of repeated RM analyses within session (stated Table 5)
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Reproducibility of measurements across multiple analytical sessions over weeks to months (long-term or intermediate precision). Report both the assessment method and the precision values. Specify: reference material used, number of sessions n, time span covered, and statistic reported. Long-term precision is typically assessed from a compiled record of secondary reference material values across all sessions.",Advanced,Basic,Text (free),RSD of secondary RM across sessions | Control chart | N/A | None | Other: specify,,2026-08-12,standard x reported property,,N,N,N,N,N,N
Analytical Accuracy and Assessment Method,Accuracy of final concentration measurements relative to certified or consensus values and the method used to assess it.,Basic,Basic,Text (free),Percent recovery of secondary RM | Z-score | Bias from certified value | N/A | None | Other: specify,,2026-08-11,standard x reported property,,"% deviation from published Pb isotope values for geological RMs (BCR-2, AGV-2, JB-2, BR, JB-3; stated section 3)",% recovery relative to certified/consensus values for geological RMs (stated Table 5),% recovery relative to certified/consensus values for USGS/GSJ RMs and chondrites (stated section 3),Comparison with SAFe consensus values and NASS-5 certified values (stated section 2.4),% bias relative to published foraminifera inter-lab consensus values (stated section 2.3.1),% recovery relative to published consensus values for geological RMs (stated Table 5)
Goodness-of-Fit or Dispersion Statistic,"The statistic reported to show whether scatter among the contributing analyses exceeds what analytical uncertainty alone predicts, together with its value. Answers whether a reported aggregate is defensible as a single population. Procedure-level tier is N/A because the value cannot be known before the analysis; the procedure may still state an acceptance threshold, which belongs with the inclusion criteria.",N/A,Basic,Text (free),,,2026-08-08,reported property,,,,,,,
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),,,2026-08-11,(none),,Nu Attom SC-SF-ICP-MS in single-collector mode; 30 sets x 2000 sweeps = 4.5 min total analysis; Tl-spiked matrix (1 ppb Tl) for mass bias correction; blank ~900 cps on 208Pb (stated section 2.3),Chromatographic separation (AG1-X8 + TRUspec) performed before SF-ICP-MS; reflected power <2 W (stated Table 1); pulse counting detection only,Continuous nebulization (not pFI) for SF-ICP-MS; background measured before each sample after HF wash; sapphire injector used (HF-resistant); 60 s uptake stabilization; stated section 2.1.2,Off-line pre-concentration by chelating resin essential for open-ocean seawater; enriched isotope spikes added before chelation (pre-equilibration); standard addition for Mn and Co (no suitable spike isotope); stated section 2.2,Thermo Element XR with Jet pump; extraction voltage 2000 V (Table 1); ESI Pt injector 1.8 mm ID; Pt cones; dual mode detector fixed per analyte; daily detector cross-calibration required (stated section 2.3.1),Magnetic jump + electric scan mode: each peak monitored by E-scan for 100 ms dwell; 15 samples per peak; in-run Ru-Re for mass fractionation correction; DF ~21000 (LR) or ~1000 (HR) in 0.4 mol/l HNO3; stated section on instrumentation
