Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Q-ICP-MS,SF-ICP-MS,MC-ICP-MS,Literature Assessment
IC Dead Time (ns),"Dead time of each ion-counting detector channel, used in dead-time correction of high count rates.",Advanced,Editable,Text (free),"6, 9 and 7 ns IC0, IC1 and IC2 resp.",Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Signal Smoothing,Description of any signal smoothing device or approach installed between the ablation cell and the ICP-MS to reduce pulse-to-pulse signal variability.,Advanced,Editable,Text (free),"e.g., 'Squid 2.0 (laurin technik)' | 'None'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria.",Advanced,Editable,Text (free),"e.g., 'Daily auto-tune on 91500; optimised for max sensitivity on ²³⁸U with ThO⁺/Th⁺ <0.5%'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. ThO⁺/Th⁺ (mass 248/232) is the standard proxy for U-Th-Pb geochronology, directly relevant to Th/U ratio accuracy.",Advanced,Read-Only,Text (free),"e.g., 'ThO⁺/Th⁺ (248/232) <0.5%' | 'ThO⁺/Th⁺ <0.3%; UO⁺/U⁺ monitored at 0.95–1.05'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Oxide Production,"Actual oxide production ratio measured during this analytical session, using the method specified in Oxide Production Method and Threshold.",N/A,Basic,Text (free),"e.g., 'ThO⁺/Th⁺ = 0.3% (threshold <0.5% met)'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Doubly-Charged Species Monitor,The mass ratio monitored to estimate doubly-charged ion (M²⁺) formation during instrument tuning.,Advanced,Editable,Free text,¹³⁸Ba²⁺/¹³⁸Ba⁺ (m/z 69/138) | ²³⁸U²⁺/²³⁸U⁺ (m/z 119/238),Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Doubly-Charged Species Production,Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning.,Advanced,Editable,Free text,<1% (threshold); 0.4% (measured),Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions.",Advanced,Read-Only,Text (free),"e.g., '≥30 min warm-up after sample change; sessions ≤8 h after tuning'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Analysis Sequence,"Repeating order of primary calibration standard(s), quality control standard(s), and unknown analyses within a measurement session.",Advanced,Editable,Text (free),"e.g., 'Standard-sample-standard bracketing every 5–10 unknowns'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Baseline Measurement Approach,"Method and timing for measuring the ion beam baseline (background) during acquisition, distinct from the data-processing-level blank subtraction method (see Gas Blank, Group 5). For LA-ICP-MS, baseline is measured with the laser off (gas blank), typically before each ablation or block.",Advanced,Read-Only,Text (free),"e.g., 'Laser-off background measured for [n] cycles before each block' | 'N/A (not multi-collector)'",Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only; content adapted for laser-off baseline timing instead of solution-introduction beam-deflector/acid-blank methods),2026-07-28,N,N,Y,
Analysis Location/Spot Coordinates,"Location of the analysis on the sample surface: stage coordinates (X, Y) or a description relative to a named reference feature (e.g., mineral rim, growth zone identified by imaging).",N/A,Basic,Text (free),"e.g., 'X = 12350 µm, Y = 8760 µm (stage coordinates)' | 'Core domain, per CL imaging'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Number of Replicates,Number of replicate spot analyses performed on the same grain or nominal location in this session.,N/A,Basic,Integer,"e.g., 1 (single spot) | 3 (three replicate spots per grain)",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Multi-Run Sequential Analysis Design,"Whether the procedure uses a single acquisition pass or multiple sequential runs on the same sample location, each optimised for different analytical objectives.",Advanced,Read-Only,Text (free),Single run | N/A | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Signal Collection Mode,"Mode used to collect ion signal across the monitored masses. In peak hopping mode, the quadrupole jumps sequentially between pre-set mass positions and dwells at each peak. Applicable only to quadrupole-based instruments.",Advanced,Read-Only,Controlled list,Peak hopping | Scanning | Not applicable (SF/MC-ICP-MS) | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (Q-ICP-MS only),2026-07-28,Y,N,N,
Collision Gas Type,Type of collision gas used in KED mode for polyatomic interference suppression. Applicable only to quadrupole-based instruments with a collision/reaction cell.,Advanced,Read-Only,Controlled list,He | H2 | Not applicable (SF/MC-ICP-MS or STD mode) | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (Q-ICP-MS only),2026-07-28,Y,N,N,
Collision Gas Flow Rate,Flow rate of the collision gas in KED mode. Higher flow rates provide greater interference suppression at the cost of analyte sensitivity.,Advanced,Editable,Numeric (mL/min),3.5 mL/min | Not applicable (SF/MC-ICP-MS or STD mode),Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (Q-ICP-MS only),2026-07-28,Y,N,N,
Cell Exit Discrimination Voltage,Kinetic energy discrimination offset voltage applied at the exit of the collision cell in KED mode.,Advanced,Editable,Numeric (V),−5 V | Not applicable (SF/MC-ICP-MS or STD mode),Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (Q-ICP-MS only),2026-07-28,Y,N,N,
Reaction Gas Type,Type of reactive gas introduced into the dynamic reaction cell (DRC) for interference removal through ion-molecule reactions.,Advanced,Read-Only,Controlled list,NH3 | O2 | Not applicable (SF/MC-ICP-MS or DRC mode not used) | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (Q-ICP-MS only),2026-07-28,Y,N,N,
Reaction Gas Flow Rate,Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC).,Advanced,Editable,Numeric (mL/min),0.4 mL/min | Not applicable (SF/MC-ICP-MS or DRC mode not used),Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (Q-ICP-MS only),2026-07-28,Y,N,N,
Mass Resolution per Analyte,"Mass resolution mode assigned to each analyte in this procedure. The selected resolution determines which polyatomic interferences (e.g., ¹⁸⁶W¹⁶O⁺ on ²⁰²Hg, relevant to common-Pb correction) are physically resolved by the magnetic sector. Applicable only to sector-field instruments.",Advanced,Read-Only,Text (free),"All LR (m/Δm ≈ 300) | LR: Pb, U, Th; MR: Hg-interference-affected masses | N/A (not sector-field)",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (SF-ICP-MS only; Analyte-Specific),2026-07-28,N,Y,N,
E-scan Range,"Electric scan range used for peak acquisition, expressed as percentage of the centre mass. Varies the accelerating voltage to cover nearby masses without re-scanning the magnet. Applicable only to sector-field instruments.",Advanced,Read-Only,Numeric (%),15% | 10% | N/A (not sector-field),Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (SF-ICP-MS only),2026-07-28,N,Y,N,
Triple Scanning Mode,"Whether each mass peak is scanned three times per cycle and the results averaged, to reduce noise from short-term magnetic field instabilities. Applicable only to sector-field instruments with this capability.",Advanced,Read-Only,Controlled list,Y | N | N/A (not sector-field),Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4 (SF-ICP-MS only),2026-07-28,N,Y,N,
Other Information,"Supplementary methodological context not captured by the structured fields above, as reported in Table 3 of Horstwood et al. (2016) — in the source paper's own example, notes on ablation-cell and sample-line configuration for depth-profiling/single-pulse ablation studies, a variant not otherwise in scope for this single-mode (Spot Analysis) TAPP.",Advanced,Editable,Text (free),"Depth profiling and single-pulse ablation studies used a low-volume ablation cell, sample line of 3 m from ablation cell to torch and a 20 s wait time between ablations. Cell washout time was ca. 0.8 s to 1% of peak signal.",Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
,,,,,,,,,,,
5. Data Processing,,,,,,,,N,N,N,
Gas Blank,Duration of the background (gas blank) measurement and how it is applied to correct the ablation signal.,Basic,Read-Only,Text (free),30 s on-peak zero subtracted,Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Elemental Fractionation Correction,"Method used to correct for laser-induced elemental fractionation (LIEF), including any assumption about reference-material/sample behaviour equivalence, as reported in Table 3 of Horstwood et al. (2016).",Basic,Read-Only,Text (free),LIEF correction assumes reference material and samples behave identically.,Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; field renamed from 'Data Processing Package Used/Correction for LIEF' for cross-TAPP consistency; software-name content moved to Group 3's 'Data Reduction Software'.,2026-07-28,Y,Y,Y,
Mass Bias Correction Strategy,Primary strategy used to correct for instrumental isotopic mass fractionation (mass bias/mass discrimination).,Basic,Read-Only,Controlled list,Internal normalization,"Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; split out of the former 'Mass Discrimination' field, matching the field structure of Solution MC-ICP-MS TAPP v3. Table 3's Tl-U tracer approach corresponds to internal normalization.",2026-07-28,Y,Y,Y,
Internal Normalization Element and Isotope Ratio,"Element and isotope ratio used as the internal normalization standard for mass bias correction, and how the resulting correction is applied to analyte ratios.",Basic,Read-Only,Text (free),"Tl-U tracer solution used for mass bias correction, with 207Pb/206Pb and 206Pb/238U additionally normalised to reference material","Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; split out of the former 'Mass Discrimination' field, matching Solution MC-ICP-MS TAPP v3's 'Internal Normalization Element and Isotope Ratio' field.",2026-07-28,N,N,Y,
Mass Fractionation Law,Mathematical law used to parameterize instrumental isotope mass fractionation as a function of mass difference. Not stated in Table 3 (Horstwood et al. 2016) for the worked example; the exponential law is most widely used and theoretically best justified for MC-ICP-MS.,Advanced,Read-Only,Controlled list,Exponential | Linear | Power | Not stated,Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (primarily relevant to MC-ICP-MS mass bias correction),2026-07-28,N,N,Y,
"Common-Pb Correction, Composition and Uncertainty","Whether a common-Pb correction was applied, and if so, the model composition (e.g., Stacey and Kramers 1975) and its uncertainty used in the correction.",Basic,Read-Only,Text (free),No common-Pb correction applied to the data.,Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Uncertainty Level and Propagation,"Uncertainty level at which ages/ratios are quoted (e.g., 1σ, 2σ) and the method used to propagate component uncertainties (e.g., quadratic addition) into the final reported value.",Advanced,Editable,Text (free),"Ages are quoted at 2s absolute, propagation is by quadratic addition. Reproducibility and age uncertainty of reference material and common-Pb composition uncertainty are propagated where appropriate.",Source: Table 3 (Horstwood et al. 2016),2026-07-28,Y,Y,Y,
Per-Analyte Calibration Strategy,"Documents cases where different analytes are calibrated using different strategies within the same session. If a single strategy applies uniformly, record that here.",Advanced,Read-Only,Controlled list,Single strategy: matrix-matched primary reference material for all analytes | N/A | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Matrix Offset Correction (LIEF),Whether an empirical correction was applied to account for systematic differences in laser-induced elemental fractionation (LIEF) patterns between the external calibration standard and the sample matrix.,Advanced,Read-Only,Text (free),"e.g., 'Not applicable (matrix-matched mineral standard used)' | 'Applied: specify'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Signal Integration Interval Method,"Approach used to select the stable signal interval for integration during data reduction, and to exclude anomalous signals from inclusions, cracks, or mixed domains. Central to interpreting excess scatter/MSWD in the resulting age population.",Advanced,Read-Only,Text (free),Manual visual inspection per analysis | Automated threshold (specify software and threshold) | Fixed time window applied uniformly,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Signal Integration Time,Actual integration time used for the ablation signal in this analysis. Determined at analysis time by applying the Signal Integration Interval Method to the time-resolved signal.,N/A,Basic,Numeric (s),"e.g., 40 s | 35 s",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,N,
Spike / Outlier Filtering Approach,"Method used to identify and remove anomalous signal spikes arising from micronuggets, inclusions, cracks, or instrument artifacts during time-resolved signal processing.",Advanced,Editable,Text (free),"e.g., 'Significant single spikes visually identified and removed' | 'No filtering applied'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Isobaric Interference Corrections Applied,Whether isobaric interference corrections were applied for any measured isotope in this procedure. A procedure-level Boolean; element-specific detail is in Interfering Species and Interference Correction Method.,Advanced,Read-Only,Boolean,Yes | No,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Interfering Species,"Elemental or molecular species overlapping with the measured isotope, relevant to U-Th-Pb geochronology (e.g., ²⁰⁴Hg on ²⁰⁴Pb, relevant to the Common-Pb Correction field above).",Advanced,Read-Only,Text (free),"e.g., '²⁰⁴Hg on ²⁰⁴Pb' | 'None'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Interference Correction Method,"Equation or procedure used to correct for isobaric interferences, including the reference material or monitor isotope used to characterise it.",Advanced,Read-Only,Text (free),"e.g., '²⁰²Hg monitored to correct ²⁰⁴Hg on ²⁰⁴Pb via natural ²⁰⁴Hg/²⁰²Hg' | 'None'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample mass fractions from spike-sample isotope ratio measurements, relevant when a concentration spike (e.g., ²³⁵U, as in Table 3's own worked example) is co-aspirated. Record 'None' if isotope dilution is not used.",Advanced,Read-Only,Text (free),"e.g., 'IUPAC isotope dilution equations' | 'None'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Double-Spike Isotope Pair,The pair of enriched isotopes used to construct a double spike for combined mass bias and/or common-Pb correction. Both isotopes must be naturally rare and free from isobaric interferences. Record 'N/A' if double-spike method is not used.,Advanced,Read-Only,Text (free),"e.g., ²⁰⁴Pb–²⁰⁷Pb | N/A","Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only, double-spike procedures)",2026-07-28,N,N,Y,
Double-Spike Mixing Ratio,Target proportion of double-spike signal relative to total analyte signal in the spiked mixture. An optimal mixing ratio minimises error propagation through the double-spike inversion. Record 'N/A' if double-spike method is not used.,Advanced,Editable,Text (free),"e.g., ~0.4 (spike fraction) | N/A","Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only, double-spike procedures)",2026-07-28,N,N,Y,
Double-Spike Inversion Algorithm,Mathematical algorithm used to simultaneously solve for the true sample isotope ratio and the mass fractionation factor from the measured spike-sample mixture. Record 'N/A' if double-spike method is not used.,Advanced,Read-Only,Text (free),"e.g., Rudge et al. (2009) Double Spike Toolbox | N/A","Source: In-house TAPP rule — imported from Solution MC-ICP-MS TAPP v3 (MC-ICP-MS only, double-spike procedures)",2026-07-28,N,N,Y,
Memory Effect Mitigation,Procedure applied to identify and minimise memory effects from high-concentration elements in the previous sample or standard that may contaminate subsequent analyses.,Advanced,Editable,Text (free),"e.g., 'Extended washout between high-U standards and unknowns' | 'None required'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Normalization/Standards-Based Correction,Any post-acquisition normalization applied to correct for systematic biases identified from secondary reference materials.,Advanced,Editable,Text (free),"e.g., 'None' | 'Applied: specify'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,N,N,N,
Primary Calibration Standard Name,Primary reference material used to calibrate the instrument and convert raw signal intensities to ages/isotope ratios. Include citation for the accepted values used.,Basic,Editable,Text (free),91500 (Wiedenbeck et al. 1995),"Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; split out of the former 'Calibration Strategy' + 'Reference Material Information' fields, re-partitioned along LA-Q/SF-ICP-MS TAPP's primary/secondary axis.",2026-07-28,Y,Y,Y,
Secondary Reference Materials,Quality-control reference material(s) analysed as unknowns alongside samples in the same session to assess accuracy and monitor drift. Include citation/accepted values for each.,Basic,Editable,Text (free),"Plesovice (Slama et al. 2008); GJ1, 206Pb/238U 0.097877 ± 0.07%, 207Pb/206Pb 0.060171 ± 0.08% (in-house CA-TIMS, this study)","Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; split out of the former 'Calibration Strategy' + 'Reference Material Information' fields, re-partitioned along LA-Q/SF-ICP-MS TAPP's primary/secondary axis.",2026-07-28,Y,Y,Y,
Within-Session Analytical Precision and Assessment Method,"Reproducibility of repeated measurements within a single analytical session. Assessment method specifies the reference material used, number of replicates n, and the statistic reported.",Basic,Basic,Text (free),"Plesovice — Wtd ave 206Pb/238U age = 338 ± 3 (2s, MSWD = 0.9, n = 8); GJ-1 — Wtd ave 206Pb/238U age = 602 ± 5 (2s, MSWD = 1.1, n = 7)","Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; split out of the former 'Quality Control/Validation' field, which reported within-session validation-material weighted-average ages, MSWD and n; this destination inherits that content directly.",2026-07-28,Y,Y,Y,
Between-Session (Long-Term) Analytical Precision and Assessment Method,"Reproducibility of measurements across multiple analytical sessions over weeks to months. Not addressed in Table 3 of Horstwood et al. (2016), which reports only within-session validation results.",Advanced,Basic,Text (free),"e.g., '2σ RSD = X% for 206Pb/238U age on [RM] across N sessions over M months'","Source: In-house TAPP rule — new field with no Table 3 precedent, added alongside the split of 'Quality Control/Validation' to complete the precision/accuracy structure used in LA-Q/SF-ICP-MS TAPP and Solution MC-ICP-MS TAPP; Advanced (not Basic) because no paper content exists to inherit, unlike its two sibling fields from the same split",2026-07-28,Y,Y,Y,
Analytical Accuracy and Assessment Method,"Offset between measured and accepted reference values for secondary reference materials. Table 3's validation weighted-average ages, compared against each material's independently accepted age (cited in Secondary Reference Materials above), serve as the accuracy statement for this worked example.",Basic,Basic,Text (free),"Plesovice measured weighted-average age (338 ± 3 Ma) compared against accepted age (337.13 ± 0.37 Ma, Slama et al. 2008); GJ-1 measured weighted-average age (602 ± 5 Ma) compared against accepted age from Reference Material Information","Source: Table 3 (Horstwood et al. 2016) — restructured/split for cross-TAPP consistency with LA-Q/SF-ICP-MS TAPP; split out of the former 'Quality Control/Validation' field; reframed as a bias-vs-accepted-value statement using the accepted ages already cited in Secondary Reference Materials, since Table 3's compact example reports precision and accuracy together in one value.",2026-07-28,Y,Y,Y,
Calibration Standard Measurement Frequency,"How often the primary calibration standard is measured relative to unknown samples within a session, i.e. the bracketing interval used to monitor and correct for instrumental drift. Implied but not stated explicitly in Table 3 (Horstwood et al. 2016) via the validation-material n counts.",Advanced,Read-Only,Text (free),"e.g., 'Before and after every 10 unknowns' | 'Start and end of session only'",Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
Detection Limit,"Session detection limit for U, Th, and/or Pb, demonstrating the reliability of reported concentrations near the detection limit. Not requested by Table 3 of Horstwood et al. (2016), which focuses on age uncertainty rather than elemental detection limits.",Advanced,Basic,Numeric (unit),"e.g., '0.05 ppm U (3σ background)' | 'Range: 0.02–0.4 ppm across U, Th, Pb'",Source: In-house TAPP rule — Rule 1 shared Group 6 QC term (gap vs. Table 3),2026-07-28,Y,Y,Y,
Detection Limit Method,Reference or description of the method used to calculate the session detection limit reported above.,Advanced,Basic,Text / URI,"e.g., '3σ of background ion counts per Longerich et al. (1996)'",Source: In-house TAPP rule — Rule 1 shared Group 6 QC term (gap vs. Table 3),2026-07-28,Y,Y,Y,
Limit of Quantification (LOQ) Method,Reference or description of the method used to calculate the limit of quantification: the lowest concentration reliably measurable with acceptable precision and accuracy.,Advanced,Basic,Controlled list,10σ blank | 10× DL | S/N ≥ 10 | Other: specify,Source: In-house TAPP rule — imported from LA-Q/SF-ICP-MS TAPP v4,2026-07-28,Y,Y,Y,
