"Metadata Item","Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
"Laser Spot Geometry","[CHANGED from: Raster: 50 µm circular (also 100 µm for some rasters); Spot (Ge): 150 µm circular] Raster: 50 µm circular beam spot; Spot (Ge): 150 µm circular","20×20 µm square","Run 1 (major): 30 µm circular; Run 2 (trace): 130 µm circular","110 µm circular (spot mode)","2 µm circular, 3 µm circular, or 5×5 µm square (session-dependent)","10 µm circular","75 µm circular","30 µm circular","150 µm circular","150 µm square (mapping mode)","50–60 µm circular","100×100 µm square (stated as 100 µm diameter spot at 1 Hz)","40 µm circular (silicate glass)","20 µm circular (sulfide; grain sizes >20 µm selected)","24 and 32 µm diameter (commonly used for silicates and glass); 90 µm (some olivine analyses to evaluate low REE signal sampling) [P4]","~24 µm diameter [P4]"
"Laser Spot Path / Ablation Mode","Raster area (2D mapping) for most irons; Spot (stationary) for Ge analysis on 5 irons","Raster area (2D elemental mapping)","Transect (line scan, run 1) + Spot (run 2 on same location after pre-ablation)","Spot (stationary)","Raster area (2D elemental mapping)","Raster area (2D elemental mapping; msfsLA galvanometric scanner)","Spot (stationary)","Spot (stationary)","Spot (stationary)","Raster area (2D elemental mapping)","Transect (continuous line scan at 2–6 µm s⁻¹)","Spot (stationary; single spot at 1 Hz)","[CHANGED from: Spot (stationary)] N (ablation mode not explicitly stated; ""beam diameter"" terminology used but ""spot"" or ""spot mode"" not written)","[CHANGED from: Spot (stationary)] N (ablation mode not explicitly stated)","Spot (stationary) [P4]","Spot (stationary) [P4]"
"Laser Energy","N","N","N","N","N","N","N","N","N","N","N","N","N","N","150 mJ output energy [P4]","150 mJ output energy [P4]"
"Laser Fluence (Energy Density)","N (no fluence reported; energy density characterized as ""sufficient to resolve Ge from background argide"")","5–7 J cm⁻²","Run 1 (major): 4.72 J cm⁻²; Run 2 (trace): 4.72 J cm⁻²","3.5 J cm⁻²","2 J cm⁻²","~3 J cm⁻² (femtosecond ablation)","N (parameters lost)","12 J cm⁻²","7 J cm⁻²","7 J cm⁻²","~60% of maximum output (PHAROS system; exact J cm⁻² not converted)","6.79 J cm⁻²","~2.5 J cm⁻² (stated as ""energy of ~2.5 J/cm²"")","~2.5 J cm⁻²","7–10 J/m² (stated in paper; units as written; likely a typographic error for J/cm²) [P4]","7–10 J/m² (same as silicate protocol) [P4]"
"Laser Beam Energy Profile","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Laser Repetition Rate","Raster: 50 Hz; Spot (Ge): 50 Hz","20 Hz","Run 1 (major): 20 Hz; Run 2 (trace): 40 Hz","20 Hz","100–300 Hz (pixel acquisition rate; each laser shot individually triggers ToF)","10 Hz","N (parameters lost)","20 Hz","10 Hz","10 Hz","10–30 Hz (varied based on Sr concentration in samples)","1 Hz","7 Hz","7 Hz","5 Hz [P4]","5 Hz [P4]"
"Laser Pulse Duration","N (UP193FX; ns solid-state; pulse duration not reported)","~5 ns (ArF excimer)","~5 ns (ArF excimer)","~5 ns (ArF excimer)","N (ArF excimer; ns; pulse duration not stated for Iridia)","290 fs (Yb:KGW femtosecond laser)","N (parameters lost)","~220 fs (Ti:sapphire IFRIT system)","4 ns (ArF excimer Excite 193)","4 ns (ArF excimer Excite 193)","300 fs (Yb:KGW PHAROS femtosecond amplifier)","Femtosecond (exact value not stated; GenesisGEO fs laser)","N (ns; CetacAnalyte HE; pulse duration not reported)","N (ns; CetacAnalyte HE)","N (ns excimer system; pulse duration not stated) [P4]","N (same as silicate protocol) [P4]"
"Ablation Duration per Spot","N/A (raster) / 20 s (spot Ge at 50 Hz)","N/A (mapping mode)","N/A (line scan run 1) / N/A (spot run 2 — duration set by 34 runs covering 400 µm + washout, not a fixed spot duration)","20 s spot ablation (plus 10 s washout); 25 cycles acquisition","N/A (mapping mode)","N/A (mapping mode)","N (parameters lost)","N","40 s on-sample ablation (after 20 s background measurement)","N/A (mapping mode)","N/A (transect)","45 s ablation (after 25 s gas blank; 25 s washout between analyses)","~40 s (inferred from typical CetacAnalyte HE protocol for glass)","~40 s (same protocol; grain size >20 µm selected)","N (not stated) [P4]","N (not stated) [P4]"
"Transect Rate, Mapping Rate or Step Size","10 µm s⁻¹ (raster scan); N/A (spot Ge)","9 µm s⁻¹ (continuous raster)","10 µm s⁻¹ (line scan run 1); spot mode (run 2)","N/A (spot mode)","0.3–30 mm² h⁻¹ (mapping rate; scan speed varied to achieve target mapping rate)","2 µm s⁻¹ (continuous raster scan)","N/A (spot mode)","N/A (spot mode)","N/A (spot mode)","10 µm s⁻¹ (continuous raster scan)","2–6 µm s⁻¹ (varied based on Sr concentration in target minerals)","N/A (spot mode)","N/A (spot mode)","N/A (spot mode)","N/A (spot analysis)","N/A (spot analysis)"
"Raster Line Spacing (Mapping Only)","N (line spacing not explicitly stated; 50 µm spot scanned at 10 µm s⁻¹)","20 µm (contiguous; 20×20 µm square spot = line spacing equals spot width)","N/A (line scan + spot; not 2D mapping)","N/A (spot mode)","N/A not specified — pixel size determined by spot size (2/3/5 µm) and repetition rate (100–300 Hz)","15 µm pitch with 5 µm gaps between adjacent lines; gaps smoothed by averaging neighboring scan lines","N/A (spot mode)","N/A (spot mode)","N/A (spot mode)","N (line spacing not stated; 150 µm spot at 10 µm s⁻¹)","N/A (transect — single line)","N/A (spot mode)","N/A (spot mode)","N/A (spot mode)","N/A (spot analysis)","N/A (spot analysis)"
"Carrier Gas and Flow Rate","[CHANGED from: He (carrier gas stated; exact flow rate not reported)] N","He: MFC-1 (cell) 0.200–0.260 l min⁻¹; MFC-2 (cup) 0.220–0.385 l min⁻¹","He: MFC-1 0.19 l min⁻¹; MFC-2 0.22 l min⁻¹","He: MFC-1 0.270 l min⁻¹; MFC-2 0.250 l min⁻¹","[CHANGED from: He (low-dispersion tube-type cell; flow rate and ARIS delay tuned daily)] N (carrier gas and flow rate not stated; ""low-dispersion tube-type ablation cell"" mentioned but no flow rates given)","He, 0.6 l min⁻¹","N (parameters lost)","[CHANGED from: He, 0.6 l min⁻¹] Carrier gas flow: 0.6 L/min; species not named (carrier gas identity not stated in Table 1 or text)","He: 0.6 l min⁻¹ (MFC 1) + 0.7 l min⁻¹ (MFC 2) in HelEx II cell; combined with Ar makeup via T-piece near torch","He: 0.6 l min⁻¹ (MFC 1) + 0.7 l min⁻¹ (MFC 2) in HelEx II cell","He, 0.90 l min⁻¹ (two-volume cell)","He: 0.7 l min⁻¹ (chamber) + 0.1 l min⁻¹ (cup gas)","He (flow rate not stated; carrier gas with N₂ or Ar mixed for sensitivity optimization)","He (flow rate not stated; same system as glass protocol)","N (not stated) [P4]","N (not stated) [P4]"
"Plasma / Make-up Gas Addition","[CHANGED from: Ar make-up gas (flow rate not stated)] N","Ar make-up: 0.81–0.99 l min⁻¹ (mapping); N₂ explicitly not added","Ar make-up: 0.947 l min⁻¹ (run 1 and run 2); N₂ not added","Ar make-up: 0.96 l min⁻¹; N₂ not added","N (ToF system; Ar make-up implied but not stated)","Ar make-up gas, 1.0 l min⁻¹ (added outside ablation cell)","N (parameters lost)","Ar make-up: 0.9–1.2 l min⁻¹; Ar auxiliary: 0.6–1.2 l min⁻¹","Ar make-up gas (combined via T-piece in sample transport line near torch; flow rate not stated separately)","Ar make-up gas (same as spot protocol)","Ar make-up (flow rate not separately stated); N₂ 12 ml min⁻¹ added via Y-connector downstream of signal-smoothing device","N (gas not separately specified beyond total plasma flow)","N₂ or Ar mixed into He carrier for sensitivity optimization (amounts not stated)","N₂ or Ar mixed (same protocol as glass)","N (not stated) [P4]","N (not stated) [P4]"
"Auxiliary and Cool Gas Flow Rates","N","Cool: 15 l min⁻¹ Ar; Auxiliary: 0.81 l min⁻¹ (mapping)","Cool: 15 l min⁻¹ Ar; Auxiliary: 0.90 l min⁻¹ (run 1 and run 2)","Cool: 15 l min⁻¹ Ar; Auxiliary: 0.85 l min⁻¹","N","N (iCAP TQ standard conditions; not separately reported)","N","Cool gas: 12–13 l min⁻¹ Ar; Auxiliary: 0.6–1.2 l min⁻¹","Plasma gas: 16 l min⁻¹; Auxiliary: 0.9 l min⁻¹; Nebulizer gas (from table): 1.1 l min⁻¹","Plasma gas: 16 l min⁻¹; Auxiliary: 0.9 l min⁻¹","Cool gas: 16.0 l min⁻¹ Ar; Auxiliary: 0.80 l min⁻¹ Ar","Plasma gas flow: 15 l min⁻¹; Auxiliary gas: 0.85 l min⁻¹","N","N","N (not stated) [P4]","N (not stated) [P4]"
"RF Power","N (not reported)","800 W (cool plasma for mapping)","1000 W (run 1 major elements + run 2 trace elements)","1000 W","N","1550 W","N (parameters lost)","1400 W","1200 W","1200 W","1250 W","1550 W","N (Agilent 7900; standard conditions implied)","N (same instrument)","N (not stated) [P4]","N (not stated) [P4]"
"Plasma Thermal Mode","[CHANGED from: Normal plasma (implied; no cool plasma mentioned)] N","Cool plasma (800 W RF) to reduce Ar-based argide interferences on ⁶⁰Ni and ⁷¹Ga","Normal plasma (1000 W RF)","Normal plasma (1000 W RF)","[CHANGED from: Normal plasma (ToF system; no cool plasma mentioned)] N","[CHANGED from: Normal plasma (1550 W; KED mode used instead of cool plasma for interference suppression)] N","[CHANGED from: N (parameters lost; medium resolution mode implies normal plasma)] N","[CHANGED from: Normal plasma (1400 W RF power)] N","[CHANGED from: Normal plasma (1200 W RF)] N","[CHANGED from: Normal plasma (1200 W RF)] N","[CHANGED from: Normal plasma (1250 W RF)] N","[CHANGED from: Normal plasma (1550 W RF)] N","[CHANGED from: Normal plasma (implied)] N","[CHANGED from: Normal plasma (implied)] N","N (not stated) [P4]","N (not stated) [P4]"
"Signal Smoothing","N","None (no signal smoothing device; N₂ not added)","None","None","ARIS (Aerosol Rapid Introduction System; Teledyne Photon Machines) for signal pulse compression and fast aerosol transport","[CHANGED from: None (galvanometric scanning system; smoothing incompatible with high-spatial-resolution mapping)] N","N (parameters lost)","N","None","None","Signal-smoothing device used downstream from ablation cell (model not specified); significantly reduced short-term signal variability","[CHANGED from: None (femtosecond laser produces inherently smooth signals)] N","N (CetacAnalyte HE; smoothing status not reported)","N","N (not stated) [P4]","N (not stated) [P4]"
"ICP Tuning","[CHANGED from: Daily optimization using NIST SRM 612 (or equivalent); optimized for sensitivity with low oxide production] N","Daily tuning; cool plasma conditions optimized; N₂ explicitly not added to avoid N-based interferences","Same instrument as mapping; tuning optimized per run (different RF power and resolution settings per run)","Same instrument as olivine runs; tuned for normal plasma conditions","Daily tuning of delay between laser trigger and aerosol arrival; notch filter calibration for Ar-based ions","Gas flow rates optimized to maximize REE sensitivity while maintaining ThO⁺/Th⁺ <1%; KED He gas flow 4 ml min⁻¹ optimized","N (parameters lost)","N","ICP and laser settings optimized daily for optimum signal intensity and low oxide formation (factory specifications; mass calibration and detector cross-calibration checked and redone if required)","Same as spot protocol","NIST 610 used to optimize He/Ar gas flows, torch position, RF power, and source lens settings for max sensitivity and peak flatness; small N₂ added downstream","Gas flows optimized via spot ablation of NIST SRM 612 to obtain maximum signal intensities while maintaining ThO/Th <0.3% and U/Th at 0.95–1.05","N (standard daily optimization implied)","N","N (not stated) [P4]","N (not stated) [P4]"
"Oxide Production Method and Threshold","N (not reported; no oxide proxy threshold stated)","ThO⁺/Th⁺ (mass 248/232); threshold not explicitly stated but minimized by cool plasma","N (normal plasma; no threshold stated for runs 1 and 2)","N (normal plasma; no threshold stated)","N (ToF system; notch filter for Ar ions)","ThO⁺/Th⁺ (mass 248/232) <1% (monitored during tuning; KED He flow adjusted)","N (parameters lost)","N","N (factory optimization criterion; exact threshold not stated)","N (same as spot protocol)","N","ThO⁺/Th⁺ (mass 248/232) <0.3%; U/Th monitored at 0.95–1.05","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Oxide Production","N","N","N","N","N","ThO⁺/Th⁺ <1% (optimized during tuning as condition for gas flow optimization)","N","N","N","N","N","ThO/Th = measured at <0.3%; U/Th = 0.95–1.05 (on NIST SRM 612)","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Instrument Warm-up / Session Duration Limit","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Drift Monitor Frequency","Standards at start and end of session; external bracketing","Each GRM analyzed 3–5× before and 3–5× after sample analyses (all GRMs at start and end of session)","Same as mapping protocol; GRMs at start and end","MPI-DING and USGS GRMs measured at beginning and repeatedly at end of each session","GRMs analyzed 3–5× before and 3–5× after samples in each session; 10 adjacent laser lines per GRM analysis","Reference materials (NIST SRM 612 for REEs; mineral references for MEs) measured under same conditions at start and end of each area","N (parameters lost)","N","NIST SRM 612 and North Chile measured bracketing every 15 unknowns: 3×STD → 3×STD → 10×unknowns → repeat","NIST SRM 612 and North Chile at start and end of mapping session (30 min map; 3 measurements each before and after)","N (no explicit drift correction described; external calibration with reference glasses provides correction)","NIST SRM 612 and 614 measured as external standards within session; BHVO-2 and other GRMs as unknowns","NIST 610 as primary; NIST 612 and BCR-2G as monitoring standards","Same bracketing as silicate glass protocol","NIST 610 glass standard analyzed before and after every session [P4]","NIST 610 analyzed before and after every session (same as silicate protocol) [P4]"
"Analysis Sequence","Standards at start of session → raster unknowns → repeat → standards at end; separate session for Ge spot analyses","(i) Gas blanks → (ii) all glass GRMs for external calibration → (iii) 1–3 cosmic spherule unknowns → (iv) blanks → (v) all glass GRMs again","GRM block (3–5×) → unknowns → GRM block (3–5×); same structure for run 1 and run 2","MPI-DING and USGS GRMs at beginning → unknowns → repeated GRM at end","(i) Gas blanks → (ii) all glass GRMs → (iii) 1–3 CS samples → (iv) blanks → (v) all glass GRMs again","Reference materials analyzed under same conditions before and after mapping of each FG area","BCR-2g, BHVO-2g, BIR-1g measured as calibration standards; Marjalahti as in-session control","IVB meteorite standards (Warburton Range external + Tawallah Valley secondary) measured alongside unknowns; exact bracketing not described","NIST SRM 612(×3) → North Chile(×3) → unknowns(×10) → NIST SRM 612(×2) → North Chile(×2) → unknowns(×10) → … (bracketing every 15)","Background (1 min) → NIST SRM 612(×3) → North Chile(×3) → unknown map (30 min) → North Chile(×3) → NIST SRM 612(×3) → background","14 reference glasses analyzed to evaluate accuracy and provide calibration factors; natural minerals as unknowns for data quality evaluation; 1 block of 120 cycles per analysis","Gas blank (25 s) → ablation (45 s) → washout (25 s); NIST 612 and 614 as external standards; BHVO-2 and 6 GRMs measured as unknowns","NIST 610 as primary standard measured in session; NIST 612 and BCR-2G as monitoring standards; unknowns bracketed by standards","Same bracketing as silicate glass protocol","NIST 610 glass standard analyzed before and after every session; unknowns in between [P4]","Same as silicate protocol [P4]"
"Analyte","³¹P, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁷¹Ga, ⁷⁴Ge, ⁷⁵As, ⁹⁵Mo, ¹⁰²Ru, ¹⁰³Rh, ¹⁰⁶Pd, ¹²⁰Sn, ¹²¹Sb, ¹⁸²W, ¹⁸⁵Re, ¹⁹⁰Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (23 elements; 31P, 51V, 53Cr, 55Mn, 57Fe, 59Co, 60Ni, 63Cu, 71Ga for spot Ge runs)","²⁵Mg, ²⁷Al, ²⁹Si, ³¹P, ⁴⁵Sc, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁶⁰Ni, ⁷¹Ga, ¹³⁹La, ¹⁵³Eu, ¹⁹⁵Pt (14 nuclides)","Run 1 (major): ²⁵Mg, ²⁹Si, ³¹P, ⁴⁴Ca, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe (7 nuclides; medium resolution); Run 2 (trace): ⁷Li, ⁴⁵Sc, ⁵¹V, ⁵³Cr, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La–¹⁷⁵Lu (all REE), ¹⁸⁰Hf, ¹⁸¹Ta, ¹⁸²W, ¹⁸⁵Re, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au, ²³²Th, ²³⁸U (36 nuclides)","²³Na, ²⁵Mg, ²⁷Al, ²⁹Si, ³¹P, ³⁹K, ⁴⁴Ca, ⁴⁵Sc, ⁴⁷Ti, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁸⁵Rb, ⁸⁸Sr, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La–¹⁷⁵Lu (all REE), ¹⁸⁰Hf, ¹⁸¹Ta, ²⁰⁸Pb, ²³²Th, ²³⁸U (43 nuclides)","²³Na to ²³⁸U (full periodic table, m/z 23–238); quasi-simultaneous ToF acquisition","²³Na, ²⁴Mg, ²⁷Al, ²⁹Si, ³⁵Cl, ⁴⁴Ca, ⁴⁷Ti, ⁵⁷Fe (8 MEs) + ¹³⁹La, ¹⁴⁰Ce, ¹⁴⁶Nd, ¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁷Gd, ¹⁶³Dy, ¹⁶⁵Ho, ¹⁶⁶Er, ¹⁶⁹Tm, ¹⁷²Yb, ¹⁷⁵Lu (12 REEs; Pr and Tb excluded to keep total dwell time <1 s)","²⁵Mg, ²⁷Al, ³¹P, ⁴³Ca, ⁴⁴Ca, ⁴⁵Sc, ⁴⁷Ti, ⁴⁹Ti, ⁵¹V, ⁵²Cr, ⁵³Cr, ⁵⁹Co, ⁶⁰Ni, ⁶¹Ni, ⁶²Ni, ⁶⁴Zn, ⁶⁶Zn, ⁶⁹Ga, ⁷¹Ga (19 nuclides)","⁵⁹Co, ¹⁰¹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (9 HSE isotopes); ²⁴Mg, ²⁹Si, ³¹P, ³³S monitored for inclusion detection; ⁶¹Ni as internal standard","⁵²Cr, ⁵⁷Fe, ⁵⁹Co, ⁶¹Ni, ⁶⁵Cu, ⁶⁹Ga, ⁷²Ge, ⁷⁵As, ⁹⁹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸²W, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (17 isotopes); low relative abundance isotopes chosen for Ni and Fe (analog mode)","⁵²Cr, ⁵⁷Fe, ⁵⁹Co, ⁶¹Ni, ⁶⁵Cu, ⁶⁹Ga, ⁷²Ge, ⁷⁵As, ⁹⁹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸²W, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (same 17 isotopes as spot protocol)","L4 (⁸³Kr), L3 (¹⁶⁷Er²⁺), L2 (⁸⁴Sr), L1 (⁸⁵Rb), C (⁸⁶Sr), H1 (¹⁷³Yb²⁺), H2 (⁸⁷Sr), H3 (⁸⁸Sr) (7 cups monitoring Kr, Rb, Er, Yb, Sr)","²¹Sc, ⁵¹V, ⁵²Cr, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁶⁹Ga, ⁸⁵Rb, ⁸⁸Sr, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La, ¹⁴⁰Ce, ¹⁴¹Pr, ¹⁴⁶Nd, ¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁷Gd, ¹⁵⁹Tb, ¹⁶³Dy, ¹⁶⁵Ho, ¹⁶⁶Er, ¹⁶⁹Tm, ¹⁷²Yb, ¹⁷⁵Lu, ¹⁷⁸Hf, ¹⁸¹Ta, ²³²Th, ²³⁸U (32 trace elements)","¹⁹⁷Au, ⁶³Cu (primary targets); all detected via Agilent 7900 (exact isotope list not fully stated)","¹⁹⁷Au, ⁶³Cu (primary targets; Si and Fe from EMP as internal standards)","N (not explicitly listed in methods; results text mentions Sc, V, Ti, Co, Ni, REEs measured in silicates; full isotope list not stated) [P4, P7, P11]","N (not explicitly listed in methods; merrillite REE La-Lu at 14–414 ppm range mentioned in results; full isotope list not stated) [P12]"
"Spectrometer Dwell Time","N (dwell times not reported)","0.01 s (10 ms) per nuclide; samples per peak: 10; duty cycle time: 1.944 s (14 nuclides)","Run 1 (major): 0.01 s per nuclide; samples per peak: 18; duty cycle: 2.069 s; Run 2 (trace): 0.01 s per nuclide; samples per peak: 7; duty cycle: 2.062 s","0.01 s per nuclide; samples per peak: 5; duty cycle: 1.813 s; mass window 150% for ²³Na–⁴⁷Ti, 100% for all other nuclides","N/A — ToF acquires full spectrum simultaneously; base integration time 46 ms; 60+ spectra aggregated per readout (100–300 Hz pixel rate → 68–206 spectra per pixel)","0.05 s (50 ms) per isotope for all monitored masses (20 isotopes total)","N (parameters lost; 10–50 ms varies by isotope per paper text)","N","0.02 s per isotope; 100 samples per peak; 10 runs; 60 passes; total measurement time 120 s per analysis","0.02 s per isotope; 100 samples per peak (same as spot protocol)","0.524 s integration time per cycle (one block of 120 cycles = 62.88 s total)","30 ms (most isotopes) / 10 ms (alternate; dual detector mode)","N","N","N (not stated) [P4]","N (not stated) [P4]"
"Background Count Time","N (gas blank measured before analyses but duration not reported)","Scans for gas blank: 10 per line (before each mapping line); 80 scans during ablation","Run 1: 5 gas blank scans; 24 ablation scans; Run 2: 5 gas blank scans; 24 ablation scans","8 gas blank scans; 11 ablation scans (25 cycles measurement: 15 s blank + 20 s ablation + 10 s washout)","Gas blank map (10 adjacent lines with laser shutter closed) acquired for each GRM at start of session","Background measured at start of each line scan area; washout time ~3 s between areas","N (parameters lost; gas blank measured before each analysis per paper text)","N","20 s background measurement (laser shutter closed) before each 40 s ablation","60 s background measurement before mapping session start; 3 measurements each for NIST and North Chile after background","30 cycles × 0.524 s ≈ 15.7 s (first 30 cycles of the 120-cycle block with no laser ablation)","25 s gas blank before each ablation","N (gas blank measured but duration not explicitly stated)","N","50 s (background counted for 50 s before each LA-ICP-MS analysis) [P4]","50 s (same as silicate protocol) [P4]"
"Multi-Run Sequential Analysis Design","N (single raster acquisition; Ge spot separate session)","N/A (mapping; no sequential multi-run)","Three-stage sequential design on same olivine location:
(1) Pre-ablation pass (2 J cm⁻², 150 µm square, 300 µm s⁻¹) to remove surface contamination;
(2) Run 1 — major elements (30 µm circular, MR M/ΔM=4000, 20 Hz, 7 nuclides);
(3) Run 2 — trace elements (130 µm circular, LR M/ΔM=300, 40 Hz, 36 nuclides; Cr from run 1 as IS)","Single spot analysis run per location (25 cycles: 15 s blank + 20 s ablation + 10 s washout); 3 replicates","N/A (mapping)","N/A (mapping)","Single spot per location (75 µm circular)","Single spot per location (30 µm circular)","Single acquisition run (20 spot analyses per sample under repeatability conditions)","N/A (mapping)","Single line scan per location (1 block of 120 cycles at 0.524 s integration)","Single spot per location (45 s ablation at 1 Hz)","Single spot per location (~40 s ablation at 7 Hz)","Single spot per location (sulfides; same acquisition parameters as glass but 20 µm spot)","Single spot analysis per location [P4]","Single spot analysis per location [P4]"
"Analysis Location/Spot Coordinates","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
"Number of Replicates","N (number not stated explicitly; multiple irons analyzed)","N (single map per olivine crystal section per sample)","3 replicate analyses per grain (3× run 1 + 3× run 2 on same location)","Multiple phosphate grains per meteorite; number varies by section","N (1 to 3 CSs per session; mapping of 5 micrometeorites total)","2–5 areas mapped per FG (single pass per area)","N (variable number of spots per sample)","N (variable number of spots per grain; Mg, Si, P, S monitored to check for inclusions)","20 spot analyses per meteorite under repeatability conditions; additional measurements on different days","1 map per meteorite (single 30-min mapping acquisition)","N (variable; 12–30 analyses per mineral phase per meteorite)","9 spot analyses in grid pattern for homogeneity testing; multiple analyses per fusion glass disk","N (variable per run)","N (grain size >20 µm selected; number of analyzed grains variable)","N (not stated)","N (not stated)"
"Transect Length","N/A","N/A","Line scan length: 400 µm (runs 1 and 2; 34 runs adjusted to measure 400 µm line + blank + washout)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Variable; analyses of plagioclase, pyroxene, glass in two lunar meteorites (NWA 10597 and NWA 6950); line length varies by mineral grain size","N/A","N/A","N/A","N/A (spot analysis)","N/A (spot analysis)"
"Mapping Area","Raster over ""a few millimeters"" of polished iron slab surface (area not precisely stated)","Each map: 1450×600 µm = 870,000 µm²; total of 8 PMG olivines mapped","N/A (line scan + spot; not 2D raster)","N/A","N/A","Areas ranging from 200×200 µm² to 300×300 µm²; 2–5 areas per FG inclusion","N/A","N/A","N/A","Augusto Pestana: 30 min mapping session (area not explicitly stated; 150 µm spot at 10 µm s⁻¹)","N/A","N/A","N/A","N/A","N/A (spot analysis)","N/A (spot analysis)"
"","","","","","","","","","","","","","","","",""
"5. Data Processing","","","","","","","","","","","","","","","N","N"
