Metadata Item,Description,Protocol-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2024
(JAAS 39)
Micrometeorites
Raster mapping (2D)
LA-ICP-ToF-MS
Ghent University","Masuda et al. 2024
(M&PS 59)
CAI minerals (Allende)
Raster mapping (2D)
msfs-LA-ICP-MS
Tokyo Institute of Technology","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Zhang et al. 2022
(At. Spectrosc. 43)
Lunar meteorite silicates
(Rb-Sr geochronology)
Line scan (transect)
fs-LA-MC-ICP-MS
China Univ. of Geosciences","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry"
Data Reduction Software,"Software used for signal processing, background subtraction, and concentration calculation, including version number.",Basic,Editable,Text (free),"e.g., 'Iolite 4.7 (Paton et al. 2011)' | 'GLITTER 4.4' | 'SILLS 1.1.5 (Guillong et al. 2008)' | 'LAtools' | 'In-house MatLab script'",,,Y,Y,Y,,In-house (following Humayun 2012),In-house MatLab script (Appendix C1),In-house MatLab script (Appendix C2),In-house MatLab script (Appendix C3),"HDIP software (Teledyne Photon Machines; data post-processing, calibration, oxide normalization, VOI selection)",iQuant 2+ (Suzuki et al. 2018; image processing and REE pattern extraction),Excel spreadsheets developed by C.-T. A. Lee (Rice University),N (in-house reduction implied),iolite 4.5.7 with 3D Trace Elements DRS,iolite 4.5.7 with 3D Trace Elements DRS,ISO-Compass software (Zhang et al. 2018),Iolite 4 (Paton et al. 2011),N (Agilent software implied),N (Agilent software implied)
Ablation Cell Type,Type and model of ablation cell used.,Advanced,Read-Only,Text (free),"e.g., 'Two-volume HelEx II (Müller et al. 2009)' | 'HDIP low-dispersion tube-type cell' | 'Single-volume standard cell' | 'ARIS (Aerosol Rapid Introduction System)'",,,Y,Y,Y,,N (New Wave standard cell),HELEX II two-volume ablation cell,HELEX II two-volume ablation cell,HELEX II two-volume ablation cell,Cobalt™ ablation chamber + low-dispersion tube-type cell + ARIS (Aerosol Rapid Introduction System),N (Jupiter Solid Nebulizer with galvanometric scanner; no separate ablation cell described),N (standard cell; parameters lost),N,HelEx II two-volume sample cell,HelEx II two-volume sample cell,Two-volume cell (constant distance between laser and aerosol extraction),N (GenesisGEO standard cell),N (CetacAnalyte HE standard cell),N (CetacAnalyte HE standard cell)
,,,,,,,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,,,,,,,,,,,,,,,,,,,
Laser Spot Geometry,"Shape and dimensions of the laser ablation spot in micrometres registered by the protocol. For circular spots, report diameter; for square or rectangular spots, report width × length. The protocol registers the typical geometry; analysts may adjust within protocol-allowed range.",Basic,Editable,Text (free),"e.g., '25 µm circular' | '20×20 µm square' | '15 or 25 µm circular (phase-dependent)'",,2026-05-07,Y,Y,Y,,Raster: 50 µm circular (also 100 µm for some rasters); Spot (Ge): 150 µm circular,20×20 µm square,Run 1 (major): 30 µm circular; Run 2 (trace): 130 µm circular,110 µm circular (spot mode),"2 µm circular, 3 µm circular, or 5×5 µm square (session-dependent)",10 µm circular,75 µm circular,30 µm circular,150 µm circular,150 µm square (mapping mode),50–60 µm circular,100×100 µm square (stated as 100 µm diameter spot at 1 Hz),40 µm circular (silicate glass),20 µm circular (sulfide; grain sizes >20 µm selected)
Laser Spot Path / Ablation Mode,Sampling mode or ablation pattern used during analysis.,Basic,Read-Only,Controlled list,Spot (stationary) | Transect (continuous line scan) | Raster area (2D elemental mapping) | Stepped line profile | Other: specify,,,Y,Y,Y,,Raster area (2D mapping) for most irons; Spot (stationary) for Ge analysis on 5 irons,Raster area (2D elemental mapping),"Transect (line scan, run 1) + Spot (run 2 on same location after pre-ablation)",Spot (stationary),Raster area (2D elemental mapping),Raster area (2D elemental mapping; msfsLA galvanometric scanner),Spot (stationary),Spot (stationary),Spot (stationary),Raster area (2D elemental mapping),Transect (continuous line scan at 2–6 µm s⁻¹),Spot (stationary; single spot at 1 Hz),Spot (stationary),Spot (stationary)
Laser Energy,Laser pulse energy in millijoules as set at the laser output or measured at the sample surface. Less commonly reported than fluence because it does not account for spot area. Report only when the system displays energy directly. Laser fluence (J cm⁻²) is the preferred quantity and is captured in Default Laser Fluence.,Advanced,Editable,Numeric (mJ),"e.g., 0.001 mJ | 3.5 mJ",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Laser Fluence (Energy Density),"Laser pulse energy per unit area at the sample surface in J cm⁻², as registered by the protocol. Fluence is the physically meaningful quantity controlling ablation rate, crater morphology, elemental fractionation, and particle size distribution. If the system reports only as % of maximum output, include that value and note the system maximum where known.",Basic,Editable,Numeric (J cm⁻²),"e.g., '3.5 J cm⁻²' | '7 J cm⁻²' | '60% output (PHAROS system, max ~15 J cm⁻²)'",,2026-05-07,Y,Y,Y,,"N (no fluence reported; energy density characterized as ""sufficient to resolve Ge from background argide"")",5–7 J cm⁻²,Run 1 (major): 4.72 J cm⁻²; Run 2 (trace): 4.72 J cm⁻²,3.5 J cm⁻²,2 J cm⁻²,~3 J cm⁻² (femtosecond ablation),N (parameters lost),12 J cm⁻²,7 J cm⁻²,7 J cm⁻²,~60% of maximum output (PHAROS system; exact J cm⁻² not converted),6.79 J cm⁻²,"~2.5 J cm⁻² (stated as ""energy of ~2.5 J/cm²"")",~2.5 J cm⁻²
Laser Beam Energy Profile,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed. A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam. This is a fixed hardware property of the laser system.",Advanced,Editable,Controlled list / Text,Flat-top (top-hat) — beam homogenizer installed | Gaussian — no beam homogenizer | Not stated,,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Laser Repetition Rate,"Laser pulse repetition rate in hertz registered by the protocol. For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution. Analysts may adjust within protocol-allowed bounds.",Basic,Editable,Numeric (Hz),"e.g., 5 | 10 | 20 | 100",,2026-05-07,Y,Y,Y,,Raster: 50 Hz; Spot (Ge): 50 Hz,20 Hz,Run 1 (major): 20 Hz; Run 2 (trace): 40 Hz,20 Hz,100–300 Hz (pixel acquisition rate; each laser shot individually triggers ToF),10 Hz,N (parameters lost),20 Hz,10 Hz,10 Hz,10–30 Hz (varied based on Sr concentration in samples),1 Hz,7 Hz,7 Hz
Laser Pulse Duration,"Duration of each individual laser pulse, including units. Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects. This is a fixed hardware property of the laser system.",Advanced,Editable,Text (free),"e.g., '4 ns (ArF excimer)' | '20 ns' | '290 fs (Yb:KGW)' | '220 fs (Ti:sapphire)'",,,Y,Y,Y,,N (UP193FX; ns solid-state; pulse duration not reported),~5 ns (ArF excimer),~5 ns (ArF excimer),~5 ns (ArF excimer),N (ArF excimer; ns; pulse duration not stated for Iridia),290 fs (Yb:KGW femtosecond laser),N (parameters lost),~220 fs (Ti:sapphire IFRIT system),4 ns (ArF excimer Excite 193),4 ns (ArF excimer Excite 193),300 fs (Yb:KGW PHAROS femtosecond amplifier),Femtosecond (exact value not stated; GenesisGEO fs laser),N (ns; CetacAnalyte HE; pulse duration not reported),N (ns; CetacAnalyte HE)
Ablation Duration per Spot,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a protocol-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent protocol-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here.",Basic,Editable,Numeric (s),"e.g., 40 s | 60 s | 90 s",,,Y,N,N,,N/A (raster) / 20 s (spot Ge at 50 Hz),N/A (mapping mode),"N/A (line scan run 1) / N/A (spot run 2 — duration set by 34 runs covering 400 µm + washout, not a fixed spot duration)",20 s spot ablation (plus 10 s washout); 25 cycles acquisition,N/A (mapping mode),N/A (mapping mode),N (parameters lost),N,40 s on-sample ablation (after 20 s background measurement),N/A (mapping mode),N/A (transect),45 s ablation (after 25 s gas blank; 25 s washout between analyses),~40 s (inferred from typical CetacAnalyte HE protocol for glass),~40 s (same protocol; grain size >20 µm selected)
"Transect Rate, Mapping Rate or Step Size","For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹. This is the protocol-level parameter that, together with spot size and repetition rate, determines spatial resolution along the scan direction. For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable. For stepped line profiles: the distance between successive spot positions in µm.",Advanced,Editable,Text (free),"e.g., '5 µm s⁻¹ (transect)' | '9 µm s⁻¹ (raster mapping, 20×20 µm spot, 20 Hz)' | '20 µm step size' | '0.3–30 mm² h⁻¹ (mapping rate range)'",,,N,Y,Y,,10 µm s⁻¹ (raster scan); N/A (spot Ge),9 µm s⁻¹ (continuous raster),10 µm s⁻¹ (line scan run 1); spot mode (run 2),N/A (spot mode),0.3–30 mm² h⁻¹ (mapping rate; scan speed varied to achieve target mapping rate),2 µm s⁻¹ (continuous raster scan),N/A (spot mode),N/A (spot mode),N/A (spot mode),10 µm s⁻¹ (continuous raster scan),2–6 µm s⁻¹ (varied based on Sr concentration in target minerals),N/A (spot mode),N/A (spot mode),N/A (spot mode)
Raster Line Spacing (Mapping Only),"Distance between adjacent raster lines in a 2D elemental map, measured perpendicular to the scan direction, in micrometres. Together with spot size, this determines whether adjacent lines are contiguous (line spacing = spot size), overlapping (line spacing < spot size), or have gaps (line spacing > spot size). Applies to raster mapping only.",Basic,Editable,Text (free),"20 µm (contiguous, equal to spot size) | 15 µm pitch with 5 µm gap between lines | N/A (spot or line-scan mode)",,,N,N,Y,,N (line spacing not explicitly stated; 50 µm spot scanned at 10 µm s⁻¹),20 µm (contiguous; 20×20 µm square spot = line spacing equals spot width),N/A (line scan + spot; not 2D mapping),N/A (spot mode),N/A not specified — pixel size determined by spot size (2/3/5 µm) and repetition rate (100–300 Hz),15 µm pitch with 5 µm gaps between adjacent lines; gaps smoothed by averaging neighboring scan lines,N/A (spot mode),N/A (spot mode),N/A (spot mode),N (line spacing not stated; 150 µm spot at 10 µm s⁻¹),N/A (transect — single line),N/A (spot mode),N/A (spot mode),N/A (spot mode)
Carrier Gas and Flow Rate,"Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the protocol-registered target flow rate(s). Helium is standard for most UV laser systems due to superior aerosol transport. Flow rates are protocol targets; actual session values may be adjusted within ±10% during tuning.",Basic,Editable,Text (free),"e.g., 'He, 0.75 l min⁻¹' | 'He: MFC-1 (cell) 0.60 l min⁻¹ + MFC-2 (cup) 0.35 l min⁻¹'",,2026-05-07,Y,Y,Y,,He (carrier gas stated; exact flow rate not reported),He: MFC-1 (cell) 0.200–0.260 l min⁻¹; MFC-2 (cup) 0.220–0.385 l min⁻¹,He: MFC-1 0.19 l min⁻¹; MFC-2 0.22 l min⁻¹,He: MFC-1 0.270 l min⁻¹; MFC-2 0.250 l min⁻¹,He (low-dispersion tube-type cell; flow rate and ARIS delay tuned daily),"He, 0.6 l min⁻¹",N (parameters lost),"He, 0.6 l min⁻¹",He: 0.6 l min⁻¹ (MFC 1) + 0.7 l min⁻¹ (MFC 2) in HelEx II cell; combined with Ar makeup via T-piece near torch,He: 0.6 l min⁻¹ (MFC 1) + 0.7 l min⁻¹ (MFC 2) in HelEx II cell,"He, 0.90 l min⁻¹ (two-volume cell)",He: 0.7 l min⁻¹ (chamber) + 0.1 l min⁻¹ (cup gas),He (flow rate not stated; carrier gas with N₂ or Ar mixed for sensitivity optimization),He (flow rate not stated; same system as glass protocol)
Plasma / Make-up Gas Addition,"Additional gas(es) mixed into the carrier stream downstream of the ablation cell, with the protocol-registered target flow rate. Ar make-up gas is standard. Small N₂ additions can enhance sensitivity for some elements. If N₂ is not added, state ""None"" explicitly to distinguish from not reported.",Advanced,Editable,Text (free),"e.g., 'Ar make-up gas, 0.95 l min⁻¹' | 'Ar make-up 0.80 l min⁻¹ + N₂ 2 ml min⁻¹ (sensitivity enhancement)' | 'None (no N₂ added)'",,2026-05-07,Y,Y,Y,,Ar make-up gas (flow rate not stated),Ar make-up: 0.81–0.99 l min⁻¹ (mapping); N₂ explicitly not added,Ar make-up: 0.947 l min⁻¹ (run 1 and run 2); N₂ not added,Ar make-up: 0.96 l min⁻¹; N₂ not added,N (ToF system; Ar make-up implied but not stated),"Ar make-up gas, 1.0 l min⁻¹ (added outside ablation cell)",N (parameters lost),Ar make-up: 0.9–1.2 l min⁻¹; Ar auxiliary: 0.6–1.2 l min⁻¹,Ar make-up gas (combined via T-piece in sample transport line near torch; flow rate not stated separately),Ar make-up gas (same as spot protocol),Ar make-up (flow rate not separately stated); N₂ 12 ml min⁻¹ added via Y-connector downstream of signal-smoothing device,N (gas not separately specified beyond total plasma flow),N₂ or Ar mixed into He carrier for sensitivity optimization (amounts not stated),N₂ or Ar mixed (same protocol as glass)
Auxiliary and Cool Gas Flow Rates,ICP auxiliary (intermediate) and cool (outer/plasma) Ar gas flow rates in l min⁻¹. The protocol registers target values; actual session values may be adjusted slightly during tuning.,Advanced,Editable,Text (free),"e.g., 'Cool gas: 15 l min⁻¹ Ar; Auxiliary gas: 0.80 l min⁻¹ Ar' | 'Cool: 16 l min⁻¹; Auxiliary: 1.5 l min⁻¹'",,2026-05-07,Y,Y,Y,,N,Cool: 15 l min⁻¹ Ar; Auxiliary: 0.81 l min⁻¹ (mapping),Cool: 15 l min⁻¹ Ar; Auxiliary: 0.90 l min⁻¹ (run 1 and run 2),Cool: 15 l min⁻¹ Ar; Auxiliary: 0.85 l min⁻¹,N,N (iCAP TQ standard conditions; not separately reported),N,Cool gas: 12–13 l min⁻¹ Ar; Auxiliary: 0.6–1.2 l min⁻¹,Plasma gas: 16 l min⁻¹; Auxiliary: 0.9 l min⁻¹; Nebulizer gas (from table): 1.1 l min⁻¹,Plasma gas: 16 l min⁻¹; Auxiliary: 0.9 l min⁻¹,Cool gas: 16.0 l min⁻¹ Ar; Auxiliary: 0.80 l min⁻¹ Ar,Plasma gas flow: 15 l min⁻¹; Auxiliary gas: 0.85 l min⁻¹,N,N
RF Power,"ICP radiofrequency forward power in watts. Fixed in the protocol; cannot be changed by analysts without defining a new protocol, because RF power affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect.",Basic,Read-Only,Numeric (W),"e.g., 800 W | 1200 W | 1350 W | 1550 W",,,Y,Y,Y,,N (not reported),800 W (cool plasma for mapping),1000 W (run 1 major elements + run 2 trace elements),1000 W,N,1550 W,N (parameters lost),1400 W,1200 W,1200 W,1250 W,1550 W,N (Agilent 7900; standard conditions implied),N (same instrument)
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma (≤900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.",Basic,Read-Only,Controlled list,Normal plasma (>1000 W RF) | Cool plasma (≤900 W RF) | Mixed: specify mode per analytical sub-run,,,Y,Y,Y,,Normal plasma (implied; no cool plasma mentioned),Cool plasma (800 W RF) to reduce Ar-based argide interferences on ⁶⁰Ni and ⁷¹Ga,Normal plasma (1000 W RF),Normal plasma (1000 W RF),Normal plasma (ToF system; no cool plasma mentioned),Normal plasma (1550 W; KED mode used instead of cool plasma for interference suppression),N (parameters lost; medium resolution mode implies normal plasma),Normal plasma (1400 W RF power),Normal plasma (1200 W RF),Normal plasma (1200 W RF),Normal plasma (1250 W RF),Normal plasma (1550 W RF),Normal plasma (implied),Normal plasma (implied)
Signal Smoothing,"Description of any signal smoothing device or approach installed between the ablation cell and the ICP-MS to reduce pulse-to-pulse signal variability. Note: active signal smoothing devices (e.g., squid, SCFAST) are generally incompatible with high-resolution raster mapping because they degrade spatial resolution by mixing aerosol from successive laser shots. For mapping analyses, report ""None"" explicitly.",Advanced,Editable,Text (free),"e.g., 'Squid 2.0 (laurin technik)' | 'ARIS (Aerosol Rapid Introduction System)' | 'None'",,,Y,Y,Y,,N,None (no signal smoothing device; N₂ not added),None,None,ARIS (Aerosol Rapid Introduction System; Teledyne Photon Machines) for signal pulse compression and fast aerosol transport,None (galvanometric scanning system; smoothing incompatible with high-spatial-resolution mapping),N (parameters lost),N,None,None,Signal-smoothing device used downstream from ablation cell (model not specified); significantly reduced short-term signal variability,None (femtosecond laser produces inherently smooth signals),N (CetacAnalyte HE; smoothing status not reported),N
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily auto-tune on NIST SRM 612; optimised for max sensitivity on ¹³⁹La and ²³²Th with ThO⁺/Th⁺ <0.5% and U/Th = 1.0 ± 0.05'",,,Y,Y,Y,,Daily optimization using NIST SRM 612 (or equivalent); optimized for sensitivity with low oxide production,Daily tuning; cool plasma conditions optimized; N₂ explicitly not added to avoid N-based interferences,Same instrument as mapping; tuning optimized per run (different RF power and resolution settings per run),Same instrument as olivine runs; tuned for normal plasma conditions,Daily tuning of delay between laser trigger and aerosol arrival; notch filter calibration for Ar-based ions,Gas flow rates optimized to maximize REE sensitivity while maintaining ThO⁺/Th⁺ <1%; KED He gas flow 4 ml min⁻¹ optimized,N (parameters lost),N,ICP and laser settings optimized daily for optimum signal intensity and low oxide formation (factory specifications; mass calibration and detector cross-calibration checked and redone if required),Same as spot protocol,"NIST 610 used to optimize He/Ar gas flows, torch position, RF power, and source lens settings for max sensitivity and peak flatness; small N₂ added downstream",Gas flows optimized via spot ablation of NIST SRM 612 to obtain maximum signal intensities while maintaining ThO/Th <0.3% and U/Th at 0.95–1.05,N (standard daily optimization implied),N
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. The ThO⁺/Th⁺ ratio (mass 248/232) is most widely used, but UO⁺/U⁺ (mass 254/238) or CeO⁺/Ce⁺ (mass 156/140) may also be used. Report both the measurement method (which oxide proxy) and the threshold value.",Basic,Read-Only,Text (free),"e.g., 'ThO⁺/Th⁺ (248/232) <0.5%' | 'ThO⁺/Th⁺ <0.3%; UO⁺/U⁺ monitored at 0.95–1.05' | 'CeO⁺/Ce⁺ <1.0%'",,,Y,Y,Y,,N (not reported; no oxide proxy threshold stated),ThO⁺/Th⁺ (mass 248/232); threshold not explicitly stated but minimized by cool plasma,N (normal plasma; no threshold stated for runs 1 and 2),N (normal plasma; no threshold stated),N (ToF system; notch filter for Ar ions),ThO⁺/Th⁺ (mass 248/232) <1% (monitored during tuning; KED He flow adjusted),N (parameters lost),N,N (factory optimization criterion; exact threshold not stated),N (same as spot protocol),N,ThO⁺/Th⁺ (mass 248/232) <0.3%; U/Th monitored at 0.95–1.05,N,N
Oxide Production,"Actual oxide production ratio measured during this analytical session, using the method specified in the protocol-level field ""Oxide Production Method and Threshold"". Report the measured value and confirm it met the protocol threshold.",N/A,Basic,Text (free),"e.g., 'ThO⁺/Th⁺ = 0.3% (threshold <0.5% met)' | 'ThO⁺/Th⁺ = 0.08%' | 'CeO⁺/Ce⁺ = 0.7% (threshold <1.0% met)'",,,Y,Y,Y,,N,N,N,N,N,ThO⁺/Th⁺ <1% (optimized during tuning as condition for gas flow optimization),N,N,N,N,N,ThO/Th = measured at <0.3%; U/Th = 0.95–1.05 (on NIST SRM 612),N,N
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions. These constraints are part of the protocol and cannot be varied by the analyst.",Advanced,Read-Only,Text (free),"e.g., '≥30 min warm-up after sample change; sessions ≤8 h after tuning' | '3–4 h warm-up; no session duration limit'",,,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Drift Monitor Frequency,Frequency at which primary reference materials are analysed to monitor instrument drift and apply drift corrections across the session. Editable to allow analysts to increase monitoring frequency if drift is observed.,Advanced,Editable,Text (free),"e.g., 'Every 10 unknowns' | 'Start and end of session only' | 'Every 15–20 spot analyses; at start and end of each map for mapping'",,,Y,Y,Y,,Standards at start and end of session; external bracketing,Each GRM analyzed 3–5× before and 3–5× after sample analyses (all GRMs at start and end of session),Same as mapping protocol; GRMs at start and end,MPI-DING and USGS GRMs measured at beginning and repeatedly at end of each session,GRMs analyzed 3–5× before and 3–5× after samples in each session; 10 adjacent laser lines per GRM analysis,Reference materials (NIST SRM 612 for REEs; mineral references for MEs) measured under same conditions at start and end of each area,N (parameters lost),N,NIST SRM 612 and North Chile measured bracketing every 15 unknowns: 3×STD → 3×STD → 10×unknowns → repeat,NIST SRM 612 and North Chile at start and end of mapping session (30 min map; 3 measurements each before and after),N (no explicit drift correction described; external calibration with reference glasses provides correction),NIST SRM 612 and 614 measured as external standards within session; BHVO-2 and other GRMs as unknowns,NIST 610 as primary; NIST 612 and BCR-2G as monitoring standards,Same bracketing as silicate glass protocol
Analysis Sequence,"Repeating order of primary calibration standard(s), quality control standard(s), and unknown analyses within a measurement session. Editable to allow minor adjustments while maintaining the bracketing strategy defined in the protocol.",Basic,Editable,Text (free),"e.g., '1 primary std / 1 QC / 10 unknowns' | '2/4/15' | 'Calibration at start and end; unknowns in between'",,,Y,Y,Y,,Standards at start of session → raster unknowns → repeat → standards at end; separate session for Ge spot analyses,(i) Gas blanks → (ii) all glass GRMs for external calibration → (iii) 1–3 cosmic spherule unknowns → (iv) blanks → (v) all glass GRMs again,GRM block (3–5×) → unknowns → GRM block (3–5×); same structure for run 1 and run 2,MPI-DING and USGS GRMs at beginning → unknowns → repeated GRM at end,(i) Gas blanks → (ii) all glass GRMs → (iii) 1–3 CS samples → (iv) blanks → (v) all glass GRMs again,Reference materials analyzed under same conditions before and after mapping of each FG area,"BCR-2g, BHVO-2g, BIR-1g measured as calibration standards; Marjalahti as in-session control",IVB meteorite standards (Warburton Range external + Tawallah Valley secondary) measured alongside unknowns; exact bracketing not described,NIST SRM 612(×3) → North Chile(×3) → unknowns(×10) → NIST SRM 612(×2) → North Chile(×2) → unknowns(×10) → … (bracketing every 15),Background (1 min) → NIST SRM 612(×3) → North Chile(×3) → unknown map (30 min) → North Chile(×3) → NIST SRM 612(×3) → background,14 reference glasses analyzed to evaluate accuracy and provide calibration factors; natural minerals as unknowns for data quality evaluation; 1 block of 120 cycles per analysis,Gas blank (25 s) → ablation (45 s) → washout (25 s); NIST 612 and 614 as external standards; BHVO-2 and 6 GRMs measured as unknowns,NIST 610 as primary standard measured in session; NIST 612 and BCR-2G as monitoring standards; unknowns bracketed by standards,Same bracketing as silicate glass protocol
