Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,Literature Assessment,Ma+2015 | Caltech GPS | WDS Point Analysis (JEOL 8200),Hu+2020 | IGGCAS | WDS Point Analysis (JEOL JXA-8100),Liu+2016_UT | Cameca SX100 | WDS Mapping (U.Tennessee),Liu+2016_Cal | JEOL JXA-8200 | WDS Point Analysis (Caltech GPS),Ma+2017 | JEOL 8200 | WDS Point Analysis (Caltech GPS Analytical Facility),Frank+2023 | Cameca SX100 | WDS Point Analysis (ARES JSC),Broussard+2026 | JEOL JXA-8200 | WDS Mapping (WashU),Seifert+2026 | JEOL 8530 | WDS Point Analysis (ARES JSC),Pang+2016 | JEOL JXA-8100 | WDS Point Analysis (Nanjing U.),McCoy+2025_SI | JEOL 8530F+ | WDS Point Analysis (Smithsonian),McCoy+2025_UA | Cameca SX-100 | WDS Point Analysis (K-ALFAA U.Arizona),Zega+2025 | Cameca SX-100 Ultra | WDS Point Analysis (K-ALFAA U.Arizona),Barnes+2025 | JEOL JXA-8230 | WDS Point Analysis (CRPG Nancy),Barnes+2025 | Cameca SX100 | WDS Point Analysis (NHM London),
Beam Diameter,Diameter of the electron beam in micrometers. 0 indicates a fully focused beam. Document defocused diameter when used to minimize beam damage or improve spatial averaging for beam-sensitive phases.,Basic,Editable,Numeric (µm),"e.g., 0 (focused) | 1 | 2 | 5 | 10 | 20",,2026-05-11,(none),,Y,Y,Y,Y,,Focused (exact diameter N),Focused (exact diameter N),"1-2 µm (olivine, pyroxene, Fe-Ti-Cr oxides); 5-10 µm defocused (maskelynite, phosphate, sulfide, glass)","1-2 µm (olivine, pyroxene, Fe-Ti-Cr oxides); 5-10 µm defocused (maskelynite, phosphate, sulfide, glass)",Focused (exact diameter N),1 µm (focused),N,"2 µm (stated as ""2 µm probe size"")",Focused (exact diameter N); 2-5 µm defocused (plagioclase and polymorphs),5 µm (carbonates); 1 µm (silicates/oxides),1 µm,"Focused (silicates, sulfides, oxides); 2 µm defocused (phosphates, carbonates)",1 µm (point analysis); 5×5 µm² raster area for carbonates,1 µm (focused),
Beam Raster Dimensions,X x Y dimensions of a small beam raster used at a single analysis point to average a coarse-grained or beam-sensitive phase. Different from X-ray mapping mode; not applicable when mapping.,Advanced,Editable,Numeric pair (µm x µm),"e.g., 5x5 | 10x10 | None",,2026-05-11,(none),,Y,N,Y,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5×5 µm² for carbonates,N/A,
Beam Damage Minimization,"Measures taken to minimize beam damage, particularly volatilization or migration of Na, K, F, and Cl in hydrous minerals, glasses, feldspars, phosphates, and carbonates. Document approach, beam conditions used, and phases for which it was applied.",Advanced,Editable,Text (free),"e.g., 'Na measured first with 10 um defocused beam at 5 nA' | 'Time-resolved acquisition extrapolated to t=0 for Na and K' | 'None required (anhydrous minerals)'",,2026-08-12,sample > sampling unit,,Y,Y,Y,Y,,N,N,"Defocused beam 5-10 µm for maskelynite, phosphate, sulfide, and glass","Defocused beam 5-10 µm for maskelynite, phosphate, sulfide, and glass",Low beam current (5 nA); Na diffusion away from beam still observed in liebermannite,N,N,2 µm probe used for all analyses; Durango apatite tested at 10 µm and 3 µm spot sizes to assess halogen volatilization; no significant loss found under adopted conditions,N,N,N,Defocused 2 µm beam for phosphates (8 nA) and carbonates (4 nA),N,N,
Drift Correction,"Method used to monitor and correct for instrument drift (beam current drift, spectrometer drift) during the analytical session.",Advanced,Editable,Text (free),"e.g., 'Primary standards re-measured at start, midpoint, and end of session; calibration linearly interpolated' | 'Faraday cup beam current verified every 30 min' | 'None'",,2026-05-11,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The procedure registers the full analyte suite; at analysis level the analyst records the specific subset actually measured in the session, which may be narrower if species were excluded due to interferences or scope reduction. Fields whose Keyed By column declares 'analyte' apply individually to each entry in this list.",Basic,Editable,Text (free),"e.g., 'Si, Ti, Al, Fe, Mn, Mg, Ca, Na, K, Cr, Ni, P, S, Cl, F' | 'Si, Al, Fe, Mg, Ca, Na, K'",Source: Analyte module,2026-08-14,defines: analyte,,Y,Y,Y,Y,,"Si, Ti, Al, Cr, Fe, Mn, Mg, Ca, Na, K (from standards list; P not in standard suite)","Si, Ti, Al, Cr, Fe, Mn, Mg, Ca, Na, K","Si, Ti, Al, Mg, Ca, Fe, Mn, Cr, Ni, Na, K, P (from detection limits table)","Si, Ti, Al, Mg, Ca, Fe, Mn, Cr, Ni, Na, K, P (from detection limits table; conditions shared with UT)","Si, Al, K, Na, Ca, Fe, Mg, Ti, Cr, Mn (stated via standards sentence and detection limit list)","Si, Al, Ti, K, Na, Fe, Mg, Ca, S, Mn, Cr, Ni, P, V",F (explicitly stated); full analyte list N in methods,"P, F, Cl, Ca, Mn, Fe, Na, Mg, Si, S","Si, Ti, Al, Cr, Fe, Mn, Mg, Ca, Na, K, P (from standards/methods text)","Fe, Mn, Mg, Ca (carbonates); Fe, Mn, Mg, Ca, Ni, Cr, Al, Si, Ti, K, Na (silicates/oxides)","Na, Si, Mg, Ca, Mn, P, S, Fe (carbonates); F, P, Ca, Si, Mg, Fe, Al, S, K, Cl (phosphates)",N,"Session 1: Al, Ti, Ca, Cr, Mn, Ni, Mg, Fe, Si; Session 2: Na, K, Al, Ti, Ca, Cr, Mn, Ni, Mg, Fe, Si",N,
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-12,defines: reported property,,Y,Y,Y,Y,,,,,,,,,,,,,,,,
EPMA Technique per Analyte,"Whether each analyte was measured by WDS or EDS. In a WDS+EDS procedure, some elements may be assigned to WDS and others to EDS.",Basic,Read-Only,Controlled list,WDS | EDS | Other: specify | N/A | None,,2026-08-11,analyte,,Y,Y,Y,Y,,WDS (all analytes),N,N,N,WDS (all analytes),N,WDS (all analytes),N,WDS (all analytes),N,WDS (stated for phosphate analyses),N,N,N,
X-ray Line,"X-ray emission line measured on each spectrometer assignment. Line choice affects sensitivity, matrix correction accuracy, and susceptibility to peak overlap and spectral interference.",Basic,Read-Only,Controlled list,Ka | Kb | La | Lb | Lg | Ma | Mb | Other: specify | N/A | None,,2026-08-12,channel,,Y,Y,Y,Y,,"SiKα, AlKα, CaKα (anorthite); NaKα (albite); FeKα (fayalite); MgKα (forsterite); MnKα (Mn2SiO4); TiKα (TiO2); CrKα (Cr2O3); KKα (microcline)",N,N,N,"SiKa, AlKa, KKa (microcline); CaKa (anorthite); NaKa (albite); FeKa (fayalite); MgKa (forsterite); TiKa (TiO2); CrKa (Cr2O3); MnKa (Mn-olivine)",N,N,N,N,N,N,N,N,N,
Diffracting Crystal,Analyzing crystal (monochromator) used on each spectrometer assignment. Crystal choice determines the detectable wavelength range and dispersion.,Basic,Read-Only,Controlled list,LIF | LLIF | LIFL | LIFH | PET | LPET | PETL | PETH | PETJ | TAP | TAPL | TAPH | LTAP | LDE1 | LDE2 | LDE3 | RAP | KAP | ADP | Other: specify | Unknown | N/A | None,,2026-08-12,channel,,N,N,Y,Y,,N,N,N,N,N,N,LDE1 (for F); other analytes N,N,N,"LIFL (Fe, Mn); TAPL (Mg); PETL (Ca) — partial; other analytes N",N,N,N,N,
WDS Spectrometer Channel,"WDS spectrometer position(s) assigned to each analyte, one entry per assignment. An analyte may be assigned to more than one spectrometer with intensities aggregated (aggregate intensity counting), and one spectrometer serves several analytes across a run, so the assignment — not the analyte — is the unit carrying the spectrometer setup. Different spectrometers may have different crystal configurations.",Advanced,Read-Only,Text (free),"e.g., 'Si=Sp1; Ti=Sp2; Cr=Sp2+Sp3 (aggregate intensity counting); Fe=Sp3' | 'Mg=Sp1; Ca=Sp4; Na=Sp5'",,2026-08-12,defines: channel per analyte,,N,N,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Sequence,"Order in which spectrometer assignments are acquired during point analysis. Relevant for minimizing beam damage (volatile elements measured first) and for sequential multi-channel setups. Not applicable to X-ray mapping, where all assigned spectrometers collect simultaneously at each pixel.",Advanced,Read-Only,Integer,"e.g., 1 | 2 | 3 | 4",,2026-08-12,channel,,N,N,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Proportional Counter / Detector,Type of detector used on each spectrometer assignment. Affects sensitivity and count rate linearity.,Advanced,Read-Only,Controlled list,High Pressure P10 Flow | Low Pressure P10 Flow | Xe Sealed | SDD | Si(Li) | Other: specify | Unknown | N/A | None,,2026-08-12,channel,,N,N,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
WDS PHA Setting,Pulse height analyzer (PHA) setting for the WDS detector. Integral mode accepts all pulses above a threshold; Differential mode selects a narrow energy window to reject higher-order reflections and escape peaks.,Advanced,Read-Only,Controlled list,Integral | Differential | Other: specify | Unknown | N/A | None,,2026-08-12,channel,,N,N,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Peak Counting Time,"Time spent counting X-ray intensity at the peak position, in seconds, on each spectrometer assignment. Procedure specifies standard values; analysts may adjust within procedure-defined bounds.",Basic,Editable,Numeric (s),"e.g., 10 | 20 | 30 | 60",,2026-08-12,channel,,N,N,Y,N,,N,N,N,20 s on-peak,N,10-50 s,N,N,N,N,N,"20 s (silicates, sulfides, oxides; phosphates); 10 s (carbonates)","200 ms total (peak + background) for Al, Ti, Ca, Mn, Cr; 20 ms total (peak + background) for Mg, Fe, Si",N,
Background Counting Time,"Total time spent counting at off-peak background position(s) in seconds, summed across all background positions.",Basic,Editable,Numeric (s),"e.g., 5 | 10 | 20",,2026-08-12,channel,,N,N,Y,N,,N,N,N,10 s each on high and low background positions (20 s total),N,N,N/A,N,N,N,N,"10 s each on high and low positions (silicates, sulfides, oxides; phosphates); 5 s on each position (carbonates)",N/A,N,
Background Position(s),"Location(s) of off-peak background measurement(s) relative to the peak, in mm or sin-theta, and whether on the high- or low-energy side.",Advanced,Editable,Text (free),"e.g., '+5 mm (High), -5 mm (Low)' | 'High only (+4 mm)' | 'MAN method (no off-peak positions)'",,2026-08-12,channel,,N,N,Y,N,,N,N,N,High and low off-peak positions (2-point; offset in mm or sin-theta N),N,N,N/A,N,N,N,N,High and low off-peak positions (2-point; positions in mm or sin-theta N),N,N,
EDS Live Time per Point or Pixel,"EDS spectral acquisition live time per analysis point in seconds. Previously referred to as ""EDS Acquisition Time"" in this TAPP and commonly used under that name in EPMA and SEM-EDS contexts. Renamed to align with TEM-EDS usage, where the per-point vs. per-pixel distinction (point/line mode vs. spectrum image) is explicit. In EPMA, acquisition is always per point.",Basic,Editable,Numeric (s),"e.g., 30 | 60 | 120",,2026-08-11,(none),,Y,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
EDS Acquisition Mode,"Spatial acquisition sub-strategy for EDS measurements: stationary-beam point acquisition, linescan (beam stepped along a transect at defined intervals), or area map (beam rastered over a pixel grid). Specifies how the beam is positioned during data collection within the declared Analytical Mode. Particularly important when a procedure includes linescans as a distinct acquisition approach not fully captured by the mode flag columns.",Basic,Read-Only,Controlled list,'Point' | 'Linescan' | 'Map' | Other: specify | N/A | None,,2026-08-11,(none),,Y,Y,N,N,,,,,,,,,,,,,,,,
Dwell Time per Pixel,"Time spent acquiring X-ray signal at each pixel during X-ray mapping, in milliseconds. For WDS: one value per spectrometer assignment per pixel. For EDS: total live-time per spectrum per pixel, a single value.",Basic,Editable,Numeric (ms),"e.g., 5 | 10 | 20 | 50 | 100",,2026-08-12,channel,,N,Y,N,Y,,N/A,N/A,~0.5 s per step (olivine megacryst Ka maps; instrument ambiguous),N/A,N,N,N,N/A,N/A,N/A,N/A,N,N/A,N/A,
Step Size / Pixel Size,"Distance between adjacent measurement points in the X-ray map in micrometers, defining the spatial resolution. Report both X and Y step if they differ.",Basic,Editable,Numeric (µm),"e.g., 0.5 | 1 | 2 | 5 | 10; or '1 um (X) x 2 um (Y)'",,2026-05-11,(none),,N,Y,N,Y,,N/A,N/A,8-12 µm (BSE + Ca/Al/Fe/Mg Ka phase maps at UT); 2 µm (olivine megacryst Ka maps; instrument ambiguous),N/A,N,N,N,N/A,N/A,N/A,N/A,N,N/A,N/A,
Map Dimensions,Number of pixels in the X-ray map in the X and Y directions. Determined at analysis time based on the area of interest and selected step size.,N/A,Basic,Numeric pair (pixels x pixels),"e.g., 256x256 | 512x512 | 1024x768",,2026-05-13,(none),,N,Y,N,Y,,N/A,N/A,N,N/A,N,N,N,N/A,N/A,N/A,N/A,N,N/A,N/A,
Map Area,Physical dimensions of the mapped region in micrometers (X x Y). Determined at analysis time based on the sample feature or region of interest.,N/A,Basic,Numeric pair (µm x µm),"e.g., 100x100 | 500x300 | 1000x500",,2026-05-13,(none),,N,Y,N,Y,,N/A,N/A,N,N/A,N,N,N,N/A,N/A,N/A,N/A,N,N/A,N/A,
Stage Scan vs. Beam Scan,Whether the X-ray map was acquired by moving the sample stage (stage scan) or by deflecting the electron beam (beam scan). Stage scan preserves beam geometry and spot size across the full map but is slower; beam scan is faster but may introduce geometric distortion at large deflections.,Advanced,Read-Only,Controlled list,Stage scan | Beam scan | Combined stage and beam scan | Other: specify | Unknown | N/A | None,,2026-05-11,(none),,N,Y,N,Y,,N/A,N/A,N,N/A,N,N,Stage scan,N/A,N/A,N/A,N/A,N,N/A,N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Matrix Correction Method,"X-ray matrix correction algorithm applied during quantitative EDS or WDS data reduction. For X-ray mapping, applies when raw count maps are converted to quantitative concentration maps.",Basic,Read-Only,Controlled list,PAP (Pouchou & Pichoir Full) | XPP (Simplified PAP) | PhiRhoZ Bastin (EPQ-91) | Love-Scott I | Love-Scott II | Armstrong / Love-Scott | ZAF | CITZAF (Armstrong 1995) | Bence-Albee | Other: specify | Unknown | N/A | None,,2026-08-12,(none),,Y,Y,Y,Y,,CITZAF (Armstrong 1995),Bence-Albee,N,N,CITZAF (Armstrong 1995),N,CITZAF (Armstrong 1995),N,ZAF,N,N,N,N,N,
Mass Absorption Coefficients (MACs),"Database of mass absorption coefficients used in the matrix correction. MAC database choice affects accuracy particularly for light elements (B, C, N, O, F, Na).",Basic,Read-Only,Controlled list,LINEMU | CITZMU | MCMASTER | MAC30 | MACJTA | FFAST | Other: specify | Unknown | N/A | None,,2026-05-13,(none),,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Background Correction Method,Method used to estimate and subtract background X-ray intensity beneath the peak. For WDS: typically 2-point off-peak linear interpolation or Mean Atomic Number (MAN) background model. For EDS: spectral background fitting or top-hat filter applied during spectral processing.,Basic,Editable,Controlled list,2-point off-peak linear | 2-point off-peak exponential | 2-point off-peak polynomial | 1-point high with slope factor | 1-point low with slope factor | Mean Atomic Number (MAN) | EDS background fit | Top-hat filter | Other: specify | N/A | None,,2026-08-11,(none),,Y,Y,Y,Y,,N,N,N,Two-point off-peak (high and low positions measured; interpolation method not named),N,N,"Mean Atomic Number (MAN) (most analytes); polynomial fit on representative phases (for F, LDE1 crystal)",N,N,N,N,Two-point off-peak (high and low positions; 10 s each for silicates/sulfides/oxides and phosphates; 5 s each for carbonates),N,N,
Time-Dependent Intensity Correction,"Type of time-dependent intensity (TDI) correction applied to compensate for beam-induced volatilization or migration of sensitive elements (e.g., Na, K, F in glasses, feldspars, carbonates). Most commonly applied in point analysis; uncommon for X-ray mapping.",Advanced,Editable,Controlled list,None | Linear | Exponential | Double exponential | Other: specify | Unknown | N/A,,2026-08-11,analyte,,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Analyte Estimation Method,"Whether elemental concentrations were calculated directly from measured X-ray intensities, or estimated by cation stoichiometry (e.g., oxygen calculated from cation proportions in silicates; carbon from stoichiometry in carbonates).",Advanced,Read-Only,Controlled list,Direct (measured) | Stoichiometry from cations | By difference | Other: specify | Unknown | N/A | None,,2026-08-11,analyte,,Y,Y,Y,Y,,N,N,N,N,N,N,Stoichiometry from cations (O by stoichiometry),Ketcham (2015) method (13-anion basis); OH by difference from 1-F-Cl=OH,N,N,N,N,N,N,
Halogen Correction on Oxygen,"Whether oxygen content was adjusted to account for halogen substitution (F and/or Cl replacing OH) in halogen-bearing phases such as apatite, amphibole, and mica, where oxygen is calculated by stoichiometry.",Advanced,Editable,Boolean,Yes | No | N/A,,2026-05-11,(none),,Y,Y,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N,Yes (F and Cl substitution in apatite; 1-F-Cl=OH),N/A,N/A,N,N,N/A,N/A,
WDS Dead Time Correction,"Method used to correct for WDS proportional counter dead time at high count rates. Dead time errors are most significant for major elements with high count rates (e.g., Si, Fe, Ca). Unlike EDS dead time — which is hardware-managed and reported as a session QC percentage (see EDS Dead Time) — WDS dead time correction is a user-selectable algorithm in the data reduction software. No separate measured WDS dead time value is reported; the correction is applied transparently during intensity-to-concentration conversion.",Basic,Read-Only,Controlled list,Default constant 3 us (Cameca) | Adjusted constant (Cameca) | Default constant (JEOL) | Adjusted constant (JEOL) | High-precision (Probe for EPMA) | Logarithmic | Super-precision | Other: specify | Unknown | N/A | None,,2026-08-11,(none),,N,N,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
EDS Spectral Processing Type,"Method used to process EDS spectra and extract net peak intensities from raw spectral data. Applied before quantification (see Matrix Correction Method). Common approaches include background fitting and subtraction followed by peak integration, and filter fit or Gaussian deconvolution for overlapping peaks.",Advanced,Read-Only,Controlled list,Background fitting | Peak deconvolution | Top-hat filter | Gaussian fit | Filter fit | Other: specify | Unknown | N/A | None,,2026-08-12,(none),,Y,Y,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Blank Correction,"Method and reference material(s) used to determine and subtract blank signal contributions (e.g., carbon coat contribution to C signal, or background contamination for trace elements).",Advanced,Editable,Text (free),"e.g., 'Blank C signal subtracted using carbon-coated polished glass reference' | 'None'",,2026-08-11,analyte,,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Normalization / Standards-Based Correction,Post-acquisition normalization applied using secondary reference materials to correct for session-to-session calibration drift.,Advanced,Editable,Text (free),"e.g., 'Normalization to accepted values of Kakanui kaersutite run as secondary standard' | 'None'",,2026-08-11,reported property,,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-12,reported property,,Y,Y,Y,Y,,,,,,,,,,,,,,,,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method, which is procedure-level: this field records what was actually measured. Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.",N/A,Basic,Text (free),,Source: Blank module,2026-08-08,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,,,
Analysis Inclusion and Rejection Criteria,"The rules determining which individual analyses contribute to a reported aggregate result, together with the outcome of applying them: how many analyses were acquired, how many were included, and on what grounds any were excluded. Distinct from within-analysis outlier filtering, which removes anomalous points inside a single analysis: this field decides which whole analyses enter the reported value. Criteria and outcome are combined in one field because neither is interpretable without the other, following the precision/accuracy precedent.",Basic,Basic,Text (free),,Source: Aggregation module,2026-08-08,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-12,(none),,Y,Y,Y,Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Primary Calibration Standard Name,"Name(s) of the primary reference material(s) used for element standardization (intensity calibration). Include the material name, its source or supplier, and a citation for the accepted values used, since results calibrated against different published values for the same material are not directly comparable.",Basic,Editable,Text (free),"e.g., 'Smithsonian anorthite (Si Ka, Al Ka, Ca Ka)' | 'Amelia albite (Na Ka)' | 'Synthetic fayalite (Fe Ka)' | 'SrF2 (F Ka)'",,2026-08-11,analyte,,Y,Y,Y,Y,,"Anorthite (SiKα, AlKα, CaKα); albite (NaKα); fayalite (FeKα); forsterite (MgKα); Mn2SiO4 (MnKα); TiO2 (TiKα); Cr2O3 (CrKα); microcline (KKα)","Natural kaersutite (Si, Mg, Fe); jadeite (Na, Al); bustamite (Ca, Mn); K-feldspar (K); synthetic rutile (Ti); Cr2O3 (Cr)",N,N,"Asbestos microcline (SiKa, AlKa, KKa); synthetic anorthite (CaKa); Amelia albite (NaKa); synthetic fayalite (FeKa); synthetic forsterite (MgKa); synthetic TiO2 (TiKa); synthetic Cr2O3 (CrKa); synthetic Mn-olivine (MnKa)","Kakanui kaersutite (Si, Al, Ti, K, Na, Fe, Mg, Ca); Canyon Diablo troilite (S); rhodonite (Mn); chromium metal (Cr); nickel metal (Ni); apatite (P); vanadium metal (V)","Natural and synthetic minerals routinely used in analytical facility (specific names N); synthetic F-phlogopite (for F, LDE1 crystal)","SrF2 (F); albite (Na); olivine (Mg, Fe, Si); quartz (Si); apatite (Ca, P); barite (S); tugtupite (Cl); rhodonite (Mn); ilmenite (Fe, Ti)",Natural and synthetic mineral standards (specific names N),"Carbonates: magnetite USNM 114887 (Fe,Mn), calcite USNM 13621 (Ca), dolomite USNM 10057 (Mg), siderite R-2460, rhodonite; Silicates/oxides: chromite USNM 117075, ilmenite USNM 96189, magnetite USNM 114887, manganite USNM 157872, bytownite R-2912, forsterite P140, San Carlos olivine USNM 111312 (Fo90), Springwater olivine USNM 2566 (Fo83)","Phosphates: fluorapatite (F, P, Ca), Fo92 olivine (Si, Mg), rhodonite (Mn), fayalite (Fe), anorthite (Al), baryte (S), K-feldspar (K), scapolite (Cl); Carbonates: albite (Na), Fo olivine (Si), dolomite (Mg), calcite (Ca), Mn carbonate (Mn), apatite (P), baryte (S), fayalite (Fe)",Well-characterized natural and synthetic materials (specific names N),"Springwater olivine (Mg, Si); fayalite (Fe); wollastonite (Ca); albite (Na, Al); orthoclase (K); rutile (Ti); Ni metal (Ni); chromite (Cr); rhodochrosite (Mn)",N,
Secondary Reference Materials,"Quality-control reference material(s) analyzed alongside unknowns to verify calibration accuracy. Include material name, assessed elements, number of analyses (n), and measured vs. accepted values.",Basic,Editable,Text (free),"e.g., 'Kakanui kaersutite (Si, Al, Ti, Fe, Mg, Ca, Na, K; n=5; within 1% of GeoReM values)' | 'Durango apatite (F, Cl, P, Ca; Wudarska et al. 2021)' | 'USNM San Carlos olivine 111312 (Mg, Fe, Si)'",,2026-08-12,defines: standard per analyte,,Y,Y,Y,Y,,N,N,N,N,Feldspar standards run as unknowns (material names N beyond what is listed above),USNM San Carlos olivine (Fo90); Kakanui kaersutite,Smithsonian Microbeam standards (specific materials and values N),N,N,"Carbonates: calcite, dolomite, rhodochrosite; Silicates/oxides: magnetite, San Carlos olivine USNM 111312, Springwater olivine USNM 2566",N,N,N,N,
Interference Corrections Applied,"Whether a spectral interference correction was applied for each analyte. Common interferences include Ti Kb on V Ka, Cr Kb on Mn Ka, and Ba La on Ti Ka.",Basic,Read-Only,Boolean,Yes | No | N/A,,2026-08-12,analyte,,Y,Y,Y,Y,,N,Yes,N,N,N,N,N,N,N,N,N,N,N,N,
Interfering Elements,"Element(s) whose X-ray lines overlap with the measured peak for this analyte, requiring a correction.",Advanced,Read-Only,Text (free),"e.g., 'Ti Kb overlaps V Ka' | 'Cr Kb overlaps Mn Ka' | 'Ba La overlaps Ti Ka'",,2026-08-11,analyte,,Y,Y,Y,Y,,,Cr Kβ on Mn Kα,,,,,,,,,,,N,N,
Interference Correction Standard,Reference material used to quantify and calibrate the interference correction for this analyte.,Advanced,Read-Only,Text (free),"e.g., 'Synthetic TiO2 (for Ti Kb on V correction)' | 'Chromite USNM 117075 (for Cr Kb on Mn correction)'",,2026-08-11,analyte,,Y,Y,Y,Y,,,,,,,,,,,,,,N,N,
Detection Limit,"Method detection limit at 99% confidence (3-sigma), one per reported concentration variable (one per analyte, these being the same set), derived from counting statistics on peak and background. Include the method and the resulting value for each.",Advanced,Basic,Numeric + unit / Text,"e.g., 'SiO2: 0.02 wt% (3-sigma, 20 s peak, 10 s bg)' | 'Na2O: 0.03 wt%' | 'F: 0.04 wt%'",,2026-08-24,reported property,,Y,Y,Y,Y,,K: 0.02 wt%; Cr: 0.05 wt%; Mn: 0.06 wt% (Table 1 footnote; other elements N),K2O: 0.01 wt% (lowest); MnO: 0.06 wt% (highest); full per-element values stated in paper,"<0.03 wt% for SiO2, TiO2, Al2O3, MgO, CaO; <0.05-0.1 wt% for FeO, MnO, Cr2O3, NiO, Na2O, K2O, P2O5 (stated as ""typical"")","<0.03 wt% for SiO2, TiO2, Al2O3, MgO, CaO; <0.05-0.1 wt% for FeO, MnO, Cr2O3, NiO, Na2O, K2O, P2O5 (stated as shared conditions with UT)","0.05 Si, 0.04 Ti, 0.06 Al, 0.06 Fe, 0.02 Mg, 0.02 Ca, 0.03 Na, 0.02 K, 0.05 Cr, 0.06 Mn (all wt%)","Al2O3, K2O, CaO: 0.03-0.04 wt%; Na2O, MgO, SiO2, FeO, MnO: 0.05 wt%; P2O5, SO2, TiO2, V2O3, Cr2O3, NiO: 0.06-0.09 wt% (stated as ""typically"")",N,N,Better than 0.02 wt% (as stated in paper),N,N,N,Mg: 0.025 wt%; Fe: 0.025 wt%; Si: 0.05 wt%; K: 0.05 wt%; Na: 0.05 wt%; Ca: 0.005 wt%; Al: 0.02 wt%; Ti: 0.005 wt%; Cr: 0.015 wt%; Mn: 0.008 wt%,"Transition metals: ~250 ppm (stated as ""typical"")",
