Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Desem+etal2022 | Nu Attom SC-SF-ICP-MS | Univ Melbourne,Li+etal2016 | Thermo Element I | IGGCAS Beijing,Lu+etal2007 | Finnigan ELEMENT | PML Okayama,Milne+etal2010 | Thermo Finnigan Element I | FSU NHMFL,Misra+etal2014 | Thermo Element XR | Univ Cambridge,Willbold2005 | ThermoFinnigan ELEMENT2 | MPI Mainz
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),,Source: Core module,2026-08-25,(none),,,N,N,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),,Source: Core module,2026-08-25,(none),,,N,N,N,N,N,N
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,Solution nebulisation (continuous) | Flow injection,Source: Core module,2026-08-25,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",,"Solution nebulisation (continuous) -- ""The Attom was operated with a Glass Expansion cyclonic spray chamber and glass nebulizer (uptake rate 0.33 ml/min)""; ""both operated in wet plasma mode""; ESI SC-2 DX autosampler","Solution nebulisation (continuous) -- ""Sample uptake rate 200 uL min-1""; ""The components of the sample introduction system: nebulizer, spray chamber, torch, and the cones"" [sec 2.1]","Solution nebulisation (continuous) -- stated in the acquisition parameters: ""Middle resolution 50 s with 30 scans (continuous nebulization)""","Solution nebulisation (continuous) -- ""Nebuliser PFA microflow (PFA-100), Elemental Scientific""; ""Nebuliser sample uptake rate 150 uL min-1""; ""Autosampler CETAC ASX-100"". The flow-injection manifold of sec 2.2 is the offline pre-concentration step, not the ICP-MS introduction: ""prevented the online coupling of the flow injection system directly to an ICP-MS"" [sec 2.3]","Solution nebulisation (continuous) -- ""a Teflon Scott type (single pass) spray chamber was constructed""; ""we used a platinum injector (1.8 mm I.D.)""; ESI nebulizer","Solution nebulisation (continuous) -- ""The ELEMENT2 was equipped with an ESI microconcentric Teflon nebuliser (flow rate ca. 100 ul min-1) and an ESI Teflon spray chamber""; ""Sample uptake rate ca. 100 ul min-1"""
RF Power,Radiofrequency forward power applied to the plasma (W). Controls ionization efficiency and oxide production rates.,Basic,Editable,Numeric (W),1200 | 1300 | 1350 | 1550,,2026-06-16,(none),,,N,1300 W (Table 1),1.1 kW (stated Table in section 2.1.2),1300 W (Table 2),1250 W (Table 1),1235 W (Table 3)
Coolant (Plasma) Gas Flow Rate,Flow rate of the outer (coolant) argon gas stream (L/min). Influences plasma temperature and oxide ion formation.,Basic,Editable,Numeric (L/min),13–16 L/min,,2026-06-16,(none),,,N,14.6 L/min (Table 1),14 L/min (stated Table in section 2.1.2),13 L/min (Table 2),N,15 L/min (Table 3)
Auxiliary Gas Flow Rate,Flow rate of the intermediate (auxiliary) argon gas stream between torch body and injector tube (L/min).,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,,2026-06-16,(none),,,N,0.96 L/min (Table 1),1.2 L/min (stated Table in section 2.1.2),1.05 L/min (varied and optimized daily; Table 2),N,0.9 L/min (Table 3)
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min).,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,Source: Solution Introduction module,2026-08-25,(none),Controls aerosol transport and strongly influences signal sensitivity and stability.,,N,0.90 L/min (sampling gas; Table 1),0.90 L/min (stated Table in section 2.1.2),1.2 L/min (varied and optimized daily; Table 2),N,1.0 L/min (sample gas; Table 3)
Make-up Gas and Flow Rate,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate. Record any small nitrogen or hydrogen addition with its own flow, whose unit commonly differs from the make-up flow. Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported.",Advanced,Editable,Numeric (L/min) / Text,"e.g., '0.25 (Ar, no desolvator fitted)' | '0.85 Ar + 4 ml/min N2 (sensitivity enhancement)' | 'None'",Source: ICP-MS module,2026-08-25,(none),"Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load. Small nitrogen or hydrogen additions enhance sensitivity for some elements.",,N/A,N/A,N/A,N/A,N/A,N/A
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma or normal (hot) plasma conditions. Normal plasma (>1000 W RF) is standard for most solution SF-ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements.",Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | Mixed: specify | N/A | None | Other: specify,,2026-06-16,(none),,,N,Normal plasma (1300 W; Table 1),Normal plasma (1.1 kW; stated section 2.1.2),Normal plasma (1300 W; Table 2),Normal plasma (1250 W; Table 1),Normal plasma (1235 W; Table 3)
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily tune on 5 ng/ml Be-Rh-U to maximise sensitivity across the mass range; CeO+/Ce+ <2 permil' | 'Tuned to ~1000 kcps/ppb Pb while maintaining flat-topped peaks' | 'Optimised on 11B, 115In and 175Lu, with 2.5x10^6 cps/ppb on 115In set as an operational criterion; medium-resolution tune on 56Fe for separation from 40Ar16O'",Source: ICP-MS module,2026-08-25,(none),,,"""The instrument was tuned to provide ~1000 kcps/ppb Pbtotal while maintaining flat-topped peaks""","""The instrument was tuned using a 5 ng mL-1 solution containing Be, Rh and U in order to maximize the sensitivity covering the low-mid-high mass range. MO+/M+ ratios measured for Ce under the routine experiment conditions maintained at less than 2 permil""","Partially -- an oxide acceptance criterion is registered in the operating conditions, ""Oxide forming rate <1% (CeO+/Ce+)""; no tuning solution or tuning procedure stated","""At the start of each day, prior to any sample analysis, the instrument was first tuned to produce maximum sensitivity and stability while also maintaining low oxide formation ... using a 5ppb solution of In""; ""Further tuning using a 5ppb solution of Fe in the medium resolution mode ensured maximum separation of the 56Fe peak from the 40Ar16O peak""; oxide formation ""typically below 5%"", above 10% causing problems","""Instrumental sensitivity was optimized on 11B, 115In, and 175Lu"", with sensitivities ""set as operational criteria""; ""in medium resolution tuning, the instrument was optimized on 56Fe to achieve a mass resolution""",N
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions.",Advanced,Read-Only,Text (free),"e.g., '>=1 h warm-up after plasma ignition' | 'Instrument conditioned with a matrix-matched solution before the first sample; no session duration limit'",Source: ICP-MS module,2026-08-25,(none),,,N,N,N,N,"Partially -- ""The instrument was conditioned with a 10 [ppb solution]"" before analysis, and detector mode was ""kept fixed through the entire run to avoid detection mode switch induced changes in sensitivity"". No warm-up time or session duration limit stated",N
Instrument Sensitivity,"Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to. May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited. A sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.",N/A,Advanced,Numeric + unit / Text,"e.g., '572 V/ppm total Zr' | '~2.5 x 10^6 cps/ppb on 115In' | '0.04 count pg-1 ml (111Cd)' | '0.1% useful yield' | 'N/A'",Source: ICP-MS module,2026-08-25,channel,"Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate.",,"""tuned to provide ~1000 kcps/ppb Pbtotal""",N,N,"""~5000 cps nM-1"" for Co and ""~3100 cps nM-1"" for Mn from standard additions, highest observed 3560 cps nM-1; ""Observed count rates for this solution were in general ~1,000,000 cps"" for a 5 ppb In solution","""a typical sensitivity of ~2.5 x 10^6 cps/ppb on 115In""; per-matrix sensitivity for 1 ppb 11B and 1 ppb 115In tabulated across spray chamber, injector and acid matrix combinations",N
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),,Source: Analyte module,2026-08-25,defines: analyte,,,"Pb isotopes (204Pb, 206Pb, 207Pb, 208Pb) with mass fractionation monitors 202Hg, 203Tl, 205Tl (stated section 2.3)","Trace elements: REEs, Cr, Co, Ni, Cu, Zn, Li, Rb, Sr, Cs, Ba (stated section 2.3.2)","Ti (47Ti, 49Ti) with Nb (93Nb) as ID-IS; stated section 2.1.2","Mn (55Mn), Fe (57Fe), Co (59Co), Ni (62Ni), Cu (65Cu), Zn (68Zn), Cd (111Cd), Pb (207Pb) in seawater (stated Table 1)","Li, B, Na, Mg, Al, Mn, Fe, Zn, Sr, Cd, Ba, U as Me/Ca ratios in foraminifera (stated section 2.3)","26 trace elements: Rb, Sr, Y, Zr, Nb, Cs, Ba, La, Ce, Pr, Nd, Sm, Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu, Hf, Ta, Pb, Th, U (stated Table 2)"
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-25,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,,"206Pb/204Pb, 207Pb/204Pb, 208Pb/204Pb, 207Pb/206Pb, 208Pb/206Pb -- dimensionless isotope ratios","Mass fractions of Li, Be, Sc, Cr, Co, Ni, Cu, Zn, Rb, Sr, Ge, Cs, Ba, Y and the REE; detection limits in ng mL-1 [Table 2]. Concentration unit is not stated in the Table 4 header",Ti and Nb mass fractions by ICP-SFMS (ug g-1); TiO2 also reported; detection limits in solution (ng g-1) and in rock (ug g-1) [Table 2b],"Dissolved Mn, Fe, Co, Ni, Cu, Zn, Cd and Pb concentrations in nM","B/Ca and Me/Ca (Li, Mg, Al, Sr, Cd, Ba, U in low resolution; Na, Mn, Fe, Zn in medium resolution) in umol/mol and mmol/mol","Trace element mass fractions in ug g-1 -- Eqs (1) and (2) both return ""ug g-1""; limits of detection as rock equivalents in ng g-1"
Monitored Masses,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one. Covers atomic isotopes and, where a reaction cell shifts an analyte onto a different mass, the product mass actually measured. Includes interference-monitor and internal-standard masses, which serve no analyte and so have no parent element. The analyte list is given by the Analyte field and is never inferred from the element symbols appearing here.",Basic,Read-Only,Text (free),71Ga | 109Ag | 115In | 205Tl | 209Bi | N/A | None | Other: specify,,2026-08-17,defines: channel per analyte,,,"202Hg, 203Tl, 204Pb, 205Tl, 206Pb, 207Pb, 208Pb (stated section 2.3)",N,"47Ti, 49Ti, 93Nb (stated section 2.1.2)","55Mn, 57Fe, 59Co, 62Ni, 65Cu, 68Zn, 111Cd, 207Pb (Table 1)","LR: 7Li, 11B, 25Mg, 27Al, 43Ca, 87Sr, 111Cd, 137Ba, 238U; MR: 23Na, 43Ca, 55Mn, 56Fe, 66Zn (Table 3)",N (Table 2 lists elements without specific mass numbers)
Mass Resolution Assignment,"Mass resolution mode assigned to each acquired mass. The selected resolution determines which polyatomic interferences are physically resolved by the magnetic sector. One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element. The overall mode(s) used in the procedure are recorded in Mass Resolution Setting (Group 3).",Basic,Read-Only,Text (free),"LR: Ag, Cd, Sb, Tl, Bi; MR: Ga, Ge, Mo, In, Sn, W | All MR (m/Δm ~2500) | N/A | None | Other: specify",,2026-08-12,channel,,,N (Nu Attom uses deflector peak jump; resolution mode not stated in LR/MR/HR terms),N,"MR (M/Delta-m = 3000) for all analytes: 47Ti, 49Ti, 93Nb (stated section 2.1.2)","MR (R ~4000): 55Mn, 57Fe, 59Co, 62Ni, 65Cu, 68Zn; LR (R ~300): 111Cd, 207Pb (stated section 2.4)","LR: 7Li, 11B, 25Mg, 27Al, 43Ca, 87Sr, 111Cd, 137Ba, 238U; MR: 23Na, 43Ca, 55Mn, 56Fe, 66Zn (Table 3)","LR (M/Delta-m = 300): Rb, Sr, Y, Zr, Nb, Cs, Ba, La-Nd, Hf, Ta, Pb, Th, U; HR (M/Delta-m = 11000): Eu, Gd, Tb, Dy, Ho, Er, Tm, Yb, Lu (stated section on instrumentation)"
E-scan Range,"Electric scan range used for peak acquisition, expressed as percentage of the centre mass (%). Varies the accelerating voltage to cover masses in the vicinity of the set magnetic mass without re-scanning the magnet. Record 'N/A' if E-scan acquisition mode is not used.",Advanced,Read-Only,Numeric (%),15% | 10%,,2026-08-12,(none),,,"N/A (Nu Attom uses deflector peak jump, not E-scan)",N,N,N,N,N
Triple Scanning Mode,Whether each mass peak is scanned three times per cycle and the results averaged (Y/N). Used to reduce noise from short-term magnetic field instabilities on sector-field instruments. Triple scanning affects the effective integration time per cycle and should be reported. Record 'N/A' if not applicable to the instrument.,Advanced,Read-Only,Controlled list,Y | N | N/A | None | Other: specify,,2026-08-12,(none),,,N/A (Nu Attom instrument; not applicable),N,N,N,N,N
Dwell Time per Mass,Integration time spent on each mass peak per sweep (ms). May differ between masses where per-mass dwell times are programmed.,Basic,Editable,Numeric (ms) / Text,,,2026-08-12,channel,,,500 us (0.5 ms) per mass (stated section 2.3),100 ms per isotope (Table 1),47Ti/49Ti: 0.18 s per 1 s cycle; 30 scans in 50 s continuous nebulization (Table 2b and section 2.1.2),N,LR: 50-100 ms sample time per mass; MR: 25 ms sample time per mass (Table 3),100 ms per mass (Table 3)
Number of Scans per Replicate,"Number of complete mass scans accumulated per analytical replicate. A scan — also called a sweep or a pass — is one complete traversal of the monitored masses by a sequentially scanning analyser, so the scan count multiplied by the per-mass dwell time gives the total integration time per replicate. Distinct from a cycle in simultaneous multi-collection, which is one readout of all detectors at once rather than a traversal of masses.",Basic,Read-Only,Integer,20 | 40 | 100 | 250 | 2000,,2026-08-17,(none),,,2000 sweeps per set x 30 sets (stated section 2.3),N,30 scans in 50 s (stated section 2.1.2),N,LR: 15 passes x 3 runs = 45 total; MR: 3 passes x 3 runs = 9 total (Table 3),70-120 scans per analysis (stated section on instrumentation)
Number of Replicates,"Number of replicate measurements performed on the same sample, or on the same nominal location where the technique is spatially resolved. For spot analysis this is the number of individual spots per grain or location; for transects, the number of replicate lines; for mapping, the number of map acquisitions of the same area; for solution work, the number of discrete replicate measurements acquired per sample solution. The procedure registers an intended count where it has one; the analysis records the count actually acquired.",Advanced,Basic,Integer,3 | 5 | 10,,2026-08-17,(none),,,1 (30 sets of 2000 sweeps = single 4.5 min continuous analysis; stated section 2.3),N,N,N,3 runs (LR and MR; Table 3),N
Analysis Sequence,"Description of the measurement order within a session: how samples, blanks, calibration standards, and reference materials are interleaved.",Basic,Read-Only,Text (free),Matrix-matched bracketing every 5 samples | Standard after every 3 samples | Dual-aliquot design (Barrat approach) | N/A | None | Other: specify,,2026-06-16,(none),,,N,N,Standard solution measured every two samples; background measured before each sample (stated section 2.1.2),N,Blocks of 7 samples bracketed by pair of acid blanks and consistency standards (stated section 2.3.1),N
Wash Time Between Samples,Duration of instrument rinse between successive sample solutions (seconds).,Basic,Read-Only,Numeric (s),120 | 180 | 210 | 300,Source: Solution Introduction module,2026-08-25,(none),"Controls carryover and memory effects. For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions.",,10 s in two 2% HNO3 reservoirs (stated section 2.3),60 s (Table 1),~200 s (background measured after 200 s wash before each sample; stated section 2.1.2),N,120 s (Table 1),N
Internal Standard Element,"Element(s) added at a known concentration to all solutions (samples, blanks, calibration standards) and used as internal standards for drift correction and matrix normalization. Specify element and monitored isotope.",Basic,Read-Only,Text (free),Y + Ho | Rh (10 ppb) | Tm spike aliquot | None | N/A | Other: specify,,2026-06-16,(none),,,Tl (203Tl and 205Tl for mass fractionation correction; stated section 2.3),Rh (103Rh; Table 1),Nb (93Nb as ID internal standard for Ti; stated section 2.1.2),None (ID method used; no external IS; stated section 2.1),None (matrix-matched external calibration; stated section 2.3.1),Ru and Re (in-run mass fractionation correction; ~6 uL Ru-Re solution per dilution; stated section on instrumentation)
Internal Standard Concentration,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb). Record 'N/A' where Internal Standard Element is 'None'.,Advanced,Read-Only,Numeric (µg/L),"e.g., '5 µg/L In' | '10 µg/L Rh' | '1–10 µg/L (In, Rh, Re multi-element)' | '20 µg/L (high-dilution runs)'",Source: Solution Introduction module,2026-08-25,(none),,,1 ppb Tl in sample matrix (stated section 2.3),5 ng/ml Rh (stated section 2.3),N,N/A,N/A,N
Oxide Production Method and Threshold,Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. CeO+/Ce+ (m/z 156/140) is the standard monitor proxy; stricter thresholds than Q-ICP-MS are commonly required. BaO+/Ba+ may also be monitored.,Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 0.4%; BaO+/Ba+ (m/z 154/138) < 0.15% | CeO+/Ce+ < 0.5% | N/A | None | Other: specify,,2026-08-12,(none),,,N,N,CeO+/Ce+ < 1% (stated section 2.1.2),In (5 ppb) used for LR tuning; oxide rate typically <5% (stated section 2.4),Sensitivity criteria used (not oxide threshold): >=250000 cps/ppb for 11B; >=2500000 for 115In; >=2000000 for 175Lu (stated section 2.3.1),N
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),CeO+/Ce+ = 0.3% (threshold < 0.4% met) | BaO+/Ba+ = 0.08% (threshold < 0.15% met),Source: ICP-MS module,2026-08-25,(none),,,N/A,N/A,N/A,N/A,N/A,N/A
Doubly-Charged Species Monitor,"Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning. Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses. In SF-ICP-MS, doubly-charged species are not suppressed by collision cells and require monitoring through plasma tuning. Ba2+/Ba+ (m/z 69/138) is the most common proxy.",Advanced,Editable,Text (free),Ba2+/Ba+ (m/z 69/138) | Ce2+/Ce+ (m/z 70/140) | N/A | None | Other: specify,,2026-06-16,(none),,,N,N,N,N,N,N
Doubly-Charged Species Production,Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. Record both the acceptance threshold and the measured value. Elevated doubly-charged production indicates incomplete ionization and potential interference on elements at approximately half the mass of abundant matrix components.,Advanced,Editable,Text (free),Ba2+/Ba+ < 5% (threshold); 2.1% (measured) | Ce2+/Ce+ < 3% (threshold); 1.8% (measured) | N/A | None,,2026-06-16,(none),,,N,N,N,N,N,N
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),"e.g., '23' | '20 ns, determined from a U calibration series' | 'N/A (analog detection only)'",Source: ICP-MS module,2026-08-25,channel,,,N,N,N,N,N,N
5. Data Processing,,,,,,,,,,N,N,N,N,N,N,N
Internal Standard Approach,"Role(s) assigned to the internal standard(s) in data reduction: drift correction only, matrix normalization, or a combination.",Basic,Read-Only,Controlled list,Drift correction only | Matrix normalization | Drift + matrix normalization | N/A | None | Other: specify,,2026-06-16,(none),,,Mass fractionation correction only (Tl used to correct Pb isotope mass bias; stated section 2.3),Drift correction (103Rh as IS; Table 1),ID internal standard (Nb as IS for Ti concentration calculation; stated section 2.1.2),N/A (no IS; ID method used; stated section 2.1),N/A (no IS; matrix-matched external calibration; stated section 2.3.1),Mass fractionation correction (in-run Ru-Re ratio; not traditional IS drift correction; stated section on instrumentation)
Drift Correction Method,Method used to correct for instrumental signal drift across a session.,Basic,Read-Only,Controlled list,IS normalization | Standard bracketing | IS normalization + bracketing | None | N/A | Other: specify,,2026-06-16,(none),,,Tl mass bias correction + master Pb-Tl correlation lines from NIST SRM981 bracketing (stated section 2.3),IS normalization (103Rh; stated Table 1),Standard bracketing (standard every two samples; stated section 2.1.2),N (ID method; no IS-based drift correction; stated section 2.1),Standard bracketing (blocks of 7 samples bracketed by calibration standards; stated section 2.3.1),N (in-run Ru-Re ratio used for mass fractionation; not standard bracketing)
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to elemental concentrations. Documents cases where different analytes or analyte groups are calibrated using different strategies within the same procedure. If a single strategy is applied uniformly to all analytes, record that strategy.",Basic,Read-Only,Controlled list,External calibration (all analytes) | Isotope dilution (all analytes) | Matrix-matched bracketing with BHVO-2 | ID for REE; external calibration for transition metals | N/A | None | Other: specify,,2026-07-24,analyte,,,Tl-normalized mass bias correction + NIST SRM981 master correlation lines (stated section 2.3),External calibration with IS normalization (stated Table 1),Isotope dilution with Nb as ID internal standard for Ti (stated section 2.1.2),"ID for Fe, Ni, Cu, Zn, Cd, Pb; standard addition for Mn, Co (stated section 2.1)",External calibration with matrix-matched standards at 10 ppm Ca (all analytes; stated section 2.3.1),ID for 12 elements; RSF calibration for 14 elements (stated section on instrumentation)
Signal Integration Interval Method,"Method used to define the integration window for each replicate measurement (e.g., full acquisition time, stable-interval selection, automated criteria).",Basic,Read-Only,Controlled list,Full replicate | Stable interval selection | Automated peak detection | N/A | None | Other: specify,,2026-06-16,(none),,,N,N,N,N,N,N
Signal Integration Time,Total integration time per analyte per replicate (s). Determined at analysis time from the actual acquisition.,N/A,Basic,Numeric (s),,,2026-06-16,(none),,,N/A,N/A,N/A,N/A,N/A,N/A
Blank / Background Correction Method,Method used to subtract instrument background and/or procedural blank from sample signals.,Basic,Read-Only,Controlled list,On-peak zero | Solution blank | Procedural blank | N/A | None | Other: specify,,2026-06-16,(none),,,On-peak zero (10 s wash blank before each measurement; stated section 2.3),Solution blank (stated section 2.3),On-peak background measured before each sample after 200 s HF wash (stated section 2.1.2),Procedural blank (stated section 2.1),N,N
Spike / Outlier Filtering Approach,Criteria used to identify and exclude anomalous replicate measurements or data points from the calculated mean.,Advanced,Editable,Text (free),2σ exclusion | Grubbs test | Visual inspection | None | N/A | Other: specify,,2026-06-16,(none),,,N,N,N,N,N,N
Pulse/Analog Detector Nonlinearity Correction,"Whether a correction was applied for nonlinear detector response at the transition between pulse-counting and analog (and Faraday, for triple-mode instruments) detection modes. For SF-ICP-MS instruments, the signal transitions between pulse counting (low concentrations) and analog detection (high concentrations). For triple-mode instruments (e.g., Thermo Element XR), an additional transition to Faraday cup detection occurs at the highest signal intensities. Cross-calibration factors between detector modes must be confirmed, typically measured each session.",Advanced,Editable,Text (free),Applied: SEM-to-analog and analog-to-Faraday cross-calibration factors measured per session | Applied: SEM-to-analog cross-calibration factor applied | Not applied (all signals in pulse-counting mode) | N/A | None,,2026-06-16,(none),,,N,N,N,N,Applied: SEM-to-analog cross-calibration performed daily (stated section 2.3.1),N
Isobaric Interference Corrections Applied,Whether mathematical corrections for residual isobaric or polyatomic interferences are applied in data reduction (supplementary to any interference suppression achieved through mass resolution selection).,Basic,Read-Only,Controlled list,Y | N | Analyte-specific | N/A | None | Other: specify,,2026-08-12,(none),,,Y (204Hg on 204Pb corrected using 202Hg monitor; stated section 2.3),N,N,Y (MoO+ on 111Cd corrected using 95Mo; stated section 2.4),Analyte-specific (MR used to resolve most polyatomic interferences; stated section 2.3),N
Interfering Species,"List of isobaric or polyatomic species mathematically corrected in data reduction. In SF-ICP-MS, mass resolution is the primary interference mitigation strategy; mathematical corrections address residual interferences not resolved at the operating resolution.",Basic,Read-Only,Text (free),BaO+ on Eu isotopes | Zr2+ on Nb | Oxide interferences on REE | None | N/A | Other: specify,,2026-08-12,channel,,,204Hg+ on 204Pb (corrected using 202Hg signal; stated section 2.3),N,N,MoO+ on 111Cd (corrected using 95Mo; stated section 2.4),N (MR resolution used to resolve polyatomic interferences; no additional mathematical correction reported; stated section 2.3),N
Interference Correction Method,"Mathematical approach used to calculate and remove residual interference contributions from measured signals. In SF-ICP-MS, interference solutions isolating specific polyatomic species are measured alongside samples and used to calibrate correction factors.",Basic,Read-Only,Text (free),Interference standard solutions (Burney–Neal approach) | Mass-balance equations | Empirical correction factors from pure element solutions | None | N/A | Other: specify,,2026-08-11,channel,,,Mass-balance correction: measured 202Hg signal used to subtract 204Hg contribution from 204Pb (stated section 2.3),N,N,Empirical correction factors from 95Mo monitor (stated section 2.4),N,N
Isotope Dilution Data Reduction Method,Mass balance approach used to calculate sample mass fractions from spike–sample isotope ratio measurements. Spike must have been added before digestion for accurate equilibration. Record 'None' if isotope dilution is not used.,Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A | Other: specify,,2026-06-16,(none),,,None,None,IUPAC isotope dilution equations with Nb as ID internal standard for Ti (stated section 2.1.2),IUPAC isotope dilution equations (stated section 2.1),None,IUPAC isotope dilution equations for 12 elements; RSF ratio calibration for 14 elements (stated section on instrumentation)
Memory Effect Mitigation,"Procedure applied to identify and minimize carry-over of high-concentration elements between successive sample introductions. For solution ICP-MS, mitigation is implemented primarily at measurement time through extended rinse periods (see Wash Time Between Samples, Group 4). At data processing level, documents any flagging or exclusion of measurements preceded by high-concentration samples or standards where the required washout time may not have been achieved.",Advanced,Editable,Text (free),Extended rinse between high-concentration samples and unknowns; flagged in sequence log | Replicate first measurement discarded if preceded by high-concentration standard | None required for this analyte suite | N/A | None,,2026-07-24,(none),,,10 s wash in two 2% HNO3 reservoirs between samples (stated section 2.3),60 s wash between samples (Table 1),200 s wash with 0.5 mol/l HF before each sample (stated section 2.1.2),N,120 s washout (Table 1),N
