Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,SE Imaging,BSE Imaging,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,CL Point Analysis,CL Mapping,EBSD,TEM Sample Preparation,3D Tomography,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EDS Point Analysis (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | EDS Point Analysis (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Mapping (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Point Analysis (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Point Analysis (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Mapping (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Point Analysis (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (JEOL 7600F, NASA JSC, 15 kV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
Sample Preparation Method,"Method by which samples were prepared for SEM analysis prior to loading in the instrument. Includes mounting medium (epoxy, carbon tape, stub), polishing steps (alumina, colloidal silica, argon ion mill), and conductive coating type and thickness. For VP-SEM/ESEM analyses, note whether an uncoated sample was used and the gas type used. FIB-specific in-session operations (protective coating deposition, milling conditions, lamella preparation) are documented separately in Group 4.",Basic,Editable,Controlled list / Text,"Polished thin section | Polished thick section | Polished block or epoxy mount | Grain mount | Fragments or particles on conductive tape | Bulk specimen, polished face | Acid-dissolution residue | N/A | None",,2026-08-26,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,N,N,N,N,N,Carbon-coated polished thin sections; high vacuum analysis,N,N,N,N,"Small coal pillars (~2 mm diameter, 2 mm height) drilled orthogonal to bedding; polished with cross section polisher to remove ~1-2 µm oxide layer; no coating applied",Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Polished thin section (section 126A prepared from Grain 126); no coating or SEM-specific preparation stated,Polished thin section (section 126A prepared from Grain 126); no coating or EBSD-specific preparation stated,"Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film",Cuboidal samples (~0.5×1×1 cm) polished with dry emery paper and argon ion polishing; high-pressure freezing and freeze-drying; glued onto sample holder,Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished sections; coated with 0.1 nm carbon for charge mitigation,Sections extracted from fine-grained matrix areas in polished sections; BSE and SE images acquired before and after sectioning,Particles placed on PELCO carbon conductive tabs on Al SEM round; no protective coating stated,Particles dispersed on conductive carbon dots on Al SEM pin mounts,Polished thin sections; ~100 nm graphite coating (as stated in CL emitting volume calculation),N,N,N,N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Bennu OREX-800045-103' | 'NWA 8657 polished thin section 1'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Section 126A (USNM 7908),Section 126A (USNM 7908),NWA 7317,NWA 7317,NWA 7317,NWA 7317,SC; HBC,N,N,N,N,N,N,N,N,N,OREX-501018-100,N,N,N
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,Source: Core module,2026-08-25,defines: sampling unit,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",Source: Core module,2026-08-25,sample,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,USNM 7908 (section 126A),USNM 7908 (section 126A),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,JEOL | Zeiss | FEI / Thermo Fisher Scientific | Hitachi | Tescan | Phenom | Other: specify | Unknown | N/A | None,Source: Core module,2026-08-25,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,FEI,FEI,Zeiss,Zeiss,Zeiss,JEOL,JEOL,Hitachi,Other: Leo Electron Microscopy (now Zeiss),Other: Leo Electron Microscopy (now Zeiss),Zeiss,Zeiss,Carl Zeiss,"FEI Company, USA",Carl Zeiss,ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),FEI (now Thermo Fisher Scientific),JEOL,JEOL,Hitachi,Hitachi,Hitachi,Thermo Fisher Scientific (ThermoScientific),FEI (now Thermo Fisher Scientific),FEI (now Thermo Fisher Scientific),JEOL,N,N,N,N
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'JEOL JSM-7600F' | 'Zeiss Supra 55 FEG-SEM' | 'FEI Quanta 650 FEG' | 'Thermo Fisher Quattro S' | 'FEI Helios NanoLab 660' | 'Zeiss Crossbeam 540'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Nova 200 NanoLab DualBeam,Nova 200 NanoLab DualBeam,ZEISS 1550VP,ZEISS 1550VP,ZEISS 1550VP,JSM-5410LV,JSM-5410LV,S-2500C,Leo 440,Leo 440,Leo 1540 FIB/SEM CrossBeam,Leo 1540 FIB/SEM CrossBeam,Crossbeam 540,Quanta 250,SUPRA 55,1550VP,1550VP,Supra 40,Supra 40,Supra 40,Supra 40,Helios NanoLab 650,7600F,7600F,S-4800,S-4800,S-4800,Helios G3,Helios G4 UX,Quanta 3D 600,JSM-7000F,N,N,N,N
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Cold-FEG | Schottky FEG | LaB6 / CeB6 | Tungsten (W) | Other: specify | Unknown | N/A | None,,2026-08-12,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),N,N,Tungsten (W),N,N,Other: FEG (type not specified),Other: FEG (type not specified),N,N,Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),N,Field emission gun (FEG),Field emission gun (FEG),Cold field emission gun (cold FEG),Cold field emission gun (cold FEG),Cold field emission gun (cold FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),N,N,N,N
Instrument Variant,"Broad platform type of the instrument. 'Standard SEM': dedicated electron-only SEM column. 'FIB-SEM dual-beam': combined focused ion beam and SEM columns (enables TEM specimen preparation, 3D serial sectioning, ion-beam milling). 'VP-SEM / ESEM': variable-pressure or environmental SEM for imaging uncoated, hydrated, or charging specimens. An instrument may combine categories (e.g., FIB-SEM with VP capability).",Basic,Read-Only,Controlled list,Standard SEM | FIB-SEM dual-beam | VP-SEM / ESEM | FIB-SEM dual-beam + VP | Other: specify | N/A | None,,2026-05-21,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,FIB-SEM dual-beam,FIB-SEM dual-beam,VP-SEM / ESEM,VP-SEM / ESEM,VP-SEM / ESEM,Standard SEM,Standard SEM,Standard SEM,Standard SEM,Standard SEM,FIB-SEM dual-beam,FIB-SEM dual-beam,N,ESEM (Environmental SEM),FESEM (Field Emission SEM),VP (Variable Pressure),VP (Variable Pressure),FESEM (Field Emission SEM),FESEM (Field Emission SEM),FESEM (Field Emission SEM),FESEM (Field Emission SEM),Dual Beam (FIB-SEM),N,N,N,N,N,Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),N,N,N,N,N
Ion Beam Source,Ion beam source type in a FIB-SEM dual-beam system.,Basic,Read-Only,Controlled list,Gallium LMIS (Ga+) | Xenon plasma FIB (PFIB) | Helium GFIS | Neon GFIS | Other: specify | N/A | None,,2026-08-27,(none),Gallium LMIS (Ga+) is the most common ion source; xenon plasma FIB (PFIB) provides higher material removal rates for large-volume milling; helium and neon ion microscopes (GFIS) provide nanometre-resolution imaging and low-damage milling.,N,N,N,N,N,N,N,N,N,Y,Y,,N/A,Gallium LMIS (Ga+),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N,Gallium (Ga+) ion beam,Gallium (Ga+) ion beam,N/A,N/A,N/A,N,N
SE Detector Type,Type of secondary electron detector used. Everhart-Thornley (ET) detector is the standard off-axis collector sensitive to SE2 and some BSE; in-lens (TLD) detectors collect high-resolution SE1 signal at short working distances; GSED/ESED detectors operate in VP/ESEM mode by using the chamber gas as the signal amplification medium.,Basic,Read-Only,Controlled list,Everhart-Thornley (ET) | In-lens / TLD (through-the-lens) | GSED (VP/ESEM) | ESED (VP/ESEM) | Other: specify | N/A | None,,2026-05-22,(none),,Y,N,N,N,N,N,N,N,N,Y,Y,,In-lens / TLD (through-the-lens),N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N,N/A,N/A,N,N,N,N/A,N/A,N/A,N,N
BSE Detector Type,Type of backscattered electron detector. Segmented detectors can operate in composition mode (segments summed) or topography mode (differential signal between segments).,Basic,Read-Only,Controlled list,"Solid-state diode (single) | Solid-state diode (segmented, composition mode) | Solid-state diode (segmented, topography mode) | In-lens BSE | YAG scintillator | Other: specify | N/A | None",,2026-08-27,(none),Solid-state diode detectors (single or segmented) are standard; YAG scintillator detectors offer high sensitivity at low voltage. In-lens BSE detectors provide improved BSE collection at short working distances.,N,Y,N,N,N,N,N,N,N,Y,Y,,N/A,N,N,N/A,N/A,N/A,N/A,N,N,N/A,N,N/A,N,N/A,N/A,Solid-state BSE detector,N/A,Quadrant Backscatter Detector (QBSD),N/A,N/A,N/A,N,N,N/A,N/A,N,N/A,N,N,N,N/A,N/A,N,N,N
EDS Detector Configuration,"EDS detector type, manufacturer, active area, solid angle, window type, and geometry (take-off angle, position). Multiple detectors should be listed separately.",Advanced,Read-Only,Text (free),"e.g., 'Oxford Ultim Max 170 mm2 SDD, polymer window, 35 deg take-off' | 'Bruker XFlash 6, 60 mm2, windowless' | 'Dual Oxford Ultim Max 170 mm2, 2.0 sr'",,2026-08-11,(none),,N,N,Y,Y,N,N,N,N,N,N,N,,N/A,N/A,N/A,Oxford X-Max SDD system,N/A,N/A,ISIS analysis system (Oxford); detector type not specified,N/A,N/A,Gresham light element detector; Quartz XOne EDX analysis system (full spectral imaging),N/A,Oxford Instruments INCA EDX system,N/A,N/A,N/A,N/A,N/A,N/A,Oxford INCA Energy 350; X-ACT LN2-free Silicon Drift Detector (SDD),Oxford INCA Energy 350; X-ACT LN2-free Silicon Drift Detector (SDD),N/A,N/A,N/A,"Oxford Instruments Ultim Max SDD, 170 mm²",N/A,N/A,Oxford Instruments Aztec Live/x-stream/Ultimax 170 SDD,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
WDS Spectrometer Configuration,"Number, type, and crystal range of WDS spectrometers on the instrument. Include manufacturer, model, and crystal range. For SEM-WDS configurations (third-party WDS on a non-EPMA platform), include WDS manufacturer and model.",Advanced,Read-Only,Text (free),"e.g., 'Oxford Wave 700, 1 sequential WDS spectrometer, LDE1-TAPH-PETL-LLIF crystal range'",,2026-08-12,(none),,N,N,N,N,Y,Y,N,N,N,N,N,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL Detector Configuration,"CL detector type, manufacturer, model, collection optics (e.g., parabolic mirror, elliptical mirror, light guide), and spectral detection configuration (PMT for panchromatic, CCD/EMCCD for spectral, multi-channel for pseudo-color CL).",Advanced,Read-Only,Text (free),"e.g., 'Gatan MonoCL4, parabolic mirror, PMT 190-900 nm + CCD spectrometer 300-800 nm' | 'Gatan ChromaCL2, 4-channel RGBV PMT' | 'Oxford Instruments MonoCL'",,2026-08-11,(none),,N,N,N,N,N,N,Y,Y,N,N,N,,N/A,N/A,N/A,N/A,N/A,"Mini-CL (Gatan, multialkali PMT) for scanning CL images; Oxford MonoCL2 grating monochromator with Hamamatsu R2228 PMT and parabolic mirror (75% efficiency) for spectral CL",N/A,"Gatan ChromaCL detector; 4-channel pseudo-color detection (UV: ~300-400nm, Blue: ~400-500nm, Green: ~500-600nm, Red: ~600-850nm including near-IR ~700-850nm); Robinson Backscatter detector also present",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"MonoCL4 GATAN monochromator; high-sensitivity array detector and photomultiplier; paraboloidal mirror collection (CRHEA Valbonne, France)",N/A,N/A,N/A,N/A
EBSD Detector Configuration,"EBSD detector manufacturer, model, and camera resolution. Include whether EBSD and EDS are acquired simultaneously (common on modern combined EBSD-EDS systems).",Basic,Read-Only,Text (free),"e.g., 'Oxford AZtec Symmetry EBSD camera, 1244x1024 px' | 'Oxford Nordlys Nano' | 'Bruker QUANTAX EBSD e-Flash' | 'EDAX Hikari'",,2026-08-11,(none),,N,N,N,N,N,N,N,N,Y,N,N,,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'JEOL Analysis Station v3.5' | 'Oxford AZtec 6.0' | 'Zeiss SmartSEM 6.06' | 'Thermo Fisher Auto Slice and View G4 (3D tomography)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,N,N,N,N,N,N,N,Gatan DigitalMicrograph (CL image assembly),N,N,N,N,N,N,N,N,N,Oxford INCA Energy,Oxford INCA Energy,Oxford INCA Energy,N,N,Oxford AZtec (Point & ID programme),Oxford AZtec (Point & ID programme),N,N,Oxford Instruments Aztec Live/x-stream,N,N,N,N,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Oxford AZtec 6.0 (EDS quantification); Oxford AZtec Crystal 2.1 (EBSD); Gatan DigitalMicrograph 3.5 (CL); FIJI 2.15 (image processing); Avizo 2023 (3D segmentation)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,,N,N,N,N,N,N,N,Gatan DigitalMicrograph,N,N,N,N,Avizo 7 (3D digital core software); Multiple-point geostatistics for pore network model,N,N,N,N,N,Oxford INCA Energy (semi-quantitative phase determination from atomic proportions),Oxford INCA Energy (semi-quantitative phase determination from atomic proportions),N,Fiji/ImageJ (StackReg/TurboReg for slice alignment; VolumeJ for volume rendering); Adobe Photoshop CS6 (image enhancement); FEI Avizo Fire 8.1.1 (pore volume reconstruction and segmentation),N,Oxford AZtec,N,N,Oxford Instruments Aztec,N/A,N/A,N/A,N,N,N,N/A,N/A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'SE Imaging' | 'BSE Imaging' | 'EDS Point Analysis' | 'EDS Mapping' | 'WDS Point Analysis' | 'WDS Mapping' | 'CL Point Analysis' | 'CL Mapping' | 'EBSD' | 'TEM Sample Preparation' | '3D Tomography' | 'BSE Imaging; EDS Point Analysis',Source: Core module,2026-08-25,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,SE Imaging,TEM Sample Preparation,BSE Imaging,EDS Point Analysis,EBSD,CL Mapping,EDS Point Analysis,CL Mapping,BSE Imaging,EDS Mapping,BSE Imaging,EDS Point Analysis,3D Tomography,SE Imaging,SE Imaging,BSE Imaging,EBSD,BSE Imaging,EDS Point Analysis,EDS Mapping,SE Imaging,3D Tomography,BSE Imaging,EDS Point Analysis,SE Imaging,BSE Imaging,EDS Mapping,TEM Sample Preparation,TEM Sample Preparation,TEM Sample Preparation,CL Mapping,EDS Mapping,BSE Imaging,TEM Sample Preparation,TEM Sample Preparation
Beam Mode,"Whether the electron beam was operated as a stationary focused spot, defocused to a specified diameter, or rastered over a small area during analysis. Must be consistent with the Beam Diameter and Beam Raster Dimensions fields.",Basic,Read-Only,Controlled list,'Focused' | 'Defocused' | 'Rastered' | Other: specify | N/A | None,,2026-08-27,(none),"Controls the effective sampling volume and irradiation footprint; critical for beam-sensitive phases such as hydrous minerals, glasses, and carbonates.",N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerating Voltage,Electron beam accelerating voltage in kilovolts.,Basic,Editable,Numeric (kV),"e.g., 2 | 5 | 10 | 15 | 20",,2026-08-27,(none),"Affects X-ray generation depth (EDS/WDS), EBSD pattern quality, imaging resolution, and beam penetration. Low voltages (1-5 kV) improve surface sensitivity and reduce beam damage; high voltages (15-20 kV) improve X-ray generation for quantitative analysis.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,500 V; 1 kV; 5 kV,N,10 kV,10 kV,20 kV,N,15 kV,15–20 kV,N,N,N,N,N,N,N,N,N,20 kV,20 kV,20 kV,N,2 kV (SEM imaging),15 kV,15 kV,N,N,N,30 keV (FIB milling and thinning),16 to 30 keV (coarse milling); down to 1 keV (polishing),30 kV (initial milling); 16 kV (intermediate); 5 kV (final thinning),5 keV,N,N,N,N
Beam Current,"Electron beam probe current. For sub-nA values use decimal notation (e.g., 0.4 nA).",Basic,Editable,Numeric (nA),"e.g., 0.4 | 0.9 | 2 | 5 | 10 | 20",,2026-08-27,sample > sampling unit,"Higher current improves signal-to-noise for X-ray analysis (EDS/WDS, EBSD) and CL but may increase beam damage and reduce spatial resolution.",Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,70 fA (500 V); 1.4 pA (1 kV); 98 pA (5 kV),N,N,N,6 nA,N,2.0 nA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,~900 pA,N,N,N,0.8 to 2.5 nA (thinning),N,N,1 to 4 nA,N,N,N,N
Beam Diameter,"Nominal electron beam diameter (spot size) at the sample surface, in nanometres or micrometres, as set by the condenser aperture and working distance. For mapping modes, the effective spatial sampling interval is further defined by Step Size / Pixel Size.",Basic,Editable,Numeric (µm) / Text,'~1 µm' | '5 nm' | '200 nm',,2026-08-27,(none),Controls the spatial resolution and X-ray excitation volume.,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Raster Dimensions,"Dimensions of the small area over which the beam is rastered during a single analysis point, reported as width × height in µm. Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement.",Advanced,Editable,Numeric pair (µm x µm),'5 × 5 µm' | '10 × 10 µm',,2026-08-27,(none),Distributes dose over a larger area to reduce beam damage on sensitive phases.,N,N,Y,N,Y,N,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Damage Minimization,"Describes any measures taken to reduce electron beam damage to the sample during analysis. Examples: reduced accelerating voltage, lowered beam current, defocused or rastered beam, cooled stage, short acquisition sequences, or rotating between multiple points.",Advanced,Editable,Text (free),'Beam defocused to 5 µm; current reduced to 2 nA for hydrous phases',,2026-08-27,sample > sampling unit,"Particularly important for volatile-bearing phases, hydrous minerals, glasses, organic materials, and biological samples.",N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Correction,"Describes whether and how stage or beam drift was monitored and corrected during the measurement session. Examples: periodic stage realignment to a fiducial marker, automated beam drift correction in acquisition software, or reanalysis of a reference point at regular intervals.",Advanced,Editable,Text (free),'Automated beam drift correction enabled in AZtec; stage realigned every 30 min',,2026-08-27,(none),Particularly relevant for long mapping runs and high-magnification sessions where positional accuracy affects data quality.,N,N,Y,Y,Y,Y,N,N,N,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
