Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Single-volume,Multi-volume stitching,Literature Assessment,"Eckley 2024
(JSC Scan Record)
Bennu particle
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Genge et al. 2025
(Nat. Commun.)
Ryugu particle (A0180)
Single-volume
Zeiss Versa
Not stated","Neuman et al. 2025 /
Shearer et al. 2024
(JGR / Space Sci. Rev.)
Apollo 17 core 73002
Multi-volume stitching
NSI custom, UTCT","Neuman et al. 2025
(JGR Planets)
Apollo 17 core 73001
Multi-volume stitching
NSI custom, UTCT","Shearer et al. 2024
(Space Sci. Rev.)
Apollo 17 73001 CSVC
Single-volume
Nikon XTH 320
NASA JSC","Shearer et al. 2024
(Space Sci. Rev.)
Apollo 17 particles
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Tomkinson et al. 2015
(MAPS)
NWA 5790 nakhlite
Single-volume
Nikon Metris XTH 225
U. Manchester","Glavin et al. 2023
(MAPS)
Murchison CM2
Single-volume
Nikon XTH 320
NASA JSC X-FaCT","Nascimento-Dias
et al. 2019
(Appl. Radiat. Isot.)
NWA 8277 + NWA 6963
Single-volume
Bruker Skyscan 1173","Richard et al. 2019
(Chem. Geol.)
Olivine (melt incl.)
Single-volume
Zeiss Xradia 510 Versa
UNAM Mexico","Richard et al. 2019
(Chem. Geol.)
Synthetic quartz (fluid incl.)
Whole sample (low-res)
Nikon XTH 320/225
U. Strathclyde","Richard et al. 2019
(Chem. Geol.)
Synthetic quartz (fluid incl.)
ROI scan (high-res)
Nikon XTH 320/225
U. Strathclyde","Richard et al. 2019
(Chem. Geol.)
Fluid incl. minerals (C-I)
Single-volume
Phoenix Nanotom S
U. Lorraine","Tait 2014
(Thesis)
Watson 012 H7 chondrite
Single-volume
XRADIA XRM500
CSIRO Kensington",
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'Single-volume' | 'Multi-volume stitching' | 'Single-volume; Multi-volume stitching',Source: Core module,2026-08-25,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,,,,,,,,,,,,,,,,
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-25,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,,,,,,,,,,,,,,,,
Accelerating Voltage,"X-ray tube accelerating voltage in kilovolts (kV). If the voltage was varied across samples within the same procedure or session, report the full range applied (e.g., 90–115 kV). Note: some sources report this parameter as 'X keV' (maximum Bremsstrahlung photon energy) rather than 'X kV' (tube voltage). For polychromatic lab XCT, these are numerically equivalent: E_max [keV] = V [kV]. Record the value as originally reported, and add a parenthetical note if the unit used is keV.",Basic,Editable,Numeric (kV),"e.g., 80 kV | 130 kV | 160 kV | 190 kV; for variable settings: 90–115 kV",,2026-08-27,(none),Determines the maximum X-ray photon energy and controls penetration depth and phase contrast. Higher voltages provide greater penetration for dense or large samples; lower voltages improve contrast between low-density phases.,Y,Y,,110 kV,90 kV,180 kV,190 kV,215 kV,90 kV (typical; optimized per sample),120 keV (reported in paper as 'accelerating voltage of 120 keV'; likely typo for 120 kV),160 keV (paper reports as X-ray photon energy; equivalent to 160 kV tube voltage),50 kV,30 kV,160 kV,160 kV,90–115 kV (varies by sample),70 kV,
Tube Current,"X-ray tube current in microamperes (µA). If the current was varied across samples within the same procedure or session, report the full range applied (e.g., 65–115 µA).",Basic,Editable,Numeric (µA),"e.g., 89 µA | 108 µA | 180 µA; for variable settings: 65–115 µA",,2026-08-27,(none),Controls photon flux and therefore projection image SNR. Higher current improves SNR but increases thermal loading on the source and may increase focal spot size.,Y,Y,,27 µA,89 µA,0.18 mA (180 µA),N,179 mA (possibly typo for µA per source),N,N,38 µA,160 µA,N,71 µA (Ag target),46 µA (Ag target),65–115 µA (varies by sample),86 µA,
X-ray Power,"X-ray tube power in watts (W). Derivable as voltage (kV) × current (mA) = kV × µA / 1000. If power was varied across samples within the session, report the full range applied (e.g., 7–13 W).",Advanced,Editable,Numeric (W),"e.g., 9 W | 14 W | 25 W; for variable settings: 7–13 W",,2026-08-27,(none),"Power constrains the achievable focal spot size for microfocal tubes: higher power requires a larger focal spot, trading spatial resolution for SNR. Retained as a standalone field because it is routinely reported in the literature and directly constrains instrument operating limits.",Y,Y,,3.0 W,N,N,N,N,3.0 W,N,N,N,N,11.4 W,7.4 W,N,7 W,
X-ray Pre-filter,Material and thickness of the beam-hardening filter placed between the X-ray source and the sample. Both filter material and thickness must be reported. Instrument-proprietary filter codes should be decoded where possible.,Basic,Editable,Text (free),"e.g., '1 mm Cu' | '0.72 mm Al' | '2 mm Al' | 'LE2 (calcium fluoride, CaF₂, Zeiss)' | 'HE1 (copper composite, Zeiss)' | 'None'",,2026-08-27,(none),"Hardens the beam by attenuating low-energy photons, reducing beam hardening artifacts and improving CT number stability across the sample.",Y,Y,,0.25 mm aluminum,Inbuilt LE4 filter (beam hardening reduction),0.72 mm Al,None (steel sleeve acts as effective filter),N,0.1–0.25 mm Al (Bennu PE protocol range stated),N,None (intentionally unfiltered; worst-case dose experiment),1.0 mm aluminum,N,None (conditions did not require filtering),None (conditions did not require filtering),N,N,
Source-to-Object Distance (SOD),"Distance from the X-ray source focal spot to the centre of the sample rotation axis, in mm.",Advanced,Editable,Numeric (mm),"e.g., 12 mm | 55 mm | 83 mm | 150 mm",,2026-08-27,(none),"Together with SDD, determines geometric magnification (M = SDD/SOD). Shorter SOD increases magnification and reduces voxel size.",Y,Y,,20.39 mm,N,N,N,N,N,N,39.22 mm,N,N (optimized for 2.06 µm/px; exact value not stated),N,N,6–55 mm (varies by sample),N,
Source-to-Detector Distance (SDD),"Distance from the X-ray source focal spot to the detector surface, in mm. Voxel size ≈ detector pixel size / M (before binning; divide additionally by optical objective for Versa-class systems).",Advanced,Editable,Numeric (mm),"e.g., 250 mm | 400 mm | 900 mm | 1000 mm",,2026-08-27,(none),"Together with SOD, determines geometric magnification M = SDD/SOD.",Y,Y,,679.51 mm,N,N,N,N,N,N,679.51 mm,N,N,N,N,N,N,
Voxel Size,"Isotropic voxel edge length of the reconstructed 3D volume in micrometres. The target voxel size is set based on the smallest feature to be resolved (target voxel size ≤ ~1/3 of that feature size; see the criterion recorded under Partial Volume Effect Criteria). Record the achieved voxel size as reported by the reconstruction software, which may differ slightly from the target due to final geometric calibration.",Basic,Editable,Numeric (µm),"e.g., 0.85 µm | 7.63 µm | 22.44 µm (isotropic); ""µm/pixel"" is an acceptable equivalent for isotropic scans; for anisotropic voxels: ""5 µm × 5 µm × 8 µm""; µm³ and µm³/voxel denote voxel volume — do not use for voxel size",,2026-08-27,(none),,Y,Y,,6.00 µm,0.625 µm (A0180-A); 0.672 µm (A0180-B),N (voxel size not stated; see Ketcham et al. 2022),N (voxel size not stated; same as 73002 per paper; see Ketcham et al. 2022),38.49 µm voxel edge,2.8–20.6 µm (optimized per sample),10.3 × 10.3 × 10.3 µm³,11.54 µm (cubic voxel edge),5.34 µm,2.06 µm/px,25 µm,7.7 µm,0.77–3.5 µm (varies by sample),1.923 µm,
Rotation Range,"Total angular range over which projection images are acquired, in degrees.",Basic,Editable,Numeric (°),"e.g., 360 | 180",,2026-08-27,(none),Full 360° rotation is standard for cone-beam lab XCT. 180° rotation (half-scan) is sometimes used for faster acquisition but may introduce additional artifacts.,Y,Y,,N,360°,N,N,N,N,N,360° (continuous),360°,N,N,N,N,360°,
Number of Projections,"Total number of equally-spaced projection images acquired over the full rotation range. For Mode B (multi-volume stitching), this is the number per sub-volume.",Basic,Editable,Integer,"e.g., 1811 | 2046 | 3141 | 3700",,2026-08-27,(none),More projections improve reconstruction quality by reducing under-sampling streak artifacts but increase scan time.,Y,Y,,4000,2401,N,N,N,N,3143,3141,"N (0.4° step, 360° implied = 900 views; not stated directly)",1601,3141,3141,1200–2000 (varies by sample),2000,
Rotation Step Size,"Angular increment between successive projection images, in degrees. Equal to Rotation Range divided by Number of Projections when both are reported; however, some sources report step size as the primary rotation parameter without stating the total number of projections explicitly.",Advanced,Editable,Numeric (°),"e.g., 0.115° | 0.4° | 1°",,2026-08-27,(none),Finer step sizes improve angular sampling and reduce streak artifacts at the cost of longer scan time.,Y,Y,,N,N,N,N,N,N,N,0.115°,0.4°/step,N,N,N,N,N,
Exposure Time per Projection,"Duration of X-ray exposure for each individual projection image frame, in seconds. Adjustment is warranted for samples that are unusually dense or unusually transparent. If the exposure time was varied across samples within the same procedure or session, report the full range applied (e.g., 0.5–2 s).",Basic,Editable,Numeric (s),"e.g., 0.5 s | 1.42 s | 6 s | 28 s; for variable settings: 0.5–2 s",,2026-08-27,(none),Set as a deliberate choice for the target sample type and voxel size: longer exposures increase SNR at the cost of total scan time.,Y,Y,,4.00 s,33 s (A0180-A); 28 s (A0180-B),N,N,N,N,20 s,1.00 s per frame,N,8 s,0.708 s,1.415 s,750–1250 ms (varies by sample),N,
Frames Averaged per Projection,Number of individual detector frames acquired and averaged to produce each saved projection image. The effective exposure per projection = exposure time per frame × frames averaged.,Advanced,Editable,Integer,"e.g., 1 | 2 | 3 | 4",,2026-08-27,(none),Frame averaging reduces random electronic noise.,Y,Y,,1 frame,N,N,N,N,N,N,8 frames averaged per projection,N,~200 reference (blank) images taken; number of frames averaged per projection N,1 frame per projection,1 frame per projection,3–6 (varies by sample),N,
Detector Binning,"Detector pixel binning factor applied during acquisition. Binning combines adjacent pixels (e.g., 2×2 combines 4 pixels into one).",Advanced,Editable,Controlled list,1×1 (no binning) | 2×2 | 4×4 | N/A | None,,2026-08-30,(none),Reduces effective resolution while increasing per-pixel SNR and reducing file size.,Y,Y,,1×1 (no binning),No binning,N,N,N,N,N,N,N,N,N,N,N,N,
Flat Field Correction,"Whether dark-field (detector read with X-ray source off; electronic noise baseline) and bright-field (source on, no sample; gain calibration) reference images are acquired and applied to normalize detector response before reconstruction.",Basic,Editable,Controlled list / Text,"e.g., 'Yes — flat-field applied; residual Poisson noise from flat-fielding noted' | 'No — flux normalization not applied' | N/A | None",,2026-08-30,(none),Standard practice in all quantitative lab XCT.,Y,Y,,Flux normalization: no,N,N,N,N,N,N,N,N,N,N,N,N,N,
Rotation Mode,Whether projection images are acquired during continuous sample rotation (faster; may introduce slight motion blur at high rotation speeds) or at discrete step positions with the stage stationary during each exposure (stop-and-shoot; eliminates motion blur).,Basic,Editable,Controlled list,Step rotation (stop-and-shoot) | Continuous rotation | N/A | None,,2026-08-30,(none),Continuous rotation has been associated with sub-volume rotational mismatch artifacts in multi-volume stitching workflows (Eckley et al. 2025).,Y,Y,,Continuous rotation,N,Continuous rotation (each Subpix sub-acquisition),Non-continuous rotation (to avoid rotational mismatch of continuous mode),N,N,N,Continuous 360° rotation,N,N,N,N,N,N,
Number of Sub-volumes,Total number of overlapping sub-volume scans acquired to cover the full sample length. Applies only to Mode B (multi-volume stitching).,N/A,Basic,Integer,"e.g., 6 | 9",,2026-08-27,(none),The number of sub-volumes depends on the length of the specific sample being scanned and cannot be fixed in the procedure in advance.,N,Y,,N/A,N/A,6 volumes,9 volumes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Minimum Sub-volume Overlap,Minimum number of reconstructed slices that must overlap between adjacent sub-volumes in a stitched dataset.,Basic,Read-Only,Integer,"e.g., 500 | 300",,2026-08-27,(none),"Eckley et al. (2025) report that 500 slices of overlap were used in the Apollo 73001 stitching workflow, while 180 slices proved insufficient for their cone-beam geometry.",N,Y,,N/A,N/A,~380 slices overlap between sub-volumes,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Total Scan Duration,"Total elapsed time for the complete XCT acquisition, from the start of the first projection to the end of the last. For multi-volume acquisitions, this is the combined scan time across all sub-volumes (not including setup or reconstruction time).",N/A,Advanced,Text (free),"e.g., 37 min | 1.5 h | 240 min",,2026-08-27,(none),Useful for assessing beam stability and sample integrity concerns over long scans.,Y,Y,,N,N,N,N,N,N,N,N,N,N,37 min,75 min,N,N,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5. Data Processing,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,
Reconstruction Algorithm,Mathematical algorithm used to reconstruct the 3D CT volume from 2D projection images.,Basic,Read-Only,Controlled list / Text,"FDK (Feldkamp-Davis-Kress, cone-beam) | FBP (filtered back-projection, parallel-beam) | Iterative reconstruction | SART | N/A | None",,2026-08-30,(none),The Feldkamp-Davis-Kress (FDK) algorithm is standard for cone-beam lab XCT geometry; iterative methods offer better artifact suppression at the cost of computation time.,Y,Y,,N (Nikon CTPro3D; algorithm not named),N (Zeiss Reconstructor; algorithm not named),N (UTCT custom; not named),N (UTCT custom; not named),N,N,Filtered back projection (Nikon proprietary),Filtered back projection (FBP),N (NRecon; algorithm not named),N (ZEISS XRM; algorithm not named),N (CT Pro 3D; algorithm not named),N (CT Pro 3D; algorithm not named),N,N,
Reconstruction Convolution Filter,Convolution (apodization) filter kernel applied during back-projection reconstruction.,Advanced,Editable,Text (free),"e.g., 'Hann filter' | 'Ram-Lak filter' | 'Shepp-Logan filter' | 'Hamming filter' | 'Software default (not reported)'",,2026-08-27,(none),"Sharper filters (Ram-Lak) enhance edge definition but amplify high-frequency noise; smoother filters (Hann, Hamming) reduce noise at the cost of edge sharpness.",Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Beam Hardening Correction Method,Strategy used to reduce beam hardening artifacts caused by preferential attenuation of low-energy photons in polychromatic cone-beam XCT. The specific correction parameter value is recorded separately.,Basic,Read-Only,Controlled list / Text,"e.g., 'Hardware pre-filtering only (no software correction)' | 'Software polynomial correction (instrument-specific algorithm)' | 'Ketcham & Hanna (2014) iterative BH correction' | 'None applied' | N/A",,2026-08-27,(none),Beam hardening causes cupping artifacts (CT numbers elevated at sample edges relative to the interior) and can bias segmentation thresholds. Hardware pre-filtering (Group 4: X-ray Pre-filter) and software correction are complementary approaches.,Y,Y,,Hardware filter (0.25 mm Al) + software BHC preset,Hardware filter (LE4 inbuilt),Software BHC applied during reconstruction,Software BHC (same factor as 73002 re-used),N,N,N (not mentioned),None (intentionally unfiltered; no software BHC mentioned),Hardware filter (1.0 mm Al); software BHC in NRecon not mentioned,N,None (conditions did not saturate detector; not required),None (conditions did not saturate detector; not required),Software BHC applied per respective software,N,
Beam Hardening Correction Parameter,Numerical value or setting applied in the software beam hardening correction algorithm for this specific analysis. Companion to Beam Hardening Correction Method.,Advanced,Editable,Text (free),"e.g., '0.05 (constant correction in Zeiss Reconstructor; Zhang et al. 2021)' | 'BH reduction level = 3 (NRecon, Bruker)' | 'Not applicable — hardware filtering only'",,2026-08-27,(none),May be tuned empirically per material type or per scan session.,Y,Y,,Preset 4,N,N,N,N,N,N,N,N,N,N,N,N,N,
Ring Artifact Correction Method,Procedure specification for how ring artifacts are handled. Whether correction was applied and its outcome are recorded separately in Group 6.,Advanced,Editable,Text (free),"e.g., 'Software ring correction applied during reconstruction (instrument algorithm)' | 'Post-reconstruction ring artifact filter (ImageJ ring artifact plugin)' | 'Defective pixel masking applied before reconstruction' | 'None specified'",,2026-08-27,(none),Ring artifacts appear as concentric circular bands centred on the rotation axis and arise from defective or miscalibrated detector pixels.,Y,Y,,N,N,Post-reconstruction ring corrections applied,Post-reconstruction ring corrections applied,N,N,N,N,N,N,N,N,Software ring artifact correction filter applied during analysis,N,
Output Data Format,File format of the reconstructed CT volume as output by the reconstruction software. Bit depth is recorded separately in Output Bit Depth.,Basic,Editable,Controlled list / Text,TIFF image stack | VGI/VOL (VGStudio) | RAW volume | DICOM | N/A | None,,2026-08-30,(none),,Y,Y,,"TIFF (16-bit, 928 slices)",N,N,N,N,N,N,TIFF (continuous series of 2D TIFF images),N,N,N,N,N,N,
CT Number Calibration,Whether the raw CT grayscale values have been calibrated to physically meaningful units using reference materials.,Advanced,Editable,Controlled list / Text,"e.g., 'None — raw instrument grayscale' | 'Compared to MuCalc calculated LAC values (Hanna & Ketcham 2017)' | 'Calibrated to LAC (cm⁻¹) using air and known mineral standards' | 'Calibrated to Hounsfield Units (HU) relative to water' | N/A",,2026-08-27,(none),"Calibrated CT numbers enable cross-instrument and cross-session comparison and support phase identification by comparison to calculated linear attenuation coefficient (LAC) values (e.g., using MuCalc; Hanna & Ketcham 2017). Uncalibrated grayscale values are instrument- and session-specific.",Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,
Segmentation Method,"Method and software used to separate distinct phases or features in the reconstructed 3D volume, turning the grayscale volume into labelled regions.",Basic,Editable,Controlled list / Text,Global threshold (single grayscale boundary) | Multi-threshold (separate range per phase) | Manual threshold per phase | Semi-automated: threshold + morphological filtering | Region growing | Manual tracing | Machine learning (specify model) | N/A | None,,2026-08-26,(none),The method must be reported for any quantitative result to be reproducible.,Y,Y,,N,ImageJ threshold-based; TANGO plugin for 3D object detection,N,N,N,N,Manual segmentation of 2D slices; grayscale threshold applied to 3D volume,N (no segmentation performed; dose assessment study only),Adaptive (mean) thresholding,Grayscale threshold range selection (ImageJ),Manual grayscale threshold,Manual grayscale threshold,Manual grayscale threshold per phase,Dedicated workflow (Godel 2013) modified for plagioclase network segmentation,
Segmentation Threshold Values or Criteria,"Specific CT number range(s) or quantitative criteria used to define each segmented phase or feature. For LAC-calibrated datasets, report values in cm⁻¹.",Advanced,Editable,Text (free),"e.g., 'Voids: <500; Silicates: 500–1800; Opaques: >1800 (16-bit grayscale)' | 'LAC: Voids <3 cm⁻¹; Matrix 3.5–5 cm⁻¹; Carbonates 5.5–6.5 cm⁻¹; Opaques >9 cm⁻¹'",,2026-08-27,sample > sampling unit,Documenting these values enables reproducibility assessment and cross-study comparison.,Y,Y,,N,N (visual sulphide-rim contrast; numerical thresholds N),N,N,N,N,Thresholds not given numerically; SEM images used to define phases; errors from threshold + subvoxel variability generally <5% for grains >125 voxels,N,Adaptive mean threshold; total analyzed VOI for NWA 8277 = 5.39 mm³,Threshold range selected to include all voxels of one phase while excluding adjacent phases; specific values N,"Manual threshold: vapor = darker, liquid = brighter pixels; specific values N","Manual threshold: vapor = darker, liquid = brighter pixels; specific values N",Manual threshold per phase; specific values N,Dedicated workflow; specific threshold values N,
Phase Identification Method,"Method used to assign reconstructed CT number ranges to specific mineral phases or material types. Approaches include comparison to calculated linear attenuation coefficients (LAC), cross-validation with independent analytical techniques, or empirical calibration.",Advanced,Editable,Text (free),"e.g., 'Comparison to calculated LAC values using MuCalc (Hanna & Ketcham 2017)' | 'Cross-validated against SEM-EDS phase maps' | 'Empirical calibration using known mineral standards (olivine, chromite)' | 'Not performed — structural analysis only'",,2026-08-12,sample > sampling unit,,Y,Y,,N,Sulphide rims of SSOs identified by bright contrast; silicate glass by contrast relative to matrix,N,N,N,N,"Phases: augite, mesostasis, olivine, titanomagnetite, pore space — identified by grayscale correlated to linear attenuation coefficients; verified with SEM",N,"Three density regions: high, medium, low density; porosity separate",Phase identified by grayscale contrast (vapor vs. silicate/mineral),"Phase identified by grayscale contrast (vapor darker, liquid brighter)","Phase identified by grayscale contrast (vapor darker, liquid brighter)",Phases by grayscale contrast; minerals by differential attenuation,Plagioclase targeted; olivine + pyroxene not separately resolved; troilite/oxyhydroxide indistinguishable,
VOI Selection Criteria,"Rules specifying how the Volume of Interest (VOI) is to be defined for quantitative analysis. Common criteria exclude cone-beam artifact zones at sample edges, beam hardening halos near dense inclusions, and sample holder signal. The actual VOI applied in a specific analysis is recorded separately at analysis level.",Advanced,Editable,Text (free),"e.g., 'Exclude outer 15% of sample radius to avoid cone-beam artifacts' | 'Exclude sample holder signal; VOI diameter = 95% of sample diameter' | 'No restriction — full reconstructed volume used'",,2026-08-27,(none),,Y,Y,,N,N (full scan volume),N (full core length per sub-volume),N (full core length per sub-volume),N,N,N (entire chip volume; six 2D slices at ~1 mm spacing selected for modal analysis),N (full vial volume),N (total analyzed volume stated as 5.39 mm³ for NWA 8277),N (full scan volume),N (full scan volume),N (full scan volume),N (full scan volume),N (full 8 mm core),
VOI Applied,"Actual Volume of Interest used, including dimensions or defining criteria. Companion to VOI Selection Criteria.",N/A,Basic,Text (free),"e.g., 'Cylindrical VOI, radius = 85% of sample radius, full height' | 'Full reconstructed volume' | 'Spherical VOI, 2 mm radius, centred on primary inclusion'",,2026-08-27,(none),,Y,Y,,N,Full scan volume,Full core length per sub-volume,Full core length per sub-volume,N,N,Entire chip volume (~250 thin-section equivalents); six interspaced 2D slices at ~1 mm spacing for modal mineralogy,Full vial volume (2000 × 2000 × 2000 voxels),5.39 mm³ total analyzed volume (NWA 8277),Full scan volume,Full scan volume,Full scan volume,Full scan volume per sample,Full 8 mm core volume,
Sub-volume Stitching and Registration Method,"Method used to register adjacent sub-volume datasets to each other and stitch them into a single continuous 3D volume. Report the alignment strategy (manual, automated, fiducial-based), the software used, and any correction steps applied. Where rotational mismatch has been corrected via raw projection re-alignment, document it here.",Basic,Editable,Text (free),"e.g., 'Overlap cross-correlation; rotational mismatch corrected via raw projection re-alignment (Eckley et al. 2025); VGStudio Max 3.4' | 'Automated stitching, VGStudio Max' | 'FIJI BigStitcher plugin'",,2026-08-27,(none),Rotational mismatch artifacts have been identified in continuous-rotation acquisitions (~0.35° misalignment in Eckley et al. 2025).,N,Y,,N/A,N/A,Digital stitching (method not named); post-reconstruction ring and distortion corrections applied,"Digital stitching; manual realignment of raw projection images for rotational misalignment (up to 0.35°); additional cone-beam, BH, and scattering corrections applied",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sub-volume Overlap,Actual number of reconstructed slices overlapping between adjacent sub-volumes. May differ from the minimum sub-volume overlap required specified in the procedure (Group 4) if sample geometry or operator decisions resulted in greater or lesser overlap.,N/A,Basic,Integer,"e.g., 500 | 300 | 180",,2026-08-27,(none),,N,Y,,N/A,N/A,~380 slices per sub-volume overlap,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Output Bit Depth,"Bit depth of the reconstructed 3D volume (number of bits used to encode each voxel's grayscale value). Common values are 8-bit (256 gray levels), 16-bit (65,536 gray levels), or 32-bit floating point. A required output bit depth may be specified if downstream analysis workflows depend on a consistent grayscale range.",Advanced,Editable,Controlled list,"e.g., 16-bit | 32-bit | 8-bit | N/A | None",,2026-08-30,(none),Bit depth affects the dynamic range available for phase segmentation and quantitative attenuation analysis.,Y,Y,,16-bit (full grayscale range),16-bit (CCD pixel depth),N,N,N,N,N,N,N,32-bit (ZEISS XRM output),N,N,N,N,
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),,Source: Calibration Factor module,2026-08-25,reported property,,Y,Y,,,,,,,,,,,,,,,,
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-25,(none),,Y,Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,,,,,,,,,,,,,,,
Effective Spatial Resolution (PSF/MTF),"Effective spatial resolution of the reconstructed CT volume, which typically differs from (and is coarser than) the voxel size due to the detector point spread function (PSF), geometric unsharpness, and the reconstruction filter. Formal measurement uses the PSF method described in Ketcham & Hildebrandt (2014) or the modulation transfer function (MTF); resolution can also be reported per ASTM E1441-11. When formal measurement is unavailable, an estimate based on acquisition geometry (e.g., the Brenner-Weiss formula) or a stated multiple of the voxel size may be recorded. Report the value in µm along with the method used to determine or estimate it. Note that most XCT papers use the bare phrase ""spatial resolution"" for the voxel size; record that under Voxel Size, and leave this field as not reported unless an effective resolution was actually determined.",N/A,Advanced,Text (free),"e.g., '~5 µm effective (PSF measured via wire phantom at 1.295 µm voxel; Ketcham & Hildebrandt 2014)' | '~30 µm estimated (3x voxel size; not formally measured)' | 'PSF FWHM = 8.2 µm at 2.5 µm voxel (Brenner-Weiss formula)'; report in µm; µm/pixel is equivalent for cubic voxels; µm³/voxel denotes voxel volume and is not a resolution unit",,2026-08-27,(none),The Nyquist limit sets a theoretical floor at 2× the voxel size.,Y,Y,,N (voxel 6 µm; no formal spatial resolution measurement stated),"N — the paper's ""spatial resolutions (in voxels)"" are the voxel sizes (0.625 / 0.672 µm); no effective (PSF/MTF) resolution reported",N (voxel size not stated in this paper; see Ketcham et al. 2022),N (voxel size not stated; same as 73002 per paper; see Ketcham et al. 2022),"N — voxel size only (38.49 µm); no effective resolution reported. The paper's ""spatial resolution of 60 µm"" is the multispectral core imager, not this XCT scan","N — voxel size only (2.8–20.6 µm); no effective resolution reported. The paper's ""spatial resolution of 60 µm"" is the multispectral core imager, not this XCT scan","N — the paper states ""a resolution of 10.3 x 10.3 x 10.3 µm³ per voxel"", i.e. the voxel size; no effective resolution reported","~30 µm — stated as ""resolution limits of ~30 µm (around 3x the voxel size)"" against an 11.54 µm voxel. Rule-of-thumb estimate; no PSF or MTF measurement","N — voxel size only (5.34 µm); the paper describes resolution only generically (""of the order of microns"")","N — the paper's ""spatial resolution of 2.06 µm/px (8.7 µm³/vx)"" is the voxel size; no effective resolution reported","N — the paper's ""spatial resolution"" figures are given in µm/px with voxel volumes, i.e. the voxel size (25 µm); no effective resolution reported","N — the paper's ""spatial resolution"" figures are given in µm/px with voxel volumes, i.e. the voxel size (7.7 µm); no effective resolution reported","N — the paper's ""spatial resolution"" figures are given in µm/px with voxel volumes, i.e. the voxel size (0.77–3.5 µm); no effective resolution reported",N — voxel size only (1.923 µm); no spatial resolution reported,
