Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech",Wu+etal2023 | Analyte G2 + iCAP TQ ICP-MS/MS | IGGCAS
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including tubing, any signal-homogenising device, and any co-aspirated solution introduced alongside the aerosol — for example a Tl solution used for instrumental mass bias correction, or an isotopic spike used for isotope dilution. Distinct from the carrier and make-up gas fields, which record gas identity and flow rather than what else enters the plasma.",Basic,Read-Only,Text (free),"e.g., 'Squid signal homogeniser, 2 m PTFE tubing, no co-aspiration' | 'Dry plasma; Tl solution co-aspirated via desolvating nebuliser for mass bias correction'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,,,,,,,N
,,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,2026-08-26,,,N,N,N,N,,,,,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'Spot' | 'Transect' | 'Mapping' | 'Spot; Transect',Source: Core module,2026-08-26,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,Y,,,,,,,,N
Laser Spot Geometry,"Shape and dimensions of the laser ablation spot in micrometres registered by the procedure. For circular spots, report diameter; for square or rectangular spots, report width × length.",Basic,Editable,Text (free),"e.g., '25 µm circular' | '20×20 µm square' | '15 or 25 µm circular (phase-dependent)'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,,30 µm circular,100×100 µm square (stated as 100 µm diameter spot at 1 Hz),40 µm circular (silicate glass),20 µm circular (sulfide; grain sizes >20 µm selected),24 and 32 µm diameter (commonly used for silicates and glass); 90 µm (some olivine analyses to evaluate low REE signal sampling) [P4],~24 µm diameter [P4],N
Spot Diameter (Measured),"Diameter of the laser spot as independently measured on the sample or on a test material, distinct from the nominal value the procedure registers.",N/A,Basic,Numeric (µm),"e.g., '32.4' | 'nominal 35, measured 33.1 +/- 0.8 (n = 12 pits, white-light profilometry)'",Source: Laser Ablation module,2026-08-27,(none),Measured companion to Laser Spot Geometry: nominal and delivered spot size can differ appreciably with optics condition and focus.,Y,Y,Y,,,,,,,,"50, 90, 150 um"
Laser Spot Path / Ablation Mode,Sampling mode or ablation pattern used during analysis.,Basic,Read-Only,Controlled list,Spot (stationary) | Transect (continuous line scan) | Raster area (2D elemental mapping) | Stepped line profile | N/A | None,Source: Laser Ablation module,2026-08-30,(none),,Y,Y,Y,,Spot (stationary),Spot (stationary; single spot at 1 Hz),"N (ablation mode not explicitly stated; ""beam diameter"" terminology used but ""spot"" or ""spot mode"" not written)",N (ablation mode not explicitly stated),Spot (stationary) [P4],Spot (stationary) [P4],"Single hole drilling, two cleaning pulses"
Laser Energy,Laser pulse energy in millijoules as set at the laser output or measured at the sample surface. Report only when the system displays energy directly. Laser fluence (J cm⁻²) is the preferred quantity and is captured in Laser Fluence (Energy Density).,Advanced,Editable,Numeric (mJ),"e.g., 0.001 mJ | 3.5 mJ",Source: Laser Ablation module,2026-08-27,(none),Less commonly reported than fluence because it does not account for spot area.,Y,Y,Y,,N,N,N,N,150 mJ output energy [P4],150 mJ output energy [P4],N
Laser Fluence (Energy Density),"Laser pulse energy per unit area at the sample surface in J cm⁻², as registered by the procedure. If the system reports only as % of maximum output, include that value and note the system maximum where known.",Basic,Editable,Numeric (J cm⁻²),"e.g., '3.5 J cm⁻²' | '7 J cm⁻²' | '60% output (PHAROS system, max ~15 J cm⁻²)'",Source: Laser Ablation module,2026-08-27,(none),"Fluence is the physically meaningful quantity controlling ablation rate, crater morphology, elemental fractionation, and particle size distribution.",Y,Y,Y,,12 J cm⁻²,6.79 J cm⁻²,"~2.5 J cm⁻² (stated as ""energy of ~2.5 J/cm²"")",~2.5 J cm⁻²,7–10 J/m² (stated in paper; units as written; likely a typographic error for J/cm²) [P4],7–10 J/m² (same as silicate protocol) [P4],4 J cm-2
Laser Beam Energy Profile,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed.",Advanced,Read-Only,Controlled list,Flat-top (top-hat) — beam homogenizer installed | Gaussian — no beam homogenizer | N/A | None,Source: Laser Ablation module,2026-08-30,(none),A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam.,Y,Y,Y,,N,N,N,N,N,N,N
Laser Repetition Rate,Laser pulse repetition rate in hertz registered by the procedure.,Basic,Editable,Numeric (Hz),"e.g., 5 | 10 | 20 | 100",Source: Laser Ablation module,2026-08-27,(none),"For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution.",Y,Y,Y,,20 Hz,1 Hz,7 Hz,7 Hz,5 Hz [P4],5 Hz [P4],10 Hz
Laser Pulse Duration,"Duration of each individual laser pulse, including units.",Basic,Read-Only,Text (free),"e.g., '4 ns (ArF excimer)' | '20 ns' | '290 fs (Yb:KGW)' | '220 fs (Ti:sapphire)'",Source: Laser Ablation module,2026-08-27,(none),Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects.,Y,Y,Y,,~220 fs (Ti:sapphire IFRIT system),Femtosecond (exact value not stated; GenesisGEO fs laser),N (ns; CetacAnalyte HE; pulse duration not reported),N (ns; CetacAnalyte HE),N (ns excimer system; pulse duration not stated) [P4],N (same as silicate protocol) [P4],4-5 ns
Ablation Duration per Spot,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and is not captured here.",Basic,Editable,Numeric (s),"e.g., 40 s | 60 s | 90 s",Source: Laser Ablation module,2026-08-27,(none),"For spot analysis, reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput.",Y,N,N,,N,45 s ablation (after 25 s gas blank; 25 s washout between analyses),~40 s (inferred from typical CetacAnalyte HE protocol for glass),~40 s (same protocol; grain size >20 µm selected),N (not stated) [P4],N (not stated) [P4],25 s
Ablation Pit Depth and Ablation Rate,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate. For transect and mapping the equivalent quantity is trench depth under the same conditions.",Basic,Editable,Text (free),"e.g., 'Pit depth 18 um after 300 pulses (white-light profilometry); 60 nm/pulse' | 'Trench depth 4 um at 5 um/s scan speed'",Source: Laser Ablation module,2026-08-27,(none),Sets the achievable depth resolution and governs downhole elemental fractionation.,Y,Y,Y,,,,,,,,N
"Transect Rate, Mapping Rate or Step Size","For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹. For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable. For stepped line profiles: the distance between successive spot positions in µm.",Advanced,Editable,Text (free),"e.g., '5 µm s⁻¹ (transect)' | '9 µm s⁻¹ (raster mapping, 20×20 µm spot, 20 Hz)' | '20 µm step size' | '0.3–30 mm² h⁻¹ (mapping rate range)'",Source: Laser Ablation module,2026-08-27,(none),"Together with spot size and repetition rate, determines spatial resolution along the scan direction.",N,Y,Y,,N/A (spot mode),N/A (spot mode),N/A (spot mode),N/A (spot mode),N/A (spot analysis),N/A (spot analysis),N
Raster Line Spacing (Mapping Only),"Distance between adjacent raster lines in a 2D elemental map, measured perpendicular to the scan direction, in micrometres. Applies to raster mapping only.",Basic,Editable,Text (free),"20 µm (contiguous, equal to spot size) | 15 µm pitch with 5 µm gap between lines | N/A (spot or line-scan mode)",Source: Laser Ablation module,2026-08-27,(none),"Together with spot size, this determines whether adjacent lines are contiguous (line spacing = spot size), overlapping (line spacing < spot size), or have gaps (line spacing > spot size).",N,N,Y,,N/A (spot mode),N/A (spot mode),N/A (spot mode),N/A (spot mode),N/A (spot analysis),N/A (spot analysis),N
Carrier Gas and Flow Rate,"Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the procedure-registered target flow rate(s). Adjustment during tuning stays within ±10% of the target.",Basic,Editable,Text (free),"e.g., 'He, 0.75 l min⁻¹' | 'He: MFC-1 (cell) 0.60 l min⁻¹ + MFC-2 (cup) 0.35 l min⁻¹'",Source: Laser Ablation module,2026-08-27,(none),Helium is standard for most UV laser systems due to superior aerosol transport.,Y,Y,Y,,Carrier gas flow: 0.6 L/min; species not named (carrier gas identity not stated in Table 1 or text),He: 0.7 l min⁻¹ (chamber) + 0.1 l min⁻¹ (cup gas),He (flow rate not stated; carrier gas with N₂ or Ar mixed for sensitivity optimization),He (flow rate not stated; same system as glass protocol),N (not stated) [P4],N (not stated) [P4],"He, 900 mL min-1 ablation gas flow"
Make-up Gas and Flow Rate,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate. Record any small nitrogen or hydrogen addition with its own flow, whose unit commonly differs from the make-up flow. Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported.",Advanced,Editable,Numeric (L/min) / Text,"e.g., 'Ar make-up gas, 0.95 l min⁻¹' | 'Ar make-up 0.80 l min⁻¹ + N₂ 2 ml min⁻¹ (sensitivity enhancement)' | 'None (no N₂ added)'",Source: ICP-MS module,2026-08-26,(none),"Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load. Small nitrogen or hydrogen additions enhance sensitivity for some elements.",Y,Y,Y,,Ar make-up: 0.9–1.2 l min⁻¹; Ar auxiliary: 0.6–1.2 l min⁻¹,N (gas not separately specified beyond total plasma flow),N₂ or Ar mixed into He carrier for sensitivity optimization (amounts not stated),N₂ or Ar mixed (same protocol as glass),N (not stated) [P4],N (not stated) [P4],"N2 enhancement gas, 4.0 mL min-1, added to the carrier gas after the sample chamber to enhance sensitivity; an 80% sensitivity improvement is reported"
Coolant (Plasma) Gas Flow Rate,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min.",Basic,Editable,Numeric (L/min),14 L/min | 15 L/min,Source: ICP-MS module,2026-08-30,(none),Determines plasma volume and stability.,Y,Y,Y,,Cool gas: 12–13 l min⁻¹ Ar; Auxiliary: 0.6–1.2 l min⁻¹,Plasma gas flow: 15 l min⁻¹; Auxiliary gas: 0.85 l min⁻¹,N,N,N (not stated) [P4],N (not stated) [P4],15.00 L min-1 Ar
Auxiliary Gas Flow Rate,"Flow rate of the intermediate (auxiliary) argon gas stream, between the torch body and the injector tube, which positions the plasma relative to the load coil, in L/min. Distinct from the outer coolant (plasma) gas and from the gas stream that carries sample into the plasma.",Basic,Editable,Numeric (L/min),0.8 L/min | 1.0 L/min | 1.2 L/min,Source: ICP-MS module,2026-08-30,(none),Affects ion extraction efficiency and oxide production rates.,Y,Y,Y,,N,N,N,N,N,N,0.80 L min-1 Ar
RF Power,"Radiofrequency forward power applied to the ICP, in watts.",Basic,Editable,Numeric (W),"e.g., 800 W | 1200 W | 1350 W | 1550 W",Source: ICP-MS module,2026-08-26,(none),"Affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect.",Y,Y,Y,,1400 W,1550 W,N (Agilent 7900; standard conditions implied),N (same instrument),N (not stated) [P4],N (not stated) [P4],1350 W
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma (<=900 W RF) or normal (hot) plasma (>1000 W RF) conditions, with the RF power that defines it. This field records the RF-POWER axis only. Solvent loading also affects plasma thermal state, but dry versus wet aerosol is recorded by Desolvation System — do not answer this field with 'dry plasma' or 'wet plasma'. Document independently of the RF Power field.",Basic,Read-Only,Controlled list / Text,Normal plasma (>1000 W RF) | Cool plasma (≤900 W RF) | Mixed: specify mode per analytical sub-run | N/A | None,Source: ICP-MS module,2026-08-30,(none),"Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). A fundamental method design choice that determines which interference corrections are necessary.",Y,Y,Y,,N,N,N,N,N (not stated) [P4],N (not stated) [P4],N
Signal Smoothing,"Description of any signal smoothing device or approach installed between the ablation cell and the ICP-MS to reduce pulse-to-pulse signal variability. For mapping analyses, report ""None"" explicitly.",Advanced,Editable,Text (free),"e.g., 'Squid 2.0 (laurin technik)' | 'ARIS (Aerosol Rapid Introduction System)' | 'None'",Source: Laser Ablation module,2026-08-27,(none),"Note: active signal smoothing devices (e.g., squid, SCFAST) are generally incompatible with high-resolution raster mapping because they degrade spatial resolution by mixing aerosol from successive laser shots.",Y,Y,Y,,N,N,N (CetacAnalyte HE; smoothing status not reported),N,N (not stated) [P4],N (not stated) [P4],N
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily auto-tune on NIST SRM 612; optimised for max sensitivity on ¹³⁹La and ²³²Th with ThO⁺/Th⁺ <0.5% and U/Th = 1.0 ± 0.05'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,Gas flows optimized via spot ablation of NIST SRM 612 to obtain maximum signal intensities while maintaining ThO/Th <0.3% and U/Th at 0.95–1.05,N (standard daily optimization implied),N,N (not stated) [P4],N (not stated) [P4],"Two-stage: first optimised in solution single-quadrupole and no-gas modes to tune for a robust plasma (U/Th = 1.00-1.05) and minimise oxides (ThO/Th < 0.5%); then switched to TQ and NH3 mode, with lenses tuned to maximise sensitivity for Hf reaction products while keeping Lu and Yb reaction rates low"
Instrument Sensitivity,"Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to. May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited. A sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.",N/A,Advanced,Numeric + unit / Text,"e.g., '0.42% useful yield (U, method of Horstwood et al. 2016)' | '0.1% useful yield (analytes, msfs-LA-ICP-MS)' | '1.2 x 10^6 cps/ppb on 115In' | 'N/A'",Source: ICP-MS module,2026-08-26,channel,"Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate.",Y,Y,Y,,,,,,,,N
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The monitored ratio is procedure-dependent: ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use.",Basic,Read-Only,Text (free),"e.g., 'ThO⁺/Th⁺ (248/232) <0.5%' | 'ThO⁺/Th⁺ <0.3%; UO⁺/U⁺ monitored at 0.95–1.05' | 'CeO⁺/Ce⁺ <1.0%'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,ThO⁺/Th⁺ (mass 248/232) <0.3%; U/Th monitored at 0.95–1.05,N,N,N (not stated) [P4],N (not stated) [P4],"ThO/Th < 0.5%, checked during SQ no-gas tuning"
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),"e.g., 'ThO⁺/Th⁺ = 0.3% (threshold <0.5% met)' | 'ThO⁺/Th⁺ = 0.08%' | 'CeO⁺/Ce⁺ = 0.7% (threshold <1.0% met)'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,ThO/Th = measured at <0.3%; U/Th = 0.95–1.05 (on NIST SRM 612),N,N,N (not stated) [P4],N (not stated) [P4],N
Doubly-Charged Species Monitor,The mass ratio monitored to estimate doubly-charged ion (M²⁺) formation during instrument tuning. The monitor species and the mass positions monitored should be stated explicitly. Analogous to Oxide Production Method and Threshold for oxide monitoring.,Advanced,Editable,Text (free),¹³⁸Ba²⁺/¹³⁸Ba⁺ (m/z 69/138); Ce²⁺/Ce⁺ (m/z 70/140); ²³⁸U²⁺/²³⁸U⁺ (m/z 119/238),,2026-08-27,(none),Doubly-charged ions appear at half the mass of the parent ion and can cause isobaric interferences on analytes in that mass region.,Y,Y,Y,,,,,,,,N
Doubly-Charged Species Production,Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. The acceptable threshold is typically <1% or <3%. Record both the threshold and the measured value.,Advanced,Editable,Text (free),"<1% (threshold); 0.4% (measured, ¹³⁸Ba²⁺/¹³⁸Ba⁺); N (not reported)",,2026-08-27,(none),,Y,Y,Y,,,,,,,,N
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions.",Advanced,Read-Only,Text (free),"e.g., '≥30 min warm-up after sample change; sessions ≤8 h after tuning' | '3–4 h warm-up; no session duration limit'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N (not stated) [P4],N (not stated) [P4],N
Analysis Sequence,"The repeating order in which calibration or bracketing standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session. Adjustments must maintain the bracketing strategy defined in the procedure.",Basic,Editable,Text (free),"e.g., '1 primary std / 1 QC / 10 unknowns' | '2/4/15' | 'Calibration at start and end; unknowns in between'",Source: ICP-MS module,2026-08-27,(none),,Y,Y,Y,,IVB meteorite standards (Warburton Range external + Tawallah Valley secondary) measured alongside unknowns; exact bracketing not described,Gas blank (25 s) → ablation (45 s) → washout (25 s); NIST 612 and 614 as external standards; BHVO-2 and 6 GRMs measured as unknowns,NIST 610 as primary standard measured in session; NIST 612 and BCR-2G as monitoring standards; unknowns bracketed by standards,Same bracketing as silicate glass protocol,NIST 610 glass standard analyzed before and after every session; unknowns in between [P4],Same as silicate protocol [P4],N
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),"e.g., 'Major elements: Mg, Si, Ca, Fe; Trace elements: Sc, V, Cr ... U' | 'All REE: La-Lu'",Source: Analyte module,2026-08-26,defines: analyte,,Y,Y,Y,,"⁵⁹Co, ¹⁰¹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (9 HSE isotopes); ²⁴Mg, ²⁹Si, ³¹P, ³³S monitored for inclusion detection; ⁶¹Ni as internal standard","²¹Sc, ⁵¹V, ⁵²Cr, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁶⁹Ga, ⁸⁵Rb, ⁸⁸Sr, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La, ¹⁴⁰Ce, ¹⁴¹Pr, ¹⁴⁶Nd, ¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁷Gd, ¹⁵⁹Tb, ¹⁶³Dy, ¹⁶⁵Ho, ¹⁶⁶Er, ¹⁶⁹Tm, ¹⁷²Yb, ¹⁷⁵Lu, ¹⁷⁸Hf, ¹⁸¹Ta, ²³²Th, ²³⁸U (32 trace elements)","¹⁹⁷Au, ⁶³Cu (primary targets); all detected via Agilent 7900 (exact isotope list not fully stated)","¹⁹⁷Au, ⁶³Cu (primary targets; Si and Fe from EMP as internal standards)","N (not explicitly listed in methods; results text mentions Sc, V, Ti, Co, Ni, REEs measured in silicates; full isotope list not stated) [P4, P7, P11]",N (not explicitly listed in methods; merrillite REE La-Lu at 14–414 ppm range mentioned in results; full isotope list not stated) [P12],"Lu and Hf (with Yb monitored for interference); Al, Ca, Y and Zr monitored for inclusions"
Monitored Masses,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one. Covers atomic isotopes and, where a reaction cell shifts an analyte onto a different mass, the product mass actually measured. Includes interference-monitor and internal-standard masses, which serve no analyte and so have no parent element. The analyte list is given by the Analyte field and is never inferred from the element symbols appearing here.",Basic,Read-Only,Text (free),⁷Li | ²⁵Mg | ⁵⁶Fe | ²⁰⁸Pb | (176+82)Hf (NH3 mass-shift product) | N/A | None,,2026-08-30,defines: channel per analyte,,Y,Y,Y,,N,N,N,N,N,N,"27Al, 43Ca, 89Y, 90Zr, 172Yb, (172+82)Yb, 175Lu, (175+82)Lu, (176+82)Hf, (177+82)Hf, (178+82)Hf"
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentrations in ug/g; 2SE per analyte' | '207Pb/206Pb, 206Pb/238U, 207Pb/235U (radiogenic, common-Pb corrected), absolute ratios with 2-sigma'",Source: Core module,2026-08-26,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,Y,,,,,,,,176Lu/177Hf and 176Hf/177Hf ratios; Lu-Hf isochron and weighted-mean ages (Ma)
Signal Collection Mode,"Mode used to collect ion signal across the monitored masses. In peak hopping mode, the quadrupole jumps sequentially between pre-set mass positions and dwells at each peak; in scanning mode, the quadrupole sweeps continuously across a defined mass range.",Basic,Read-Only,Controlled list,Peak hopping | Scanning | N/A | None,,2026-08-30,(none),Peak hopping is standard for multi-element trace analysis as it maximises integration time at each mass.,Y,Y,Y,,N,N,N,N,N,N,Peak jump
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),"e.g., '23' | '23 ns (determined from NIST 612 at varying spot size, checked quarterly)'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,,,,,,,,N
Collision Gas Type,"Type of collision gas introduced into the collision/reaction cell for PHYSICAL energy discrimination (KED), where an inert gas thermalizes ions and polyatomic interferences are retarded by their larger collision cross-section. Typically He. Record a gas here when it is used without intended chemistry; where the same gas is also used to drive a mass shift, record that use under Reaction Gas Type — O2 is attested in both roles. Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Read-Only,Controlled list / Text,He | H2 | He+H2 | O2 | N/A | None,Source: collision/reaction cell module,2026-08-30,channel,"Helium (He) is the standard collision gas for kinetic energy discrimination, being low in mass and chemically inert.",Y,Y,Y,,N,N,N,N,N,N,N
Collision Gas Flow Rate,"Flow rate of the collision gas, typically He, introduced into the collision/reaction cell in KED mode, in mL/min. Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Editable,Numeric (mL/min),3.5 mL/min | 4.0 mL/min | None (STD mode),Source: collision/reaction cell module,2026-08-27,(none),Controls the degree of ion thermalization and KED efficiency; higher flow rates give greater interference suppression at the cost of analyte sensitivity.,Y,Y,Y,,N,N,N,N,N,N,N
Cell Exit Discrimination Voltage,"Bias voltage applied at the collision/reaction cell exit to discriminate between analyte ions and low-energy polyatomic interferences in KED mode, in volts (V). Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Editable,Numeric (V),−5 V | −8 V | None (STD mode),Source: collision/reaction cell module,2026-08-27,(none),"A negative bias preferentially retards slow polyatomic ions while transmitting faster analyte ions, controlling the degree of polyatomic suppression.",Y,Y,Y,,N,N,N,N,N,N,"CR exit lens -40.00 V (cell bias -4.200 V, CR amplitude 189.3 V, CR entry lens -144.0 V also tabulated)"
Reaction Gas Type,"Type of reactive gas introduced into the cell for interference removal through ION-MOLECULE CHEMISTRY, either on-mass or by mass shift. Common reaction gases include NH₃ (e.g., for Fe, Ca, K isotopes), O₂ (e.g., for As, Ge, Te mass shift) and CH₄. The distinction from Collision Gas Type is the mechanism, not the gas: record a gas here when a reaction is intended. Record 'None' if no reactive gas is used, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include a reaction mode or the instrument has no cell.",Advanced,Read-Only,Controlled list / Text,NH3 | O2 | CH4 | N/A | None,Source: collision/reaction cell module,2026-08-27,channel,,Y,Y,Y,,N,N,N,N,N,N,"NH3, high purity (>99.999%), supplied in T4; He (>99.999%, T1) pre-mixed with NH3 before the cell in a test of mixture composition. High-purity NH3 found more effective than the commonly used 1:9 NH3-He mixture"
Reaction Gas Flow Rate,"Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC), in mL/min. Record 'None' if DRC mode is not used, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC or the instrument has no cell.",Advanced,Editable,Numeric (mL/min),0.4 mL/min | 0.8 mL/min | None,Source: collision/reaction cell module,2026-08-27,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Collision/Reaction Gas Mixture Ratio,"Where the collision or reaction cell is supplied with a mixture of gases rather than a single gas, the identities and proportions of that mixture. Recorded separately from the gas identity. Record 'N/A' where a single gas is used.",Advanced,Editable,Text (free),"e.g., 'NH3:He 1:9' | 'High-purity NH3, no mixture' | 'N/A (single gas)' | 'None'",Source: collision/reaction cell module,2026-08-27,channel,The proportions change reaction efficiency and interference suppression independently of which gases are used.,Y,Y,Y,,N,N,N,N,N,N,Both forms stated: '1:9 NH3-He mixture' identified as common practice and found less effective than high-purity NH3; high-purity He (>99.999%) pre-mixed with NH3 before the reaction cell to test the effect of mixture composition on reaction efficiency
Reaction Product Ion / Mass-Shift Transition,"Where a monitored mass is produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured. Records the mass-shift chemistry relating the mass measured to the analyte it reports, which the monitored mass alone does not state. Record 'N/A' where the analyte is measured on its own mass.",Advanced,Read-Only,Text (free),"e.g., '176Hf + NH3 -> (176+82)Hf+ (adduct, +82 u)' | 'N/A (on-mass measurement)'",Source: collision/reaction cell module,2026-08-27,channel,,Y,Y,Y,,N,N,N,N,N,N,"Ammonia cluster adducts, mass shift +82: (176+82)Hf = 176Hf(14N1H)(14N1H2)3(14N1H3)3; likewise (177+82)Hf, (178+82)Hf, (175+82)Lu, (172+82)Yb. Lu, Yb and Hf reaction products identified over 175-300 amu"
