Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Budde+etal2016 | Neptune Plus | IfP Münster,Craddock+etal2008 | Thermo NEPTUNE | WHOI,Hopp+etal2021 | Neptune (Plus spec) | Univ Chicago,Hu+etal2022 | Neptune Plus | Univ Chicago,IbanezMejia+Tissot2020 | Nu Plasma II | MIT,Nie+Dauphas2019 | Neptune | Univ Chicago,Nowell+etal2008 | Neptune | Durham AHIGL,Nowell+etal2008 | Nu Plasma | NIGL,Pringle+Moynier2017 | Neptune Plus | IPGP,Schönbächler+etal2025 | Neptune Plus | ETH Zurich,vanKooten+etal2026 | Thermo Neoma | Univ Copenhagen,Broussard+etal2026 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | WUSTL,Barnes+etal2025 | Neptune Plus | ETH Zurich
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),Thermo Scientific Neptune | Thermo Scientific Neptune Plus | Nu Instruments Nu Plasma II | Nu Instruments Nu Plasma 1700 | Nu Instruments Nu Sapphire | IsotopX Phoenix | N/A | None | Other: specify,Source: Core module,2026-08-25,(none),,,Neptune Plus,"NEPTUNE (""Thermo Electron NEPTUNE"")","Neptune ""upgraded to Neptune Plus specifications""","Neptune Plus ""with the addition of an OnTool booster""",Nu Plasma II,Neptune,Neptune,Nu Plasma,Neptune Plus,Neptune Plus,Neoma,Neptune Plus,Neptune Plus,Neptune Plus
ICP-MS Type,"Type of ICP-MS system - the mass analyser and, where the instrument has one, the collector configuration.",Basic,Read-Only,Controlled list,Multi-collector sector-field (MC-ICP-MS) | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"Multi-collector sector-field instruments combine a magnetic sector and electrostatic analyser with a fixed array of Faraday cups (and optionally ion counters) that simultaneously collect multiple isotope beams, enabling high-precision static multi-collection.",,"Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]","Multi-collector sector-field ICP-MS [all columns state ""multi-collector inductively coupled plasma mass spectrometer""]"
Instrument Serial Number or Lab Identifier,Serial number or laboratory-internal identifier for the specific instrument unit.,Advanced,Editable,Text (free),,Source: ICP-MS module,2026-08-25,(none),Supports traceability to instrument service records.,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Torch Type,"Type of plasma torch installed (e.g. standard quartz, high-matrix, low-flow).",Advanced,Read-Only,Text (free),Standard quartz | High-matrix | Low-flow | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Interface Cone Configuration,Geometry and designation of the sampler and skimmer cones installed during analysis. State both cones.,Basic,Read-Only,Text (free),"Ni H-sampler + Ni H-skimmer (standard) | Ni H-sampler + Ni X-skimmer | Ni Jet-sampler + Ni X-skimmer (with interface pump) | N/A | None | Other: specify | For Neptune-type instruments, H-cones (standard) and X-cones (high-sensitivity, ~3× higher transmission) are common options.",Source: ICP-MS module,2026-08-26,(none),Jet cones combined with an interface pump upgrade are used on some instruments for enhanced sensitivity. The choice affects ion beam intensity.,,Standard sample and (H) skimmer cones,X-cones,H skimmer cones,N,N,Normal sampler and skimmer cones,N,N,Sample cone Jet; skimmer cone H,"""Normal skimmer and sampler cones were utilized""",A Jet and X cone,N,N,N
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Nickel is standard for most aqueous and nitric matrices; platinum is used for HCl-rich, high-TDS or organic matrices for its greater corrosion resistance; aluminium is used in some laboratories for high-purity work or enhanced sensitivity. State both sampler and skimmer materials; a single statement is acceptable where they are identical.",Advanced,Read-Only,Text (free),"Ni sampler and Ni skimmer | Pt sampler and Pt skimmer | Ni sampler and Pt skimmer | N/A | None | Other: specify | Platinum (Pt) cones are used for HCl-rich matrices (e.g., 6 M HCl in Fe chemistry procedures) due to greater corrosion resistance.",Source: ICP-MS module,2026-08-26,(none),,,Ni,Ni,"""We used Ni or Pt sampler and H skimmer cones ... The main motivation for using Pt cones was an increase in sensitivity and a decrease in the frequency of cone cleaning""",N,N,Ni,N,N,N,N,N,N,N,N
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer.",Advanced,Editable,Text (free),5 mm | Standard position (manufacturer default) | N/A | None,Source: ICP-MS module,2026-08-25,(none),"Affects ion transmission efficiency, oxide formation, and doubly-charged species production.",,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Guard Electrode,"Whether a guard electrode - also called a grounded shield electrode, extraction lens, or Fassel torch shield - is installed and active on the torch assembly.",Basic,Read-Only,Controlled list,On | Off | Not installed | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"Capacitively decouples the plasma from the load coil, reducing secondary discharge and improving ion extraction efficiency.",,N,"""Pt-guard electrode: On, grounded""",N,N,N,N,N,N,N,N,N,N,N,N
Faraday Cup Array Configuration,"Description of the multi-collector Faraday cup array. Specify the total number of Faraday cup detectors (fixed and moveable), their labeled positions (e.g., L4, L3, L2, L1, Ax, H1, H2, H3, H4 for a 9-cup Neptune), and the presence and position of any ion counter (SEM) or Daly detector in the collector block.",Basic,Read-Only,Text (free),Neptune: 9 Faraday cups (L4–H4) + 1 SEM (axial or off-axis); Nu Plasma II: 16 Faraday cups + 3 ion counters | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-25,(none),The number and span of cups constrains which isotope combinations can be simultaneously collected.,,N,N,N,N,N,Three collectors used,"""The Durham Neptune has a 9 Faraday collector array equipped with 10^11 Ω resistor amplifiers which allow a maximum beam of 50 V per channel""",N,N,N,N,N,N,N
Faraday Cup Amplifier Resistor Values,"Resistance values (Ω) of the feedback resistors in the Faraday cup amplifiers. Standard amplifiers use 10¹¹ Ω resistors, yielding 1 V per ~6.24 × 10⁶ ion counts per second. Report the resistor value per cup position, or note 'all 10¹¹ Ω' if uniform.",Basic,Read-Only,Text (free),All cups: 10¹¹ Ω | L1: 10¹³ Ω (234U); all others: 10¹¹ Ω | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-25,channel,"High-gain amplifiers (10¹² or 10¹³ Ω) are fitted to selected cups to improve signal-to-noise for very low-intensity beams (e.g., 234U, low-abundance spike isotopes).",,N,N,"10^10 Ω for 56Fe+; 10^11 Ω for 54Fe, 57Fe, 58Fe; 10^12 Ω for the 53Cr and 60Ni interference monitors",N,N,"""All three collectors were equipped with the 10^11 Ω amplifiers""",10^11 Ω,N,N,10^11 Ω for 90Zr–96Zr and 95Mo; 10^12 Ω for 99Ru and 101Ru,"10^11 Ω for 24Mg, 25Mg, 26Mg",N,N,N
Faraday Cup Gain Calibration Method,"Method used to calibrate the relative gain (amplification factor) of each Faraday cup amplifier at the start of or during each analytical session. Common approaches: instrument internal gain calibration routine (measures signal in each cup sequentially using a common beam), amplifier rotation procedure, or measurement of a known isotope ratio solution in each cup. For instruments with SEM detectors, also describes the SEM-to-Faraday cross-calibration sequence. Specify frequency (per session, per block, weekly).",Basic,Read-Only,Text (free),Instrument internal gain calibration routine; baseline and gain calibrated at session start and daily | SEM-to-Faraday cross-calibration measured per session using known ratio solution | N/A | None | Other: specify,Source: MC-ICP-MS module,2026-08-25,channel,Relative gain differences between amplifiers cause systematic errors in isotope ratios if uncorrected.,,N,N,N,N,N,N,"""Instrument electronic baselines and amplifier gains were then measured, on peak with the line of sight valve closed""; ""Although amplifier gains were measured at the start of each session the Virtual Amplifier was used in rotation mode to cancel out amplifier gains""",N,N,N,N,N,N,N
Mass Resolution Setting,"Operating mass resolution of the mass analyser. Where the analyser permits selection, state the mode; where individual analytes are assigned to different modes, state each.",Basic,Editable,Controlled list / Text,"Unit resolution (quadrupole, fixed) | Low resolution (LR) | Medium resolution (MR) | High resolution (HR) | Multiple modes assigned per analyte | N/A | None",Source: ICP-MS module,2026-08-26,(none),"MC-ICP-MS instruments allow selection of low resolution (LR; m/Δm ≈ 300–400), medium resolution (MR; m/Δm ≈ 3000–8000), or high resolution (HR; m/Δm ≈ 10,000–12,000). Most isotope ratio measurements use low resolution after chemical separation has removed interfering elements. Medium or high resolution is used when polyatomic interferences (e.g., ArN+, ArO+, ArOH+ on Fe isotopes) cannot be fully resolved by chemistry alone.",,N,"""High (entrance slit); Low (detector slit)""","Medium or high resolution — ""the measurements were made on the flat-topped peak shoulder in either medium-resolution (MR) or high-resolution (HR) mode""",N,N,Low resolution,N,N,N,N,"Medium resolution, M/ΔM > 6,000","Measured ""on the left 'shoulder' of the peak to resolve the difference between 40Ar1H+ and 41K+""",High-mass-resolution slit for K; low-mass-resolution slit for Cu and Zn,"Medium mass resolution, R ≈ 6,600–7,000 (R = m/m0.95 − m0.05)"
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode. In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide. In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences, which have a larger collision cross-section, are selectively retarded by a cell exit barrier voltage. In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions. On MS/MS instruments a second mass filter preceding the cell enables precursor-ion selection. Specific gas types, flow rates and cell voltages are documented in Group 4. Record 'Not installed' where the instrument has no collision/reaction cell.",Basic,Read-Only,Controlled list,"Not installed | STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | N/A | None | Other: specify",Source: collision/reaction cell module,2026-08-27,channel,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction.,Basic,Read-Only,Text (free),PFA self-aspirating MicroFlow (50–100 µL/min) | PFA-ST | Glass concentric | ESI Apex-HF nebulizer | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-26,(none),Affects droplet size distribution and sample introduction efficiency.,,Savillex C-Flow PFA nebulizer,"PFA-50, Elemental Scientific, Inc.",Cyclonic glass spray chamber (wet) or ESI Apex Ω desolvating nebulizer (dry),N,Cetac Aridus II desolvator nebulizer,N,ESI PFA-50 micro-flow nebuliser,ESI PFA-50 low uptake nebuliser,N,PFA nebulizer with an Aridus II desolvating nebulizer system,N,Elemental Scientific APEX Omega desolvating nebulizer,N,N
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C).,Basic,Read-Only,Text (free),Stable Introduction System (SIS): cyclonic + Scott double-pass | Scott double-pass (glass) at 2°C | Cyclonic at 5°C | Spray chamber downstream of Aridus II | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-26,(none),Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma. In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.,,N,"SSI cyclonic spray dual chamber, Elemental Scientific, Inc.; cooling not stated",Cyclonic glass spray chamber for wet-plasma MR-mode work; cooling not stated,N,N,"""a dual cyclonic-Scott-type quartz spray chamber""; cooling not stated","Glass Expansion micro-cyclonic ""Cinnabar"" spray chamber; cooling not stated",GE Cinnabar micro-cyclonic spray chamber,N,N,N,N,Quartz glass dual cyclonic spray chamber for Cu and Zn; cooling not stated,N
Desolvation System,Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Record 'None' if not used.,Advanced,Read-Only,Controlled list,Aridus I | Aridus II | Apex Q | Apex IR | Apex HF | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-26,(none),"Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes. Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction.",,Cetac Aridus II,"None — and deliberately: ""passing solutions through a desolvating nebulizer to obtain dry plasma conditions is not viable for bulk analysis""","ESI Apex Ω for HR-mode dry plasma work, ""with no auxiliary N2 flow""; none for MR-mode wet plasma",N,"Cetac Aridus II — ""Analyses were conducted in dry plasma mode""",None — spray chamber introduction,"None — ""Although greater sensitivity could be attained using a desolvating nebuliser such systems have been shown to suffer severe memory problems for Os""",None,"APEX, used alongside the spray chamber as an alternative introduction system in different sessions",Aridus II,ESI Apex HF with an actively cooled membrane unit (Cr); ESI Apex Omega (Mg),Elemental Scientific APEX Omega,"Elemental Scientific APEX Ω for K (""dry plasma technique""); none for Cu and Zn",N
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),"e.g., '50–100 µL/min (self-aspirating PFA nebulizer)' | '200–400 µL/min (micro-flow, peristaltic)' | '1 mL/min (conventional concentric)'",Source: Solution Introduction module,2026-08-26,(none),,,~50 µl/min,50 µL/min,~100 µl/min,N,N,100 µl/min,"~80 µl/min, free aspiration",Not stated; ~6400 µl consumed over a ~16 min analysis,Peristaltic pump at 5 rpm,~0.05 mL/min,30 µl/min for Cr and for Mg,N,N,N
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),,Source: Core module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),,Source: Core module,2026-08-26,(none),,,N,N,N,N,"Mathematica — ""Data were reduced using a minimization approach implemented in Mathematica""",N,"Microsoft Excel — ""Following analysis all intensity data was exported and re-processed offline using Excel""","Online processing on the instrument — ""Samples were processed on-line for W and Re interferences and instrumental mass bias""",N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,2026-08-26,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,Solution nebulisation (continuous) | Flow injection,Source: Core module,2026-08-26,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",,Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous)
RF Power,"Radiofrequency forward power applied to the ICP, in watts.",Basic,Editable,Numeric (W),1200 | 1250 | 1300 | 1350,Source: ICP-MS module,2026-08-26,(none),Controls ionization efficiency and oxide production rates.,,N,~1150 W,N,N,N,N,N,N,1200 W,N,"Stated qualitatively — measured ""at low radiofrequency power and sample gas inflow"" to reduce gas-based interferences",N,N,N
Coolant (Plasma) Gas Flow Rate,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min.",Basic,Editable,Numeric (L/min),13–16 L/min,Source: ICP-MS module,2026-08-26,(none),Influences plasma temperature and oxide ion formation.,,N,~15 L/min Ar,N,N,N,N,N,N,16 L/min,N,N,N,N,N
Auxiliary Gas Flow Rate,"Flow rate of the intermediate (auxiliary) argon gas stream, between the torch body and the injector tube, which positions the plasma relative to the load coil, in L/min. Distinct from the outer coolant (plasma) gas and from the gas stream that carries sample into the plasma.",Basic,Editable,Numeric (L/min),0.8–1.1 L/min,Source: ICP-MS module,2026-08-26,(none),,,N,~0.8 L/min Ar,N,N,N,N,N,N,1.01 L/min,N,N,N,N,N
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min).,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,Source: Solution Introduction module,2026-08-26,(none),Controls aerosol transport and strongly influences signal sensitivity and stability.,,N,~0.8–0.9 L/min Ar (sample gas),N,N,N,N,N,N,1.03 L/min (sample gas),N,N,N,N,N
Make-up Gas and Flow Rate,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate. Record any small nitrogen or hydrogen addition with its own flow, whose unit commonly differs from the make-up flow. Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported.",Advanced,Editable,Numeric (L/min) / Text,"e.g., '0.25 (Ar, no desolvator fitted)' | '0.85 Ar + 4 ml/min N2 (sensitivity enhancement)' | 'None'",Source: ICP-MS module,2026-08-26,(none),"Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load. Small nitrogen or hydrogen additions enhance sensitivity for some elements.",,N,N,"None — the Apex Ω was run ""with no auxiliary N2 flow""",N,N,N,N,N,N,N,"None — ""The samples were measured without the use of an auxiliary gas to the introduction system to reduce gas-based interferences""",N,N,N
Plasma Thermal Mode,Whether the ICP plasma is operated under cool plasma (<=900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Document independently of the RF Power field.,Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),Normal plasma (>1000 W RF) is standard for solution MC-ICP-MS. Cool plasma is rarely used in MC-ICP-MS due to stability requirements for high-precision isotope ratio work.,,N,"Wet plasma — solutions ""introduced as a 'wet' aerosol (in 2% HNO3) into the ICP torch via a cyclonic spray dual chamber""; dry plasma deliberately rejected as ""not viable for bulk analysis""","Both, by mode — ""either a cyclonic glass spray chamber (wet plasma, MR-mode, Pt cones) or an ESI Apex Ω desolvating nebulizer system (dry plasma, HR-mode, Ni cones)""",N,"Dry plasma — ""Analyses were conducted in dry plasma mode using a Cetac Aridus II desolvator nebulizer""",N,N,N,N,N,N,N,"Dry plasma for K — ""all K isotope analyses were undertaken using a 'dry plasma' technique with the Elemental Scientific APEX Ω high-sensitivity desolvation system""; wet plasma for Cu and Zn via a quartz glass dual cyclonic spray chamber",N
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily tune on the bracketing standard at run concentration; optimised for maximum intensity and peak flatness with UO+/U+ <0.5%' | 'Tuned on 100 ng/ml Nd; oxide production monitored on CeO+/Ce+'",Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,"""At the start of each analytical session the Neptune was tuned for maximum sensitivity and optimal peak shape using an Os solution, either the UMd or DTM RMs, and the mass calibration was updated by peak-centering on the centre-cup mass 187Os""",N,N,"""Tuning was performed to minimize interferences of 40Ar2 16O+ and 40Ar2 14N+ on 96Zr+ and 94Zr+ and with it the on-peak background corrections""","Measured ""at low radiofrequency power and sample gas inflow"" deliberately, to reduce gas-based interferences",N,N,N
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions.",Advanced,Read-Only,Text (free),"e.g., '>=1 h warm-up after plasma ignition; sessions <=12 h' | '30 min warm-up; no session duration limit'",Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,"""Instrument electronic baselines and amplifier gains were then measured ... while the Neptune was allowed to warm up for half an hour""",N,N,N,N,N,N,N
Instrument Sensitivity,"Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to. May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited. A sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.",N/A,Advanced,Numeric + unit / Text,"e.g., '572 V/ppm total Zr' | '~2.5 x 10^6 cps/ppb on 115In' | '0.04 count pg-1 ml (111Cd)' | '0.1% useful yield' | 'N/A'",Source: ICP-MS module,2026-08-26,channel,"Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate.",,~1.3 x 10^-10 A total ion beam for a ~100 ppb Mo solution at ~50 µl/min uptake,N,"Typical 56Fe+ intensities 1.4 nA (wet plasma, MR) to 2 nA (dry plasma, HR)","3.5–10 V for the most abundant isotope at 15–25 ppb (10 V for 140Ce, 4 V for 142Nd, 3.5 V for 152Sm)","""The average instrumental sensitivity using this setup was around 572 V/ppm of total Zr""",~1–1.5 V for 85Rb at 15–25 ppb in low resolution,"""The sensitivity for Os with this set-up was approximately 50 V for a 1 µg ml-1 Os solution at a free-aspiration rate of around 80 µl min-1""",N,N,Total Zr ion beams 3.5–13 V at 30 ppb,Typical Mg signal intensities 80–90 V,N,N,N
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),,Source: Analyte module,2026-08-26,defines: analyte,,,Mo (and Ba by TIMS),S,Fe,"The rare earth elements — La, Ce, Nd, Sm, Eu, Gd, Dy, Er, Yb and Y",Zr,Rb,Os,Os,Rb,Zr,"Fe, Cr and Mg",K,"K, Cu and Zn",Ti
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-26,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,,"εiMo relative to the Alfa Aesar solution standard, εiMo = [(iMo/96Mo)sample/(iMo/96Mo)standard − 1] x 10^4",δ34S and δ33S in permil vs V-CDT,µ-notation Fe isotope ratios relative to IRMM-524a,"Mass-dependent REE isotopic fractionation relative to the OL-REE standards, in delta notation","δ9x/90ZrNIST in permil — δ91/90Zr, δ92/90Zr, δ94/90Zr and δ96/90Zr",δ87Rb in permil relative to NIST SRM984,"187Os/188Os, 186Os/188Os and 184Os/188Os ratios","187Os/188Os, 186Os/188Os and 184Os/188Os ratios",δ87Rb in permil = [(87Rb/85Rb)sample/(87Rb/85Rb)standard − 1] x 1000,"ε91Zr, ε92Zr and ε96Zr relative to NIST SRM 3169","µ-notation Fe relative to IRMM-014, Cr relative to SRM979, Mg relative to DTS-2b",δ41K in permil relative to NIST SRM 3141a,"δ41K, δ65Cu and δ66Zn in permil, each defined explicitly against its bracketing standard",ε50Ti
Collector Configuration,"Assignment of isotope masses to Faraday cup or ion counter detector positions for this procedure, and the analyte each position serves. Lists the mass number monitored in each collector position with its analyte element where it has one — e.g. 'L3=116Sn (Sn); L2=117Sn (Sn); Ax=120Sn (Sn); H1=121Sb (interference monitor, no analyte)'. Interference-monitor and internal-standard positions serve no analyte and carry no parent element; the analyte list itself is given by the Analyte field and is never inferred from the mass labels here. For static multi-collection procedures, one configuration applies throughout the measurement. For multi-dynamic procedures, list all configurations and the cycling sequence.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-26,defines: channel per analyte,Different element systems require different mass assignments within the collector array span.,,N,"32S(L3), 33S(C), 34S(H3)","54Fe, 56Fe, 57Fe, 58Fe in static mode, with 53Cr and 60Ni monitored simultaneously",Static mode for most REEs; a subconfiguration for Dy and Yb to monitor isobaric interferences,"Masses 90, 91, 92, 93, 94, 95, 96 and 98 ""measured in static mode at 0.5 amu spacing in the Nu Plasma II collector block""","85Rb, 87Rb+87Sr and 88Sr on three collectors, 88Sr on H1","L4=182W, L3=184Os, L2=185Re, L1=186Os, Ax=187Os, H1=188Os, H2=189Os, H3=190Os, H4=192Os, with 184W, 186W and 187Re as interference monitors",Two-sequence static multi-collection,"L2=84Sr, L1=85Rb, C=86Sr, H1=87Rb+87Sr, H2=88Sr",90Zr–96Zr and 95Mo on 10^11 Ω cups; 99Ru and 101Ru on 10^12 Ω cups,"49Ti, 51V, 56Fe alongside 50Cr, 52Cr, 53Cr, 54Cr; 24Mg, 25Mg, 26Mg",N,N,"""Titanium isotopes were collected in two cup configurations"""
Number of Blocks per Measurement,"Number of measurement blocks acquired per sample or standard solution introduction. In MC-ICP-MS, data are structured as blocks of cycles; each block typically begins with a baseline (on-peak zero) measurement before the analytical cycles. Adjust for samples with low signal or where higher precision is required.",Basic,Editable,Integer,1 | 2 | 3 | 5,Source: MC-ICP-MS module,2026-08-26,(none),Multiple blocks per sample allow inspection of signal stability and within-measurement drift.,,N,N,N,N,N,A single block,9 blocks,1 block,Blocks of 20 cycles,N,N,N,N,N
Number of Cycles per Block,Number of measurement cycles acquired per block. One cycle corresponds to a single set of simultaneous Faraday cup readings integrated for the duration specified in Integration Time per Cycle. Total integration time per sample = (Number of Cycles per Block) × (Integration Time per Cycle) × (Number of Blocks per Measurement).,Basic,Editable,Integer,25 | 40 | 50 | 80,Source: MC-ICP-MS module,2026-08-26,(none),,,"100 isotope ratio measurements, preceded by 40 baseline integrations",20 cycles,25 (HR) or 50 (MR) cycles,40 cycles in the main configuration; the subconfiguration measured twice,50 cycles,25 cycles,5 cycles per block,50 cycles,20 cycles,60 ratios,Fe 200 cycles; Cr 100 cycles; Mg 100 cycles,"""Each sample was measured approximately 20 times""",N,40 cycles
Integration Time per Cycle,"Duration of signal integration per measurement cycle (seconds). Where different isotope channels use different integration schemes, record the time for each channel.",Basic,Editable,Numeric (s),4.194 s | 8 s | 10 s | 16.8 s,Source: MC-ICP-MS module,2026-08-26,channel,"Determines counting statistics per cycle. Longer integration times improve shot-noise precision but increase the impact of signal drift within the integration window. For high-gain (10¹² or 10¹³ Ω) amplifier channels, longer integration times are often required to accumulate sufficient charge.",,8.4 s,8.5 s,8.369 s,4.142 s in the subconfiguration,5 s,4.194 s,4 s,8 s for sequence 1 and 4 s for sequence 2,8.389 s,4.2 s,Fe 8.3 s; Cr 8.3 s; Mg 16.7 s,N,N,4 s
