Metadata Item,Description / Purpose,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,EDS Point Analysis,EDS Mapping,WDS Point Analysis,WDS Mapping,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | TEM Sample Preparation (FIB, FEI Nova 200 NanoLab)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EDS Point Analysis (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | EDS Point Analysis (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Mapping (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Izawa et al. 2010 | Tagish Lake (C2) meteorite | EDS Point Analysis (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | 3D Tomography (Carl Zeiss Crossbeam 540),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Point Analysis (Zeiss Supra 40 FE-SEM, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | EDS Mapping (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zhou et al. 2017 | Coal (SC + HBC, Junggar Basin) | 3D Tomography (FEI Helios NanoLab 650)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Point Analysis (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G3, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Helios G4 UX, UC Berkeley)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (Quanta3D600, NASA JSC)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | EDS Mapping (JEOL 7600F, NASA JSC, 15 kV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios G4 DualBeam, NASA JSC)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | TEM Sample Preparation (FEI Helios 660 G3, NASA JSC)"
Sample Preparation Method,"Method by which samples were prepared for SEM analysis prior to loading in the instrument. Includes mounting medium (epoxy, carbon tape, stub), polishing steps (alumina, colloidal silica, argon ion mill), and conductive coating type and thickness. For VP-SEM/ESEM analyses, note whether an uncoated sample was used and the gas type used. FIB-specific in-session operations (protective coating deposition, milling conditions, lamella preparation) are documented separately in Group 4.",Basic,Editable,Text (free),"e.g., 'Polished thin section, 10 nm C coat' | 'Fragments on C tape, uncoated (VP-SEM, 30 Pa H2O)' | '25 mm epoxy mount, 0.25 µm diamond polish, 5 nm Ir coat'",,2026-05-22,(none),Y,Y,Y,Y,,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,HCl and HF acid dissolution residue from pristine Tagish Lake pieces; deposited on lacey C TEM grid attached to Al-SEM stub; uncoated,N,N,N,N,N,Carbon-coated polished thin sections; high vacuum analysis,N,N,N,N,"Small coal pillars (~2 mm diameter, 2 mm height) drilled orthogonal to bedding; polished with cross section polisher to remove ~1-2 µm oxide layer; no coating applied",Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Bulk coal polished to ~10 mm × 2-3 mm using polishing and burnishing machine; further polished with cross section polisher; thin gold coating applied by sputtering,Polished thin section (section 126A prepared from Grain 126); no coating or SEM-specific preparation stated,Polished thin section (section 126A prepared from Grain 126); no coating or EBSD-specific preparation stated,"Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film","Embedded in epoxy, polished to ¼ µm level, sputtered with 30-nm-thick carbon film",Cuboidal samples (~0.5×1×1 cm) polished with dry emery paper and argon ion polishing; high-pressure freezing and freeze-drying; glued onto sample holder,Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Attached to Al cylinder SEM mount with double-sided C tape; sputter coated with ~5 nm carbon,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished sections; coated with 0.1 nm carbon for charge mitigation,Polished sections; coated with 0.1 nm carbon for charge mitigation,Sections extracted from fine-grained matrix areas in polished sections; BSE and SE images acquired before and after sectioning,Particles placed on PELCO carbon conductive tabs on Al SEM round; no protective coating stated,Particles dispersed on conductive carbon dots on Al SEM pin mounts,Polished thin sections; ~100 nm graphite coating (as stated in CL emitting volume calculation),N,N,N,N
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. The analysis record corresponds to one session and may cover several samples; fields whose Keyed By column declares 'sample' take one value per entry. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Bennu OREX-800045-103' | 'NWA 8657 polished thin section 1'",,2026-08-12,defines: sample,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,Section 126A (USNM 7908),Section 126A (USNM 7908),NWA 7317,NWA 7317,NWA 7317,NWA 7317,SC; HBC,N,N,N,N,N,N,N,N,N,OREX-501018-100,N,N,N
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. State the unit type at procedure level and the units actually analysed at analysis level. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None | Other: specify,,2026-08-11,defines: sampling unit,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",,2026-08-12,sample,Y,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,USNM 7908 (section 126A),USNM 7908 (section 126A),N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,,2026-08-08,(none),Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,,2026-08-08,sample,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Instrument & Software,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,Make of the instrument used for this procedure.,Basic,Read-Only,Controlled list,JEOL | Zeiss | FEI / Thermo Fisher Scientific | Hitachi | Tescan | Phenom | Other: specify | Unknown | N/A | None,,2026-08-12,(none),Y,Y,Y,Y,,FEI,FEI,Zeiss,Zeiss,Zeiss,JEOL,JEOL,Hitachi,Other: Leo Electron Microscopy (now Zeiss),Other: Leo Electron Microscopy (now Zeiss),Zeiss,Zeiss,Carl Zeiss,"FEI Company, USA",Carl Zeiss,ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),ZEISS (Carl Zeiss),FEI (now Thermo Fisher Scientific),JEOL,JEOL,Hitachi,Hitachi,Hitachi,Thermo Fisher Scientific (ThermoScientific),FEI (now Thermo Fisher Scientific),FEI (now Thermo Fisher Scientific),JEOL,N,N,N,N
Instrument Model,"Model designation of the SEM or FIB-SEM instrument, including generation suffix if applicable.",Basic,Read-Only,Text (free),"e.g., 'JEOL JSM-7600F' | 'Zeiss Supra 55 FEG-SEM' | 'FEI Quanta 650 FEG' | 'Thermo Fisher Quattro S' | 'FEI Helios NanoLab 660' | 'Zeiss Crossbeam 540'",,2026-05-21,(none),Y,Y,Y,Y,,Nova 200 NanoLab DualBeam,Nova 200 NanoLab DualBeam,ZEISS 1550VP,ZEISS 1550VP,ZEISS 1550VP,JSM-5410LV,JSM-5410LV,S-2500C,Leo 440,Leo 440,Leo 1540 FIB/SEM CrossBeam,Leo 1540 FIB/SEM CrossBeam,Crossbeam 540,Quanta 250,SUPRA 55,1550VP,1550VP,Supra 40,Supra 40,Supra 40,Supra 40,Helios NanoLab 650,7600F,7600F,S-4800,S-4800,S-4800,Helios G3,Helios G4 UX,Quanta 3D 600,JSM-7000F,N,N,N,N
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Cold-FEG | Schottky FEG | LaB6 / CeB6 | Tungsten (W) | Other: specify | Unknown | N/A | None,,2026-08-12,(none),Y,Y,Y,Y,,Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),Other: FEG (type not specified in paper),N,N,Tungsten (W),N,N,Other: FEG (type not specified),Other: FEG (type not specified),N,N,Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),N,Field emission gun (FEG),Field emission gun (FEG),Cold field emission gun (cold FEG),Cold field emission gun (cold FEG),Cold field emission gun (cold FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),Field emission gun (FEG),N,N,N,N
Instrument Variant,"Broad platform type of the instrument. 'Standard SEM': dedicated electron-only SEM column. 'FIB-SEM dual-beam': combined focused ion beam and SEM columns (enables TEM specimen preparation, 3D serial sectioning, ion-beam milling). 'VP-SEM / ESEM': variable-pressure or environmental SEM for imaging uncoated, hydrated, or charging specimens. An instrument may combine categories (e.g., FIB-SEM with VP capability).",Basic,Read-Only,Controlled list,Standard SEM | FIB-SEM dual-beam | VP-SEM / ESEM | FIB-SEM dual-beam + VP | Other: specify | N/A | None,,2026-05-21,(none),Y,Y,Y,Y,,FIB-SEM dual-beam,FIB-SEM dual-beam,VP-SEM / ESEM,VP-SEM / ESEM,VP-SEM / ESEM,Standard SEM,Standard SEM,Standard SEM,Standard SEM,Standard SEM,FIB-SEM dual-beam,FIB-SEM dual-beam,N,ESEM (Environmental SEM),FESEM (Field Emission SEM),VP (Variable Pressure),VP (Variable Pressure),FESEM (Field Emission SEM),FESEM (Field Emission SEM),FESEM (Field Emission SEM),FESEM (Field Emission SEM),Dual Beam (FIB-SEM),N,N,N,N,N,Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),Dual Beam (FIB-SEM),N,N,N,N,N
EDS Detector Configuration,"EDS detector type, manufacturer, active area, solid angle, window type, and geometry (take-off angle, position). Multiple detectors should be listed separately.",Advanced,Read-Only,Text (free),"e.g., 'Oxford Ultim Max 170 mm2 SDD, polymer window, 35 deg take-off' | 'Bruker XFlash 6, 60 mm2, windowless' | 'Dual Oxford Ultim Max 170 mm2, 2.0 sr'",,2026-08-11,(none),Y,Y,N,N,,N/A,N/A,N/A,Oxford X-Max SDD system,N/A,N/A,ISIS analysis system (Oxford); detector type not specified,N/A,N/A,Gresham light element detector; Quartz XOne EDX analysis system (full spectral imaging),N/A,Oxford Instruments INCA EDX system,N/A,N/A,N/A,N/A,N/A,N/A,Oxford INCA Energy 350; X-ACT LN2-free Silicon Drift Detector (SDD),Oxford INCA Energy 350; X-ACT LN2-free Silicon Drift Detector (SDD),N/A,N/A,N/A,"Oxford Instruments Ultim Max SDD, 170 mm²",N/A,N/A,Oxford Instruments Aztec Live/x-stream/Ultimax 170 SDD,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
WDS Spectrometer Configuration,"Number, type, and crystal range of WDS spectrometers on the instrument. Include manufacturer, model, and crystal range. For SEM-WDS configurations (third-party WDS on a non-EPMA platform), include WDS manufacturer and model.",Advanced,Read-Only,Text (free),"e.g., 'Oxford Wave 700, 1 sequential WDS spectrometer, LDE1-TAPH-PETL-LLIF crystal range'",,2026-08-12,(none),N,N,Y,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acquisition Software,"Software used to control the SEM and acquire data, including version number. For FIB-SEM 3D tomography, include the automated slice-and-view module name and version.",Basic,Editable,Text (free),"e.g., 'JEOL Analysis Station v3.5' | 'Oxford AZtec 6.0' | 'Zeiss SmartSEM 6.06' | 'Thermo Fisher Auto Slice and View G4 (3D tomography)'",,2026-05-21,(none),Y,Y,Y,Y,,N,N,N,N,N,N,N,Gatan DigitalMicrograph (CL image assembly),N,N,N,N,N,N,N,N,N,Oxford INCA Energy,Oxford INCA Energy,Oxford INCA Energy,N,N,Oxford AZtec (Point & ID programme),Oxford AZtec (Point & ID programme),N,N,Oxford Instruments Aztec Live/x-stream,N,N,N,N,N,N,N,N
Data Reduction Software,Software used for post-acquisition data reduction and analysis. List all packages with version numbers.,Basic,Editable,Text (free),"e.g., 'Oxford AZtec 6.0 (EDS quantification); Oxford AZtec Crystal 2.1 (EBSD); Gatan DigitalMicrograph 3.5 (CL); FIJI 2.15 (image processing); Avizo 2023 (3D segmentation)'",,2026-06-01,(none),Y,Y,Y,Y,,N,N,N,N,N,N,N,Gatan DigitalMicrograph,N,N,N,N,Avizo 7 (3D digital core software); Multiple-point geostatistics for pore network model,N,N,N,N,N,Oxford INCA Energy (semi-quantitative phase determination from atomic proportions),Oxford INCA Energy (semi-quantitative phase determination from atomic proportions),N,Fiji/ImageJ (StackReg/TurboReg for slice alignment; VolumeJ for volume rendering); Adobe Photoshop CS6 (image enhancement); FEI Avizo Fire 8.1.1 (pore volume reconstruction and segmentation),N,Oxford AZtec,N,N,Oxford Instruments Aztec,N/A,N/A,N/A,N,N,N,N/A,N/A
4. Measurement Information,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,"Primary analytical mode(s) executed under this procedure. For multi-mode procedures (e.g., simultaneous BSE + EDS mapping), list all active modes.",Basic,Read-Only,Controlled list,SE Imaging | BSE Imaging | EDS | SEM-WDS | CL | EBSD | TEM Sample Preparation | 3D Tomography | Multiple (specify) | Other: specify | N/A | None,,2026-07-24,(none),Y,Y,Y,Y,,SE Imaging,TEM Sample Preparation,BSE Imaging,EDS,EBSD,CL,EDS,CL,BSE Imaging,EDS,BSE Imaging,EDS,N,N,N,N,N,BSE (QBSD mode),Spot analysis,Element mapping,N,Sequential FIB-SEM tomography (serial cross-section imaging),Low-angle backscattered electron (BSE) imaging,"Point spectra (spot analysis, Point & ID)",N,N,EDS mapping,In-situ FIB lift-out; cross-section lamella preparation for TEM,In-situ FIB lift-out; lamella preparation for XANES and TEM,In-situ FIB lift-out; cross-section lamella preparation,Panchromatic CL imaging; hyperspectral CL; monochromatic CL imaging,Elemental maps and spot spectra (SEM-EDX) for presolar grain phase identification,N,N,N
Beam Mode,"Whether the electron beam was operated as a stationary focused spot, defocused to a specified diameter, or rastered over a small area during analysis. Controls the effective sampling volume and irradiation footprint; critical for beam-sensitive phases such as hydrous minerals, glasses, and carbonates. Must be consistent with the Beam Diameter and Beam Raster Dimensions fields.",Basic,Read-Only,Controlled list,'Focused' | 'Defocused' | 'Rastered' | Other: specify | N/A | None,,2026-06-01,(none),Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accelerating Voltage,"Electron beam accelerating voltage in kilovolts. Affects X-ray generation depth (EDS/WDS), EBSD pattern quality, imaging resolution, and beam penetration. Low voltages (1-5 kV) improve surface sensitivity and reduce beam damage; high voltages (15-20 kV) improve X-ray generation for quantitative analysis.",Basic,Editable,Numeric (kV),"e.g., 2 | 5 | 10 | 15 | 20",,2026-05-21,(none),Y,Y,Y,Y,,500 V; 1 kV; 5 kV,N,10 kV,10 kV,20 kV,N,15 kV,15–20 kV,N,N,N,N,N,N,N,N,N,20 kV,20 kV,20 kV,N,2 kV (SEM imaging),15 kV,15 kV,N,N,N,30 keV (FIB milling and thinning),16 to 30 keV (coarse milling); down to 1 keV (polishing),30 kV (initial milling); 16 kV (intermediate); 5 kV (final thinning),5 keV,N,N,N,N
Beam Current,"Electron beam probe current. Higher current improves signal-to-noise for X-ray analysis (EDS/WDS, EBSD) and CL but may increase beam damage and reduce spatial resolution. Express in nA; for sub-nA values use decimal notation (e.g., 0.4 nA).",Basic,Editable,Numeric (nA),"e.g., 0.4 | 0.9 | 2 | 5 | 10 | 20",,2026-08-12,sample > sampling unit,Y,Y,Y,Y,,70 fA (500 V); 1.4 pA (1 kV); 98 pA (5 kV),N,N,N,6 nA,N,2.0 nA,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,~900 pA,N,N,N,0.8 to 2.5 nA (thinning),N,N,1 to 4 nA,N,N,N,N
Beam Diameter,"Nominal electron beam diameter (spot size) at the sample surface, in nanometres or micrometres, as set by the condenser aperture and working distance. Controls the spatial resolution and X-ray excitation volume. For mapping modes, the effective spatial sampling interval is further defined by Step Size / Pixel Size.",Basic,Editable,Numeric + unit,'~1 µm' | '5 nm' | '200 nm',,2026-06-01,(none),Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Raster Dimensions,"Dimensions of the small area over which the beam is rastered during a single analysis point, reported as width × height in µm. Applicable when Beam Mode = Rastered; defines the effective spatial footprint of the measurement and distributes dose over a larger area to reduce beam damage on sensitive phases.",Advanced,Editable,Numeric + unit,'5 × 5 µm' | '10 × 10 µm',,2026-06-01,(none),Y,N,Y,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beam Damage Minimization,"Describes any measures taken to reduce electron beam damage to the sample during analysis. Examples: reduced accelerating voltage, lowered beam current, defocused or rastered beam, cooled stage, short acquisition sequences, or rotating between multiple points. Particularly important for volatile-bearing phases, hydrous minerals, glasses, organic materials, and biological samples.",Advanced,Editable,Text (free),'Beam defocused to 5 µm; current reduced to 2 nA for hydrous phases',,2026-08-12,sample > sampling unit,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drift Correction,"Describes whether and how stage or beam drift was monitored and corrected during the measurement session. Examples: periodic stage realignment to a fiducial marker, automated beam drift correction in acquisition software, or reanalysis of a reference point at regular intervals. Particularly relevant for long mapping runs and high-magnification sessions where positional accuracy affects data quality.",Advanced,Editable,Text (free),'Automated beam drift correction enabled in AZtec; stage realigned every 30 min',,2026-06-01,(none),Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage Scan vs. Beam Scan,"For mapping modes, records whether the map was acquired by moving the stage while the beam is held fixed (stage scan) or by deflecting the beam across the field while the stage is stationary (beam scan). Stage scan is preferred for large areas or high-accuracy geometric fidelity; beam scan is faster for smaller fields but may introduce geometric distortion at the map edges.",Advanced,Read-Only,Controlled list,'Stage scan' | 'Beam scan' | Other: specify | N/A | None,,2026-06-01,(none),N,Y,N,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Working Distance,"Distance between the objective lens pole piece and the specimen surface in millimetres. Affects spatial resolution, depth of focus, EDS X-ray take-off angle, and EBSD geometry.",Basic,Editable,Numeric (mm),"e.g., 4 | 8 | 10 | 15",,2026-05-21,(none),Y,Y,Y,Y,,0.5–5.4 mm,5.4 mm (eucentric height for electron and ion columns),N,N,N,N,N,~10 mm,N,N,N,N,N,N,N,N,N,8 mm,N,N,N,4 mm,N,N,N,N,N,N,N,N,N,N,N,N,N
Chamber Pressure,Chamber pressure and gas type during analysis. Required for variable pressure (VP-SEM) and environmental SEM (ESEM) modes. Report value and unit (Pa or Torr) and gas composition. Use 'None' for standard high-vacuum operation.,Advanced,Editable,Numeric + unit,"e.g., '30 Pa (H2O vapor, ESEM)' | '130 Pa (N2, VP-SEM)' | 'None (high vacuum)'",,2026-05-21,(none),Y,Y,Y,Y,,N,N/A,N,N,25 Pa (variable pressure mode),N,N,High vacuum,N,N,N,N,N/A,High vacuum,High vacuum,N,N,High vacuum,High vacuum,High vacuum,N,N/A,N,N,N,N,N,N/A,N/A,N/A,N,N,N,N/A,N/A
Dwell Time per Pixel,"Time the electron beam dwells on each pixel during raster scanning (imaging modes) or on each step position during compositional mapping (EDS and WDS mapping modes), in microseconds or milliseconds. Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials. For WDS mapping, the dwell time is per spectrometer per pixel.",Basic,Editable,Numeric + unit,"e.g., '400 ns' | '10 µs' | '1 ms'",,2026-08-12,channel,N,Y,N,Y,,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N,N/A,N,N/A,N,N,N,N,N/A,N,N/A,N/A,N,N,N,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A
EDS Acquisition Mode,"Spatial acquisition sub-strategy for EDS measurements: stationary-beam point acquisition, linescan (beam stepped along a transect at defined intervals), or area map (beam rastered over a pixel grid). Specifies how the beam is positioned during data collection within the declared Analytical Mode. Particularly important when a procedure includes linescans as a distinct acquisition approach not fully captured by the mode flag columns.",Basic,Read-Only,Controlled list,Point / spot | Line scan | Map | Automated mineralogy | Multiple (specify) | Other: specify | N/A | None,,2026-08-11,(none),Y,Y,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,Map,N/A,Point / spot; Map,N/A,N/A,N/A,N/A,N/A,N/A,Spot analysis,Element mapping,N/A,N/A,N/A,Point spectra (spot analysis),N/A,N/A,EDS mapping,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. The procedure registers the full analyte suite; analysts record the specific subset actually measured in a given session, which may be narrower. Fields whose Keyed By column declares 'analyte' apply individually to each element in this list.",Basic,Editable,Text (free),"e.g., 'Si, Al, Fe, Mg, Ca, Na, K, Ti, Cr, Mn, Ni, S'",,2026-08-12,defines: analyte,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,"Mg, Si, Fe, Ni, S, Na, Ca, Al","Mg, Si, Fe, Ni, S, Na, Ca, Al (element mapping)",N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",,2026-08-12,defines: reported property,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technique per Analyte,"For each analyte, records which X-ray detection technique (EDS or WDS) was used to collect the measurement. Required when a procedure employs both EDS and WDS simultaneously, assigning each element to the detector appropriate to its concentration range, line overlap situation, or required precision. List in the same order as the Analyte field.",Basic,Read-Only,Controlled list,WDS | EDS | Other: specify | N/A | None,,2026-07-24,analyte,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X-ray Line,"X-ray emission line measured on each spectrometer assignment. Line choice affects sensitivity, matrix correction accuracy, and susceptibility to peak overlap and spectral interference.",Basic,Read-Only,Controlled list,Ka | Kb | La | Lb | Lg | Ma | Mb | Other: specify | N/A | None,,2026-08-12,channel,Y,Y,Y,Y,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
EDS Live Time per Point or Pixel,EDS spectral acquisition live time per analysis point or per pixel in seconds. Longer live time improves counting statistics but increases beam damage risk and total acquisition time.,Basic,Editable,Numeric (s),"e.g., 20 | 60 | 120 | 0.005 (fast mapping)",,2026-08-11,(none),Y,Y,N,N,,N/A,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,30 s live time per spot analysis,5 ms dwell time per pixel,N/A,N/A,N/A,20 to 200 s (per point),N/A,N/A,N,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A
