Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma (<=900 W RF) or normal (hot) plasma (>1000 W RF) conditions, with the RF power that defines it. This field records the RF-POWER axis only. Solvent loading also affects plasma thermal state, but dry versus wet aerosol is recorded by Desolvation System — do not answer this field with 'dry plasma' or 'wet plasma'. Document independently of the RF Power field.",Basic,Read-Only,Controlled list / Text,Normal plasma (>1000 W RF) | Cool plasma (≤900 W RF) | Mixed: specify mode per analytical sub-run | N/A | None,Source: ICP-MS module,2026-08-30,(none),"Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). A fundamental method design choice that determines which interference corrections are necessary.",Y,Y,Y,
Signal Smoothing,"Description of any signal smoothing device or approach installed between the ablation cell and the ICP-MS to reduce pulse-to-pulse signal variability. For mapping analyses, report ""None"" explicitly.",Advanced,Editable,Text (free),"e.g., 'Squid 2.0 (laurin technik)' | 'ARIS (Aerosol Rapid Introduction System)' | 'None'",Source: Laser Ablation module,2026-08-27,(none),"Note: active signal smoothing devices (e.g., squid, SCFAST) are generally incompatible with high-resolution raster mapping because they degrade spatial resolution by mixing aerosol from successive laser shots.",Y,Y,Y,
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily auto-tune on NIST SRM 612; optimised for max sensitivity on ¹³⁹La and ²³²Th with ThO⁺/Th⁺ <0.5% and U/Th = 1.0 ± 0.05'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Instrument Sensitivity,"Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to. May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited. A sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.",N/A,Advanced,Numeric + unit / Text,"e.g., '0.42% useful yield (U, method of Horstwood et al. 2016)' | '0.1% useful yield (analytes, msfs-LA-ICP-MS)' | '1.2 x 10^6 cps/ppb on 115In' | 'N/A'",Source: ICP-MS module,2026-08-26,channel,"Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate.",Y,Y,Y,
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The monitored ratio is procedure-dependent: ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use.",Basic,Read-Only,Text (free),"e.g., 'ThO⁺/Th⁺ (248/232) <0.5%' | 'ThO⁺/Th⁺ <0.3%; UO⁺/U⁺ monitored at 0.95–1.05' | 'CeO⁺/Ce⁺ <1.0%'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),"e.g., 'ThO⁺/Th⁺ = 0.3% (threshold <0.5% met)' | 'ThO⁺/Th⁺ = 0.08%' | 'CeO⁺/Ce⁺ = 0.7% (threshold <1.0% met)'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Doubly-Charged Species Monitor,The mass ratio monitored to estimate doubly-charged ion (M²⁺) formation during instrument tuning. The monitor species and the mass positions monitored should be stated explicitly. Analogous to Oxide Production Method and Threshold for oxide monitoring.,Advanced,Editable,Text (free),¹³⁸Ba²⁺/¹³⁸Ba⁺ (m/z 69/138); Ce²⁺/Ce⁺ (m/z 70/140); ²³⁸U²⁺/²³⁸U⁺ (m/z 119/238),,2026-08-27,(none),Doubly-charged ions appear at half the mass of the parent ion and can cause isobaric interferences on analytes in that mass region.,Y,Y,Y,
Doubly-Charged Species Production,Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. The acceptable threshold is typically <1% or <3%. Record both the threshold and the measured value.,Advanced,Editable,Text (free),"<1% (threshold); 0.4% (measured, ¹³⁸Ba²⁺/¹³⁸Ba⁺); N (not reported)",,2026-08-27,(none),,Y,Y,Y,
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions.",Advanced,Read-Only,Text (free),"e.g., '≥30 min warm-up after sample change; sessions ≤8 h after tuning' | '3–4 h warm-up; no session duration limit'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Analysis Sequence,"The repeating order in which calibration or bracketing standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session. Adjustments must maintain the bracketing strategy defined in the procedure.",Basic,Editable,Text (free),"e.g., '1 primary std / 1 QC / 10 unknowns' | '2/4/15' | 'Calibration at start and end; unknowns in between'",Source: ICP-MS module,2026-08-27,(none),,Y,Y,Y,
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),"e.g., 'Major elements: Mg, Si, Ca, Fe; Trace elements: Sc, V, Cr ... U' | 'All REE: La-Lu'",Source: Analyte module,2026-08-26,defines: analyte,,Y,Y,Y,
Monitored Masses,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one. Covers atomic isotopes and, where a reaction cell shifts an analyte onto a different mass, the product mass actually measured. Includes interference-monitor and internal-standard masses, which serve no analyte and so have no parent element. The analyte list is given by the Analyte field and is never inferred from the element symbols appearing here.",Basic,Read-Only,Text (free),⁷Li | ²⁵Mg | ⁵⁶Fe | ²⁰⁸Pb | N/A | None,,2026-08-30,analyte,,Y,Y,Y,
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentrations in ug/g; 2SE per analyte' | '207Pb/206Pb, 206Pb/238U, 207Pb/235U (radiogenic, common-Pb corrected), absolute ratios with 2-sigma'",Source: Core module,2026-08-26,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,Y,
Mass Resolution Assignment,"Mass resolution mode used for acquisition. One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element. The overall mode(s) used in the procedure are recorded in Mass Resolution Setting (Group 3).",Basic,Read-Only,Text (free),"LR: Ag, Cd, Sb, Tl, Bi; MR: Ga, Ge, Mo, In, Sn, W | All LR (m/Δm ≈ 300) | N/A | None",,2026-08-30,channel,The selected resolution determines which polyatomic interferences are physically resolved by the magnetic sector.,Y,Y,Y,
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),"e.g., '23' | '23 ns (determined from NIST 612 at varying spot size, checked quarterly)'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,
Collision Gas Type,"Type of collision gas introduced into the collision/reaction cell for PHYSICAL energy discrimination (KED), where an inert gas thermalizes ions and polyatomic interferences are retarded by their larger collision cross-section. Typically He. Record a gas here when it is used without intended chemistry; where the same gas is also used to drive a mass shift, record that use under Reaction Gas Type — O2 is attested in both roles. Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Read-Only,Controlled list / Text,He | H2 | He+H2 | O2 | N/A | None,Source: collision/reaction cell module,2026-08-30,channel,"Helium (He) is the standard collision gas for kinetic energy discrimination, being low in mass and chemically inert.",Y,Y,Y,
Collision Gas Flow Rate,"Flow rate of the collision gas, typically He, introduced into the collision/reaction cell in KED mode, in mL/min. Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Editable,Numeric (mL/min),3.5 mL/min | 4.0 mL/min | None (STD mode) | N/A,Source: collision/reaction cell module,2026-08-27,(none),Controls the degree of ion thermalization and KED efficiency; higher flow rates give greater interference suppression at the cost of analyte sensitivity.,Y,Y,Y,
Cell Exit Discrimination Voltage,"Bias voltage applied at the collision/reaction cell exit to discriminate between analyte ions and low-energy polyatomic interferences in KED mode, in volts (V). Record 'None' if the cell is in STD mode, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED or the instrument has no cell.",Basic,Editable,Numeric (V),−5 V | −8 V | None (STD mode) | N/A,Source: collision/reaction cell module,2026-08-27,(none),"A negative bias preferentially retards slow polyatomic ions while transmitting faster analyte ions, controlling the degree of polyatomic suppression.",Y,Y,Y,
Reaction Gas Type,"Type of reactive gas introduced into the cell for interference removal through ION-MOLECULE CHEMISTRY, either on-mass or by mass shift. Common reaction gases include NH₃ (e.g., for Fe, Ca, K isotopes), O₂ (e.g., for As, Ge, Te mass shift) and CH₄. The distinction from Collision Gas Type is the mechanism, not the gas: record a gas here when a reaction is intended. Record 'None' if no reactive gas is used, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include a reaction mode or the instrument has no cell.",Advanced,Read-Only,Controlled list / Text,NH3 | O2 | CH4 | N/A | None,Source: collision/reaction cell module,2026-08-27,channel,,Y,Y,Y,
Reaction Gas Flow Rate,"Flow rate of the reactive gas introduced into the dynamic reaction cell (DRC), in mL/min. Record 'None' if DRC mode is not used, and 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC or the instrument has no cell.",Advanced,Editable,Numeric (mL/min),0.4 mL/min | 0.8 mL/min | None | N/A,Source: collision/reaction cell module,2026-08-27,(none),,Y,Y,Y,
Background Count Time,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel.",Basic,Editable,Numeric (s),"e.g., '30 s (spot/transect)' | '10 s per raster line (mapping)' | '25 s (one gas blank map per GRM at session start)'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,
Multi-Run Sequential Analysis Design,"Whether the procedure uses a single acquisition pass or multiple sequential runs on the same sample location, each optimized for different analytical objectives. For multi-run designs, describe the number of runs, their purpose, key laser and instrument settings per run, and how outputs of one run feed into data reduction of another. Not applicable to raster mapping, where each spatial location is visited exactly once.",Advanced,Read-Only,Text (free),"e.g., Single run | Two sequential runs: run 1 (major elements, 30 µm circular, medium resolution) → run 2 (trace elements, 130 µm circular, low resolution; Cr from run 1 as IS) | Pre-ablation pass + single acquisition run",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,N,
Analysis Location/Spot Coordinates,"Location of the analysis on the sample surface. For spot and transect analysis: stage coordinates (X, Y in µm) or a description relative to a named reference feature (e.g., mineral rim, inclusion boundary). For mapping: coordinates of the map corner(s) or centre, plus map dimensions.",N/A,Basic,Text (free),"e.g., 'X = 12350 µm, Y = 8760 µm (stage coordinates)' | '500 µm from metal-olivine rim toward core' | 'Map centre: X=15000, Y=9000 µm; area: 1450×600 µm'",Source: Laser Ablation module,2026-08-27,sample > sampling unit,Enables spatial reconstruction and co-registration with other analytical images.,Y,Y,Y,
Number of Replicates,"Number of replicate measurements performed on the same sample, or on the same nominal location where the technique is spatially resolved. For spot analysis this is the number of individual spots per grain or location; for transects, the number of replicate lines; for mapping, the number of map acquisitions of the same area; for solution work, the number of discrete replicate measurements acquired per sample solution.",Advanced,Basic,Integer,"e.g., 3 (three replicate spots per grain) | 1 (single transect) | 1 (single map)",,2026-08-27,(none),,Y,Y,Y,
Transect Length,"Total length of the transect line analysed in micrometres. Scan speed is captured separately in Transect Rate, Mapping Rate or Step Size.",N/A,Basic,Numeric (µm),"e.g., 500 µm | 1200 µm | 3000 µm",Source: Laser Ablation module,2026-08-27,(none),Depends on the size of the feature of interest rather than being fixed in the procedure.,N,Y,N,
Mapping Area,"Total area covered by the 2D raster map, expressed as width × height in µm or as total area in µm² or mm². Scan speed, line spacing and spot size are fixed by the procedure; the map area covers the target feature.",N/A,Basic,Text (free),"e.g., '1450×600 µm (870,000 µm²)' | '200×200 µm' | '0.5 mm²'",Source: Laser Ablation module,2026-08-27,(none),The map area depends on the size of the grain or phase to be mapped.,N,N,Y,
Collector Configuration,"Assignment of isotope masses to Faraday cup or ion counter detector positions for this procedure, and the analyte each position serves. Lists the mass number monitored in each collector position with its analyte element where it has one — e.g. 'L3=116Sn (Sn); L2=117Sn (Sn); Ax=120Sn (Sn); H1=121Sb (interference monitor, no analyte)'. Interference-monitor and internal-standard positions serve no analyte and carry no parent element; the analyte list itself is given by the Analyte field and is never inferred from the mass labels here. For static multi-collection procedures, one configuration applies throughout the measurement. For multi-dynamic procedures, list all configurations and the cycling sequence.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-26,defines: channel per analyte,Different element systems require different mass assignments within the collector array span.,Y,Y,Y,
Number of Blocks per Measurement,"Number of measurement blocks acquired per sample or standard solution introduction. In MC-ICP-MS, data are structured as blocks of cycles; each block typically begins with a baseline (on-peak zero) measurement before the analytical cycles. Adjust for samples with low signal or where higher precision is required.",Basic,Editable,Integer,,Source: MC-ICP-MS module,2026-08-26,(none),Multiple blocks per sample allow inspection of signal stability and within-measurement drift.,Y,Y,Y,
Number of Cycles per Block,Number of measurement cycles acquired per block. One cycle corresponds to a single set of simultaneous Faraday cup readings integrated for the duration specified in Integration Time per Cycle. Total integration time per sample = (Number of Cycles per Block) × (Integration Time per Cycle) × (Number of Blocks per Measurement).,Basic,Editable,Integer,,Source: MC-ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Integration Time per Cycle,"Duration of signal integration per measurement cycle (seconds). Where different isotope channels use different integration schemes, record the time for each channel.",Basic,Editable,Numeric (s),,Source: MC-ICP-MS module,2026-08-26,channel,"Determines counting statistics per cycle. Longer integration times improve shot-noise precision but increase the impact of signal drift within the integration window. For high-gain (10¹² or 10¹³ Ω) amplifier channels, longer integration times are often required to accumulate sufficient charge.",Y,Y,Y,
Baseline Measurement Approach,"Method and timing for measuring the ion beam baseline (on-peak zero) during acquisition, and the portion of the acquisition it is taken from. Three approaches are in use: deflecting the ion beam (beam-off or electrostatic deflector); aspirating an acid blank; or collecting a defined number of laser-off cycles at the start of the same block. State which, and how many cycles or how long.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),"The choice depends on how sample reaches the plasma — an acid blank applies only to solution introduction, and for laser ablation no blank can be aspirated mid-ablation.",Y,Y,Y,
Peak Flatness Method and Threshold,"Method used to verify that every collector sits on a flat region of its peak top simultaneously, and the acceptance threshold applied before analysis begins. Typically assessed by scanning across the peak plateau, or by comparing ratios measured at slightly offset mass positions.",Basic,Read-Only,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),"Specific to simultaneous collection: a sequential instrument centres one mass at a time, whereas a multi-collector array must have all cups on flat peak tops at once or the measured ratio carries a peak-shape bias that no downstream correction removes.",Y,Y,Y,
Peak Flatness,"Peak flatness actually achieved in the session, assessed against the criterion registered by the procedure.",N/A,Basic,Text (free),,Source: MC-ICP-MS module,2026-08-26,(none),"Companion measured value to Peak Flatness Method and Threshold, following the criterion-versus-measurement split used for Oxide Production.",Y,Y,Y,
Collision/Reaction Gas Mixture Ratio,"Where the collision or reaction cell is supplied with a mixture of gases rather than a single gas, the identities and proportions of that mixture. Recorded separately from the gas identity. Record 'N/A' where a single gas is used.",Advanced,Editable,Text (free),"e.g., 'He:H2 92% : 8%' | 'N/A (single gas)' | 'None'",Source: collision/reaction cell module,2026-08-31,channel,The proportions change reaction efficiency and interference suppression independently of which gases are used.,Y,Y,Y,
Reaction Product Ion / Mass-Shift Transition,"Where a monitored mass is produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured. Records the mass-shift chemistry relating the mass measured to the analyte it reports, which the monitored mass alone does not state. Record 'N/A' where the analyte is measured on its own mass.",Advanced,Read-Only,Text (free),"e.g., '125Te + 16O -> 141TeO+' | '77Se + 16O -> 93SeO+' | 'N/A (on-mass measurement)'",Source: collision/reaction cell module,2026-08-31,channel,,Y,Y,Y,
,,,,,,,,,,,,,
5. Data Processing,,,,,,,2026-08-26,,,N,N,N,N
Internal Standard Approach,Method used to determine the internal standard (IS) concentration for each unknown sample.,Basic,Read-Only,Text (free),"e.g., 'Single element from EPMA (SiO₂ wt% used as IS)' | 'Sum-of-major-oxide normalization to 100% (Liu et al. 2008)' | 'Stoichiometry-derived (Ca fixed at 10.1 wt% for calcite)' | 'No IS — external calibration only'",Source: Laser Ablation module,2026-08-27,(none),Corrects for variable ablation yield between analyses.,Y,Y,Y,
Internal Standard Element,"Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns. Where the element serves isotope-ratio work it must have a known isotopic composition and a mass close to the analyte's. Record 'None' together with the alternative used where no internal standard is applied.",Basic,Read-Only,Text (free),"e.g., '²⁹Si; SiO₂ wt% from EPMA' | '⁵³Cr; measured in preceding major-element run (run 1)' | 'None — sum of MgO+FeO+SiO₂+P₂O₅ = 100 wt% (Liu et al. 2008)' | For mapping procedures using oxide-sum normalization, report ""None (oxide-sum normalization)"" and cite the method reference.",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated. Where a single strategy applies to all analytes, record that strategy. Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'.",Basic,Read-Only,Text (free),Single strategy: ⁴³Ca IS for all analytes (see Internal Standard fields); Multi-strategy: ⁴³Ca IS for major elements; NIST 610 external calibration for REEs; Fe+Ni+Co sum normalization for PGEs,Source: ICP-MS module,2026-08-26,analyte,,Y,Y,Y,
Elemental Fractionation Correction,"Method used to correct for laser-induced elemental fractionation (LIEF), including downhole fractionation during prolonged ablation, matrix-dependent fractionation between sample and calibration standard, and any specific correction algorithm applied. Reference the software function or publication.",Basic,Read-Only,Text (free),"e.g., 'Normalised to NIST SRM 612; no additional downhole correction' | 'Exponential downhole fractionation correction in Iolite using NIST SRM 612' | 'Linear time-drift correction applied per analysis'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,
Mass Bias Correction Strategy,"Strategy used to correct instrumental isotopic mass fractionation, also called mass bias or mass discrimination. Distinct from Elemental Fractionation Correction, which addresses inter-element fractionation during ablation and transport: this field addresses discrimination between isotopes of the same element, and applies wherever the procedure reports isotope ratios.",Basic,Read-Only,Text (free),"e.g., 'Standard-sample bracketing against NIST 612' | 'Co-aspirated Tl, exponential law' | 'None (elemental concentrations only)'",,2026-08-26,(none),,Y,Y,Y,
Uncertainty Level,"The convention at which reported uncertainties are quoted — 1-sigma, 2-sigma, or a 95% confidence interval — and whether a measured spread is reported as a standard error or a standard deviation. State the convention applying to all values reported under this procedure, and state each separately where different reported quantities use different conventions. Distinct from Uncertainty Propagation Method, which addresses how component uncertainties are combined rather than how the result is quoted.",Basic,Read-Only,Controlled list / Text,2σ (95% confidence) | 1σ (68% confidence) | 95% confidence interval | 2 standard errors (2SE) | 1 standard deviation (1SD) | N/A | None,Source: ICP-MS module,2026-08-26,(none),A reported uncertainty is not interpretable without it: the same numeric value means different things at 1-sigma and at 95% confidence.,Y,Y,Y,
Uncertainty Propagation Method,"The approach used to propagate analytical uncertainty through the data reduction chain to the final reported value. State which sources are included in the propagation: counting statistics, calibration standard uncertainty, internal standard uncertainty, drift correction, and any systematic contributions. Distinct from Uncertainty Level, which states the convention at which the resulting uncertainty is quoted.",Advanced,Editable,Text (free),"e.g., Counting statistics only (1σ on integrated signal, Longerich et al. 1996) | SD of n replicate analyses used as combined uncertainty estimate | Full propagation: counting + calibration standard + IS uncertainty (specify formula)",Source: ICP-MS module,2026-08-26,reported property,,Y,Y,Y,
Matrix Offset Correction (LIEF),Whether an empirical correction was applied to account for systematic differences in laser-induced elemental fractionation (LIEF) patterns between the external calibration standard and the sample matrix.,Advanced,Read-Only,Text (free),"e.g., 'Applied: 6.4% offset in Ca/Si determined by comparison with EPMA (Jenner & O'Neill 2012)' | 'Not applied; Ca used as IS to cancel LIEF offset' | 'Not applicable'",Source: Laser Ablation module,2026-08-27,(none),,Y,Y,Y,
Signal Integration Interval Method,"Method used to define which portion of the acquired signal is integrated for each reported measurement, and the rule for excluding unstable or anomalous portions. State whether the interval is the full acquisition, a stable sub-interval selected by inspection, or selected by an automated criterion, and name the criterion.",Basic,Read-Only,Controlled list / Text,Full acquisition | Stable interval selected by inspection | Automated threshold | Automated outlier rejection | Fixed time window | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Signal Integration Time,"The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition. Where the procedure computes it from an acquisition structure, record that basis.",N/A,Basic,Numeric (s),"e.g., 40 s | 60 s | Not applicable to mapping analysis: for mapping, the equivalent concept is the per-pixel cycle time, determined by the spectrometer dwell time settings.",Source: ICP-MS module,2026-08-26,(none),It is equal to or shorter than the Ablation Duration per Spot because the signal start and end transients are typically discarded.,Y,Y,N,
Spike / Outlier Filtering Approach,"Criteria used to identify and exclude anomalous data - signal spikes, individual cycles, or whole replicate measurements - before the reported value is calculated. State where in the reduction sequence the filter is applied.",Advanced,Editable,Text (free),"e.g., 'Significant single spikes visually identified and removed in Iolite' | 'Statistical filter: data points >3σ from running mean removed' | 'No filtering applied' | 'Automated spike detection in SILLS'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Blank / Background Correction Method,"Method used to subtract background and, where relevant, procedural blank from the measured signal. State what is subtracted - instrument background acquired with no sample reaching the plasma, an on-peak zero acquired on the same matrix, or a separately measured procedural blank - over what interval it is measured, and at what granularity it is applied.",Basic,Read-Only,Controlled list / Text,Gas blank | On-peak zero | Solution blank | Procedural blank | On-peak zero + procedural blank | N/A | None,Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Spectral Interference Corrections Applied,"Whether mathematical corrections for isobaric, polyatomic or residual interferences are applied in data reduction, supplementary to any suppression already achieved by chemical separation, mass resolution, or a collision/reaction cell. Detail for each affected mass is carried by Interfering Species and Interference Correction Method.",Basic,Read-Only,Controlled list / Text,"e.g., 'Yes — ⁸⁷Rb on ⁸⁷Sr, corrected from the ⁸⁵Rb monitor' | 'Yes — doubly-charged Er and Yb on the Sr and Rb masses' | 'No explicit corrections applied; medium resolution resolves the polyatomic interferences' | N/A | None",Source: ICP-MS module,2026-08-27,(none),,Y,Y,Y,
Interfering Species,"The isobaric, polyatomic and doubly charged species that overlap the measured masses and are corrected in data reduction - direct isobars, oxides and argides, hydrides, and abundance-sensitivity tailing from an adjacent large beam. Name each species and the mass it affects.",Basic,Read-Only,Text (free),"e.g., '⁸⁷Rb on ⁸⁷Sr; ¹⁷⁰Yb²⁺ on ⁸⁵Rb' | '⁴⁰Ar³¹P⁺ on ⁷¹Ga; ⁴⁴Ca¹⁶O⁺ on ⁶⁰Ni' | '¹³⁷Ba¹⁶O⁺ on ¹⁵³Eu' | 'None'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,
Interference Correction Method,"Equation or procedure used to calculate and remove each interference contribution, together with how its magnitude was established - a monitor mass measured simultaneously and scaled by natural abundance ratios, a production-rate factor measured on a reference material or interference standard solution, or a tailing factor measured on a pure standard. Name the reference material used.",Basic,Read-Only,Text (free),"e.g., 'Mathematical correction: ⁸⁷Sr_corrected = ⁸⁷Sr_measured − f(⁸⁷Rb/⁸⁵Rb) × ⁸⁵Rb' | 'Cool plasma (800 W) reduces ⁴⁰Ar-based argides by >90% for ⁶⁰Ni and ⁷¹Ga' | 'KED mode (He collision gas 4 ml min⁻¹) suppresses polyatomic interferences'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,
Isotope Dilution Data Reduction Method,"Mass balance approach used to calculate sample mass fractions, and where applicable isotope ratios, from spike-sample isotope ratio measurements. For double-spike procedures the ratios and concentrations are co-determined through the spike inversion; for conventional isotope dilution the IUPAC ID equations are used. Record 'None' where neither isotope dilution nor double-spike methods are applied.",Basic,Read-Only,Text (free),IUPAC isotope dilution equations | Double-spike inversion | None | N/A,Source: ICP-MS module,2026-08-30,(none),,Y,Y,Y,
Memory Effect Mitigation,"Procedure applied to identify and minimise carry-over of high-concentration or isotopically distinct material from a preceding measurement into the current one. Mitigation is applied primarily at measurement time, by allowing sufficient washout or rinse between successive introductions. At data processing level, record any flagging or exclusion of measurements where the required washout may not have been achieved.",Advanced,Editable,Text (free),"e.g., 'Extended washout (≥60 s He flush) between high-concentration standards and unknowns' | 'Scan speed set so that washout time (<1 s) is shorter than pixel acquisition interval' | 'None required for this element suite'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,
Normalization / Standards-Based Correction,"Post-acquisition normalization applied to the reported data beyond the primary calibration — for example correction to a reference value derived from secondary reference materials, or correction for a systematic bias those materials reveal. Record 'None' if no additional normalization is applied.",Advanced,Editable,Text (free),"e.g., 'None' | '100% oxide sum normalization applied per pixel to enforce mass balance (Liu et al. 2008)' | 'Normalized to ⁸⁸Sr/⁸⁶Sr = 8.37521 for mass bias correction in Sr isotope analysis'",Source: Composition QC module,2026-08-27,reported property,,Y,Y,Y,
Calibration Factor and Determination Method,"An externally-calibrated factor that converts the measured quantity into the reported quantity, how it was determined, and its uncertainty. Applies where the conversion depends on a factor calibrated against a reference of independently known value, rather than on the instrument response alone. Distinct from the fields that name the calibration material and that state which approach applies to which analyte, where the technique has them: this field records the resulting factor itself.",Basic,Editable,Text (free),"e.g., ID-TIMS: EARTHTIME ET535 or ET2535 tracer, calibrated per Condon et al. (2015) and McLean et al. (2015), with stated uncertainty | LA-ICP-MS: matrix-matched primary zircon RM of independently known age (91500, GJ-1, Plesovice) used for downhole-fractionation and Pb/U calibration, with the accepted age and its source",Source: Calibration Factor module,2026-08-26,reported property,,Y,Y,Y,
Procedural Blank Level,"The measured level of the analytical blank in the session, and — where the reported quantity is a ratio — its composition, since a blank subtracted from a ratio biases the result unless its own composition is known. Companion to the blank correction method.",N/A,Basic,Text (free),"e.g., 'Total procedural Pb blank 0.6 +/- 0.3 pg; blank Pb composition 206Pb/204Pb = 18.55, 207Pb/204Pb = 15.50, 208Pb/204Pb = 38.08 (long-term lab average, n = 42)' | 'Gas blank 120 counts/s at mass 206, subtracted per analysis'",Source: Blank module,2026-08-26,(none),Follows the criterion-versus-measurement split the library applies wherever a procedure sets a threshold and an analysis reports a value against it.,Y,Y,Y,
