Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Literature Assessment,Hu+Gao2008 | PerkinElmer ELAN 6100 DRC | NWU Xi'an,Yu+etal2005 | PerkinElmer ELAN DRC II | Univ Cambridge,Makishima+etal2011 | Agilent 7500cs | PML Okayama,Long+etal2025 | Agilent 7900 | IPGP France,Lu+etal2007 | Agilent 7500cs | PML Okayama,GilDiaz+etal2020 | Agilent 8800 QQQ | FHNW Basel,GilDiaz+etal2020 | Thermo iCAP-TQ | lab not stated,GilDiaz+etal2020 | Thermo XSeries 2 | KIT Karlsruhe,LopezGarcia+etal2026 | Thermo iCAP TQ | Institute of Science Tokyo
Nebulizer Type,Type and material of the pneumatic nebulizer used for sample introduction.,Basic,Read-Only,Text (free),PFA MicroFlow | PFA-ST | Concentric glass | Micromist | Meinhard | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-26,(none),Affects droplet size distribution and sample introduction efficiency.,,Glass microconcentric nebulizer (MCN; stated section 3.1),Glass Expansion Micromist FM005 (stated section 2 and Table 1),N,MicroMist nebulizer (stated Methods),"Micro-flow PFA nebulizer PFA-20 (ESI, USA); self-aspiration (stated Table in section 2.1.1)",N,N,N,N
Spray Chamber Type and Cooling Temperature,Type of spray chamber and cooling temperature if thermostatted (°C).,Basic,Read-Only,Text (free),Cyclonic quartz at 2°C | Scott double-pass at 7°C | Conical with impact bead (uncooled) | N/A | None | Other: specify,Source: Solution Introduction module,2026-08-26,(none),Chamber type and temperature control aerosol droplet size and the solvent vapor load reaching the plasma. In some procedures a spray chamber is placed downstream of a desolvating nebulizer to improve signal stability.,,Cyclonic spray chamber (stated section 3.1),Cyclonic quartz spray chamber (stated Table 1),N,Scott spray chamber (stated Methods),"Scott double-pass, cooled at 2 deg C, Teflon (stated Table in section 2.1.1)",N,N,N,N
Desolvation System,Desolvating nebulizer or membrane desolvator used upstream of the plasma to reduce solvent load. Record 'None' if not used.,Advanced,Read-Only,Controlled list,Aridus I | Aridus II | Apex Q | Apex IR | Apex HF | None | N/A | Other: specify,Source: Solution Introduction module,2026-08-26,(none),"Lowers oxide production rates and increases sensitivity, and is commonly used for low-abundance analytes or small sample sizes. Note the trade-off: desolvation can introduce additional instrumental mass bias instability relative to wet plasma introduction.",,None,None,N,None,None,N,N,N,N
Sample Uptake Rate,Peristaltic pump speed or self-aspiration flow rate for sample introduction (µL/min or mL/min).,Basic,Editable,Numeric (µL/min or mL/min),"e.g., '50–100 µL/min (self-aspirating PFA nebulizer)' | '200–400 µL/min (micro-flow, peristaltic)' | '1 mL/min (conventional concentric)'",Source: Solution Introduction module,2026-08-26,(none),,,0.20 ml/min (stated section 3.1),~60 uL/min (stated Table 1; 0.03 mm ID pump tubing),N,0.2 mL/min (stated Methods),Self-aspiration; volumetric flow rate N (stated Table in section 2.1.1),N,N,N,N
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),,Source: Core module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),,Source: Core module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N
4. Measurement Information,,,,,,,2026-08-26,,,N,N,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,Solution nebulisation (continuous) | Flow injection,Source: Core module,2026-08-26,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",,"Solution nebulisation (continuous) -- ""A glass microconcentric nebulizer (MCN) and a cyclonic spray chamber comprised the sample introduction system, with a typical sample uptake rate of 0.20 ml/min""","Solution nebulisation (continuous) -- quartz cyclonic spray chamber and ""glass micro-concentric nebulizer Micromist FM005 ... producing an uptake rate of ~60 ul/min at a pump rate of 12 rpm""; Cetac ASX100 autosampler","Flow injection -- ""The pseudo-flow injection (FI) sample introduction technique, in which transient signals were integrated as total counts, was employed with the ID-IS method to minimise total sample consumption volume (~0.013 ml)""","Solution nebulisation (continuous) -- ""The sample was introduced into a Scott spray chamber through a MicroMist nebulizer at an uptake rate of 0.2 mL/min""","Flow injection -- ""pseudo-FI"" declared as the data acquisition mode; sec 2.6 ""Pseudo-flow injection (FI) method for ICP-QMS"", explicitly contrasted with ""the continuous sample introduction method""",Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous),Solution nebulisation (continuous)
RF Power,"Radiofrequency forward power applied to the ICP, in watts.",Basic,Editable,Numeric (W),1400 | 1500 | 1550 | 1600,Source: ICP-MS module,2026-08-26,(none),Controls ionization efficiency and oxide production rates.,,1350 W (stated section 3.1),1300 W (Table 1),N,N,1.6 kW (stated Table in section 2.1.1),N,N,N,N
Coolant (Plasma) Gas Flow Rate,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min.",Basic,Editable,Numeric (L/min),13–18 L/min,Source: ICP-MS module,2026-08-26,(none),Influences plasma temperature and oxide ion formation.,,14 L/min (outer ICP gas; stated section 3.1),15 L/min (Table 1),N,N,15 L/min (stated Table in section 2.1.1),N,N,N,N
Auxiliary Gas Flow Rate,"Flow rate of the intermediate (auxiliary) argon gas stream, between the torch body and the injector tube, which positions the plasma relative to the load coil, in L/min. Distinct from the outer coolant (plasma) gas and from the gas stream that carries sample into the plasma.",Basic,Editable,Numeric (L/min),0.7–1.2 L/min,Source: ICP-MS module,2026-08-26,(none),,,1.2 L/min (intermediate gas; stated section 3.1),1.2 L/min (Table 1),N,N,0.90 L/min (stated Table in section 2.1.1),N,N,N,N
Nebulizer Gas Flow Rate,Flow rate of the carrier argon gas delivered through the nebulizer (L/min).,Basic,Editable,Numeric (L/min),0.8–1.1 L/min,Source: Solution Introduction module,2026-08-26,(none),Controls aerosol transport and strongly influences signal sensitivity and stability.,,N,0.99-1.02 L/min (Table 1),N,N,0.92 L/min (stated Table in section 2.1.1),N,N,N,N
Make-up Gas and Flow Rate,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate. Record any small nitrogen or hydrogen addition with its own flow, whose unit commonly differs from the make-up flow. Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported.",Advanced,Editable,Numeric (L/min) / Text,"e.g., '0.25 (Ar, no desolvator fitted)' | '0.85 Ar + 4 ml/min N2 (sensitivity enhancement)' | 'None'",Source: ICP-MS module,2026-08-26,(none),"Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load. Small nitrogen or hydrogen additions enhance sensitivity for some elements.",,N/A,N/A,N/A,N/A,0.25 L/min supplementary Ar for PFA micronebulizer (stated Table in section 2.1.1),N,N,N,N
Plasma Thermal Mode,Whether the ICP plasma is operated under cool plasma (<=900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Document independently of the RF Power field.,Basic,Read-Only,Controlled list,Normal plasma | Cool plasma | Mixed: specify | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"Normal plasma (>1000 W RF) is standard for most solution ICP-MS analyses. Cool plasma (≤900 W RF) reduces argide-based interferences (e.g., 40Ar12C+ on 52Cr) at the cost of reduced sensitivity and ionization efficiency for most elements.",,Normal plasma (1350 W; stated section 3.1),Normal plasma (1300 W; Table 1),N,N,Normal plasma (1.6 kW; stated section 2.1.1),N,N,N,N
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily optimisation of autolens voltages on a 10 ng/ml Mg-Co-Rh-Ce-Pb-U solution; nebuliser gas set for maximum sensitivity with CeO+/Ce+ and Ce2+/Ce+ <2.5%' | 'Daily tune on 10 ppb Mg-In-U; CeO/Ce constrained within 3%'",Source: ICP-MS module,2026-08-26,(none),,,"Autolens voltages ""set by optimizing a solution of 10 ng/ml Mg, Co, Rh, Ce, Pb and U""; ""The nebulizer gas flow rate was optimized to obtain maximum signal intensities for Mg, Co, Rh, Ce, Pb and U, while keeping the CeO+/Ce+ and Ce2+/Ce+ ratios below 2.5%""","""The instrument sensitivity was optimized daily using a 10 ppb Mg-In-U standard""; ""Plasma robustness was monitored by constraining CeO/Ce ratio within 3% to refrain formation of polyatomic oxides""",N,N,"Partially -- an oxide acceptance criterion is registered in the operating conditions, ""Oxide forming rate <1% (CeO+/Ce+)""; no tuning solution or tuning procedure stated",N,N,N,N
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions.",Advanced,Read-Only,Text (free),"e.g., 'Rock solution flushed through for 30 min before tuning' | '>=30 min warm-up after plasma ignition; no session duration limit' | 'Sessions <=5 h, the interval over which blanks remain stable'",Source: ICP-MS module,2026-08-26,(none),,,"Partially -- instrument conditioning before tuning is stated: ""Drift was minimized by flushing through a rock solution for 30 min before tuning the instrument for a run"". No warm-up time after plasma ignition and no session duration limit stated","Partially -- session duration is characterised but not enforced: ""blanks for all isotopes were stable during a typical run (~5 hr)""",N,N,N,N,N,N,N
Instrument Sensitivity,"Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to. May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited. A sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.",N/A,Advanced,Numeric + unit / Text,"e.g., '572 V/ppm total Zr' | '~2.5 x 10^6 cps/ppb on 115In' | '0.04 count pg-1 ml (111Cd)' | '0.1% useful yield' | 'N/A'",Source: ICP-MS module,2026-08-26,channel,"Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate.",,N,"""The sensitivity of the instrument is ~40 kHz for 1 ppb 115In at a sample uptake rate of 60 ul/min""; per-isotope sensitivity in CPS/ppb tabulated [Table 1]","Per-isotope sensitivity in count pg-1 ml: 111Cd 0.04, 115In 0.5, 149Sm 0.09, 205Tl 0.5, 209Bi 0.6",N,N,N,N,N,N
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),,Source: Analyte module,2026-08-26,defines: analyte,,,"48 trace elements: Li, Be, B, Sc, V, Cr, Co, Ni, Cu, Zn, Ga, Ge, As, Rb, Sr, Y, Zr, Nb, Mo, Cd, In, Sn, Sb, Te, Cs, Ba, La-Lu, Hf, Ta, W, Tl, Pb, Bi, Th, U (stated section 3.1)","9 Me/Ca ratios: Li, B, Mg, Al, Mn, Zn, Sr, Cd, U relative to Ca (stated Table 1)","Cd, In, Tl, Bi (with 149Sm as ID-IS reference; stated section 2)","Major and trace elements (masses 23-75, Na to As; stated Methods)","B, Zr, Nb, Mo, Sn, Sb, Hf, Ta (stated Table 2a)",Te and Se,Te,Se,"54 elements: Li, Be, Sc, Ga, As, Se, Rb, Sr, Y, Ag, Cd, In, Cs, Ba, La-Lu, Tl, Pb, Bi, Th, U; Na, Mg, Al, P, K, Ca, V, Cr, Mn, Fe, Co, Ni, Cu, Zn; Ti, Zr, Nb, Hf, Ta, Mo, W"
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-26,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,,Forty-eight trace element concentrations (ppm); blanks (ppb),"Element/Ca ratios: Mg/Ca, Sr/Ca, Al/Ca (mmol/mol); Li/Ca, B/Ca, Mn/Ca, Zn/Ca, Cd/Ca (umol/mol); U/Ca (nmol/mol)","Cd, In, Tl and Bi mass fractions (ng g-1)","Partially -- ""The elemental content of samples was analyzed""; concentration unit ug/g attested (""[Zn] = 309 ug/g"", ""144 ug/g""); the reported variable list is in Tables S1-S2, not in the paper","B, Ti, Zr, Nb, Mo, Sn, Sb, Hf and Ta mass fractions (ug g-1); detection limits in solution (pg g-1) and in rock (ng g-1) [Table 2a]",Te and Se concentrations (ug L-1; mg kg-1),Particulate Te concentration (mg kg-1),Dissolved Se concentration (ug L-1),"Elemental abundances, CI-normalised ratios"
Monitored Masses,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one. Covers atomic isotopes and, where a reaction cell shifts an analyte onto a different mass, the product mass actually measured. Includes interference-monitor and internal-standard masses, which serve no analyte and so have no parent element. The analyte list is given by the Analyte field and is never inferred from the element symbols appearing here.",Basic,Read-Only,Text (free),67Zn | 115In | 209Bi | 172Yb | 141TeO (O2 mass-shift product of 125Te) | N/A | None | Other: specify,,2026-08-26,defines: channel per analyte,,,N (not listed by mass number in paper),"7Li, 11B, 25Mg, 46Ca, 27Al, 55Mn, 66Zn, 87Sr, 111Cd, 238U (Table 1)","95Mo, 111Cd, 113Cd, 115In, 118Sn, 149Sm, 205Tl, 209Bi (Table 1)",N,"10B, 11B, 90Zr, 91Zr, 93Nb, 95Mo, 97Mo, 118Sn, 119Sn, 121Sb, 123Sb, 178Hf, 179Hf, 181Ta (Table 2a)",125Te; 77Se,125Te and 126Te (and their O-shifted products),N — Se isotopes not individually stated,"54 elements measured in three groups: Group-1 trace elements, Group-2 major and minor elements, Group-3 HFSE plus Mo and W"
Dwell Time per Mass,Integration time spent on each mass peak per sweep (ms). May differ between masses where per-mass dwell times are programmed.,Basic,Editable,Numeric (ms) / Text,,,2026-08-26,channel,,,150 ms per mass (0.15 s; stated section 3.1),"Analyte-specific: 7Li 10 ms, 11B 10 ms, 25Mg 0.5 ms, 46Ca 2 ms, 27Al 0.5 ms, 55Mn 0.5 ms, 66Zn 5 ms, 87Sr 0.5 ms, 111Cd 60 ms, 238U 20 ms (Table 1)","Analyte-specific: 0.11 ms per mass per scan for 95Mo/111Cd/113Cd/115In/118Sn/149Sm; 0.18 ms per mass per scan for 205Tl/209Bi (Table 1, expressed as ms per 1 s cycle)",N,"Analyte-specific fraction of 1 s per mass (Table 2a): B 0.0801 s, Zr 0.0032 s, Nb 0.0320 s, Mo/Sn/Sb 0.0481 s, Hf 0.0641 s, Ta 0.2083 s",N,N,N,N
Number of Scans per Replicate,"Number of complete mass scans accumulated per analytical replicate. A scan — also called a sweep or a pass — is one complete traversal of the monitored masses by a sequentially scanning analyser, so the scan count multiplied by the per-mass dwell time gives the total integration time per replicate. Distinct from a cycle in simultaneous multi-collection, which is one readout of all detectors at once rather than a traversal of masses.",Basic,Read-Only,Integer,20 | 40 | 100 | 250 | 2000,,2026-08-26,(none),,,3 sweeps/reading x 3 readings/replicate (= 9 sweeps/replicate; stated section 3.1),250 sweeps per replicate (Table 1),N,N,48 scans per 30 s acquisition (stated section 2.1.1),N,N,N,N
Number of Replicates,"Number of replicate measurements performed on the same sample, or on the same nominal location where the technique is spatially resolved. For spot analysis this is the number of individual spots per grain or location; for transects, the number of replicate lines; for mapping, the number of map acquisitions of the same area; for solution work, the number of discrete replicate measurements acquired per sample solution. The procedure registers an intended count where it has one; the analysis records the count actually acquired.",Advanced,Basic,Integer,3 | 5 | 10 | 20,,2026-08-26,(none),,,N,6 replicates (Table 1),N,N,N,N,N,N,N
Analysis Sequence,"The repeating order in which calibration or bracketing standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session. Adjustments must maintain the bracketing strategy defined in the procedure.",Basic,Read-Only,Text (free),Calibration block at session start; standard after every 3 samples | Bracketing every 5 samples | N/A | None | Other: specify,,2026-08-26,(none),,,N,N,N,N,Standard solution measured every two samples (stated section 2.1.1),N,N,N,N
Wash Time Between Samples,Duration of instrument rinse between successive sample solutions (seconds).,Basic,Read-Only,Numeric (s),120 | 180 | 210 | 300,Source: Solution Introduction module,2026-08-26,(none),"Controls carryover and memory effects. For isotope-ratio work, complete washout is critical to prevent cross-contamination between samples with differing isotopic compositions.",,N (B and Ta require special washout: 5% HNO3 + 0.1% HF alternated with 3% HNO3; stated section 3.1),60 s (Table 1),>=200 s in 0.5 mol/l HNO3; 200 s HF wash after Mo standard (stated section 2),N,~180 s (~3 min; stated: each measurement ~6 min including ~3 min wash; section 2.1.1),N,N,N,N
Signal Collection Mode,"Mode used to collect ion signal across the monitored masses. In peak hopping mode, the quadrupole jumps sequentially between pre-set mass positions and dwells at each peak; in scanning mode, the quadrupole sweeps continuously across a defined mass range. Peak hopping is standard for multi-element trace analysis as it maximises integration time at each mass.",Basic,Read-Only,Controlled list,Peak hopping | Scanning | N/A | None | Other: specify,,2026-08-26,(none),,,N,Peak hopping (stated Table 1),N,N,N,N,N,N,N
Collision Gas Type,Type of collision gas used in KED mode for polyatomic interference suppression. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.,Basic,Read-Only,Controlled list / Text,He | H2 | He+H2 | N/A | None,,2026-08-26,channel,,,N/A,N/A,N/A,He (stated Methods),N/A,O2 (used as the collision/reaction gas for the mass shift),He for KED; O2 for the mass-shift mode,"He+H2 mixture at 92% : 8%, to minimise 40Ar37Cl interferences",He
Collision Gas Flow Rate,Flow rate of the collision gas in KED mode (mL/min). Higher flow rates provide greater interference suppression at the cost of analyte sensitivity. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.,Basic,Editable,Numeric (mL/min),0.5 | 4.5 | 5.2 | N/A,,2026-08-26,(none),,,N/A,N/A,N/A,5 mL/min (stated Methods),N/A,N,N,N,N
Cell Exit Discrimination Voltage,Kinetic energy discrimination offset voltage applied at the exit of the collision cell (V). Controls the degree of polyatomic ion suppression. Record 'N/A' if KED mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include KED.,Basic,Editable,Numeric (V),−2 | −5 | N/A,,2026-08-26,(none),,,N/A,N/A,N/A,N,N/A,N,N,N,N
Reaction Gas Type,"Type of reactive gas introduced into the dynamic reaction cell (e.g., NH3, O2, CH4). Record 'N/A' if DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC.",Advanced,Read-Only,Controlled list / Text,NH3 | O2 | CH4 | N/A | None,,2026-08-26,channel,,,N/A,N/A,N/A,N/A,N/A,O2,O2 (for the 125Te mass-shift mode),N/A — collision mode only,N/A — KED only
Reaction Gas Flow Rate,Flow rate of the reaction gas in DRC mode (mL/min). Record 'N/A' if DRC mode is not used. Record 'N/A' where Collision/Reaction Cell (CRC) Configuration does not include DRC.,Advanced,Editable,Numeric (mL/min),N/A,,2026-08-26,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Collision/Reaction Gas Mixture Ratio,"Where the collision or reaction cell is supplied with a mixture of gases rather than a single gas, the identities and proportions of that mixture. Recorded separately from the gas identity because the proportions change reaction efficiency and interference suppression independently of which gases are used. Record 'N/A' where a single gas is used.",Advanced,Editable,Text (free),"e.g., 'He:H2 92% : 8%' | 'N/A (single gas)' | 'None'",,2026-08-26,channel,,,N,N,N,N,N,N,N,"He:H2 mixture at 92% : 8%, used to minimise 40Ar37Cl interferences",N
Reaction Product Ion / Mass-Shift Transition,"For each monitored mass produced by a reaction in the collision/reaction cell, the precursor ion, the reagent gas and the product ion measured. Records the mass-shift chemistry relating the mass measured to the analyte it reports, which the monitored mass alone does not state. Record 'N/A' where the analyte is measured on its own mass.",Advanced,Read-Only,Text (free),"e.g., '125Te + 16O -> 141TeO+' | '77Se + 16O -> 93SeO+' | 'N/A (on-mass measurement)'",,2026-08-26,channel,,,N,N,N,N,N,125Te + 16O -> 141TeO; 77Se + 16O -> 93SeO,125Te + 16O -> 141TeO (mass-shift O2 mode); 126Te measured on-mass in KED,N/A — on-mass measurement in CCT mode,N/A — on-mass measurement in KED mode
Internal Standard Element,"Element(s) used as the internal standard, the monitored isotope, and how the internal-standard concentration was established for unknowns. Where the element serves isotope-ratio work it must have a known isotopic composition and a mass close to the analyte's. Record 'None' together with the alternative used where no internal standard is applied.",Basic,Read-Only,Text (free),Ho (2 ppb) | Tb + Bi | In (10 ppb) | Rh (50 ppb) | None | N/A | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,Rh (stated section 3.1),None (matrix-matched external calibration; stated section 2),149Sm (as ID-IS reference; stated section 2),"Sc, In, Re (stated Methods)",None (ID-IS method: spike isotope ratios used; stated section 2.1),"103Rh, to correct for matrix effects",N,103Rh and 115In,103Rh for the calibration-curve elements; 113In-203Tl for the ID-IS method; 91Zr and 179Hf for Nb and Ta
Internal Standard Concentration,Target concentration of internal standard element(s) in all measured solutions (µg/L or ppb). Record 'N/A' where Internal Standard Element is 'None'.,Advanced,Read-Only,Numeric (µg/L),"e.g., '5 µg/L In' | '10 µg/L Rh' | '1–10 µg/L (In, Rh, Re multi-element)' | '20 µg/L (high-dilution runs)'",Source: Solution Introduction module,2026-08-26,(none),,,N,N/A,N,N,N/A,N,N,N,N
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The monitored ratio is procedure-dependent: ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use.",Basic,Read-Only,Text (free),CeO+/Ce+ (m/z 156/140) < 1.5% | CeO+/Ce+ < 1% | ThO+/Th+ < 0.3% | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),,,CeO+/Ce+ < 2.5% and Ce2+/Ce+ < 2.5% (stated section 3.1),CeO/Ce < 3% (stated section 2),CeO+/Ce+ < 0.01 (= <1%; stated section 2),N,CeO+/Ce+ < 1% (stated section 2.1.1),N,N,N,N
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),CeO+/Ce+ = 0.8% (threshold < 1.5% met) | ThO+/Th+ = 0.2% (threshold < 0.3% met),Source: ICP-MS module,2026-08-26,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
Doubly-Charged Species Monitor,Mass ratio monitored to estimate doubly-charged ion (M2+) formation during instrument tuning. Doubly-charged ions appear at half the nominal mass of the parent ion and can interfere with lighter analyte masses. Ba2+/Ba+ (m/z 69/138) and Ce2+/Ce+ (m/z 70/140) are the most common proxies for solution ICP-MS.,Advanced,Editable,Text (free),Ba2+/Ba+ (m/z 69/138) | Ce2+/Ce+ (m/z 70/140) | N/A | None | Other: specify,,2026-08-26,(none),,,Ce2+/Ce+ (m/z 70/140; stated section 3.1),N,N,N,N,N,N,N,N
Doubly-Charged Species Production,Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. Record both the acceptance threshold and the measured value. Elevated doubly-charged production indicates incomplete ionization and potential interference on elements at approximately half the mass of abundant matrix components.,Advanced,Editable,Text (free),Ba2+/Ba+ < 5% (threshold); 2.1% (measured) | Ce2+/Ce+ < 3% (threshold); 1.8% (measured) | N/A | None,,2026-08-26,(none),,,Ce2+/Ce+ < 2.5% threshold (stated section 3.1),N,N,N,N,N,N,N,N
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),"e.g., '23' | '35 ns, determined from a Th calibration series and checked quarterly' | 'N/A (analog detection only)'",Source: ICP-MS module,2026-08-26,channel,,,N,N,N,N,N,N,N,N,N
5. Data Processing,,,,,,,2026-08-26,,,N,N,N,N,N,N,N,N,N,N
Internal Standard Approach,"Role(s) assigned to the internal standard(s) in data reduction: drift correction only, matrix normalization, or a combination.",Basic,Read-Only,Controlled list,Drift correction only | Matrix normalization | Drift + matrix normalization | N/A | None | Other: specify,,2026-08-26,(none),,,Drift correction (Rh used as IS for drift; stated section 3.1),N/A (no IS; matrix-matched external calibration),ID internal standard (149Sm spike for drift + concentration calculation; stated section 2),"Drift correction (Sc, In, Re; stated Methods)",N/A (ID-IS: spike isotope ratios used for concentration calculation; stated section 2.1),N,N,N,N
Drift Correction Method,Method used to correct for instrumental signal drift across a session.,Basic,Read-Only,Controlled list,IS normalization | Standard bracketing | IS normalization + bracketing | None | N/A | Other: specify,,2026-08-26,(none),,,IS normalization + standard bracketing (Rh IS + repeated calibration solution; stated section 3.1),Standard bracketing (matrix-matched standards at fixed intervals; stated section 2),IS normalization (149Sm spike ratio; stated section 2),"IS normalization (Sc, In, Re; stated Methods)",Standard bracketing (standard every two samples; stated section 2.1.1),N,N,N,N
Per-Analyte Calibration Strategy,"Approach used to convert measured ion signals to reported concentrations, and specifically any case where different analytes or analyte groups within one procedure are calibrated differently - different primary standards for different mass ranges or phases, or one element serving as internal standard while others are externally calibrated. Where a single strategy applies to all analytes, record that strategy. Where the procedure reports isotope ratios only and no concentrations, record 'Not applicable (isotope ratios only)'.",Basic,Read-Only,Text (free),External calibration (all analytes) | Isotope dilution (all analytes) | ID for Zn (67Zn spike); external calibration for all other elements | External calibration + standard addition | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,analyte,,,External calibration (all analytes; stated section 3.1),External calibration with matrix-matched standards at 100 ppm Ca (stated section 2),Isotope dilution with ID-IS normalization (ID-IS; all analytes; stated section 2),External calibration (stated Methods),Isotope dilution with ID-IS normalization (all analytes; stated section 2.1),External calibration for both Te and Se,External calibration,External calibration,"Three strategies by group: calibration curve with 103Rh internal standardisation; 113In-203Tl ID-IS (Yokoyama et al. 2017); isotope dilution for Ti, Zr, Mo, Hf and W; 91Zr and 179Hf as internal standards for Nb and Ta"
Signal Integration Interval Method,"Method used to define which portion of the acquired signal is integrated for each reported measurement, and the rule for excluding unstable or anomalous portions. State whether the interval is the full acquisition, a stable sub-interval selected by inspection, or selected by an automated criterion, and name the criterion.",Basic,Read-Only,Controlled list / Text,Full acquisition | Stable interval selected by inspection | Automated threshold | Automated outlier rejection | Fixed time window | N/A | None,Source: ICP-MS module,2026-08-26,(none),,,N,N,N,N,N,N,N,N,N
Signal Integration Time,"The integration time actually used for the reported signal, in seconds - the time retained after the signal-integration interval has been applied, and therefore equal to or shorter than the total acquisition. Where the procedure computes it from an acquisition structure, record that basis.",N/A,Basic,Numeric (s),,Source: ICP-MS module,2026-08-26,(none),,,N/A,N/A,N/A,N/A,N/A,N,N,N,N
