Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,SE Imaging,BSE Imaging,CL Point Analysis,CL Mapping,EBSD,Literature Assessment,Garvie et al. 2008 | Tagish Lake (C2) nanoglobules | SE Imaging (FEI Nova 200 NanoLab),"Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | BSE Imaging (ZEISS Sigma 1550VP, 10 kV)","Genge et al. 2025 | Micrometeorite NG-1 (CV3-like) | EBSD (ZEISS Sigma 1550VP, 20 kV)","Gucsik et al. 2013 | Forsterite, Kaba meteorite (CV3) | CL Mapping (JEOL JSM-5410LV)",Izawa et al. 2010 | Tagish Lake (C2) meteorite | CL Mapping (Hitachi S-2500C),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 440),Izawa et al. 2010 | Tagish Lake (C2) meteorite | BSE Imaging (Leo 1540 FIB/SEM CrossBeam),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (ESEM Quanta 250),Liu et al. 2017 | High-rank coal (Qinshui basin) | SE Imaging (FESEM SUPRA 55),Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | BSE Imaging (ZEISS 1550VP FE-SEM),"Ma et al. 2017 | Khatyrka CV3 chondrite (metal phases) | EBSD (ZEISS 1550VP FE-SEM, HKL system, 20 kV)","Pascucci et al. 2026 | NWA 7317 CR6 chondrite | BSE Imaging (Zeiss Supra 40 FE-SEM, 20 kV)",Pascucci et al. 2026 | NWA 7317 CR6 chondrite | SE Imaging (Zeiss Supra 40 FE-SEM),"Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (JEOL 7600F, NASA JSC, 15 kV)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | SE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (Hitachi S-4800, U Arizona)","Zega et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | CL Mapping (JEOL JSM-7000F, Universite Cote d'Azur, 5 keV)","Barnes et al. 2025 | Bennu asteroid particles (OSIRIS-REx) | BSE Imaging (FEI Quanta 3D DualBeam + Helios DualBeam, NASA JSC)"
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Oxford AZtec 6.0 (EDS quantification); Oxford AZtec Crystal 2.1 (EBSD); Gatan DigitalMicrograph 3.5 (CL); FIJI 2.15 (image processing); Avizo 2023 (3D segmentation)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,N,N,N,N,Gatan DigitalMicrograph,N,N,N,N,N,N,N,N,N,N,N,N,N
4. Measurement Information,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Analytical Mode,Primary analytical mode(s) executed under this procedure. Records one value for a single-mode procedure and all applicable modes for a multi-mode one. Applies even where a procedure defines no mode flag columns.,Basic,Read-Only,Controlled list,'SE Imaging' | 'BSE Imaging' | 'CL Point Analysis' | 'CL Mapping' | 'EBSD' | 'SE Imaging; BSE Imaging',Source: Core module,2026-08-25,(none),"Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns, which state per-field applicability. Ensures every procedure record is self-describing and comparable across the library.",Y,Y,Y,Y,Y,,SE Imaging,BSE Imaging,EBSD,CL Mapping,CL Mapping,BSE Imaging,BSE Imaging,SE Imaging,SE Imaging,BSE Imaging,EBSD,BSE Imaging,SE Imaging,BSE Imaging,SE Imaging,BSE Imaging,CL Mapping,BSE Imaging
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentration (ppm); oxide (wt%)' | 'd56Fe (permil vs IRMM-014); d57Fe (permil vs IRMM-014)' | '206Pb/238U date (Ma); 207Pb/206Pb date (Ma)' | 'Mineral identity (N/A — nominal property); match score (0-1)'",Source: Core module,2026-08-25,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
Accelerating Voltage,Electron beam accelerating voltage in kilovolts.,Basic,Editable,Numeric (kV),"e.g., 2 | 5 | 10 | 15 | 20",,2026-08-27,(none),"Affects X-ray generation depth (EDS/WDS), EBSD pattern quality, imaging resolution, and beam penetration. Low voltages (1-5 kV) improve surface sensitivity and reduce beam damage; high voltages (15-20 kV) improve X-ray generation for quantitative analysis.",Y,Y,Y,Y,Y,,500 V; 1 kV; 5 kV,10 kV,20 kV,N,15–20 kV,N,N,N,N,N,N,20 kV,N,15 kV,N,N,5 keV,N
Beam Current,"Electron beam probe current. For sub-nA values use decimal notation (e.g., 0.4 nA).",Basic,Editable,Numeric (nA),"e.g., 0.4 | 0.9 | 2 | 5 | 10 | 20",,2026-08-27,(none),"Higher current improves signal-to-noise for X-ray analysis (EDS/WDS, EBSD) and CL but may increase beam damage and reduce spatial resolution.",Y,Y,Y,Y,Y,,70 fA (500 V); 1.4 pA (1 kV); 98 pA (5 kV),N,6 nA,N,N,N,N,N,N,N,N,N,N,N,N,N,1 to 4 nA,N
Working Distance,Distance between the objective lens pole piece and the specimen surface in millimetres.,Basic,Editable,Numeric (mm),"e.g., 4 | 8 | 10 | 15",,2026-08-27,(none),"Affects spatial resolution, depth of focus, EDS X-ray take-off angle, and EBSD geometry.",Y,Y,Y,Y,Y,,0.5–5.4 mm,N,N,N,~10 mm,N,N,N,N,N,N,8 mm,N,N,N,N,N,N
Chamber Pressure,Chamber pressure and gas type during analysis. Required for variable pressure (VP-SEM) and environmental SEM (ESEM) modes. Report value and unit (Pa or Torr) and gas composition. Use 'None' for standard high-vacuum operation.,Advanced,Editable,Numeric + unit,"e.g., '30 Pa (H2O vapor, ESEM)' | '130 Pa (N2, VP-SEM)' | 'None (high vacuum)'",,2026-05-21,(none),,Y,Y,Y,Y,Y,,N,N,25 Pa (variable pressure mode),N,High vacuum,N,N,High vacuum,High vacuum,N,N,High vacuum,N,N,N,N,N,N
Image Pixel Size,"Physical size of each image pixel at the sample surface, in nm or µm. For large-area mosaic imaging, report the pixel size of individual tiles and the number and arrangement of tiles.",Advanced,Basic,Numeric + unit,"e.g., '5 nm' | '50 nm' | '500 nm' | '2 µm (mosaic: 19x16 tiles)'",,2026-08-27,(none),Defines spatial sampling of SE or BSE images.,Y,Y,N,N,N,,N,N,N/A,N/A,N/A,N,N,N,N,N,N/A,N,N,N,N,N,N/A,N
Dwell Time per Pixel,"Time the electron beam dwells on each pixel during raster scanning, or on each step position during mapping, in microseconds or milliseconds.",Basic,Editable,Numeric + unit,"e.g., '400 ns' | '10 µs' | '1 ms'",,2026-08-27,(none),Longer dwell time improves signal-to-noise and counting statistics but increases total dose and can cause beam damage or contamination on sensitive materials.,Y,Y,N,N,N,,N,N,N/A,N/A,N/A,N,N,N,N,N,N/A,N,N,N,N,N,N/A,N
CL Acquisition Mode,CL data collection strategy. Panchromatic: total light intensity collected by PMT across the full detector wavelength range. Spectral point: full CL spectrum at discrete point locations. Hyperspectral map: full CL spectrum acquired at each pixel of a raster scan.,Basic,Read-Only,Controlled list,Panchromatic | Monochromatic imaging | Spectral point | Hyperspectral map | Multi-channel pseudo-color | N/A | None,,2026-08-30,(none),,N,N,Y,Y,N,,N/A,N/A,N/A,Panchromatic; Spectral point,Multi-channel pseudo-color,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Panchromatic imaging; hyperspectral analysis; monochromatic imaging,N/A
CL Wavelength Range,Detection wavelength range of the CL system in nm.,Basic,Read-Only,Numeric pair (nm),"e.g., '190-900 nm (PMT)' | '300-850 nm (CCD)' | '200-800 nm'",,2026-08-27,(none),The range is set by the detector sensitivity and any optical filters installed.,N,N,Y,Y,N,,N/A,N/A,N/A,N,"300–850 nm (UV ~300-400, Blue ~400-500, Green ~500-600, Red ~600-850)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A
CL Grating,"Diffraction grating specification for spectral or hyperspectral CL acquisition, including groove density and blaze wavelength. Not applicable to panchromatic-only acquisition.",Advanced,Read-Only,Text (free),"e.g., '1200 gr/mm, 500 nm blaze' | '300 gr/mm, 500 nm blaze' | '150 gr/mm (near-IR)' | 'N/A (panchromatic only)'",,2026-08-11,(none),,N,N,Y,Y,N,,N/A,N/A,N/A,"1200 gr/mm, focal length 0.3 m, F/4.2, resolution 0.5 nm, slit width 4 mm (Oxford MonoCL2)",N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A
CL Integration Time,"Acquisition time per pixel (hyperspectral map mode) or per spectrum (spectral point mode), in ms or s.",Basic,Editable,Numeric + unit,"e.g., '800 µs (hyperspectral map)' | '30 s (spectral point)' | '80 ms (panchromatic map)'",,2026-08-27,(none),Longer integration improves signal-to-noise but increases beam dose and acquisition time.,N,N,Y,Y,N,,N/A,N/A,N/A,N,80–500 ms per pixel (varied based on IR luminescence duration in carbonates),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A
Sample Tilt Angle,"Sample tilt angle for EBSD acquisition in degrees, measured from horizontal.",Basic,Read-Only,Numeric (degrees),"e.g., 70",,2026-08-27,(none),Standard EBSD geometry uses 70 degrees tilt toward the EBSD camera to maximise diffracted electron signal.,N,N,N,N,Y,,N/A,N/A,70 degrees,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Step Size,Distance between adjacent EBSD measurement points in the map in nm or µm. Must be smaller than the smallest grain of interest.,Basic,Editable,Numeric + unit,"e.g., '50 nm' | '200 nm' | '1 µm' | '5 µm'",,2026-08-27,(none),Only then are grain boundary positions and intragrain orientation gradients resolved.,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Frame Time,Acquisition time per EBSD diffraction pattern frame in milliseconds.,Advanced,Editable,Numeric (ms),"e.g., 15 | 50 | 100",,2026-08-27,(none),Longer frame time improves pattern quality and indexing rate but increases total acquisition time.,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Phase List,Mineral phases included in the EBSD reference pattern library for this procedure. Phases may be added for specific sample compositions beyond the expected suite for the target material.,Basic,Editable,Text (free),"e.g., 'Olivine (Fo90); enstatite; augite; plagioclase; ilmenite' | 'Troilite; pyrrhotite; kamacite; taenite'",,2026-08-27,(none),,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Hollisterite (C2/m FeAl3); kryachkoite (Cmc21 (Al,Cu)Fe6); stolperite (Pm3m AlCu)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
5. Data Processing,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
EBSD Indexing Method,Algorithm used to index EBSD diffraction patterns and assign crystal orientations. Hough-transform methods fit Kikuchi band positions analytically; dictionary indexing (DI) matches experimental patterns to a pre-computed library of simulated patterns.,Basic,Read-Only,Controlled list,Hough transform | Dictionary indexing (DI) | Neural network | Unknown | N/A | None,,2026-08-30,(none),,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Crystal Structure Database,Crystal structure database used for EBSD phase identification and Kikuchi pattern simulation.,Basic,Editable,Text (free),"e.g., 'ICSD (Inorganic Crystal Structure Database)' | 'COD (Crystallography Open Database)' | 'Oxford AZtec Crystal built-in library'",,2026-08-11,(none),,N,N,N,N,Y,,N/A,N/A,ICSD (Inorganic Crystal Structure Database),N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Literature crystal structures: Black et al. 1961 (Cmc21 (Al,Cu)Fe6 for kryachkoite); Zhang et al. 2005 (Pm3m AlCu for stolperite)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Pattern Quality Threshold,Minimum pattern quality or confidence index threshold applied during EBSD data processing to exclude unreliably indexed points from orientation maps. Include metric name and threshold value.,Advanced,Editable,Text (free),"e.g., 'Mean Angular Deviation (MAD) < 1.0 deg' | 'Confidence Index (CI) > 0.1' | 'Band contrast > 80'",,2026-08-11,(none),,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Constants and Reference Values Used,"Physical constants and reference values used in data reduction to calculate the final reported quantity (e.g., decay constants for age calculation, standard isotope ratios, or other citable reference values used in a correction or calculation), together with their source. Distinct from the Group 6 reference-material fields, which document accepted values for specific calibration/validation materials rather than universal physical constants. Record ""None"" if no citable, revisable physical constants feed into this procedure's data reduction.",Basic,Editable,Text (free),"e.g., ""λ238U = 1.55125×10⁻¹⁰ yr⁻¹, λ235U = 9.8485×10⁻¹⁰ yr⁻¹ (Jaffey et al. 1971); 238U/235U = 137.818 (Hiess et al. 2012)"" | ""None""",Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,
6. Quality Control & Uncertainty,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
EBSD Mean Angular Deviation,Mean angular deviation (MAD) of the EBSD pattern indexing solution in degrees. MAD quantifies the misfit between experimental Kikuchi band positions and the best-fit crystal orientation.,N/A,Basic,Numeric (degrees),"e.g., 0.5 | 0.8 | 1.0",,2026-08-27,(none),Values above ~1.5 degrees typically indicate unreliable indexing.,N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"0.30°~0.45° (all three mineral phases: hollisterite, kryachkoite, stolperite)",N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBSD Indexing Rate,"Fraction of EBSD map points successfully indexed, expressed as a percentage of total map points.",N/A,Basic,Numeric (%),"e.g., 95 | 82 | 60",,2026-08-27,(none),"Low indexing rate may indicate surface damage, amorphisation, severe deformation, or phase misidentification.",N,N,N,N,Y,,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CL Wavelength Calibration Reference,Reference light source or standard material used to calibrate the wavelength axis of the CL spectrometer. Required for quantitative spectral CL and hyperspectral mapping.,Advanced,Editable,Text (free),"e.g., 'Mercury lamp (Hg line 546.1 nm)' | 'Neon discharge lamp' | 'None'",,2026-08-11,(none),,N,N,Y,Y,N,,N/A,N/A,N/A,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N,N/A
Additional Notes,"Any procedure- or analysis-specific information not captured by a structured field anywhere in this TAPP — including anomalies, deviations from the registered procedure, instrument modifications, and supplementary context. Scope is the whole document, not Group 6: this is the last field of the TAPP and covers all six groups. Use sparingly; a structured field is preferred for anything that can be formally categorised.",Advanced,Advanced,Text (free),Free text,Source: Core module,2026-08-25,(none),,Y,Y,Y,Y,Y,,Sample imaged without coating; initial ~5% beam-induced shrinkage observed upon first e-beam exposure; sample stable thereafter; focusing performed away from particles of interest to minimise beam exposure,N,EBSD done in variable pressure mode (25 Pa) to suppress charging on tilted sample; spatial resolution ~30 nm stated; calibrated with single-crystal silicon standard,"CL color imaging also done with separate luminoscope ELM-3R (cold cathode, 10 kV, 0.5 mA, <100 Torr) — standalone CL system, not SEM-based; spectrum deconvolution via Peak Analyzer in OriginPro 8J SR2",Digiscan II beam controller used for CL raster; multi-channel color CL distinguishes ~4 spectral bands; beam-induced CL may persist from long-lived IR emission in carbonates,N,N,Pore and mineral sizes >0.1 µm measured; minerals analyzed via EDS (surface energy spectrum analysis); magnification range 10³ to 10⁴,Pore and mineral sizes >20 nm to <5 µm measured; EDS also used for mineral analysis; magnification range 10³ to 10⁵,"BSE images obtained from both ZEISS 1550VP FE-SEM and JEOL 8200 electron microprobe (EPMA); quantitative EPMA on JEOL 8200 at 12 kV, 5 nA (out of scope for SEM TAPP)",EBSD performed at Caltech GPS Analytical Facility; EPMA (JEOL 8200) used for quantitative chemical analysis (out of scope for SEM TAPP),10 BSE images acquired at ×138 magnification and mosaicked (4 consecutive per row) to cover ~9.7 mm area matching SPIM imagery,"SE imaging used for topographic examination; instrument capability: up to ×200,000 magnification, 5 nm resolution; SE acquired before EDS to minimize charging effects",SE and BSE imaging; EDS point spectra; Oxford AZtec system; EDS detector: Oxford Instruments Ultim Max SDD 170 mm²,Cold FEG; system range 0.5-30 keV; SE and BSE imaging detectors; also equipped with Oxford Instruments Aztec Live/x-stream/Ultimax 170 SDD EDS; specific operating voltage not stated,Cold FEG; system range 0.5-30 keV; SE and BSE imaging; EDS mapping; specific operating voltage not stated,"CL emitting volume at 5 keV: up to 230 nm depth, 200 nm sideways (assuming 100-nm graphite coating); recording below focal plane for magnifications <×500 to minimize hotspot effect","No BSE imaging with FEI Quanta 3D DualBeam or Helios DualBeam at NASA JSC described in this paper (Barnes et al. 2025). BSE mosaic imaging was performed using a Hitachi TM4000plus at the University of Arizona (K-ALFAA) at 15-keV electron beam to identify suitable matrix areas for NanoSIMS analysis (Methods, p.11). No JSC BSE imaging conditions or instrument stated."
