Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,TEM Imaging,STEM Imaging,Electron Diffraction,Literature Assessment,Chaves2023 | Synthetic magnetite | TEM+STEM imaging + EDS,Zega2025 | Bennu particles | STEM+EDS+SAED (U of A HF5000),Zega2025 | Bennu particles | STEM+EDS (UCB TitanX),Zega2025 | Bennu particles | TEM+STEM+EDS+SAED (Goethe Talos F200X),Zega2025 | Bennu particles | STEM+EDS+HRTEM+SAED (JSC JEOL 2500SE),Matsumoto2021 | Lunar soil | BF/DF TEM + ADF-STEM + SAED (Jena FEI Tecnai G2 FEG),Matsumoto2021 | Lunar soil | TEM + EDS quantitative (Kyushu JEOL JEM-3200FSK),Matsumoto2021 | Lunar soil | STEM-EDS mapping + HR-STEM (Kyushu JEOL JEM-ARM200F),KellerBerger2014 | Itokawa regolith grains | STEM + EDS spectrum imaging (JSC JEOL 2500SE),Zeng2024 | Chang'e-5 lunar glass bead | HAADF-STEM + EDS mapping (Guangdong FEI Talos F200S),Dobrica2022 | Antarctic micrometeorite 03-36-46 | STEM + nanodiffraction + EDS (UH Manoa Titan G2),Dobrica2022 | Antarctic micrometeorite 03-36-46 | STEM-EDS hyperspectral mapping (Mol. Foundry TitanX),Singerling2025 | Bennu OREX-800045-102 | BF-TEM + HAADF-STEM + SAED + EDS (Goethe TS Talos F200X G2),Thompson2020 | Murchison CM2 (laser-irradiated) | BF/DF-STEM + HRTEM + STEM-EDX (JSC JEOL 2500SE),Xing2023 | REVIEW: TEM methods for nanoscale mineralogy in NEPS | No original protocol data,Seifert2026 | Bennu OREX-803173-100 apatite | BF/DF-STEM + EDS (JSC JEOL 2500SE),"Seifert2026 | Bennu OREX-803173-100 apatite | HAADF-STEM + dual EDS + TEM/SAED (K-ALFAA UA Hitachi HF5000, probe Cs-corrected)",Cymes2023 | Apollo 17 soil 71501 pyroxene (1pyx + 2pyx) | BF/EFTEM + SAED + HRTEM (NRL JEOL JEM-2200FS),Cymes2023 | Apollo 17 soil 71501 pyroxene (1pyx + 2pyx) | HAADF-STEM + Dual EELS + EDS (NRL Nion UltraSTEM200-X),Mo2022 | Chang'E-5 lunar soil CE5C0400YJFM00505 | HAADF-STEM + EDS (SINANO CAS FEI Talos F200X),Mo2022 | Chang'E-5 lunar soil CE5C0400YJFM00505 | TEM-EELS (Shanghai Institute of Ceramics CAS Hitachi HF5000)
Target Material,General description of the material type(s) this procedure is designed to analyse.,Basic,Read-Only,Controlled list / Text,Silicate mineral | Silicate glass | Oxide | Sulfide | Carbonate | Phosphate | Metal or alloy | Organic matter | Amorphous phase | Nanoparticle | N/A | None,Source: Core module,2026-08-31,(none),"Used for discoverability and procedure matching, and because the material type constrains sample preparation, calibration and matrix-matching requirements.",Y,Y,Y,,"Oxide (synthetic magnetite Fe3O4, 99.9% purity, Sigma Aldrich; dry-sieved <45 µm; pressed into pellets at 1500 psi)",Silicate mineral (sheet silicates: serpentine/saponite); Sulfide (pyrrhotite/pentlandite); Oxide (magnetite); Carbonate; Organic matter/IOM (C nanoglobules) — OSIRIS-REx Bennu returned samples,Silicate mineral (sheet silicates: serpentine/saponite); Sulfide (pyrrhotite/pentlandite); Oxide (magnetite); Carbonate; Organic matter/IOM (C nanoglobules) — OSIRIS-REx Bennu returned samples,Silicate mineral (sheet silicates: serpentine/saponite); Sulfide (pyrrhotite/pentlandite); Oxide (magnetite); Carbonate; Organic matter/IOM (C nanoglobules) — OSIRIS-REx Bennu returned samples,Silicate mineral (sheet silicates: serpentine/saponite); Sulfide (pyrrhotite/pentlandite); Oxide (magnetite); Carbonate; Organic matter/IOM (C nanoglobules) — OSIRIS-REx Bennu returned samples,"Lunar soil grains (iron sulfides: troilite, NC-pyrrhotite; pyroxene; Apollo 11 soil 10084; Apollo 17 soil 78481,49)","Lunar soil grains (iron sulfides: troilite, NC-pyrrhotite; pyroxene; Apollo 11 soil 10084; Apollo 17 soil 78481,49)","Lunar soil grains (iron sulfides: troilite, NC-pyrrhotite; pyroxene; Apollo 11 soil 10084; Apollo 17 soil 78481,49)","Itokawa olivine regolith grains (RA-QD02-0125, ~37 µm olivine single crystal; RA-QD02-0211, ~41 µm olivine single crystal); comparison: Apollo 17 lunar soil 71501 olivine grains (20–45 µm fraction)","Chang'e-5 lunar glass bead (basaltic impact glass, ~350×400 µm; CE5C0600YJFM00304; micrometeorite impact crater rim)","Antarctic micrometeorite 03-36-46 (hydrated fine-grained AMM, H-FgMM, 84×114 µm; carbonates, phyllosilicates, magnetite, sulfides, phosphates; Concordia snow collection 2002 campaign)","Antarctic micrometeorite 03-36-46 (hydrated fine-grained AMM, H-FgMM, 84×114 µm; carbonates, phyllosilicates, magnetite, sulfides, phosphates; Concordia snow collection 2002 campaign)","Bennu particle OREX-800045-102 (OSIRIS-REx sample): Na,Ca carbonates (gaylussite/pirssonite), phyllosilicates, sulfides","CM2 carbonaceous chondrite (Murchison); laboratory-simulated progressively space-weathered chips (1×, 2×, 5× pulsed-laser irradiation passes)",N/A,Bennu carbonaceous asteroid sample (OSIRIS-REx return); apatite grains in phyllosilicate-rich matrix,Bennu carbonaceous asteroid sample (OSIRIS-REx return); apatite grains in phyllosilicate-rich matrix,"Apollo 17 soil 71501 (<45 µm fraction); pyroxene grains ""1pyx"" (unexsolved augite) and ""2pyx"" (exsolved pigeonite-augite intergrowth); one FIB section analyzed on two instruments","Apollo 17 soil 71501 (<45 µm fraction); pyroxene grains ""1pyx"" (unexsolved augite) and ""2pyx"" (exsolved pigeonite-augite intergrowth); one FIB section analyzed on two instruments",Chang'E-5 lunar soil grain CE5C0400YJFM00505 (two grains selected); <50 µm; dispersed on Al double-sided tape in Ar-filled glovebox; coated with gold layer to prevent charging,Chang'E-5 lunar soil grain CE5C0400YJFM00505 (two grains selected); <50 µm; dispersed on Al double-sided tape in Ar-filled glovebox; coated with gold layer to prevent charging
Sample Preparation Method,"The form in which the sample is presented to the instrument, and the preparation that brought it to that form — for example mounting, sectioning, polishing, coating, crushing, fusion, or extraction of an electron-transparent section. Record 'None' where the material is analysed as received.",Basic,Editable,Controlled list / Text,FIB lift-out (Ga ion) | FIB lift-out (Xe plasma) | FIB lift-out (Ga) + ion mill | Ultramicrotomy | Crushing / dispersion on grid | Ion milling (non-FIB) | Electropolishing | Unknown | N/A | None,Source: Core module,2026-08-27,(none),,Y,Y,Y,,FIB lift-out (Ga ion),FIB lift-out (Ga ion),FIB lift-out (Ga ion),Crushing / dispersion on grid,FIB lift-out (Ga ion),FIB lift-out (Ga+),FIB lift-out (Ga+),FIB lift-out (Ga+),Ultramicrotomy,FIB lift-out (Ga+),FIB lift-out (Ga+),FIB lift-out (Ga+),Crushing / dispersion on grid,FIB lift-out (Ga+),Review covers: FIB (described as most important method in NEPS); ultramicrotomy; Ar ion milling; powder dispersion on carbon-film grid,FIB lift-out (Ga+),FIB lift-out (Ga+),FIB lift-out (Ga+),FIB lift-out (Ga+),FIB lift-out (Ga+),FIB lift-out (Ga+)
Sample Preparation Details,"Detailed description of section preparation conditions: FIB milling voltages and currents; final thinning conditions and target foil thickness; protective coating type and deposition method (e.g., e-beam vs. ion-beam Pt or C strip — e-beam deposition causes less surface damage); any post-FIB surface cleanup (e.g., low-energy Ar+ ion polishing in a Fischione NanoMill, final 0.5–2 kV Ga+ thinning); sample transfer and storage environment (ambient air, dry N₂ atmosphere, vacuum transfer holder, glovebox); plasma cleaning before loading. Includes session-specific observations and deviations from the procedure standard. Includes preparation artifacts noted (Ga implantation, amorphization, curtaining).",Advanced,Editable,Text (free),"e.g., 'FIB lift-out (FEI Helios G4, 30 kV Ga milling); Pt strap deposited; final thinning 5 kV to ~80 nm. Stored in N2 glove box.' | 'Ultramicrotomy (Leica UC7): sections 50–70 nm on lacey-carbon Cu grid; water bath used.' | 'Gentle plasma cleaning (Fischione 1020) immediately before TEM insertion.'",,2026-08-27,(none),,Y,Y,Y,,"~0.1 µm C coating deposited with e-beam (5 kV, 0.8 nA); ~4 µm W coating deposited with ion beam (30 kV, 0.26 nA); thinning: CCS mode 30 kV / 0.75 nA → 0.26 nA → 90 nA; final thinning: CCS mode 16 kV / 0.47 nA; target foil thickness not stated","ThermoScientific Helios G3 FIB-SEM (K-ALFAA); 12-µm × 4-µm C capping layer; lamellae thinned to electron transparency at 30 keV, 2.5 to 0.8 nA; standard stair-step method","FEI Helios G4 UX (Molecular Foundry, LBNL); Ga+ coarse milling 16–30 keV; polishing down to 1 keV; thickness <100 to 600 nm (thicker for Fe-L XANES and tomography; thinner for C-K and TEM)",Grain crushed; ethanol added to powder; copper mesh grid with lacey carbon support touched to suspension until all material picked up,FEI Quanta3D600 dual-beam FIB-SEM; e-beam C cap 0.5–1 µm + ion-beam C cap 2–3 µm; milling 30 kV Ga+ → 16 kV → 5 kV final; ~100 nm thick; ion-beam Pt weld to Cu half grids,"FEI Helios NanoLab G3 CX (Kyoto Univ): e-beam Pt coating at 5 kV; Ga+ Pt coating at 30 kV; section thinned to ~100 nm at 30 kV Ga+; cleaned at 5 kV Ga+; additional Ar ion milling (Fischione NanoMill, ultra-low energy, Kyushu Univ)","FEI Helios NanoLab G3 CX (Kyoto Univ): e-beam Pt coating at 5 kV; Ga+ Pt coating at 30 kV; section thinned to ~100 nm at 30 kV Ga+; cleaned at 5 kV Ga+; additional Ar ion milling (Fischione NanoMill, ultra-low energy, Kyushu Univ)","FEI Helios NanoLab G3 CX (Kyoto Univ): e-beam Pt coating at 5 kV; Ga+ Pt coating at 30 kV; section thinned to ~100 nm at 30 kV Ga+; cleaned at 5 kV Ga+; additional Ar ion milling (Fischione NanoMill, ultra-low energy, Kyushu Univ)",Particles embedded in low-viscosity epoxy; thin sections ~60 nm thick prepared by ultramicrotomy,"FEI Scios dual-beam FIB/SEM (Institute of Geochemistry, CAS): glass bead coated with gold prior to FIB; FIB slice ~15 µm length × ~10 µm width × 90–100 nm thick; 30 kV, 0.4 nA beam current","Helios 660 dual-beam FIB-SEM (AEMC, UH Manoa): particle polished and C-coated; Pt deposited by e-beam deposition then by ion beam deposition; sections (~2 µm thick) transferred to Cu TEM half-grids; final thinning at 2 kV, 72 pA with section on TEM grid; 4 FIB sections: UH-001 (carbonate region A), UH-002 (carbonate region B), UH-003 (Ca-phosphates), UH-006 (magnetite)","Helios 660 dual-beam FIB-SEM (AEMC, UH Manoa): particle polished and C-coated; Pt deposited by e-beam deposition then by ion beam deposition; sections (~2 µm thick) transferred to Cu TEM half-grids; final thinning at 2 kV, 72 pA with section on TEM grid; 4 FIB sections: UH-001 (carbonate region A), UH-002 (carbonate region B), UH-003 (Ca-phosphates), UH-006 (magnetite)",Particle crushed between two glass slides; ethanol dropped onto powder; TEM copper mesh grid with lacey carbon support touched to suspension; allowed to dry; gentle plasma cleaning performed before inserting into microscope,"FEI Quanta 3D FIB-SEM at JSC; four electron-transparent sections (<100 nm thick): (1) 1× matrix, (2) 5× matrix, (3) 5× sulfide grain, (4) 5× olivine grain",N/A,"FEI Quanta 3D FEG FIB-SEM at JSC; stair-step milling; in situ extraction; thinned to electron transparency (≤100 nm); techniques following Holzapfel et al. 2009, Seifert et al. 2022, Zega et al. 2007","FEI Quanta 3D FEG FIB-SEM at JSC; stair-step milling; in situ extraction; thinned to electron transparency (≤100 nm); techniques following Holzapfel et al. 2009, Seifert et al. 2022, Zega et al. 2007","FEI Helios G3 Dual Beam FIB-SEM at NRL; ~80 nm amorphous C coating applied to grain before FIB; 1–2 µm e-beam amorphous C protection strip; initial in situ thinning to ~1–2 µm, then Pt-welded to Cu TEM half-grid; thinned to ~80–100 nm; stored under N₂; baked 140°C for 8 h under vacuum before TEM","FEI Helios G3 Dual Beam FIB-SEM at NRL; ~80 nm amorphous C coating applied to grain before FIB; 1–2 µm e-beam amorphous C protection strip; initial in situ thinning to ~1–2 µm, then Pt-welded to Cu TEM half-grid; thinned to ~80–100 nm; stored under N₂; baked 140°C for 8 h under vacuum before TEM","FEI Scios Dual-beam FIB-SEM at Institute of Geochemistry, CAS (IGCAS), Guiyang; Wirth method (Wirth, 2009 Chem. Geol.); ultrathin foils <100 nm; characterized in sequence: FE-STEM → Auger nanoprobe → TEM-EELS; FIB foils cleaned with 1 keV Ar+ beam (PHI 710) before Auger and EELS analysis","FEI Scios Dual-beam FIB-SEM at Institute of Geochemistry, CAS (IGCAS), Guiyang; Wirth method (Wirth, 2009 Chem. Geol.); ultrathin foils <100 nm; characterized in sequence: FE-STEM → Auger nanoprobe → TEM-EELS; FIB foils cleaned with 1 keV Ar+ beam (PHI 710) before Auger and EELS analysis"
Sample Name,"Name or identifier of each sample analysed in this session, as used in the laboratory — a sample mount, section or aliquot counts as one entry where that is what the laboratory tracks. Should match the identifier used in associated publications or data tables.",N/A,Basic,Text (free),"e.g., 'Ryugu A0104-00600303 FIB foil 1' | 'Ivuna MZ2-TEM3' | 'Bennu OREX-803079-0 section A'",Source: Core module,2026-08-25,defines: sample,The analysis record corresponds to one session and may cover several samples.,Y,Y,Y,,N,N,N,N,N,"Apollo 11 soil 10084 (grain 11_5A); FIB section 11_5A_1; Apollo 17 soil 78481,49","Apollo 11 soil 10084 (grain 11_5A); FIB section 11_5A_1; Apollo 17 soil 78481,49","Apollo 11 soil 10084 (grain 11_5A); FIB section 11_5A_1; Apollo 17 soil 78481,49",RA-QD02-0125; RA-QD02-0211 (JAXA Hayabusa allocation); Apollo 17 soil 71501 (NASA JSC allocation),CE5C0600YJFM00304 (Chang'e-5 glass bead; CNSA allocation),"Antarctic micrometeorite 03-36-46; FIB sections UH-001, UH-002, UH-003, UH-006","Antarctic micrometeorite 03-36-46; FIB sections UH-001, UH-002, UH-003, UH-006","OREX-800045-102 (Bennu particle; OSIRIS-REx); Na,Ca carbonate grains 4, 11, 22, 27","Murchison CM2 (1×, 5× laser-irradiated); chips dry-cut with low-speed wafer-blade saw (2 cm × 3 cm, unpolished)",N/A,OREX-803173-100 (FIB section from particle OREX-803173-0; contains Ap. #1 and Ap. #2),OREX-803173-100 (FIB section from particle OREX-803173-0; contains Ap. #1 and Ap. #2),1pyx (unexsolved augite) and 2pyx (exsolved pigeonite-augite) — Apollo 17 soil 71501 (<45 µm fraction),1pyx (unexsolved augite) and 2pyx (exsolved pigeonite-augite) — Apollo 17 soil 71501 (<45 µm fraction),"CE5C0400YJFM00505 (Chang'E-5 lunar soil allocation, China National Space Administration)","CE5C0400YJFM00505 (Chang'E-5 lunar soil allocation, China National Space Administration)"
Sampling Unit,"The physical subdivision of the sample to which one row of reported values corresponds — the unit that is analysed and reported, as distinct from the sample as a whole. Where units nest (e.g. confined tracks within grains), state both levels.",Basic,Basic,Controlled list / Text,Whole sample | Aliquot | Grain | Spot | Analysis point | Phase | Sub-volume | Region of interest | N/A | None,Source: Core module,2026-08-30,defines: sampling unit,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
Sample Persistent Identifier,"Globally unique, persistent identifier for each sample listed in Sample Name. IGSN (International Geo Sample Number) is the recommended standard for geological and cosmochemical samples, as used by Astromat, EarthChem and SESAR. Where a sample and its sub-samples are separately registered, record the identifier at the level actually analysed.",Advanced,Advanced,URI / IGSN,"e.g., 'IGSN:AU1234567'",Source: Core module,2026-08-25,sample,,Y,Y,Y,,N/A,N/A,N/A,N/A,N/A,N,N,N,N,CE5C0600YJFM00304 (China National Space Administration allocation number),N,N,OREX-800045-102 (NASA OSIRIS-REx curation number),N,N/A,OREX-803173-100 (OSIRIS-REx curation number),OREX-803173-100 (OSIRIS-REx curation number),N,N,CE5C0400YJFM00505 (CAS allocation number),CE5C0400YJFM00505 (CAS allocation number)
Target Selection Criteria,"The rules governing which part of the sample is analysed, and why. Covers the criteria applied when choosing grains, aliquots, spots, or a region of interest — size, morphology, clarity, freedom from inclusions or alteration, phase identity, or spatial position. Distinct from Target Material, which states the material type the procedure is designed for: this field states how, within such a sample, the analysed portion is picked out.",Basic,Editable,Text (free),,Source: Target Selection module,2026-08-25,(none),,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
Pre-Analysis Imaging and Screening,"Imaging or other characterisation performed before the measurement in order to select or locate the analysed target, including the technique, instrument and settings used, and how individual analyses are linked back to the images. Distinct from any imaging the procedure performs as its own measurement. Where the imaging is performed on a separate instrument, it should also be recorded in the Group 1 coupling fields.",Advanced,Editable,Text (free),,Source: Target Selection module,2026-08-25,sample,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
3. Instrument & Software,,,,,,,,,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
Instrument Manufacturer,"Manufacturer of the instrument that performs the measurement, recorded as a controlled value. Where a procedure couples a sample-introduction system to an analysing instrument, this records the analysing instrument. Instrument Model gives the specific designation.",Basic,Read-Only,Controlled list,JEOL | ThermoFisher Scientific (FEI) | Hitachi | Nion | Zeiss | Unknown | N/A | None,Source: Core module,2026-08-30,(none),Recording it as a controlled value lets procedures be found by vendor.,Y,Y,Y,,ThermoFisher Scientific (FEI),Hitachi,ThermoFisher Scientific (FEI),ThermoFisher Scientific,JEOL,ThermoFisher Scientific (FEI),JEOL,JEOL,JEOL,ThermoFisher Scientific (FEI),ThermoFisher Scientific (FEI),ThermoFisher Scientific (FEI),Thermo Scientific (TS),JEOL,N/A,JEOL,Hitachi,JEOL,Nion,FEI/Thermo Fisher Scientific,Hitachi
Instrument Model,"Model designation of the instrument that performs the measurement, including any generation or configuration suffix. Conventionally written with the manufacturer name included; Instrument Manufacturer records the vendor separately, as a controlled value, so that procedures remain findable by vendor.",Basic,Read-Only,Text (free),"e.g., 'JEM-ARM200F' | 'FEI Titan G2 80-300 (dual Cs-corrected)' | 'Titan Themis 300 S/TEM' | 'Hitachi HF5000' | 'Nion UltraSTEM 200-X' | 'Talos F200X G2'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,FEI Talos 200 kV,Hitachi HF5000 (200 keV),FEI TitanX,ThermoScientific Talos F200-X G2 S/TEM,JEOL 2500SE (200 kV),FEI Tecnai G2 FEG,JEOL JEM-3200FSK,JEOL JEM-ARM200F,JEOL 2500SE 200-kV STEM,FEI Talos F200S,FEI Titan G2 analytical (S)TEM,"FEI TitanX 80–300 kV (""ChemiSTEM"")",Thermo Scientific Talos F200X G2 S/TEM,JEOL 2500SE,N/A,JEOL 2500SE,Hitachi HF5000,JEOL JEM-2200FS,Nion UltraSTEM200-X,FEI Talos F200X,Hitachi HF5000
Electron Source,Type of electron gun used in the instrument.,Basic,Read-Only,Controlled list,Cold-FEG | Schottky FEG (X-FEG) | Schottky FEG (standard) | Field emission gun (FEG) — subtype not specified | LaB6 / CeB6 | Tungsten (W) | Unknown | N/A | None,,2026-08-30,(none),,Y,Y,Y,,N,Cold-FEG,N,N,N,N,N,N,N,N,N,N,N,Schottky field emission gun (FEG),N/A,Schottky field emission gun (FEG),Cold-field emission gun (cold-FEG),N,Cold-field emission gun (cold-FEG),Field-emission gun (FEG),N
Aberration Corrector,Type of aberration corrector installed and active.,Basic,Read-Only,Controlled list,None | Probe Cs-corrected (STEM) | Image Cs-corrected (TEM) | Both probe and image corrected | Cs-corrected (type unknown) | Unknown | N/A | None,,2026-08-30,(none),Probe Cs-correction enables sub-Å STEM resolution and improved analytical signal; image Cs-correction reduces delocalization artifacts in HRTEM.,Y,Y,Y,,N,Probe Cs-corrected (STEM),N,N,N,N,N,N,N,N,N,N,N,N,N/A,N,Third-order spherical aberration (Cs) corrector for STEM mode (probe corrector),N,Aberration corrector (dedicated aberration-corrected STEM; 0.1 nm probe diameter),N,N
Monochromator,Whether a monochromator is installed and was active during this procedure. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s) and EFTEM is not listed in Analytical Sub-mode.,Advanced,Read-Only,Controlled list,Yes — active | Yes — not used | No | Unknown | N/A | None,,2026-08-30,(none),Relevant for EELS energy resolution and EFTEM performance.,Y,Y,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sample Holder,Type of specimen holder used.,Advanced,Editable,Controlled list / Text,Standard (room temperature) | Cryo — liquid N2 (~110 K) | Cryo — liquid He | Heating | Tomography | Unknown | N/A | None,,2026-08-30,(none),Cryo holders (liquid N2 to ~110 K) are critical for minimizing beam-induced damage to organic matter and beam-sensitive phases. Heating holders enable in-situ experiments.,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N,N,N
Spectroscopic Detector(s),Spectroscopic detectors present and used under this procedure. EDS and EELS parameter fields in Group 4 apply only when the corresponding detector is listed here.,Basic,Editable,Controlled list,EDS only | EELS only | EDS and EELS | EELS and EFTEM | EDS and EELS and EFTEM | None | N/A,,2026-08-30,(none),,Y,Y,N,,EDS only,EDS and EELS,EDS only,EDS only,EDS and EELS,N/A,EDS only,EDS only,EDS only,EDS only,EDS only,EDS only,EDS only,EDS (thin-window Thermo EDX),N/A,EDS (JEOL 60 mm² SDD),"EDS (Oxford X-Max N 100 TLE, dual 100 mm² windowless SDDs)",N/A,"EELS (Gatan Enfinium ER Dual EELS); EDS (Bruker X-Flash windowless SDD, 0.7 sr solid angle)",EDS detector (model not specified),EELS (Gatan GIF Quantum ER System Model 965)
EDS Detector Configuration,"EDS detector type, manufacturer, number of detector elements, active area and solid angle, window type, and geometry (take-off angle, position). List multiple detectors separately. Record 'N/A' where the procedure has no EDS detector.",Basic,Read-Only,Text (free),"e.g., 'ThermoFisher Super-X 4-quadrant windowless SDD, ~0.7 sr (ChemiSTEM)' | 'Oxford X-Max N100 TLE dual windowless SDD, 2.0 sr' | 'Bruker XFlash 100, single windowless SDD, 0.7 sr' | N/A",,2026-08-27,(none),,Y,Y,N,,Super-X EDS system; four silicon drift detectors (SDD),Oxford Instruments X-Max N100 TLE EDS; dual 100 mm² windowless SDDs; Ω = 2.0 sr,Bruker quad SDD; Ω = 0.6 sr,Four windowless ThermoScientific EDS silicon drift detectors,JEOL 70 mm² SDD,N/A,JEOL JED-2300 EDX detector,JEOL JED-2300T EDX detector,Thermo-Noran thin-window energy-dispersive X-ray (EDX) spectrometer,Bruker xflash 6T 30 silicon drift detector,N,Four windowless silicon drift detectors (SDD); 0.7 sr solid angle,Super-X G2 EDS system: four windowless silicon drift detectors; collection solid angle up to 0.9 srad,Thin-window Thermo energy-dispersive X-ray spectrometer; 50 mm² detector; configured for large solid-angle X-ray collection,N/A,JEOL 60 mm² silicon-drift detector (SDD) for EDS,Oxford Instruments X-Max N 100 TLE EDS system; dual 100 mm² windowless silicon-drift detectors,N/A,Bruker X-Flash windowless silicon-drift detector (SDD); 0.7 sr solid angle,N,N/A
EELS Spectrometer,"EELS spectrometer manufacturer, model, and key capabilities including post-column GIF model and energy resolution. Record 'N/A' where EELS is not listed in Spectroscopic Detector(s).",Advanced,Read-Only,Text (free),"e.g., 'Gatan Quantum GIF ERS 966, post-column, energy resolution 0.3 eV (monochromated)' | 'Gatan Tridium 866 s GIF, monochromated, ~0.3 eV resolution' | 'Gatan GIF Quantum 966, energy resolution ~1.0 eV (non-monochromated)' | N/A",,2026-08-11,(none),,Y,Y,N,,N/A,Gatan Quantum EELS (post-column),N/A,N/A,Gatan Tridiem GIF,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,JEOL in-column Omega energy filter (EFTEM mode; 10-eV slit; used for Ca M-edge mapping at 35 eV energy loss),Gatan Enfinium ER Dual EELS spectrometer (simultaneous low-loss and core-loss),N/A,Gatan GIF Quantum ER System Model 965 parallel EELS spectrometer
Imaging and Diffraction Detectors,List of detectors available and used under this procedure for STEM imaging and TEM/SAED/CBED diffraction recording. Include HAADF/ABF/BF detector geometries and TEM/diffraction camera model.,Advanced,Read-Only,Text (free),"e.g., 'HAADF: Fischione Model 3000 (~50–200 mrad); ABF: ~8–18 mrad; BF: on-axis. TEM/diffraction camera: Gatan OneView 4k CMOS. SAED camera: Gatan Ultrascan 1000 CCD.'",,2026-08-11,(none),,Y,Y,Y,,N,"BF, DF, SE STEM detectors; Gatan OneView 4096×4096 CMOS camera",N,ThermoScientific Ceta-S 4096×4096 16 M camera (TEM images and SAED patterns),"BF, DF, SE STEM detectors; Gatan OneView 4096×4096 CMOS camera (HRTEM and electron diffraction)",N,N,N,N,N,N,N,TS Ceta-S 4k × 4k 16M camera (TEM images and SAED),BF detector; DF (ADF) detector,N/A,BF STEM detector; DF STEM detector; SE STEM detector,BF STEM detector; DF STEM detector; SE STEM detector; Gatan OneView 4k×4k pixel CMOS camera (TEM imaging and SAED),"BF TEM detector; Gatan OneView CMOS camera (TEM imaging, SAED, HRTEM)",HAADF-STEM detector (DigiScan),HAADF-STEM detector; DF TEM detector,HAADF-STEM detector
4D-STEM Detector,"Direct electron detector used for 4D-STEM data acquisition, recording a full diffraction pattern at each probe position. If a GIF is used as the mounting platform (enabling energy-filtered 4D-STEM), specify this. Record 'N/A' where 4D-STEM is not listed in Analytical Sub-mode.",Advanced,Read-Only,Text (free),"e.g., 'Medipix3 Merlin hybrid-pixel direct electron detector (256×256 px, 1 kHz frame rate, mounted on GIF Quantum ERS enabling energy-filtered 4D-STEM)' | 'Gatan K3 camera in counting mode' | 'EMPAD' | 'N/A'",,2026-08-11,(none),,N,N,Y,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Acquisition Software,"Instrument control, automation and data acquisition software used to collect the raw data, including version number. Distinct from Data Processing Software(s), which covers everything applied to the data after acquisition.",Basic,Editable,Text (free),"e.g., 'Gatan DigitalMicrograph 3.53' | 'ThermoFisher Velox 3.14' | 'JEOL Analysis Station' | 'Nion Swift'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,N,N,ThermoScientific Velox,Thermo System7,N,N,N,N,Velox Revision 2.14 (Thermo Fisher Scientific),N,N,TS Velox,N,N/A,N,Gatan DIFPack (SAED pattern measurement); SingleCrystal (simulated diffraction patterns),N,N,N,N
SAED Pattern Simulation Software,"Software used to simulate electron diffraction patterns for comparison with experimental SAED patterns during phase identification (e.g., SingleCrystal, CrystalMaker, JEMS, DIFPACK). Complements the Acquisition Software field, which covers data collection; simulation software is used at the interpretation and data processing step.",Advanced,Editable,Text (free),"SingleCrystal (CrystalMaker Software, Ltd., v4.3); JEMS; CrystalMaker; EMC; None",,2026-08-11,(none),,N,N,Y,,N,N,N,N,N,N,N,N,N,N/A,N,N,N,N/A,N/A,N/A,SingleCrystal (CrystalMaker Software),"SingleCrystal (CrystalMaker Software, Ltd., Oxford, UK)",N/A,N,N/A
Data Processing Software(s),"All software applied to the data after acquisition in order to produce the reported quantities, including version numbers. List every package used. Distinct from Acquisition Software, which controls the instrument and collects the raw data.",Basic,Editable,Text (free),"e.g., 'Gatan DigitalMicrograph 3.53 (EELS processing, FFT, d-spacing measurement from SAED); py4DSTEM v0.14 (4D-STEM Bragg mapping, ACOM); Bruker Esprit 1.9 (EDS quantification, Cliff-Lorimer); WinHREM 3.0 (diffraction simulation and indexing)'",Source: Core module,2026-08-25,(none),,Y,Y,Y,,N,CRISP (SAED analysis); Adobe Photoshop (d-spacing measurement from calibrated camera constants),Python (sequential map combination),ThermoScientific Velox,Thermo System7 (EDS quantification),N,N,N,N,Velox Revision 2.14 (Thermo Fisher Scientific),N,Bruker Esprit 1.9,TS Velox,N,N/A,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N,N,N,N,N,N
