Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example/Allowed Content,Comments,Last Update,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Nakanishi et al. 2022
(GCA 319)
CR chondrite metal (HSE)
Spot analysis
fs-LA-Q-ICP-MS
Tokyo Institute of Technology","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas","Liu et al. 2024
(JAAS 39)
Extraterrestrial samples
(Li-borate flux glass)
Spot analysis
fs-LA-Q-ICP-MS
Chinese Academy of Sciences","Liu et al. 2025
(GCA 393)
Experimental silicate glass
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2025
(GCA 393)
Experimental sulfide
Spot analysis
ns-LA-Q-ICP-MS
Guangzhou Inst. Geochemistry","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Silicates, oxides & glass
Spot analysis
LA-Q-ICP-MS
Virginia Tech","Liu et al. 2016
(M&PS 51)
Tissint martian meteorite
Phosphate (merrillite)
Spot analysis
LA-Q-ICP-MS
Virginia Tech"
Interface Cone Configuration,Combination of sample cone and skimmer cone installed during analysis.,Basic,Read-Only,Text (free),"e.g., 'Ni standard sample cone + Ni H-type skimmer' | 'Al standard sample cone + Al H-type skimmer (1.1 mm aperture)' | 'Pt sample cone + Pt skimmer'",,2026-05-14,Y,Y,Y,,N,Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),Al standard sample cone (1.1 mm aperture); Al H-type skimmer (0.8 mm aperture),N (parameters lost),Ni micro-skimmer cone Xs; Ni sampler cone,Ni sampler cone; Ni skimmer cone,Ni sampler cone; Ni skimmer cone,N,N,N,N,N
Sampler and Skimmer Cone Material,"Material composition of the sampler and skimmer cones. Common materials are nickel (standard), platinum (for high-TDS or organic-matrix samples), and aluminium (for high-purity work). Cone material affects sensitivity, matrix tolerance, and long-term stability. State both sampler and skimmer materials; if identical, a single statement is acceptable.",Advanced,Read-Only,Text (free),"Nickel (Ni) sampler and skimmer cones (standard configuration); Platinum (Pt) sampler, nickel (Ni) skimmer",,2026-05-14,Y,Y,Y,,,,,,,,,,,,,,
Torch Depth,"Distance between the load coil and the sampling cone tip (mm), also called injector depth or torch position depending on the instrument manufacturer. Affects ion transmission efficiency, oxide formation, and doubly-charged species production. The procedure specifies a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.",Advanced,Editable,Text (free),5 mm; Standard position (manufacturer default; not explicitly reported),,2026-07-24,Y,Y,Y,,,,,,,,,,,,,,
Torch Type,Type of plasma torch installed. Injector inner diameter (typically 1.5–2.5 mm) affects aerosol transport efficiency and plasma conditions in LA-ICP-MS.,Advanced,Read-Only,Text (free),Standard quartz | High-matrix (low-flow) | Low-volume | N/A | None | Other: specify,,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Guard Electrode,Whether the guard electrode (also called extraction lens or Fassel torch shield) was active during analysis.,Basic,Read-Only,Controlled list,On | Off | Not applicable (instrument does not have guard electrode),,2026-05-06,Y,Y,Y,,N,N,N,N,N,N,On (active),On (active),N,N,N,N,N
Mass Resolution Setting,"Operating mass resolution of the mass analyser. For quadrupole instruments this is fixed at unit resolution by instrument design. For sector-field instruments the analyst selects low, medium, or high resolution to balance sensitivity against spectral interference suppression.",Basic,Editable,Text (free),"e.g., Unit resolution — quadrupole (fixed) | Low resolution — SF (~300 m/Δm) | Medium resolution — SF (~3000 m/Δm) | High resolution — SF (~10000 m/Δm) | Other: specify","SF-ICP-MS: adjustable mass resolution (300–10,000); Q-ICP-MS: unit resolution only",2026-05-14,Y,Y,Y,,Low resolution (M/ΔM ≈ 400),Low resolution (M/ΔM = 300; cool plasma mapping),Run 1: Medium resolution (M/ΔM = 4000) for major elements; Run 2: Low resolution (M/ΔM = 300) for trace elements,Low resolution (M/ΔM = 300),Medium resolution (m/Δm ≈ 4000),Unit resolution (quadrupole fixed),Low resolution (M/ΔM = 300),Low resolution (M/ΔM = 300),Unit resolution (quadrupole; ICP-MS/MS mode not specified),Unit resolution (quadrupole fixed),Unit resolution (quadrupole fixed),N (unit resolution implied for quadrupole; not explicitly stated) [P4],N (same as silicate protocol) [P4]
Detector Configuration,"Type(s) of detector(s) installed in the mass spectrometer. For single-collector instruments, note whether dual pulse-counting/analog mode is used. For multi-collector instruments, describe the Faraday/multiplier cup layout.",Basic,Read-Only,Text (free),"e.g., 'Single SEM, dual mode (pulse counting and analog)' | 'Single SEM in triple mode (pulse, analog, Faraday)' | 'Nine Faraday cups + one ion counter (MC)'",,2026-05-06,Y,Y,Y,,Triple mode detection (pulse counting + analog + Faraday) at 65% duty cycle,Triple mode detection (all analytical modes),Triple mode detection; Faraday used for major elements in run 1,Triple mode detection,N (parameters lost),N,"Triple mode detector (pulse counting, analog, Faraday)","Triple mode detector (pulse counting, analog, Faraday)",Dual mode detector (30 ms / 10 ms dwell alternation),N,N,N,N
Collision/Reaction Cell (CRC) Configuration,"Whether a collision or reaction cell is installed and its operating mode. In standard mode (STD), no cell gas is introduced and the cell acts only as an ion guide. In kinetic energy discrimination (KED) mode, helium thermalizes ions so that polyatomic interferences (larger collision cross-section) are selectively retarded by a cell exit barrier voltage. In dynamic reaction cell (DRC) mode, a reactive gas selectively neutralizes specific interferences through ion-molecule reactions. On ICP-MS/MS instruments (e.g., Agilent 8900), a second mass filter preceding the cell enables precursor-ion selection. Specific gas types, flow rates, and cell voltages are documented in Group 4. Record 'Not applicable' for SF-ICP-MS instruments, which lack collision/reaction cells.",Basic,Read-Only,Controlled list,"STD (standard mode, no gas) | KED (kinetic energy discrimination, He gas) | DRC (dynamic reaction cell, reactive gas) | ICP-MS/MS (triple-quadrupole mode) | N/A | Other: specify",Q-ICP-MS only,2026-08-10,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Laser Wavelength and Type,Wavelength and type of the laser used for ablation in nanometres.,Basic,Read-Only,Text (free),"e.g., '193 nm ArF excimer' | '213 nm Nd:YAG frequency-quintupled' | '257 nm Yb:KGW femtosecond' | '1030 nm Yb:KGW IR femtosecond'",,2026-05-14,Y,Y,Y,,N,193 nm ArF excimer; pulse duration ~5 ns,193 nm ArF excimer; pulse duration ~5 ns,193 nm ArF excimer; pulse duration ~5 ns,193 nm solid-state (New Wave UP-193),260 nm Ti:sapphire femtosecond UV; pulse duration ~220 fs (IFRIT system),193 nm ArF excimer; pulse duration 4 ns,193 nm ArF excimer; pulse duration 4 ns,343 nm fs (GenesisGEO high-repetition-rate femtosecond laser),193 nm (CetacAnalyte HE; ns pulse),193 nm (CetacAnalyte HE; ns pulse),193 nm Excimer (ArF excimer) [P4],193 nm Excimer (ArF excimer) [P4]
Acquisition Software,"Instrument control and data acquisition software used to collect raw signal data, including version number. Separate from data reduction software.",Basic,Editable,Text (free),"e.g., 'Thermo Qtegra 2.10.3324' | 'Agilent MassHunter Workstation 4.6' | 'Thermo PlasmaLab 2.5.4'",,2026-05-06,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Data Reduction Software,"Software used for signal processing, background subtraction, and concentration calculation, including version number.",Basic,Editable,Text (free),"e.g., 'Iolite 4.7 (Paton et al. 2011)' | 'GLITTER 4.4' | 'SILLS 1.1.5 (Guillong et al. 2008)' | 'LAtools' | 'In-house MatLab script'",,2026-05-14,Y,Y,Y,,"N (paper only states ""standardization techniques followed those of Humayun (2012)""; no software named)",In-house MatLab script (Appendix C1),In-house MatLab script (Appendix C2),In-house MatLab script (Appendix C3),Excel spreadsheets developed by C.-T. A. Lee (Rice University),N (in-house reduction implied),iolite 4.5.7 with 3D Trace Elements DRS,iolite 4.5.7 with 3D Trace Elements DRS,Iolite 4 (Paton et al. 2011),N,N,"AMS ver. 1.0 (Mutchler et al. 2008; Analysis Management System, stand-alone software) [P4]",AMS ver. 1.0 (Mutchler et al. 2008) [P4]
Ablation Cell Type,"Type, design origin, and internal volume of the ablation cell. Cell volume is a primary determinant of aerosol washout time and therefore the achievable time resolution of the data.",Basic,Read-Only,Text (free),"e.g., 'Two-volume HelEx II (Müller et al. 2009)' | 'HDIP low-dispersion tube-type cell' | 'Single-volume standard cell' | 'ARIS (Aerosol Rapid Introduction System)'",,2026-05-14,Y,Y,Y,,N,HELEX II two-volume ablation cell,HELEX II two-volume ablation cell,HELEX II two-volume ablation cell,N (standard cell; parameters lost),N,HelEx II two-volume sample cell,HelEx II two-volume sample cell,N,Cetac Analyte HE system (stated as the laser ablation system coupled to Agilent 7900),Cetac Analyte HE system (same as silicate glass protocol),N,N
Sample Introduction,"Configuration by which the ablated aerosol is delivered to the plasma, including tubing, any signal-homogenising device, and any co-aspirated solution introduced alongside the aerosol — for example a Tl solution used for instrumental mass bias correction, or an isotopic spike used for isotope dilution. Distinct from the carrier and make-up gas fields, which record gas identity and flow rather than what else enters the plasma.",Basic,Read-Only,Text (free),"e.g., 'Squid signal homogeniser, 2 m PTFE tubing, no co-aspiration' | 'Dry plasma; Tl solution co-aspirated via desolvating nebuliser for mass bias correction'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
4. Measurement Information,,,,,,,,N,N,N,N,,,,,,,,,,,,N,N
Analytical Mode,"Primary analytical mode(s) executed under this procedure. For single-mode procedures, records one value (e.g., Spot). For multi-mode procedures (e.g., spot analysis combined with transect scanning), list all applicable modes. Serves as the procedure-level declaration of measurement type, distinct from the mode flag columns which indicate per-field applicability.",Basic,Read-Only,Controlled list,'Spot' | 'Transect' | 'Mapping' | 'Spot; Transect',,2026-07-24,Y,Y,Y,,,,,,,,,,,,,,
Laser Spot Geometry,"Shape and dimensions of the laser ablation spot in micrometres registered by the procedure. For circular spots, report diameter; for square or rectangular spots, report width × length. The procedure registers the typical geometry; analysts may adjust within procedure-allowed range.",Basic,Editable,Text (free),"e.g., '25 µm circular' | '20×20 µm square' | '15 or 25 µm circular (phase-dependent)'",,2026-07-24,Y,Y,Y,,Raster: 50 µm circular beam spot; Spot (Ge): 150 µm circular,20×20 µm square,Run 1 (major): 30 µm circular; Run 2 (trace): 130 µm circular,110 µm circular (spot mode),75 µm circular,30 µm circular,150 µm circular,150 µm square (mapping mode),100×100 µm square (stated as 100 µm diameter spot at 1 Hz),40 µm circular (silicate glass),20 µm circular (sulfide; grain sizes >20 µm selected),24 and 32 µm diameter (commonly used for silicates and glass); 90 µm (some olivine analyses to evaluate low REE signal sampling) [P4],~24 µm diameter [P4]
Spot Diameter (Measured),"Diameter of the laser spot as independently measured on the sample or on a test material, distinct from the nominal value the procedure registers. Measured companion to Laser Spot Geometry: nominal and delivered spot size can differ appreciably with optics condition and focus.",N/A,Basic,Numeric (µm),"e.g., '32.4' | 'nominal 35, measured 33.1 +/- 0.8 (n = 12 pits, white-light profilometry)'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Laser Spot Path / Ablation Mode,Sampling mode or ablation pattern used during analysis.,Basic,Read-Only,Controlled list,Spot (stationary) | Transect (continuous line scan) | Raster area (2D elemental mapping) | Stepped line profile | Other: specify,,2026-05-14,Y,Y,Y,,Raster area (2D mapping) for most irons; Spot (stationary) for Ge analysis on 5 irons,Raster area (2D elemental mapping),"Transect (line scan, run 1) + Spot (run 2 on same location after pre-ablation)",Spot (stationary),Spot (stationary),Spot (stationary),Spot (stationary),Raster area (2D elemental mapping),Spot (stationary; single spot at 1 Hz),"N (ablation mode not explicitly stated; ""beam diameter"" terminology used but ""spot"" or ""spot mode"" not written)",N (ablation mode not explicitly stated),Spot (stationary) [P4],Spot (stationary) [P4]
Laser Energy,Laser pulse energy in millijoules as set at the laser output or measured at the sample surface. Less commonly reported than fluence because it does not account for spot area. Report only when the system displays energy directly. Laser fluence (J cm⁻²) is the preferred quantity and is captured in Default Laser Fluence.,Advanced,Editable,Numeric (mJ),"e.g., 0.001 mJ | 3.5 mJ",,2026-05-06,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,150 mJ output energy [P4],150 mJ output energy [P4]
Laser Fluence (Energy Density),"Laser pulse energy per unit area at the sample surface in J cm⁻², as registered by the procedure. Fluence is the physically meaningful quantity controlling ablation rate, crater morphology, elemental fractionation, and particle size distribution. If the system reports only as % of maximum output, include that value and note the system maximum where known.",Basic,Editable,Numeric (J cm⁻²),"e.g., '3.5 J cm⁻²' | '7 J cm⁻²' | '60% output (PHAROS system, max ~15 J cm⁻²)'",,2026-07-24,Y,Y,Y,,"N (no fluence reported; energy density characterized as ""sufficient to resolve Ge from background argide"")",5–7 J cm⁻²,Run 1 (major): 4.72 J cm⁻²; Run 2 (trace): 4.72 J cm⁻²,3.5 J cm⁻²,N (parameters lost),12 J cm⁻²,7 J cm⁻²,7 J cm⁻²,6.79 J cm⁻²,"~2.5 J cm⁻² (stated as ""energy of ~2.5 J/cm²"")",~2.5 J cm⁻²,7–10 J/m² (stated in paper; units as written; likely a typographic error for J/cm²) [P4],7–10 J/m² (same as silicate protocol) [P4]
Laser Beam Energy Profile,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed. A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam. This is a fixed hardware property of the laser system.",Advanced,Read-Only,Controlled list / Text,Flat-top (top-hat) — beam homogenizer installed | Gaussian — no beam homogenizer | Not stated | N/A | None,,2026-05-13,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
Laser Repetition Rate,"Laser pulse repetition rate in hertz registered by the procedure. For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution. Analysts may adjust within procedure-allowed bounds.",Basic,Editable,Numeric (Hz),"e.g., 5 | 10 | 20 | 100",,2026-07-24,Y,Y,Y,,Raster: 50 Hz; Spot (Ge): 50 Hz,20 Hz,Run 1 (major): 20 Hz; Run 2 (trace): 40 Hz,20 Hz,N (parameters lost),20 Hz,10 Hz,10 Hz,1 Hz,7 Hz,7 Hz,5 Hz [P4],5 Hz [P4]
Laser Pulse Duration,"Duration of each individual laser pulse, including units. Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects. This is a fixed hardware property of the laser system.",Basic,Read-Only,Text (free),"e.g., '4 ns (ArF excimer)' | '20 ns' | '290 fs (Yb:KGW)' | '220 fs (Ti:sapphire)'",,2026-05-13,Y,Y,Y,,N (UP193FX; ns solid-state; pulse duration not reported),~5 ns (ArF excimer),~5 ns (ArF excimer),~5 ns (ArF excimer),N (parameters lost),~220 fs (Ti:sapphire IFRIT system),4 ns (ArF excimer Excite 193),4 ns (ArF excimer Excite 193),Femtosecond (exact value not stated; GenesisGEO fs laser),N (ns; CetacAnalyte HE; pulse duration not reported),N (ns; CetacAnalyte HE),N (ns excimer system; pulse duration not stated) [P4],N (same as silicate protocol) [P4]
Ablation Duration per Spot,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. This is a procedure-level parameter for spot analysis: it reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and therefore analysis-level, not captured here.",Basic,Editable,Numeric (s),"e.g., 40 s | 60 s | 90 s",,2026-07-24,Y,N,N,,N/A (raster) / 20 s (spot Ge at 50 Hz),N/A (mapping mode),"N/A (line scan run 1) / N/A (spot run 2 — duration set by 34 runs covering 400 µm + washout, not a fixed spot duration)",20 s spot ablation (plus 10 s washout); 25 cycles acquisition,N (parameters lost),N,40 s on-sample ablation (after 20 s background measurement),N/A (mapping mode),45 s ablation (after 25 s gas blank; 25 s washout between analyses),~40 s (inferred from typical CetacAnalyte HE protocol for glass),~40 s (same protocol; grain size >20 µm selected),N (not stated) [P4],N (not stated) [P4]
Ablation Pit Depth and Ablation Rate,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate. Sets the achievable depth resolution and governs downhole elemental fractionation. For transect and mapping the equivalent quantity is trench depth under the same conditions.",Basic,Editable,Text (free),"e.g., 'Pit depth 18 um after 300 pulses (white-light profilometry); 60 nm/pulse' | 'Trench depth 4 um at 5 um/s scan speed'",,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
"Transect Rate, Mapping Rate or Step Size","For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹. This is the procedure-level parameter that, together with spot size and repetition rate, determines spatial resolution along the scan direction. For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable. For stepped line profiles: the distance between successive spot positions in µm.",Advanced,Editable,Text (free),"e.g., '5 µm s⁻¹ (transect)' | '9 µm s⁻¹ (raster mapping, 20×20 µm spot, 20 Hz)' | '20 µm step size' | '0.3–30 mm² h⁻¹ (mapping rate range)'",,2026-07-24,N,Y,Y,,10 µm s⁻¹ (raster scan); N/A (spot Ge),9 µm s⁻¹ (continuous raster),10 µm s⁻¹ (line scan run 1); spot mode (run 2),N/A (spot mode),N/A (spot mode),N/A (spot mode),N/A (spot mode),10 µm s⁻¹ (continuous raster scan),N/A (spot mode),N/A (spot mode),N/A (spot mode),N/A (spot analysis),N/A (spot analysis)
Raster Line Spacing (Mapping Only),"Distance between adjacent raster lines in a 2D elemental map, measured perpendicular to the scan direction, in micrometres. Together with spot size, this determines whether adjacent lines are contiguous (line spacing = spot size), overlapping (line spacing < spot size), or have gaps (line spacing > spot size). Applies to raster mapping only.",Basic,Editable,Text (free),"20 µm (contiguous, equal to spot size) | 15 µm pitch with 5 µm gap between lines | N/A (spot or line-scan mode)",,2026-05-06,N,N,Y,,N (line spacing not explicitly stated; 50 µm spot scanned at 10 µm s⁻¹),20 µm (contiguous; 20×20 µm square spot = line spacing equals spot width),N/A (line scan + spot; not 2D mapping),N/A (spot mode),N/A (spot mode),N/A (spot mode),N/A (spot mode),N (line spacing not stated; 150 µm spot at 10 µm s⁻¹),N/A (spot mode),N/A (spot mode),N/A (spot mode),N/A (spot analysis),N/A (spot analysis)
Carrier Gas and Flow Rate,"Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the procedure-registered target flow rate(s). Helium is standard for most UV laser systems due to superior aerosol transport. Flow rates are procedure targets; actual session values may be adjusted within ±10% during tuning.",Basic,Editable,Text (free),"e.g., 'He, 0.75 l min⁻¹' | 'He: MFC-1 (cell) 0.60 l min⁻¹ + MFC-2 (cup) 0.35 l min⁻¹'",,2026-07-24,Y,Y,Y,,N,He: MFC-1 (cell) 0.200–0.260 l min⁻¹; MFC-2 (cup) 0.220–0.385 l min⁻¹,He: MFC-1 0.19 l min⁻¹; MFC-2 0.22 l min⁻¹,He: MFC-1 0.270 l min⁻¹; MFC-2 0.250 l min⁻¹,N (parameters lost),Carrier gas flow: 0.6 L/min; species not named (carrier gas identity not stated in Table 1 or text),He: 0.6 l min⁻¹ (MFC 1) + 0.7 l min⁻¹ (MFC 2) in HelEx II cell; combined with Ar makeup via T-piece near torch,He: 0.6 l min⁻¹ (MFC 1) + 0.7 l min⁻¹ (MFC 2) in HelEx II cell,He: 0.7 l min⁻¹ (chamber) + 0.1 l min⁻¹ (cup gas),He (flow rate not stated; carrier gas with N₂ or Ar mixed for sensitivity optimization),He (flow rate not stated; same system as glass protocol),N (not stated) [P4],N (not stated) [P4]
Plasma / Make-up Gas Addition,"Additional gas(es) mixed into the carrier stream downstream of the ablation cell, with the procedure-registered target flow rate. Ar make-up gas is standard. Small N₂ additions can enhance sensitivity for some elements. If N₂ is not added, state ""None"" explicitly to distinguish from not reported.",Advanced,Editable,Text (free),"e.g., 'Ar make-up gas, 0.95 l min⁻¹' | 'Ar make-up 0.80 l min⁻¹ + N₂ 2 ml min⁻¹ (sensitivity enhancement)' | 'None (no N₂ added)'",,2026-07-24,Y,Y,Y,,N,Ar make-up: 0.81–0.99 l min⁻¹ (mapping); N₂ explicitly not added,Ar make-up: 0.947 l min⁻¹ (run 1 and run 2); N₂ not added,Ar make-up: 0.96 l min⁻¹; N₂ not added,N (parameters lost),Ar make-up: 0.9–1.2 l min⁻¹; Ar auxiliary: 0.6–1.2 l min⁻¹,Ar make-up gas (combined via T-piece in sample transport line near torch; flow rate not stated separately),Ar make-up gas (same as spot protocol),N (gas not separately specified beyond total plasma flow),N₂ or Ar mixed into He carrier for sensitivity optimization (amounts not stated),N₂ or Ar mixed (same protocol as glass),N (not stated) [P4],N (not stated) [P4]
Coolant (Plasma) Gas Flow Rate,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min. Determines plasma volume and stability. Set during initial plasma optimisation and confirmed at each session start.",Basic,Editable,Numeric (L/min),14 L/min | 15 L/min | Other: specify,,2026-06-17,Y,Y,Y,,N,Cool: 15 l min⁻¹ Ar; Auxiliary: 0.81 l min⁻¹ (mapping),Cool: 15 l min⁻¹ Ar; Auxiliary: 0.90 l min⁻¹ (run 1 and run 2),Cool: 15 l min⁻¹ Ar; Auxiliary: 0.85 l min⁻¹,N,Cool gas: 12–13 l min⁻¹ Ar; Auxiliary: 0.6–1.2 l min⁻¹,Plasma gas: 16 l min⁻¹; Auxiliary: 0.9 l min⁻¹; Nebulizer gas (from table): 1.1 l min⁻¹,Plasma gas: 16 l min⁻¹; Auxiliary: 0.9 l min⁻¹,Plasma gas flow: 15 l min⁻¹; Auxiliary gas: 0.85 l min⁻¹,N,N,N (not stated) [P4],N (not stated) [P4]
Auxiliary Gas Flow Rate,"Flow rate of the intermediate (auxiliary) argon gas stream that positions the plasma relative to the load coil, in L/min. Affects ion extraction efficiency and oxide production rates. Distinct from the carrier gas (which transports ablation aerosol) and the coolant (plasma) gas.",Basic,Editable,Numeric (L/min),0.8 L/min | 1.0 L/min | 1.2 L/min | Other: specify,,2026-06-17,Y,Y,Y,,N,N,N,N,N,N,N,N,N,N,N,N,N
RF Power,"ICP radiofrequency forward power in watts. Affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect. The procedure registers a target value optimised during initial setup; the analyst confirms or fine-adjusts during session tuning.",Basic,Editable,Numeric (W),"e.g., 800 W | 1200 W | 1350 W | 1550 W",,2026-07-28,Y,Y,Y,,N (not reported),800 W (cool plasma for mapping),1000 W (run 1 major elements + run 2 trace elements),1000 W,N (parameters lost),1400 W,1200 W,1200 W,1550 W,N (Agilent 7900; standard conditions implied),N (same instrument),N (not stated) [P4],N (not stated) [P4]
Plasma Thermal Mode,"Whether the ICP plasma is operated under cool plasma (≤900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). This is a fundamental method design choice that determines which interference corrections are necessary and should be documented independently of the RF Power field.",Basic,Read-Only,Controlled list,Normal plasma (>1000 W RF) | Cool plasma (≤900 W RF) | Mixed: specify mode per analytical sub-run,,2026-05-14,Y,Y,Y,,N,Cool plasma (800 W RF) to reduce Ar-based argide interferences on ⁶⁰Ni and ⁷¹Ga,Normal plasma (1000 W RF),Normal plasma (1000 W RF),N,N,N,N,N,N,N,N (not stated) [P4],N (not stated) [P4]
Signal Smoothing,"Description of any signal smoothing device or approach installed between the ablation cell and the ICP-MS to reduce pulse-to-pulse signal variability. Note: active signal smoothing devices (e.g., squid, SCFAST) are generally incompatible with high-resolution raster mapping because they degrade spatial resolution by mixing aerosol from successive laser shots. For mapping analyses, report ""None"" explicitly.",Advanced,Editable,Text (free),"e.g., 'Squid 2.0 (laurin technik)' | 'ARIS (Aerosol Rapid Introduction System)' | 'None'",,2026-05-14,Y,Y,Y,,N,None (no signal smoothing device; N₂ not added),None,None,N (parameters lost),N,None,None,N,N (CetacAnalyte HE; smoothing status not reported),N,N (not stated) [P4],N (not stated) [P4]
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily auto-tune on NIST SRM 612; optimised for max sensitivity on ¹³⁹La and ²³²Th with ThO⁺/Th⁺ <0.5% and U/Th = 1.0 ± 0.05'",,2026-05-14,Y,Y,Y,,N,Daily tuning; cool plasma conditions optimized; N₂ explicitly not added to avoid N-based interferences,Same instrument as mapping; tuning optimized per run (different RF power and resolution settings per run),Same instrument as olivine runs; tuned for normal plasma conditions,N (parameters lost),N,ICP and laser settings optimized daily for optimum signal intensity and low oxide formation (factory specifications; mass calibration and detector cross-calibration checked and redone if required),Same as spot protocol,Gas flows optimized via spot ablation of NIST SRM 612 to obtain maximum signal intensities while maintaining ThO/Th <0.3% and U/Th at 0.95–1.05,N (standard daily optimization implied),N,N (not stated) [P4],N (not stated) [P4]
Sensitivity as Useful Yield,"Instrument sensitivity expressed as useful yield: the percentage of sampled atoms of a given element ultimately detected as ions, with the method used to derive it cited. A more rigorous and more comparable statement of sensitivity than counts per second per unit concentration, which depends on spot size, fluence and repetition rate.",N/A,Advanced,Numeric (%),"e.g., '0.42 (U, method of Horstwood et al. 2016)' | 'Pb 0.31%, U 0.44%'",Analyte-Specific,2026-08-08,Y,Y,Y,,,,,,,,,,,,,,
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. The ThO⁺/Th⁺ ratio (mass 248/232) is most widely used, but UO⁺/U⁺ (mass 254/238) or CeO⁺/Ce⁺ (mass 156/140) may also be used. Report both the measurement method (which oxide proxy) and the threshold value.",Basic,Read-Only,Text (free),"e.g., 'ThO⁺/Th⁺ (248/232) <0.5%' | 'ThO⁺/Th⁺ <0.3%; UO⁺/U⁺ monitored at 0.95–1.05' | 'CeO⁺/Ce⁺ <1.0%'",,2026-05-06,Y,Y,Y,,N (not reported; no oxide proxy threshold stated),ThO⁺/Th⁺ (mass 248/232); threshold not explicitly stated but minimized by cool plasma,N (normal plasma; no threshold stated for runs 1 and 2),N (normal plasma; no threshold stated),N (parameters lost),N,N (factory optimization criterion; exact threshold not stated),N (same as spot protocol),ThO⁺/Th⁺ (mass 248/232) <0.3%; U/Th monitored at 0.95–1.05,N,N,N (not stated) [P4],N (not stated) [P4]
