Metadata Item,Description,Procedure-Level Tier,Analysis-Level Tier,Data Type,Example / Allowed Content,Comments,Last Update,Keyed By,Purpose,Spot,Transect,Mapping,Literature Assessment,"Zhang et al. 2022
(GCA 323)
Iron meteorites
Raster mapping + Spot (Ge)
ns-LA-SF-ICP-MS
Florida State University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Raster mapping (2D)
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite olivine
Line scan (Run 1: major) +
Spot (Run 2: trace)
[Multi-run]
ns-LA-SF-ICP-MS
Ghent University","Chernonozhkin et al. 2021
(Chem Geol 562)
Pallasite phosphate
Spot analysis
ns-LA-SF-ICP-MS
Ghent University","Mittlefehldt 2024
Appendix A
Pallasite olivine
Spot analysis
ns-LA-SF-ICP-MS
Johnson Space Center","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Spot analysis
ns-LA-SF-ICP-MS
University of Campinas","Navarro et al. 2024
(ACS ESC 8)
Iron meteorites
Raster mapping (2D)
ns-LA-SF-ICP-MS
University of Campinas"
Laser Spot Geometry,"Shape and dimensions of the laser ablation spot in micrometres registered by the procedure. For circular spots, report diameter; for square or rectangular spots, report width × length.",Basic,Editable,Text (free),"e.g., '25 µm circular' | '20×20 µm square' | '15 or 25 µm circular (phase-dependent)'",Source: Laser Ablation module,2026-08-26,(none),,Y,Y,Y,,Raster: 50 µm circular beam spot; Spot (Ge): 150 µm circular,20×20 µm square,Run 1 (major): 30 µm circular; Run 2 (trace): 130 µm circular,110 µm circular (spot mode),75 µm circular,150 µm circular,150 µm square (mapping mode)
Spot Diameter (Measured),"Diameter of the laser spot as independently measured on the sample or on a test material, distinct from the nominal value the procedure registers.",N/A,Basic,Numeric (µm),"e.g., '32.4' | 'nominal 35, measured 33.1 +/- 0.8 (n = 12 pits, white-light profilometry)'",Source: Laser Ablation module,2026-08-26,(none),Measured companion to Laser Spot Geometry: nominal and delivered spot size can differ appreciably with optics condition and focus.,Y,Y,Y,,,,,,,,
Laser Spot Path / Ablation Mode,Sampling mode or ablation pattern used during analysis.,Basic,Read-Only,Controlled list,Spot (stationary) | Transect (continuous line scan) | Raster area (2D elemental mapping) | Stepped line profile | N/A | None | Other: specify,Source: Laser Ablation module,2026-08-26,(none),,Y,Y,Y,,Raster area (2D mapping) for most irons; Spot (stationary) for Ge analysis on 5 irons,Raster area (2D elemental mapping),"Transect (line scan, run 1) + Spot (run 2 on same location after pre-ablation)",Spot (stationary),Spot (stationary),Spot (stationary),Raster area (2D elemental mapping)
Laser Energy,Laser pulse energy in millijoules as set at the laser output or measured at the sample surface. Report only when the system displays energy directly. Laser fluence (J cm⁻²) is the preferred quantity and is captured in Laser Fluence (Energy Density).,Advanced,Editable,Numeric (mJ),"e.g., 0.001 mJ | 3.5 mJ",Source: Laser Ablation module,2026-08-26,(none),Less commonly reported than fluence because it does not account for spot area.,Y,Y,Y,,N,N,N,N,N,N,N
Laser Fluence (Energy Density),"Laser pulse energy per unit area at the sample surface in J cm⁻², as registered by the procedure. If the system reports only as % of maximum output, include that value and note the system maximum where known.",Basic,Editable,Numeric (J cm⁻²),"e.g., '3.5 J cm⁻²' | '7 J cm⁻²' | '60% output (PHAROS system, max ~15 J cm⁻²)'",Source: Laser Ablation module,2026-08-26,(none),"Fluence is the physically meaningful quantity controlling ablation rate, crater morphology, elemental fractionation, and particle size distribution.",Y,Y,Y,,"N (no fluence reported; energy density characterized as ""sufficient to resolve Ge from background argide"")",5–7 J cm⁻²,Run 1 (major): 4.72 J cm⁻²; Run 2 (trace): 4.72 J cm⁻²,3.5 J cm⁻²,N (parameters lost),7 J cm⁻²,7 J cm⁻²
Laser Beam Energy Profile,"Spatial energy distribution of the laser beam at the sample surface, and whether a beam homogenizer is installed.",Advanced,Read-Only,Controlled list / Text,Flat-top (top-hat) — beam homogenizer installed | Gaussian — no beam homogenizer | Not stated | N/A | None,Source: Laser Ablation module,2026-08-26,(none),A flat-top (top-hat) profile produces more uniform ablation craters and more reproducible crater morphology than a Gaussian beam.,Y,Y,Y,,N,N,N,N,N,N,N
Laser Repetition Rate,Laser pulse repetition rate in hertz registered by the procedure.,Basic,Editable,Numeric (Hz),"e.g., 5 | 10 | 20 | 100",Source: Laser Ablation module,2026-08-26,(none),"For mapping methods, repetition rate together with scan speed and spot size determines pixel size and spatial resolution.",Y,Y,Y,,Raster: 50 Hz; Spot (Ge): 50 Hz,20 Hz,Run 1 (major): 20 Hz; Run 2 (trace): 40 Hz,20 Hz,N (parameters lost),10 Hz,10 Hz
Laser Pulse Duration,"Duration of each individual laser pulse, including units.",Basic,Read-Only,Text (free),"e.g., '4 ns (ArF excimer)' | '20 ns' | '290 fs (Yb:KGW)' | '220 fs (Ti:sapphire)'",Source: Laser Ablation module,2026-08-26,(none),Pulse duration determines the ablation regime: nanosecond (ns) pulses involve significant thermal effects and elemental fractionation; femtosecond (fs) pulses are non-thermal and substantially reduce elemental fractionation and matrix effects.,Y,Y,Y,,N (UP193FX; ns solid-state; pulse duration not reported),~5 ns (ArF excimer),~5 ns (ArF excimer),~5 ns (ArF excimer),N (parameters lost),4 ns (ArF excimer Excite 193),4 ns (ArF excimer Excite 193)
Ablation Duration per Spot,"Total on-sample ablation (signal acquisition) time per individual spot in seconds, as set in the acquisition method. For transect analysis, the equivalent procedure-level parameter is scan speed (captured in Transect Rate, Mapping Rate or Step Size). For mapping analysis, total acquisition time is sample-area-dependent and is not captured here.",Basic,Editable,Numeric (s),"e.g., 40 s | 60 s | 90 s",Source: Laser Ablation module,2026-08-26,(none),"For spot analysis, reflects the deliberate trade-off between signal accumulation (longer = lower LOD), sample consumption, and session throughput.",Y,N,N,,N/A (raster) / 20 s (spot Ge at 50 Hz),N/A (mapping mode),"N/A (line scan run 1) / N/A (spot run 2 — duration set by 34 runs covering 400 µm + washout, not a fixed spot duration)",20 s spot ablation (plus 10 s washout); 25 cycles acquisition,N (parameters lost),40 s on-sample ablation (after 20 s background measurement),N/A (mapping mode)
Ablation Pit Depth and Ablation Rate,"Depth of the ablation pit produced under the registered laser conditions, the method used to measure it, and the resulting per-pulse ablation rate. For transect and mapping the equivalent quantity is trench depth under the same conditions.",Basic,Editable,Text (free),"e.g., 'Pit depth 18 um after 300 pulses (white-light profilometry); 60 nm/pulse' | 'Trench depth 4 um at 5 um/s scan speed'",Source: Laser Ablation module,2026-08-26,(none),Sets the achievable depth resolution and governs downhole elemental fractionation.,Y,Y,Y,,,,,,,,
"Transect Rate, Mapping Rate or Step Size","For continuous line scan (transect) and raster mapping: the stage translation speed in µm s⁻¹. For mapping, the mapping rate (mm² h⁻¹) may be reported as an alternative when scan speed is session-variable. For stepped line profiles: the distance between successive spot positions in µm.",Advanced,Editable,Text (free),"e.g., '5 µm s⁻¹ (transect)' | '9 µm s⁻¹ (raster mapping, 20×20 µm spot, 20 Hz)' | '20 µm step size' | '0.3–30 mm² h⁻¹ (mapping rate range)'",Source: Laser Ablation module,2026-08-26,(none),"Together with spot size and repetition rate, determines spatial resolution along the scan direction.",N,Y,Y,,10 µm s⁻¹ (raster scan); N/A (spot Ge),9 µm s⁻¹ (continuous raster),10 µm s⁻¹ (line scan run 1); spot mode (run 2),N/A (spot mode),N/A (spot mode),N/A (spot mode),10 µm s⁻¹ (continuous raster scan)
Raster Line Spacing (Mapping Only),"Distance between adjacent raster lines in a 2D elemental map, measured perpendicular to the scan direction, in micrometres. Applies to raster mapping only.",Basic,Editable,Text (free),"20 µm (contiguous, equal to spot size) | 15 µm pitch with 5 µm gap between lines | N/A (spot or line-scan mode)",Source: Laser Ablation module,2026-08-26,(none),"Together with spot size, this determines whether adjacent lines are contiguous (line spacing = spot size), overlapping (line spacing < spot size), or have gaps (line spacing > spot size).",N,N,Y,,N (line spacing not explicitly stated; 50 µm spot scanned at 10 µm s⁻¹),20 µm (contiguous; 20×20 µm square spot = line spacing equals spot width),N/A (line scan + spot; not 2D mapping),N/A (spot mode),N/A (spot mode),N/A (spot mode),N (line spacing not stated; 150 µm spot at 10 µm s⁻¹)
Carrier Gas and Flow Rate,"Gas used to transport ablated aerosol from the ablation cell to the ICP-MS torch, with the procedure-registered target flow rate(s). Helium is standard for most UV laser systems due to superior aerosol transport. Flow rates are procedure targets; actual session values may be adjusted within ±10% during tuning.",Basic,Editable,Text (free),"e.g., 'He, 0.75 l min⁻¹' | 'He: MFC-1 (cell) 0.60 l min⁻¹ + MFC-2 (cup) 0.35 l min⁻¹'",,2026-08-26,(none),,Y,Y,Y,,N,He: MFC-1 (cell) 0.200–0.260 l min⁻¹; MFC-2 (cup) 0.220–0.385 l min⁻¹,He: MFC-1 0.19 l min⁻¹; MFC-2 0.22 l min⁻¹,He: MFC-1 0.270 l min⁻¹; MFC-2 0.250 l min⁻¹,N (parameters lost),He: 0.6 l min⁻¹ (MFC 1) + 0.7 l min⁻¹ (MFC 2) in HelEx II cell; combined with Ar makeup via T-piece near torch,He: 0.6 l min⁻¹ (MFC 1) + 0.7 l min⁻¹ (MFC 2) in HelEx II cell
Make-up Gas and Flow Rate,"Supplementary gas added to the sample-carrying stream between the sample introduction system and the plasma, with its identity and the procedure-registered target flow rate. Record any small nitrogen or hydrogen addition with its own flow, whose unit commonly differs from the make-up flow. Record 'None' explicitly where no supplementary gas is added, to distinguish it from not reported.",Advanced,Editable,Numeric (L/min) / Text,"e.g., 'Ar make-up gas, 0.95 l min⁻¹' | 'Ar make-up 0.80 l min⁻¹ + N₂ 2 ml min⁻¹ (sensitivity enhancement)' | 'None (no N₂ added)'",Source: ICP-MS module,2026-08-26,(none),"Argon make-up is standard and maintains total gas delivery where the carrier flow alone is insufficient — downstream of an ablation cell, or of a desolvation system that has removed solvent load. Small nitrogen or hydrogen additions enhance sensitivity for some elements.",Y,Y,Y,,N,Ar make-up: 0.81–0.99 l min⁻¹ (mapping); N₂ explicitly not added,Ar make-up: 0.947 l min⁻¹ (run 1 and run 2); N₂ not added,Ar make-up: 0.96 l min⁻¹; N₂ not added,N (parameters lost),Ar make-up gas (combined via T-piece in sample transport line near torch; flow rate not stated separately),Ar make-up gas (same as spot protocol)
Coolant (Plasma) Gas Flow Rate,"Flow rate of the outer (coolant/plasma) argon gas stream that sustains the ICP plasma, in L/min.",Basic,Editable,Numeric (L/min),14 L/min | 15 L/min | Other: specify,Source: ICP-MS module,2026-08-26,(none),Determines plasma volume and stability.,Y,Y,Y,,N,Cool: 15 l min⁻¹ Ar; Auxiliary: 0.81 l min⁻¹ (mapping),Cool: 15 l min⁻¹ Ar; Auxiliary: 0.90 l min⁻¹ (run 1 and run 2),Cool: 15 l min⁻¹ Ar; Auxiliary: 0.85 l min⁻¹,N,Plasma gas: 16 l min⁻¹; Auxiliary: 0.9 l min⁻¹; Nebulizer gas (from table): 1.1 l min⁻¹,Plasma gas: 16 l min⁻¹; Auxiliary: 0.9 l min⁻¹
Auxiliary Gas Flow Rate,"Flow rate of the intermediate (auxiliary) argon gas stream, between the torch body and the injector tube, which positions the plasma relative to the load coil, in L/min. Distinct from the outer coolant (plasma) gas and from the gas stream that carries sample into the plasma.",Basic,Editable,Numeric (L/min),0.8 L/min | 1.0 L/min | 1.2 L/min | Other: specify,Source: ICP-MS module,2026-08-26,(none),Affects ion extraction efficiency and oxide production rates.,Y,Y,Y,,N,N,N,N,N,N,N
RF Power,"Radiofrequency forward power applied to the ICP, in watts.",Basic,Editable,Numeric (W),"e.g., 800 W | 1200 W | 1350 W | 1550 W",Source: ICP-MS module,2026-08-26,(none),"Affects plasma temperature, ionisation efficiency, oxide formation, and whether cool or normal plasma conditions are in effect.",Y,Y,Y,,N (not reported),800 W (cool plasma for mapping),1000 W (run 1 major elements + run 2 trace elements),1000 W,N (parameters lost),1200 W,1200 W
Plasma Thermal Mode,Whether the ICP plasma is operated under cool plasma (<=900 W RF) or normal (hot) plasma (>1000 W RF) conditions. Document independently of the RF Power field.,Basic,Read-Only,Controlled list,Normal plasma (>1000 W RF) | Cool plasma (≤900 W RF) | Mixed: specify mode per analytical sub-run | N/A | None | Other: specify,Source: ICP-MS module,2026-08-26,(none),"Cool plasma substantially reduces argide-based polyatomic interferences (e.g., ⁴⁰Ar on ⁴⁰Ca, ⁴⁰Ar⁴⁰Ar on ⁸⁰Se). A fundamental method design choice that determines which interference corrections are necessary.",Y,Y,Y,,N,Cool plasma (800 W RF) to reduce Ar-based argide interferences on ⁶⁰Ni and ⁷¹Ga,Normal plasma (1000 W RF),Normal plasma (1000 W RF),N,N,N
Signal Smoothing,"Description of any signal smoothing device or approach installed between the ablation cell and the ICP-MS to reduce pulse-to-pulse signal variability. Note: active signal smoothing devices (e.g., squid, SCFAST) are generally incompatible with high-resolution raster mapping because they degrade spatial resolution by mixing aerosol from successive laser shots. For mapping analyses, report ""None"" explicitly.",Advanced,Editable,Text (free),"e.g., 'Squid 2.0 (laurin technik)' | 'ARIS (Aerosol Rapid Introduction System)' | 'None'",,2026-08-26,(none),,Y,Y,Y,,N,None (no signal smoothing device; N₂ not added),None,None,N (parameters lost),None,None
ICP Tuning,"Description of the approach used to optimise ICP plasma conditions prior to analysis, including the reference material used for tuning and the acceptance criteria (e.g., oxide production threshold, sensitivity targets, mass calibration).",Advanced,Editable,Text (free),"e.g., 'Daily auto-tune on NIST SRM 612; optimised for max sensitivity on ¹³⁹La and ²³²Th with ThO⁺/Th⁺ <0.5% and U/Th = 1.0 ± 0.05'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,Daily tuning; cool plasma conditions optimized; N₂ explicitly not added to avoid N-based interferences,Same instrument as mapping; tuning optimized per run (different RF power and resolution settings per run),Same instrument as olivine runs; tuned for normal plasma conditions,N (parameters lost),ICP and laser settings optimized daily for optimum signal intensity and low oxide formation (factory specifications; mass calibration and detector cross-calibration checked and redone if required),Same as spot protocol
Instrument Sensitivity,"Instrument sensitivity achieved in the session, with the isotope or channel it was measured on and the conditions it applies to. May be expressed either as detected signal per unit concentration or per unit mass of analyte delivered — counts per second per ppb, volts per ppm, counts per picogram — or as useful yield, the percentage of sampled atoms ultimately detected as ions, with the method used to derive it cited. A sensitivity the procedure requires before analyses may begin belongs with the tuning acceptance criteria.",N/A,Advanced,Numeric + unit / Text,"e.g., '0.42% useful yield (U, method of Horstwood et al. 2016)' | '0.1% useful yield (analytes, msfs-LA-ICP-MS)' | '1.2 x 10^6 cps/ppb on 115In' | 'N/A'",Source: ICP-MS module,2026-08-26,channel,"Useful yield is the more comparable of the two wherever the amount of material consumed varies between procedures, as it does with spot size, fluence and repetition rate.",Y,Y,Y,,,,,,,,
Oxide Production Method and Threshold,"Method used to quantify plasma oxide production and the acceptance threshold applied before commencing analysis. Record both the monitored mass ratio(s) and the maximum allowed threshold(s). Measured values are recorded in Oxide Production. The monitored ratio is procedure-dependent: ThO+/Th+ (m/z 248/232), UO+/U+ (254/238), CeO+/Ce+ (156/140) and BaO+/Ba+ are all in use.",Basic,Read-Only,Text (free),"e.g., 'ThO⁺/Th⁺ (248/232) <0.5%' | 'ThO⁺/Th⁺ <0.3%; UO⁺/U⁺ monitored at 0.95–1.05' | 'CeO⁺/Ce⁺ <1.0%'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N (not reported; no oxide proxy threshold stated),ThO⁺/Th⁺ (mass 248/232); threshold not explicitly stated but minimized by cool plasma,N (normal plasma; no threshold stated for runs 1 and 2),N (normal plasma; no threshold stated),N (parameters lost),N (factory optimization criterion; exact threshold not stated),N (same as spot protocol)
Oxide Production,"Measured oxide production ratio obtained during session-start tuning, for the proxy specified in Oxide Production Method and Threshold. Record the measured value and confirm whether the procedure threshold was met.",N/A,Basic,Text (free),"e.g., 'ThO⁺/Th⁺ = 0.3% (threshold <0.5% met)' | 'ThO⁺/Th⁺ = 0.08%' | 'CeO⁺/Ce⁺ = 0.7% (threshold <1.0% met)'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Doubly-Charged Species Monitor,The mass ratio monitored to estimate doubly-charged ion (M²⁺) formation during instrument tuning. Doubly-charged ions appear at half the mass of the parent ion and can cause isobaric interferences on analytes in that mass region. The monitor species and the mass positions monitored should be stated explicitly. Analogous to Oxide Production Method and Threshold for oxide monitoring.,Advanced,Editable,Text (free),¹³⁸Ba²⁺/¹³⁸Ba⁺ (m/z 69/138); Ce²⁺/Ce⁺ (m/z 70/140); ²³⁸U²⁺/²³⁸U⁺ (m/z 119/238),,2026-08-26,(none),,Y,Y,Y,,,,,,,,
Doubly-Charged Species Production,"Measured percentage of doubly-charged ion production for the monitored species at the time of instrument tuning. The procedure should specify the acceptable threshold (e.g., <1%, <3%); the measured value for each session is recorded here. Report both the threshold and the measured value where possible.",Advanced,Editable,Text (free),"<1% (threshold); 0.4% (measured, ¹³⁸Ba²⁺/¹³⁸Ba⁺); N (not reported)",,2026-08-26,(none),,Y,Y,Y,,,,,,,,
Instrument Warm-up / Session Duration Limit,"Minimum warm-up time required after plasma ignition before analyses begin, and any maximum session duration enforced to maintain stable operating conditions.",Advanced,Read-Only,Text (free),"e.g., '≥30 min warm-up after sample change; sessions ≤8 h after tuning' | '3–4 h warm-up; no session duration limit'",Source: ICP-MS module,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Analysis Sequence,"The repeating order in which calibration or bracketing standards, quality-control and secondary reference materials, blanks and unknowns are interleaved within a measurement session. Adjustments must maintain the bracketing strategy defined in the procedure.",Basic,Editable,Text (free),"e.g., '1 primary std / 1 QC / 10 unknowns' | '2/4/15' | 'Calibration at start and end; unknowns in between'",,2026-08-26,(none),,Y,Y,Y,,Standards at start of session → raster unknowns → repeat → standards at end; separate session for Ge spot analyses,(i) Gas blanks → (ii) all glass GRMs for external calibration → (iii) 1–3 cosmic spherule unknowns → (iv) blanks → (v) all glass GRMs again,GRM block (3–5×) → unknowns → GRM block (3–5×); same structure for run 1 and run 2,MPI-DING and USGS GRMs at beginning → unknowns → repeated GRM at end,"BCR-2g, BHVO-2g, BIR-1g measured as calibration standards; Marjalahti as in-session control",NIST SRM 612(×3) → North Chile(×3) → unknowns(×10) → NIST SRM 612(×2) → North Chile(×2) → unknowns(×10) → … (bracketing every 15),Background (1 min) → NIST SRM 612(×3) → North Chile(×3) → unknown map (30 min) → North Chile(×3) → NIST SRM 612(×3) → background
Analyte,"The chemical species this procedure is designed to determine, recorded at whatever resolution the chemistry is resolved — element(s) for this technique; valence species where a procedure resolves oxidation state; compounds where it resolves molecules. Isotopes are not analytes: isotopes of an element are the same chemical species. The subset actually measured may be narrower than the registered suite where species were excluded due to interferences or scope reduction.",Basic,Editable,Text (free),"e.g., 'Major elements: Mg, Si, Ca, Fe; Trace elements: Sc, V, Cr ... U' | 'All REE: La-Lu'",Source: Analyte module,2026-08-26,defines: analyte,,Y,Y,Y,,"³¹P, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁷¹Ga, ⁷⁴Ge, ⁷⁵As, ⁹⁵Mo, ¹⁰²Ru, ¹⁰³Rh, ¹⁰⁶Pd, ¹²⁰Sn, ¹²¹Sb, ¹⁸²W, ¹⁸⁵Re, ¹⁹⁰Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (23 elements; 31P, 51V, 53Cr, 55Mn, 57Fe, 59Co, 60Ni, 63Cu, 71Ga for spot Ge runs)","²⁵Mg, ²⁷Al, ²⁹Si, ³¹P, ⁴⁵Sc, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁶⁰Ni, ⁷¹Ga, ¹³⁹La, ¹⁵³Eu, ¹⁹⁵Pt (14 nuclides)","Run 1 (major): ²⁵Mg, ²⁹Si, ³¹P, ⁴⁴Ca, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe (7 nuclides; medium resolution); Run 2 (trace): ⁷Li, ⁴⁵Sc, ⁵¹V, ⁵³Cr, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La–¹⁷⁵Lu (all REE), ¹⁸⁰Hf, ¹⁸¹Ta, ¹⁸²W, ¹⁸⁵Re, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au, ²³²Th, ²³⁸U (36 nuclides)","²³Na, ²⁵Mg, ²⁷Al, ²⁹Si, ³¹P, ³⁹K, ⁴⁴Ca, ⁴⁵Sc, ⁴⁷Ti, ⁵¹V, ⁵³Cr, ⁵⁵Mn, ⁵⁷Fe, ⁵⁹Co, ⁶⁰Ni, ⁶³Cu, ⁶⁶Zn, ⁸⁵Rb, ⁸⁸Sr, ⁸⁹Y, ⁹⁰Zr, ⁹³Nb, ¹³³Cs, ¹³⁷Ba, ¹³⁹La–¹⁷⁵Lu (all REE), ¹⁸⁰Hf, ¹⁸¹Ta, ²⁰⁸Pb, ²³²Th, ²³⁸U (43 nuclides)","²⁵Mg, ²⁷Al, ³¹P, ⁴³Ca, ⁴⁴Ca, ⁴⁵Sc, ⁴⁷Ti, ⁴⁹Ti, ⁵¹V, ⁵²Cr, ⁵³Cr, ⁵⁹Co, ⁶⁰Ni, ⁶¹Ni, ⁶²Ni, ⁶⁴Zn, ⁶⁶Zn, ⁶⁹Ga, ⁷¹Ga (19 nuclides)","⁵²Cr, ⁵⁷Fe, ⁵⁹Co, ⁶¹Ni, ⁶⁵Cu, ⁶⁹Ga, ⁷²Ge, ⁷⁵As, ⁹⁹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸²W, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (17 isotopes); low relative abundance isotopes chosen for Ni and Fe (analog mode)","⁵²Cr, ⁵⁷Fe, ⁵⁹Co, ⁶¹Ni, ⁶⁵Cu, ⁶⁹Ga, ⁷²Ge, ⁷⁵As, ⁹⁹Ru, ¹⁰³Rh, ¹⁰⁵Pd, ¹⁸²W, ¹⁸⁵Re, ¹⁸⁹Os, ¹⁹³Ir, ¹⁹⁵Pt, ¹⁹⁷Au (same 17 isotopes as spot protocol)"
Monitored Masses,"Specific masses monitored in this procedure, grouped by the analyte element they serve where they serve one. Covers atomic isotopes and, where a reaction cell shifts an analyte onto a different mass, the product mass actually measured. Includes interference-monitor and internal-standard masses, which serve no analyte and so have no parent element. The analyte list is given by the Analyte field and is never inferred from the element symbols appearing here.",Basic,Read-Only,Text (free),⁷Li | ²⁵Mg | ⁵⁶Fe | ²⁰⁸Pb | N/A | None | Other: specify,,2026-08-26,defines: channel per analyte,,Y,Y,Y,,N,N,N,N,N,N,N
Reported Variables and Units,"The final variable(s) this procedure reports and their units — distinct from the fields recording what was *acquired* rather than what is reported. Record every reported variable, including intermediate quantities reported alongside final ones (e.g. both the 206Pb/238U ratio and the 206Pb/238U date). Where a reported variable is a nominal property with no magnitude (e.g. a mineral identification), record the variable and give the unit as 'N/A — nominal property'.",Basic,Read-Only,Text (free),"e.g., 'Element concentrations in ug/g; 2SE per analyte' | '207Pb/206Pb, 206Pb/238U, 207Pb/235U (radiogenic, common-Pb corrected), absolute ratios with 2-sigma'",Source: Core module,2026-08-26,defines: reported property,A procedure may acquire many channels and report a small number of derived quantities; without this field a data consumer cannot tell which.,Y,Y,Y,,,,,,,,
Mass Resolution Assignment,"Mass resolution mode assigned to each acquired mass. The selected resolution determines which polyatomic interferences are physically resolved by the magnetic sector. One analyte may be acquired at more than one resolution, so the assignment is per acquired mass rather than per element. The overall mode(s) used in the procedure are recorded in Mass Resolution Setting (Group 3).",Basic,Read-Only,Text (free),"LR: Ag, Cd, Sb, Tl, Bi; MR: Ga, Ge, Mo, In, Sn, W | All LR (m/Δm ≈ 300) | N/A | None | Other: specify",,2026-08-26,channel,,Y,Y,Y,,N,N,N,N,N,N,N
E-scan Range,"Electric scan range used for peak acquisition, expressed as percentage of the centre mass (%). Varies the accelerating voltage to cover masses in the vicinity of the set magnetic mass without re-scanning the magnet. Record 'N/A' if E-scan acquisition mode is not used.",Advanced,Read-Only,Numeric (%),15% | 10% | N/A,,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Triple Scanning Mode,Whether each mass peak is scanned three times per cycle and the results averaged (Y/N). Used to reduce noise from short-term magnetic field instabilities on sector-field instruments. Triple scanning affects the effective integration time per cycle and should be reported. Record 'N/A' if not applicable to the instrument.,Advanced,Read-Only,Controlled list,Y | N | N/A | None | Other: specify,,2026-08-26,(none),,Y,Y,Y,,N,N,N,N,N,N,N
Ion Counter Dead Time,"Dead time of each ion-counting detector channel, used in the dead-time correction applied to high count rates. Distinct from pulse/analog cross-calibration, which relates the two detector modes rather than correcting counting losses within the pulse-counting mode.",Basic,Editable,Numeric (ns),"e.g., '23' | '23 ns (determined from NIST 612 at varying spot size, checked quarterly)'",Source: ICP-MS module,2026-08-26,channel,,Y,Y,Y,,,,,,,,
Dwell Time per Mass,"Count time (dwell time) per mass position for each measured isotope in milliseconds. Longer dwell times improve counting statistics and lower detection limits but reduce the number of isotopes measurable within a given scan cycle time. For mapping, scan cycle time directly determines spatial resolution at a given scan speed: shorter cycle time = finer spatial resolution.",Basic,Editable,Numeric (ms) / Text,"e.g., 6 ms (most isotopes); 35 ms (¹⁴⁷Sm, ¹⁵³Eu, ¹⁵⁸Gd for REE work)",,2026-08-26,channel,,Y,Y,Y,,N (dwell times not reported),0.01 s (10 ms) per nuclide; samples per peak: 10; duty cycle time: 1.944 s (14 nuclides),Run 1 (major): 0.01 s per nuclide; samples per peak: 18; duty cycle: 2.069 s; Run 2 (trace): 0.01 s per nuclide; samples per peak: 7; duty cycle: 2.062 s,"0.01 s per nuclide; samples per peak: 5; duty cycle: 1.813 s; mass window 150% for ²³Na–⁴⁷Ti, 100% for all other nuclides",N (parameters lost; 10–50 ms varies by isotope per paper text),0.02 s per isotope; 100 samples per peak; 10 runs; 60 passes; total measurement time 120 s per analysis,0.02 s per isotope; 100 samples per peak (same as spot protocol)
Total Integration Time per Output Data Point,"Total duty-cycle time for one complete mass-scan sweep — the sum of all per-isotope dwell times plus inter-mass settling times. Sets the time resolution of the downhole signal, and is not recoverable from Dwell Time per Mass alone because settling time is not captured there. Applies to sequential (quadrupole and single-collector sector-field) acquisition.",Basic,Editable,Numeric (s),"e.g., '0.284' | '0.31 s (24 masses, 10 ms dwell, 4 ms settling)'",,2026-08-26,(none),,Y,Y,N,,,,,,,,
Background Count Time,"Total time spent measuring gas blank (background signal with laser off or shutter closed) before each ablation event, in seconds. For spot and transect analysis, a discrete background interval is measured before each ablation. For mapping, background is typically measured once per raster line or at the start of a map session rather than before each individual pixel. Editable to allow session-specific adjustment.",Basic,Editable,Numeric (s),"e.g., '30 s (spot/transect)' | '10 s per raster line (mapping)' | '25 s (one gas blank map per GRM at session start)'",,2026-08-26,(none),,Y,Y,Y,,N (gas blank measured before analyses but duration not reported),Scans for gas blank: 10 per line (before each mapping line); 80 scans during ablation,Run 1: 5 gas blank scans; 24 ablation scans; Run 2: 5 gas blank scans; 24 ablation scans,8 gas blank scans; 11 ablation scans (25 cycles measurement: 15 s blank + 20 s ablation + 10 s washout),N (parameters lost; gas blank measured before each analysis per paper text),20 s background measurement (laser shutter closed) before each 40 s ablation,60 s background measurement before mapping session start; 3 measurements each for NIST and North Chile after background
